橘ありす,おはようございます
ありす,単位
響子,小人なんですか？
フレデリカ,大人だよーっ！！！
響子,沸点がぜんぜんわからない……
フレデリカ,さて、どうしよっか？
響子,いえ、別に今日やらなきゃいけないわけでもないですし……
ありす,背の高い人が来るまで後回しでいいんじゃないんですか？
フレデリカ,そうだね！フレちゃんがありすちゃんを肩車すれば解決だね！
ありす,話聞いてましたか！？
フレデリカ,かもーん！
響子,は、早い……
ありす,い、イヤですよ！
フレデリカ,ええ～？なんで～？
ありす,なんでじゃないです！
フレデリカ,じゃあキョーコちゃん！
響子,ええ！？わ、私ですか！？
ありす,！？
フレデリカ,かもんかもん！
響子,あ、でも、ちょっと楽しそうかも……
ありす,……
フレデリカ,でっしょー？
ありす,だ、ダメです！！！
響子,え？
フレデリカ,？
ありす,あ……い、いや、その、き、響子さんより私の方が軽いですし……いえ、決して響子さんが重いとかそういうあれでは……で、でもフレデリカさん的にも楽な方がアレですし……だ、だからと言って私が乗るとも言ってなくて……！
フレデリカ,？？？
響子,お、落ち着いて！
ありす,ぜ、ぜんぜん、響子さんが乗っても私的にはぜんぜんアレですけど、でもあの、高さ的にも高すぎて困って天井とか危ないかもしれなくて、も、もちろん私が乗るなんてわけでもないんですけれど……えっと……えっと、なんなんですかもう！！！！！
響子,あ、ありすちゃん！
ありす,えっと、えっと
フレデリカ,ありすちゃん
ありす,は、はひっ！
フレデリカ,……かもん！
響子,何ですかこの表情
ありす,よ、よろしくお願いしましゅ！？
響子,ありすちゃん！正気に戻って！
フレデリカ,いっくよー？せーのっ！！！
諸星きらり,おっすおっす！今日もいい天気だにぃ！……あれあれー？どうかしたのー？
ありす,あ
響子,あ
フレデリカ,あ
きらり,？
響子,きらりちゃん、ありがとうございましたっ
きらり,これくらいおやすいごようだにぃ☆
フレデリカ,いやー、フレちゃん、活躍できなかったね！残念無念！
ありす,……
響子,……ありすちゃん？
ありす,ふ、フレデリカさんがきらりさんを肩車すればよいのでは！？
響子,まだ混乱してたんですか！？。あ！
フレデリカ,どうかしたのー？
響子,流れで言い忘れてましたけど、、今日、フレデリカさんの誕生日じゃないですか！
ありす,……！
きらり,うきゃー！めでたいにぃ！
フレデリカ,おおー！まるでフレちゃん博士だね！
響子,というわけで、はい、プレゼントのエプロンです！
フレデリカ,え！いいの！？
響子,はい！トリコロールの、可愛いデザインなんですよ！
フレデリカ,Da？Vi？Vo？
ありす,トリコロールって聞いた途端に編成組もうとするのやめましょう
きらり,じゃあきらりからは、はい！
フレデリカ,わ！マシュマロの詰め合わせ！
きらり,とっても美味しいんだよぉ？
フレデリカ,きらりちゃんが言うなら間違いないね！家宝にしちゃおう！
ありす,食べ物を！？
フレデリカ,じゃあ食べよ！ありすちゃん！マシュマロ投げて！
ありす,普通に食べてください！
きらり,いっくにぃ～！！！
ありす,なんで振りかぶってるんですか！
フレデリカ,おもしろきこともなき世をおもしろく
ありす,すでに辞世の句をしたためている！？
きらり,えいっ！！！
響子,マシュマロが飛ぶ効果音じゃない！！！
フレデリカ,フレちゃんね？無事に帰れたら、ありすちゃんにプロポーズするんだ……
ありす,この期に及んで余計なフラグを！！！！！
フレデリカ,楽しかったよ……
ありす,フレデリカさん！！！
響子,ああ！！！
ありす,……
響子,……
フレデリカ,……あれ？
きらり,なーんて☆運動エネルギーは質量と速さの2乗をかけて2で割った値だから、とーっても軽いマシュマロがちょ～っと速くっても、ダメージは少ないんだにぃ☆
ありす,きらりさん！？
フレデリカ,響子ちゃんときらりちゃんはライオンを狩りに行ったよ！
ありす,急にウソつかない！そもそも誰に言ってるんですか！
フレデリカ,ありすちゃん、ここからは響子ちゃんがいないけど、大丈夫？
ありす,よ、余計なお世話です！
フレデリカ,ふーん？じゃ、行こっか！
ありす,……はい？
フレデリカ,今日のフレちゃんは、困ってる人を助けるピンチヒッターだよ！
ありす,……今日はそういうコンセプトなんですね
フレデリカ,慣れてきたね！
ありす,不本意極まりないですが
フレデリカ,よーし！じゃあ、この部屋に突撃～☆
ありす,相変わらず適当な……
兵藤レナ,あら、こんにちは
ありす,げ、レナさんじゃないですか
レナ,げ、だなんて失礼ね。傷ついちゃうわ
フレデリカ,なにしてるのー？
レナ,ちょうどよかったわ、私とちょっと遊ばない？ヒマになっちゃったところなのよ
フレデリカ,いいよいいよ！なにするのー？
レナ,まずお互いにナイフを持って、その逆の手同士を紐で結びます
ありす,デスゲームの気配
レナ,冗談よ、和ませるための、気が利いた、ね
ありす,気が触れた、の間違いでは？
レナ,勝負に使うのは、今話題のトランプよ
ありす,今話題のって必要でした？
フレデリカ,え！気の触れたトランプ！？
ありす,わざわざ発言をさかのぼって国際情勢に殴り込むのやめません！？。というかヒマになっちゃったって、何か予定があったんですか？
レナ,うーん、まあ、予定と呼べるほどのものでもないわ。ほたるちゃんに、トランプゲームのコツを教えてあげる約束をしてたんだけど
フレデリカ,ふむふむ！アイドルトークもあるもんね！
ありす,そういうのやめましょう
レナ,ほたるちゃんから、体調不良で来れないって連絡があってね。
ありす,それで時間が空いたんですね
レナ,ま、どのみち空き時間だったから問題ないわ
フレデリカ,ほたるちゃん、風邪でも引いちゃったの？
レナ,それが、インフルだって
ありす,ああ、いくらほたるさんが強くても、インフルは出社停止ですからね
フレデリカ,インフルレンジャー？
ありす,なんですかその不健康な集まり
レナ,いいえ、インフルネンザよ
ありす,インフルネンザ！？。い、インフルエンザではなく！？
レナ,ええ、インフルだと診断された帰り道に、バナナナの皮に滑って転んだらしいわ
フレデリカ,バナナナ！？
ありす,ば、バナナではなく！？
レナ,ええ、フィリピソって国でよく取れるらしいわ
フレデリカ,フィリピソ！？
ありす,ふ、フィリピンではなく！？
レナ,ええ、東南ゴジラに属する国らしいわ
フレデリカ,東南ゴジラ！？
ありす,と、東南アジアではな……もういいですよ！！！。なんですか今のノリは！！！
レナ,あら、楽しんでたじゃない
ありす,そ、そんなことないです！
レナ,まあいいわ、本題に戻しましょう
フレデリカ,バナナナって美味しいの？
ありす,本題に戻しましょう
レナ,ええ、パーフェとかクキーッや、チョコフィョオンデュにしてもおすすめよ
ありす,本題に戻しましょう！！！
レナ,じゃ、ポーカーでもしましょうか。ありすちゃんもやる？
ありす,私はいいです
レナ,あら残念、フレちゃん、よろしくね
フレデリカ,おっけ！。ポーカー、白菊に代わりまして～！宮本～！
ありす,それ言わなきゃいけないんですか
レナ,本来ならお金とかチップとか賭けるんだけど……
ありす,……
レナ,あらあら、かわいくってこわーいお目付け役がいるのね
フレデリカ,賭け事はよくないよー！
レナ,大丈夫よ、賭けるとしても二束三文。または菜々ちゃんの魂くらいだから
ありす,勝手に賭けるだけでも最低なのに、よりによって"二束三文"の後に言いましたね
レナ,面倒だからレイズもコールもなし！5枚配って1回交換で、相手が強そうなら降りるってことで
ありす,ポーカーの良さ、割と消してますね
レナ,もちろん、気持ちだけは本気でね！何も賭けてないからとりあえず勝負なんてカッコ悪いもの
フレデリカ,いいよいいよ！フレちゃんのポーカーフェイス、見せちゃうよ～！
レナ,じゃ、ありすちゃん、配ってもらえる？
ありす,はいはい……
レナ,～♪
ありす,表情が崩れない……、そこは流石ですね。フレデリカさんは……
フレデリカ,
ありす,表情が死んでる！！！
レナ,2枚交換でお願い
フレデリカ,さ、さんまい……
ありす,ポーカーフェイスどこいったんですか
フレデリカ,！
ありす,あ、何かしら揃ったんですね
フレデリカ,はい勝負！勝負！
ありす,露骨
レナ,あら、これは勝ちね
フレデリカ,！？
ありす,！
レナ,ごめんなさい、独り言よ、じゃあ、勝負に……
フレデリカ,ま、まってまってまって！
レナ,あら、勝負じゃないの？
フレデリカ,……
ありす,巧い……
フレデリカ,や、やめとくね……
ありす,意志が弱い！！！。で、ではオープン
フレデリカ,ストレート……
ありす,そ、それで降りたんですか！？
フレデリカ,だってレナさんが"勝ちね"って！！！
レナ,ごめんね、見間違いだったみたい
ありす,！！！
フレデリカ,そ、揃ってないよー！？
レナ,でもフレちゃん降りちゃったもの。私の勝ちね
フレデリカ,ぐぬぬ……
ありす,露骨なカモじゃないですか
レナ,1枚交換で
フレデリカ,ニマイコウカン
ありす,表情を殺そうとしすぎて気持ち悪い！！！
フレデリカ,！！！
ありす,隠せてない……
レナ,あら、今回は微妙だけど、まあ挑んでみようかしら
フレデリカ,ふ、フレちゃんも弱いけど、ほ、ホントに弱いけど勝負しまーす！
ありす,改善される気配がない……
フレデリカ,はい！フラッシュ！
ありす,さっきから引きいいですねこの人
レナ,はいフルハウス
フレデリカ,もぉぉぉぉ！！！！！
ありす,……ちょっとかわいい
フレデリカ,これ以上ありすちゃんの前で恥はかけないよ！
ありす,なんか余計なこと考えてそうですね
レナ,2枚お願い
フレデリカ,3枚！
ありす,わかりました
フレデリカ,……
ありす,微妙そうな表情ですが……
フレデリカ,いやー！フレちゃんやっぱ引きいいね！今度こそ、レナさん、降りた方がいいよ！
ありす,……
レナ,あらあら、ブラフを使うなら、せめて配られた時から自信満々でいなきゃダメよ？
フレデリカ,！
レナ,ちゃんと、配られた時も、交換した直後も、表情が冴えなかったのを見てたんだから♪
ありす,流石ですね……
フレデリカ,そ、それは気のせいだよ！ね？降りよ？？？
レナ,はいはい、私は勝負するわ
フレデリカ,……
ありす,お、降りてもいいんですよ？
フレデリカ,勝負するよ！！！
レナ,……！
ありす,では、おーぷ
レナ,ストップ
ありす,へ？
フレデリカ,……
レナ,ごめんなさい、急用を思い出しちゃった。失礼するわね
ありす,え！？こ、このタイミングでですか！？
レナ,そのトランプ、フレちゃんにあげるわ。誕生日おめでとう。練習に使ってね。……まあ、必要かどうかわからないけど
ありす,？？？
レナ,じゃあね
ありす,な、なんだったんでしょう……
フレデリカ,……ふーん？
ありす,一応、置いていったレナさんの手札は……。！
フレデリカ,ストレートだね
ありす,命拾いしましたね、フレデリカさ……
フレデリカ,残念だったね～
ありす,！！！。す、ストレートフラッシュ……！？。か、勝ってたんですか！？
フレデリカ,でも降りられちゃったからね～！残念無念～
ありす,……
フレデリカ,どしたの？
ありす,1回目と2回目、本気でした？まさか最後に勝つために……
フレデリカ,フレちゃんはそんなに頭のいいレディじゃないよ～♪
ありす,……わからない人ですね
フレデリカ,じゃ、トランプであそぼっか！なにする？投げてキュウリでも切断する？
ありす,それ楽しいんですか！？
安部菜々,しあわせ家族計画じゃないですか！！！
菜々,……あれ？
ありす,あれ、なにか外から声が聞こえたような……
フレデリカ,気のせいだって思うよ～
ありす,そう……ですね
フレデリカ,次はこの部屋～！
ありす,せ、せめてノックくらい！……ってこの部屋は
池袋晶葉,うわぁ！お、驚かせないでくれ！ってフレデリカ！？
佐城雪美,ありすも……いる……
ありす,すみません突然……。取り込み中ならすぐ帰りますから……
フレデリカ,なにか困ったこと、なーい？
雪美,ノックもしないフレデリカに……困ってる……
ありす,ド直球
雪美,……晶葉が
晶葉,こっちに放り投げるな！
雪美,ふふ……佐城のジョークでサジョーク……ね
ありす,解説いらないですから
フレデリカ,……
晶葉,今さらノックされても……
雪美,……
晶葉,？
雪美,せっかくだから……2人に……
晶葉,し、しかし、それは本末転倒な気が……
雪美,遅かれ……早かれ……
晶葉,うーむ……
ありす,？
フレデリカ,ここで働かせてください！
ありす,何ですか急に。神隠しに遭いたいんですか。そういえば気になってたんですが、なにか甘い匂いがするような……
フレデリカ,あ！フレちゃんも気になってた！チョコの匂いだねー？
晶葉,まあ、このまま帰すのも変な話だからな……
雪美,……
フレデリカ,？
晶葉,実は、こんなものを作ったんだ
ありす,えっと、この機械は……？
雪美,チョコレートを右から入れて……フルーツとかお菓子を……左から入れる……
晶葉,すると、自動で混ぜてチョコを作ってくれるんだ
ありす,す、すごいですね……
晶葉,例えば、チョコとイチゴを入れれば、イチゴ味のチョコができるというわけだな
雪美,バナナナ味も……作れる……
ありす,まだ私を苦しめるんですかバナナナは！！！
フレデリカ,やっぱりフィリピソ？
ありす,もういいでしょうその流れは！！！
雪美,ブラジノレがおすすめ……
フレデリカ,ブラジルではなく！？
ありす,うるさいな！！！！！
晶葉,しかも、混ぜるモードだけじゃないんだ
雪美,晶葉……"まぜまぜモード"
晶葉,……まぜまぜモードだけじゃないんだ
ありす,謎のこだわり
雪美,生チョコみたいになる……とろとろモード……
晶葉,ケーキみたいになる、えーと……、そうだ、"ふわふわモード"もあるぞ
フレデリカ,便利だね！すごい！
晶葉,あと、材料の周りをチョコでコーティングするモードもあるんだ
ありす,なるほど、"ぺたぺたモード"とでもいうんですか？
雪美,塗装モード
ありす,塗装モード。どうして急に熟語に！？
雪美,天啓……
ありす,塗装の神がいるんですか！？
晶葉,すまない、そのやり取り、さっきやったんだ……
ありす,知りませんけど！？
晶葉,そこで、ちょっと味見をしてほしいんだ
フレデリカ,え、食べていいの！？
雪美,動作確認で……一通り作ったけど……食べきれない……
ありす,それならいただきますが……
フレデリカ,最初っから2人で食べるつもりだったの？
晶葉,まさか、本当はキャンディーアイランドの3人に味見を手伝ってもらおうと思ったんだが……
ありす,急用ですか？
雪美,急に……ロケ……
フレデリカ,それはしょうがないねー……
ありす,どこに行ってしまったんですか？
雪美,ガーナ……
ありす,ガーナ！？
晶葉,なんでも、バレンタインだから、チョコを作るためにカカオから取るとか……
ありす,はあ！？。アイドルが！！！。バレンタインだからって！！！。そんなお仕事するわけが！！！！。ないでしょう！！！！！
双葉杏,ﾊｸｼｮﾝ!!!
緒方智絵里,ﾏﾝｼｮﾝ!!!
三村かな子,ｻｶﾅｸｼｮﾝ!!!
智絵里,誰かが私たちのウワサをしてるのかなっ
かな子,ふふっ、そうかもね
杏,まって、2人のくしゃみ、おかしくなかった？
智絵里,ﾃﾞｨｸｿﾝ!!!
かな子,ｼﾞｮﾝｿﾝ!!!
杏,なんで助っ人外国人攻めなの！？言わないよ！？"ｼﾞｬｸｿﾝ!!!"とか！
フレデリカ,味見、双葉・緒方・三村に代わりまして～！宮本～！
晶葉,なんだそれ
ありす,どれを食べればいいんですか？
晶葉,解説なし！？
ありす,でも普通に味は美味しいですね……
晶葉,どうだ？
ありす,いえ、正直、美味しいです。見事ですね
雪美,……
晶葉,雪美、お前、ネーミングしかしてないだろう
雪美,晶葉が褒められると……嬉しい……
晶葉,な……！
フレデリカ,照れてる～？
晶葉,う、うるさい！雪美！早く包装しろ！
フレデリカ,？
ありす,包装……？
雪美,あらかじめ包装しておいたものが……こちら……
晶葉,料理番組！？。ま、まあいい……
雪美,はい、フレデリカ……
フレデリカ,え？
晶葉,私たちからの誕生日プレゼントのチョコだ。……まさか本人に味見をさせることになるとは思わなかったがな
フレデリカ,い、いいの！？
雪美,いつも……遊んでくれて……ありがと……
フレデリカ,ユキミちゃぁぁぁん！！！
雪美,ふふ……あまえんぼう……ね
ありす,……
晶葉,まったく……
フレデリカ,さて！チョコ、美味しかったね～
ありす,まあ、晶葉さんですから、あれくらいは作れるでしょうね
フレデリカ,じゃ、ちょっと運動がてら、外にいこっか！
ありす,ま、まってください
フレデリカ,あれは！
ありす,たくさんの子供と……友紀さんと美波さん？
姫川友紀,うーん、どうしよっか？
新田美波,ううん……
友紀,美波ちゃん、打つ？
美波,ええ！？わ、私は別に……
フレデリカ,おーい！どうかしたの？
美波,あ、2人共、こんにちは
ありす,なにかトラブルですか？
友紀,あのね、今、近所の少年を集めて野球やってたんだ！
ありす,普通に言いますけどあなた20歳ですよね？
フレデリカ,ミナミちゃんも？
美波,ううん、私は見てただけなの
友紀,イヤらしい目で？
美波,ふ、普通に見てました！というか呼んだのは友紀さんですからね！？
友紀,そんで、今、九回ウラ2アウト満塁って場面だったんだけど、バッターの子が足を痛めちゃって……
ありす,……ってことは、文字通りの
フレデリカ,ピンチヒッター、少年に代わりまして～！宮本～！
友紀,おお！フレちゃん、ノリノリだね！
フレデリカ,王貞治の生まれ変わりって呼ばれた実力、見せちゃうよ！！！
美波,王さん、まだご存命なんだけど……
友紀,じゃ、フレちゃんがバッターやるなら、あたしがピッチャーね！
ありす,少年たちが置いてけぼりにされていく……
フレデリカ,よーし！かかってシルブプレ～☆
友紀,じゃ、いくよ！第一球！
フレデリカ,！
ありす,あの審判、クビにできません？
友紀,次は内角低め！
フレデリカ,えいっ！
ありす,直ってる
友紀,ほらほら～2ストライクだよ！
フレデリカ,まだまだ！
友紀,一球、外側に外して……あっ！
ありす,すっぽ抜けですね、あれじゃ敬遠ですよ
美波,キャッチャーさん、取れるかな……
フレデリカ,ええーい！！！
みんな,！？
ありす,な、なんで振ったんですか！？
フレデリカ,急にボールが来たから……
美波,野球なのに！？
フレデリカ,でもでも、当たったよ！
ありす,前に飛ばさなきゃ意味ないんですって
友紀,何か知らないけどラッキー♪
フレデリカ,次～！
友紀,はいよっ！
フレデリカ,えいっ。とりゃっ。そいっ！。よいしょっ！！。とりゃあっ！！！
ありす,……威勢だけじゃないですか！！！
友紀,も～！しつこいな！こうなったら次で決めるよ！
ありす,まあ、投げる方も疲れますよね
友紀,美波ちゃん、アレ、お願い！
美波,え、え！？ほ、ホントに言うの！？
友紀,お願い！
フレデリカ,？
ありす,？
美波,い、1度だけですからね！
友紀,ありがと！
美波,……
友紀,おおおおお！！！燃えてきた！！！
ありす,美波さん、そのために呼ばれたんですか！？
友紀,よし！じゃあラストボール、いくよ！
フレデリカ,ずるい！！！
友紀,へ？
美波,？
ありす,こ、この流れは……
フレデリカ,ターイム！
ありす,なんでこっち向いたんですか
フレデリカ,ありすちゃん！応援して！！
ありす,ええ……
フレデリカ,お願い！ありすちゃんが応援してくれれば、フレちゃんはなーんだってできるんだよ！
ありす,そもそもこんな草野球で……
フレデリカ,お願いだよ～！
ありす,ですが……
美波,……ありすちゃん
ありす,え？み、美波さん？
美波,ありすちゃんは、フレデリカちゃんが喜ぶ姿、見たくない？
ありす,そ、それは……
美波,私もさっきのセリフ、とっても恥ずかしかったの。でも、友紀さんが喜んでるのを見て、どうでもよくなっちゃった
ありす,……
美波,たまには、素直に……ね？
ありす,……
フレデリカ,あーりすちゃーん！
ありす,一度しか……言いませんよ
フレデリカ,！！！
ありす,……
フレデリカ,……うんっ
友紀,お、もういい感じ？待ちわびたよ～
フレデリカ,今のフレちゃんはね、ムテキだよ
友紀,……そっか、じゃ、いくね
フレデリカ,……
友紀,どおりゃぁぁぁ！！！。低めの最高のコース！もらった！
フレデリカ,なんか不思議だねー？ボールがゆーっくりに見えるの！。やっぱり、フレちゃんは1人じゃなーんにもできないなーって！。楽しくって……嬉しいな♪。いや～！飛んだね！
ありす,ど、どこにあんなパワーがあったんですか！？
フレデリカ,うーん、わかんない☆
ありす,なんなんですか……
フレデリカ,今年のドラ1はフレちゃんで決まりだね！
ありす,そうやってすぐ調子に乗る！
フレデリカ,入場曲は何にしよっかな～
ありす,持ち歌でいいじゃないですか
フレデリカ,やっぱりエレファントカシマシかな！宮本だけに！
ありす,伝わりにくっ！
フレデリカ,じゃ、フレちゃんはこっちの道だから～
ありす,あっ……
フレデリカ,でもその前に！はい！
ありす,え？
フレデリカ,なんでポカーンとしてるの？チョコだよチョコ！渡すタイミングがなかなかなくってね！
ありす,わ、私に……？
フレデリカ,ありすちゃん以外だれがいるのさ～
ありす,あ、ありがとう……ございます……
フレデリカ,じゃあフレちゃんはこの辺で！気をつけて帰ってね！家に帰るまでがピンチヒッターだよ！
ありす,私は別にピンチヒッターのお仕事してないですからね！？
フレデリカ,じゃーね！
ありす,あ……
フレデリカ,～♪
ありす,ま、待って！！！
フレデリカ,わ！？そ、そんなに大きな声出してどうしたの！？忘れ物！？
ありす,……
フレデリカ,？
ありす,……こ、これ
フレデリカ,え、えっと？
ありす,……差し上げます
フレデリカ,！！！
ありす,お、おお誕生日とババババレンタインが重なってるようですし？ま、まあついでに何かあげるのも悪くはなかったり思わなくも……。あ……
フレデリカ,いやあ～、嬉しいな～
ありす,いえ、違いますね
フレデリカ,え！？な、何が……！？
ありす,……
フレデリカ,あ、ありすちゃん？？？
ありす,いつもありがとうございます。……フレデリカさんが私のことを考えてくれているの、まあ……伝わってます……し。だから……その……これからも……お、お願いします……
フレデリカ,！！！！！
ありす,ふ、フレデリカさん？
フレデリカ,
ありす,ちょっと！
フレデリカ,
ありす,なに永眠してるんですか！ちょっと！！！！！
