優花里,私のところへそんな連絡は…。え？グループLINE…？。私そんなの招待されてないのですが……。というか皆さんLINEしてたんですね…。私がアカウント聞いても皆インストールしてないって……。あっ、いえどうぞ私にはお構いなく西住殿は行ってください。いえ、泣いてないですよ、大丈夫です。早く行ってあげてください、はい。この袋ですか？これは戦車のプラモデルです。毎年クリスマスはプラモデルを組み立てながら過ごすのが決まりなんです。まあそれ以外に過ごす方法がないのですが…。西住殿のその手の箱は……？プレゼント交換ですか？へ、へぇ……それは楽しそうですね。私結構早い歳からクリスマスのプレゼント貰えなくなっちゃって…それで思い切って自分で自分に贈り物してるんです。このプラモデルがそれなんですよー、結構レア物で自分へのご褒美っていうか。でもやっぱり貰うなら一度でいいからお友達から心がこもったプレゼントを…。あ、ごめんなさいこんな話で足を止めさせてしまって……それではまた来年に……。えっ！？いやいやいいですよ！私招待されてないですもの…！。そんな場所に西住殿に連れられた私が乱入したら変な空気になりますって……。いいですって、私プレゼントも何も持ってませんし！。本当にお構いなく！西住殿はパーティーを楽しんで来てください！。私は戦車達とパーティーなので！それでは！。ただいまー……。お母さん、これ頼まれてたフライドチキン…。私は……いいや、今日はちょっと食欲なくて。部屋に戻るね…。……。うわわわっ！？。な、何ですかびっくりした……あれ！？。西住殿……！五十鈴殿に武部殿と冷泉殿も……！。どうして私の部屋に……？皆さんクリスマスパーティーをしていたのでは……その、私を除いて……。……えっ！？ど、ドッキリぃ！？。ど、ドッキリってどういうことですか、一体全体…。私が毎年寂しいクリスマスを過ごしてた噂を聞いてサプライズを………ですか？。私を最近避けてたのはこれを悟られない為で…。さっき西住殿と遭遇したのはアクシデントで……西住殿は嘘が苦手だから私に少し情報を流してしまったんですね。……って私の部屋にいるってことはお母さんもグルですか！？。……あっ、いや！大丈夫です、こらは悲しくてじゃなくて嬉しい涙で……！。うぅ……よ、良かったですぅ…！私てっきり皆から嫌われたかと……！。それにまさか友達とクリスマスを過ごせるなんて……！。あ、謝るなんてとんでもない！確かにちょっとびっくりはしましたけど、本当に嬉しいんですよ……！。あ……西住殿、それはさっきのプレゼント……。わ、私にだったんですか……！？あ、開けてもよろしいので…？。うわぁ！これは…ボコのマフラー……！それに西住殿の首に巻かれてるそれと色違い…！まさかこれは…！。ぺ、ペアルックですか……！？か、感激ですぅ……！。しかし私は交換用のプレゼントを用意しては……。い、いいのですか…？そんなサプライズだからって私だけ…。……わかりました。皆さんの気持ちとても嬉しいです！。今日は人生で一番幸せなクリスマスです！。お母さん、やっぱりフライドチキン食べる！人数分お願い！。あっ、いや…普段家ではこの話し方で……。もー、笑わないでくださいよー！！。はぁ……今年はあんこうチームの皆さんとクリスマスを過ごせるかと思ってましたが…。西住殿は熊本へ帰り…。冷泉殿はお祖母様と一緒に過ごし…。五十鈴殿は五十鈴流のクリスマス花道ショーなるイベント出演…。武部殿はクリスマスまでに彼氏作れなかったショックで寝込み…。今年も1人になってしまうとは…。例年通りプラモデルを組み立てながらチキンを頬張りましょうかね…。……ん？私をグデーリアンとソウルネームで呼ぶその声は……。エルヴィン殿！おお、しかもドイツ軍の冬仕様のコート着用です！。あ、あははメリークリスマスです……いえ私はその…。じつはあんこうチームの皆さんの都合が合わなくて…。その大量の食料はもしかしてパーティーの食材で…？。えっ、わ、私もですか……！？。い、いいのですか……カバさんチームのパーティーに私なんかが乱入しちゃって…。そう言って貰えれば嬉しいです…！それじゃあお言葉に甘えて…。そうだ、プラモ晩酌用にシャンメリ買ってたんです。皆で飲みましょう！。えっ、サンタコス……？これ私が着るんですかぁ！？。わ、分かりました……招待して頂きましたし、全力で仮装します…！。どうですか？えへへー、いやーなんだかんだ言って楽しいですね仮装は。私何度か潜入捜査で変装をしているので、結構癖になっているのかもしれませんねー。………いえ、どちらかと言うとオットースコルツェニーが連合軍の制服に変装したグライフ作戦ですね。ふふふ、それでは行きましょうか。カバさんチームのお家には初めてお伺いしますね、確か西住殿も一度訪れたことがあったとか…。私がドアを開けるのですか？えっ、サンタの乱入……？。なるほど、クリスマスだからサンタでサプライズですね！カエサル殿達の驚く顔が目に浮かぶようです！。では、不肖秋山サンタが失礼をして…！。メリークリスマース！。……ん？えっ、なぜ皆さん甲冑や火縄銃で臨戦態勢……っていうか驚いてない……？。うわわわわっ！？いたっ！いたたっ！やめてください！サンタにこんな狼藉ー。痛い！プラスチックでも刀は痛いです左衛門佐殿！。助けてエルヴィン殿…、ちょっ、何でモデルガンを……？。うわーー！ひー！四面楚歌ですー！。ふ、ふん縛られてしまいました……何なんですか一体…。一度サンタを捕獲してみたかった……？。サンタだってローマ兵と騎馬兵と海援隊とドイツ兵士に襲われるなんて想定してませんよ！。まさかエルヴィン殿、サンタコスを着せたのは自分がこの役目をするのが嫌だったからで……？。はっはっはっはー！じゃないですよ！！サンタにこんなことしたらプレゼント貰えませんよ！。もうコスチューム脱ぎますからね…、ん？いえ、物を貰ったって私の機嫌は……。こ、これは自衛隊の戦闘糧食……！？。私も申し込みしたのに惜しくも抽選筈てしまった代物です…。いいのですか、こんな貴重なもの……！？。し、仕方ないですねぇ！今回だけですよー！。まさかこんな形でコレクションが増えるとは…！。それにしても部屋の中はなかなか個性的な飾り付けですね…。日独伊の文化が混ざりまくってます……これクリスマスと言えるのでしょうか。というか、結構意外ですね、皆さんがクリスマスを祝うなんて。ほら、ローマ時代や戦国時代や幕末にクリスマスは……？。……えっ？あ、そうですねエルヴィン殿。自分の人生は自分で演出する……。確かに！戦車道と同じで、自分がこうだと思った物がクリスマスになるのですね！。そしてこちらの一角は随分とボロボロですね……地図の裏に書いた聖母を飾って……。もしやこれは…！エルヴィン殿！。やはりですね！では歌いましょうか、ドイツ兵士の気分で！。あれっ？おりょう殿達はご存知ないですか？。これぞスターリングラードの聖母ですよ！流石はエルヴィン殿！。本来3番の歌詞はロシア兵士が歌ってくれるのですが流石にプラウダ高校の方々が乱入するなんて展開は…。ん……？あっ、ま、窓を見てください！。雪が降ってますよ！うわぁ綺麗です…！。ホワイトクリスマスなんて……ロマンチックですねぇ…！。本当に綺麗です……！。……。……それだ！！。え、えへへー、私もどうやら皆さんのノリが伝染っちゃったみたいですね！。それでは皆さん、せっかくのホワイトクリスマスです、楽しみましょう！！。あんこうチームの皆さんもこの同じ雪を見ていればいいのですが…。来年こそはあんこうチームと…。いえ、カバさんチームもカメさんもウサギさんも、戦車道受講者皆で…。皆でクリスマスパーティーをしましょう……！
ダージリン,嬉しいわ……！こんなクリスマスを過ごせるなんて…！。私は幸せ者ね……！。…………。……。お茶……飲みますか…。美味しい……。芳醇で高貴な味が孤独に沁みますわね……。……これを皆で飲めたのなら最高でしたのに……。なんで今日に限って私以外皆予定が……。……こんな格言を知ってる？心の中のクリスマスこそ、クリスマスの雰囲気をかもしだすもの……。……いえ、誰も聞く者がいないのに私は何を……。やはり側にあの子達が言っても格言を言ったところで……。……！ノックが……！？。私は幸せ者ね……！。…………。……。お茶……飲みますか…。美味しい……。芳醇で高貴な味が孤独に沁みますわね……。……これを皆で飲めたのなら最高でしたのに……。なんで今日に限って私以外皆予定が……。……こんな格言を知ってる？心の中のクリスマスこそ、クリスマスの雰囲気をかもしだすもの……。……いえ、誰も聞く者がいないのに私は何を……。やはり側にあの子達が居ないと格言を言ったところで……。……！ノックが……！？。もしかして、私の為に帰ってきてくれて………！。い、今開けるわ……！。もう！帰ってくるなら予め連絡を……！。あっ、風紀委員の……。あ、あぁ、はい、この部屋は戦車道授業の延長で私が生徒会に使用届を……。えっ、7時までだからまだ使うなら延長申請？じゃあ、お願いします…。はい、サインね……、これで……。いえ、気にしないでこの格好は……それじゃ……。………。も、もう正真正銘ヤケクソよ！。えいっ！意味もないのにケーキのロウソク全部火を付けて……！。イルミネーションの光量もMAX！ギラギラでまるでポリゴンショックよ！。よーし隠し芸テーブルクロス引き！一度もやったことないけど！。うっふふふ！想像通り大惨事ね！パンジャンドラムでも突っ込んだ有様！。そして、プレゼント交換で送りつける予定だった超々マイクロセクシーサンタビキニ装着！。エロティックサンタのお通りよ！このままチャーチルに乗り込んで爆走しようかしら！。私、かつてないくらいクリスマスを楽しんでると実感できてる……！。独りでも楽しんでいる……！一人でもこんなに楽しく……！。こんなに……楽しく……！。……ぅ、……ぅぅ。オレンジペコ……アッサム……ローズヒップ……ルクリリ……それに皆……！。どうして私を一人ぼっちにしてしまったの……！。こんな悲しい聖夜なんて……聖夜なんて……！！。ッ！？な、何！？。く、クルセイダー！？どうして窓から突っ込んで……！？。あ、あなた達……。オレンジペコ……、アッサム、ルクリリにローズヒップ……！？。間に合いましたわー！じゃないわ、どうしてあなた達ここに……実家に帰ってるんじゃ……？。予定を全部終わらして速攻で帰ってきた……？。あなた達もしかして私とクリスマスパーティーをする為に……！。……！な、泣いてなんかないわよ…、わ、私は一人でも十分楽しんで…！。ちがっ、この格好はその……！。あ、あなた達の仮装も用意してるのだから早く着替えなさい！私が一度袖を通したものだけど。あ……もう料理が全部ぐちゃぐちゃで……。……そう、他の皆も向かってるのね。じゃあ彼女達にお使いを頼みましょうか。皆……感謝するわ、心からね。私のパーティーはここで終わり。ここからは皆で仕切り直しよ。でもその前に…。こんな格言を知ってる？クリスマスはすべての時をひとつにつなげる日。まさに、今の私達のようね
まほ,気がつけばもうクリスマスか…子供の頃はみほと祝ったりしたが最近はそんなこともない。例年、戦車道の戦略を立てるいつもの夜と変わらないな…
アリサ,たかし……どうしてあの子とクリスマスデートなんて……！！。ありえないわ……このままあの2人が懇ろになるなんて我慢できない……！。ストーキング…いや監視よ監視！不純なことをしてないかを……！
アンチョビ,うーん…まさか今年は一人になってしまうとは……。毎年ドンパチ楽しんでいたのに…
ミカ,クリスマス……それって人生に必要なことかな？
四人,………ん？
まほ,……なんでこんなことに
アリサ,あんた達、クリスマスに一人寂しく歩いているところ見るとどうせ悲惨な独り身でしょ！ぼっち同士でヤケクソクリスマス会よ！！
アンチョビ,とりあえずパスタ頼んでいいかー？
ミカ,……
アンチョビ,ていうかたかしとかいう奴の監視はいいのか？
アリサ,大洗の一年といい、なんでこんなに広まってるのよこの噂…。……さっきめでたくラブホに入っていったのよ。ここから悲しいにも程があるから盗聴も切ったわ
アンチョビ,わーお…
アリサ,私はたかしとのクリスマスLOVEを今まで夢見てやってきた訳だけど……、今更サンダースになんて戻れないわよ。ナオミや隊長に女になって帰ってくるって大口叩いた手前だし……、今日はパーっとやるわ！
まほ,それに我々を巻き込まないでほしいが……
アンチョビ,まあまあ、どうせクリぼっちなのは皆同じだろ。記念日っての複数で盛り上がるのが一番いいんだぞ！
まほ,クリぼっち……？
アリサ,何それ卑猥単語……？
ミカ,クリスマス一人ぼっち…略せばいいってものじゃないよ？
アリサ,それで……？あんた達はどうしてぼっちな訳？私並みに悲惨な話を期待するわ
まほ,私はそちらのような色恋沙汰はそもそも無縁だ。特に何もないいつものクリスマス過ごしてるだけだな
アンチョビ,あれ？黒森峰はクリスマスパーティーはしないのか？戦車道隊員達で
まほ,こんな日くらい個人でそのような催しをやるのは禁止してない。現に今日は何人か集まってるようだ
アリサ,招待とか……されてないの……？
まほ,されてもあまり参加しないな。それが分かってるからか最近は呼びかけられない
アリサ,あなた見た目怖いしね
アンチョビ,うーん、勿体無いぞー。皆でどんちゃん騒ぎほど素晴らしいことはない！
まほ,……そうなのか？
ミカ,……
アンチョビ,当たり前だ！飲んで歌って踊って騒ぐ！心も体も湧き立つ歓喜の舞台だ！
アリサ,私は恋人と素敵な夜を過ごす方がいいと思うけどね…
まほ,あまり考えたことないな……。クリスマスもいつも通り戦車道のことばかり……
アンチョビ,硬い硬い！クリスマスだからこそ、遊ぶものだぞ。最後に羽目を外したのは？
まほ,……覚えてないな
アリサ,呆れた。どんだけ戦車道ジャンキーなのよ
アンチョビ,黒森峰でパーティーをやっているなら、まだ間に合うかもしれないぞ？
まほ,……そういえば、エリカだけはいつでも誘ってくれていたな
アンチョビ,それはいい！今日も待ってるかもしれないな
まほ,……向かった方がいいものかな？
アンチョビ,Siもちろん
ミカ,風に吹かれて足を向けるといい。辿り着い場所こそが、自分の一番行きたかった場所だからね
アリサ,何よ……もうぼっち同盟から一人脱退？
まほ,いや……もう少しお邪魔しようかな、これも何かの縁だ。まだパーティーには間に合うだろう
アリサ,そうこなくっちゃね。それにまだそれぞれ何故ぼっちなのか聞けてないもの。さっきアレだけパーティーの素晴らしさを説いたアンツィオ高校隊長殿は何故聖夜にぼっちなのでしょうかね～？
アンチョビ,うっ……これは痛いな……。し、仕方ないだろ、私だってびっくりなんだから……！。まさか、ウチの子達が……あいつらが……！。全員彼氏を作ってクリスマスデートしてしまうなんて！！
アリサ,はぁぁーー！？
ミカ,……！
アリサ,あの能天気バカアンツィオ生徒が彼氏ぃぃーー！？ありえなぁぁーーい！
アンチョビ,おい、言い過ぎだろ！！事実ではあるがオブラートに包め！
まほ,否定はしないのか…。それにしても、いくらイタリアの文化が根付いているからといってそうも恋愛に自由とは
アンチョビ,いや…恋愛については他の学校とも変わらないと思ってたんだ…。実際去年までこんなことはなかったし…
アリサ,どういう意味？まさか今年になって急に彼氏が出来たとでも？
アンチョビ,そのまさかだ……！クリスマス二週間前になって急に……！。姐さん、私達全員彼氏出来たのでクリスマスパーティー行けません！って！！
アリサまほ,…………
アンチョビ,姐さんとはクリスマスパーティーできません姐さんはぼっちです私達のことは嗅ぎ回らないでくださいクリスマスできるだけ寂しく過ごしていてくださいとか何とか好き勝手言って……！。私は見捨てられてしまったのだぁー！！
アリサ,……どう思う家元さん？
まほ,……おそらくサプライズというやつでは？
アリサ,そうよね……
アンチョビ,こんなに悲しいクリスマスは初めてだ……。その癖さっきから早く学園艦に戻って来てください姐さんとメッセージが……。きっと彼氏と一緒にぼっちの私をバカにするつもりなんだー！
アリサ,アンツィオの子達はもうちょっと上手い騙し方思いつかなかったのかしら
まほ,しかし見事に騙されてる辺り、彼女も立派なアンツィオ生徒と言うべきか
アンチョビ,今日は飲むぞー！食うぞー！奴らのことなんか知るか、お前らと楽しくどんちゃん騒ぎだー！
アリサ,頃合いを見て帰した方が良さそうね
まほ,彼女たちのサプライズを潰さない為にも秘密にしたまま言いくるめて帰すか
アンチョビ,えーい！パスタもういっちょ！カプレーゼも！
アリサ,はー。私以外皆幸せ者じゃない……
まほ,まだ一人残ってるが
アリサ,期待は出来そうにないわよ、分かってるわよ流れと空気くらい
ミカ,……
アリサ,で？あなたはどういった経緯でここに？
ミカ,風に吹かれてやってきただけさ
アリサ,……いつものチビ達がいないってことはあなたもボッチなの？
ミカ,孤独かどうか周りに誰かがいないことじゃない、誰も自分を思ってくれないことなんだ
アリサ,……クリスマスの予定は？
ミカ,いつだって今日という日は昨日とも明日とも遠く離れた特別な日なんだよ？
アリサ,……私をバカにしている？
ミカ,人の評価は当てにならない……自分自身ですら評価なんか出来ないからね
アリサ,こんのおぉぉぉーーー！！ふざけてんの！？
まほ,落ち着け、店の中だ
アリサ,何なのこの世捨て女子高生は！？会話通じないじゃない！パトリオット打ち込んでやりたいわ！！
アンチョビ,パスタ食って落ち着け
アリサ,いらないわよ！！
まほ,一人ぼっちどうかはどうにも判断が付かないな
ミカ,……
アリサ,くぅぅーー…！あ、店員さん！？私のフライドポテトバーベキュー味がまだ来て……えっ？。店内に落ちてた……私達のじゃないかって？
アンチョビ,なんだなんだ？
まほ,携帯電話だな
アリサ,このカラーリングに継続の校章は……。もしかしてあんたの？
ミカ,……
アンチョビ,こんな大事なもの落としちゃ危ないじゃないか
ミカ,……人生に必要なものかな？
アンチョビ,はぁ……？
ミカ,人間は物に執着しないようにしなきゃね
アリサ,断捨離かなんか……？
まほ,物嫌いが極まった形かもしれん
アンチョビ,よく見ると、落とすな！持ち歩いて！というステッカーが貼ってある…
アリサ,チビ達に無理やり持たされては失くすを繰り返してるのね
まほ,通知が来てるぞ
アリサ,早く帰ってきてどこにいるの？ケータイ見て！クリスマスくらい一箇所に留まって！……
アンチョビ,こいつもしかして……
アリサ,ぼっちとか関係なくただフラフラ歩いてただけ……！？
ミカ,……
アリサ,な、何よ……それじゃあ本当のぼっちは私だけじゃない！。皆々帰る場所も待ってくれてる人もいて……！私だけ孤独なんだわぁ～～！！
まほ,そ、その……気の毒だが泣くな……
アンチョビ,そうだ、このドゥーチェもお前と同じ境遇だぞ！
アリサ,うるさい！恵まれた環境の人間からの哀れみなんていらないわぁ！
ミカ,……
アリサ,あんた達皆あったかホームにでも戻るがいいわ！私のことなんて笑いながらね！。たかしも手に入れられない、クリスマスも祝えない、ぼっちの悲しみも共有できない……！。もう私の側には誰もいないんだわ……！
まほ,いや……そんなことはないようだ
アリサ,……へっ？
ケイ,ハーイ、アリサ。可愛い顔が台無しよ？
ナオミ,やれやれ探したよ
アリサ,隊長……ナオミ……！？。どっ、どうしてここに……？
ケイ,実はアリサの恋が気になっちゃって……ストーキングしちゃった。ソーリー！
アリサ,ええっ！？
ナオミ,アリサの恋の行方はチームメンバー一同気にかけててね
ケイ,それにしてもナッシングねあの子
アリサ,た、たかしの彼女のことですか…？
ケイ,NO！あの子は彼女なんかじゃないわ
アリサ,えっ……？
ナオミ,たかしは騙されてたんだよ。あの女は所謂コソ泥。たかしを薬で眠らせて財布を頂くって魂胆
アリサ,い、今時そんな古風な手に引っかかったのたかし……！？
ナオミ,私達が現場を抑えたよ
ケイ,キティーキャットは警察へ。たかしも一応不純異性交遊として生徒会で反省文。良かったわね、アリサ。たかしはあの女で汚れてないし、ライバルも消えたわよ？
アリサ,たかし……！
ナオミ,ここから先はまたアンタの力でたかしを物にするんだね
ケイ,それじゃ懸念は無くなったし、クリスマスパーティーするわよ！
