4話,エマの脱走
ジェリド,いや、それは……。しかしこのままではブリッジにＭＫーⅡが直撃するぞ
カクリコン,なぁに、それで死ぬのはツルピカハゲ丸のバスクとジャマイカン達だ。俺達は死にはしない
ジェリド,まあ、確かに……
カクリコン,バスクやジャマイカンは俺達が必死こいてこいつを止めてるのに、役立たず呼ばわりしてんだぞ？もうついていけねえよ
ジェリド,……確かにあいつらのせいでカミーユとかいうガキの母親を撃っちまったしな……恨みはあるか
カクリコン,よし、じゃあいっせーの
ジェリド,せっ！
春巻,じぇっとすとりーむ！急にスピードが出たホーイ！
カクリコン,悪いな大佐。手がすべっちまった。不可抗力ってやつだ
ジェリド,そうそう。不可抗力ってね。せいぜいブリッジに直撃しないよう祈っておくぜ
バスク,奴らは本気で言ってるのかぁぁあああー！！
オペレーター,ひぃいい！さ、さ、３号機、ブリッジに急接近！！
ジャマイカン,んぉおおおおー！にゃあああああー！！！
バスク・ジャマイカン・春巻,じゅぴとりすー！！
ジェリド,……
カクリコン,……
ジェリド,やべぇ
カクリコン,ＭＫーⅡが爆発してブリッジ直撃どころじゃなかったな……
ジェリド,おい、どうすんだこれ……
カクリコン,このまま他のティターンズの艦に乗せてもらっても極刑を免れそうにもないな……
ジェリド,ああ……。じゃあ俺達もエゥーゴに寝返るか？
カクリコン,そうだな。俺達も白旗掲げてアーガマに行くか……
