未央卯月,さ～さ～の～は～さ～らさら♪
未央,お、正解。いやー、折角の七夕に何にも飾り付けが無いなんて寂しいじゃん？
奈緖,まあ、分からんでも無いけどな。あたしはそんな年でも無いよなって気もするけど
未央,えー、かみやんってば分かってないなぁ。七夕に飾り付けが無いのはダメだよ！
卯月,私はさっき未央ちゃんが飾り付けしてるのを見て、手伝おうかなって
未央,助かったよしまむー！
奈緖,卯月は器用だからな。アレとか
卯月,えへへ……
奈緖,えへへで済むような代物じゃないんだよなぁ
未央,んで、かみやんにお願いなんだけど！
奈緖,おう、なんだ？
未央,しまむーが笹を取ってきてくれるらしいから、その間に飾り付け手伝って欲しいんだ！
奈緖,ああ、そんな事か。別に良いぞ
未央,ありがとかみやん！
卯月,じゃあ私、行ってきますね！
奈緖,気をつけてな
卯月,はい！怪我させないようにがんばります！
奈緖,なんか今、不穏な返事しなかったか！？。全く、卯月は……
未央,それでね、コレなんだけど
奈緖,スルーかよ！
未央,え、何？
奈緖,……いや、何でも無い。こっちの話だ
未央,そう？ならいいけど
奈緖,んで、飾り付けか？見る限り大体終わってると思うんだが
未央,うん、私達で出来る事は大抵やっちゃったんだよね
奈緖,まあ、龍がいるぐらいだしな
未央,それでさっき倉庫の隅っこで、こんな物見つけちゃって
奈緖,えーと、飾り付け用品？
未央,だよね！やっぱそうやって書いてあるよね！
奈緖,中は見てないのか？
未央,こんな面白そうなもの、一人で見るのはもったいないじゃん！
奈緖,まあ、確かに。でも、それなら卯月と見てりゃ良かったんじゃないか？
未央,……
奈緖,……
未央,じゃあ開けてみよっか！
奈緖,お前もしかして中身で物ボケしたいんじゃ無いだろうな！？
未央,まず一番上には～
奈緖,聞けよぉ！
未央,はいこれ、電飾！
奈緖,ええと、クリスマスツリーのやつだな
未央,結構長いんだね、ってあれ？
奈緖,どうしたんだ？
未央,これ、なんか見覚えがあるような気がして……
奈緖,じゃあ、なんかの時に使ってたんじゃ無いか？
未央,ちょっと待って、ここまで来てる、来てるんだよ
奈緖,喉元まで来てるってか
未央,もうちょっとで出るかも……
奈緖,なあ、さっきのもそうだけどそれ明らかに胃の方から上がってきてるよな？ホントに出るのは記憶なんだよな？
未央,うーん、う～ん……、ゴックン
奈緖,おい
未央,よし、次行こう
奈緖,いいのかよそれで……
未央,はい次はこれ！なんか丸い奴！
奈緖,またしてもクリスマスツリー用だな
未央,それにしても何なんだろうね、この丸いのは
奈緖,分かんないなぁ。気についてる丸いのだから……林檎とか
未央,あ～、それっぽいかもね
？？？,奈緖さん、正解です……
奈緖,うん？未央、今何か言ったか？
未央,え？何も？
？？,うぅ……
奈緖,あ、もしかして
未央,ぼののちゃんだ！
乃々,ああ、バレてしまいました……。ついうっかり口が滑って……
奈緖,いや、別に隠れなくてもいいだろ。プロデューサーに追われてるわけでも無いんだし
乃々,いえ……、このままだともりくぼは飾り付けの手伝いさえ出来ないダメな子として、首から札を掛けられて惨めなオブジェにされてしまうと思われるんですけど……
奈緖,そんな事する奴はいねーよ！
乃々,なので、ここはとある情報源から聞き出したお話をする事で見逃してもらうしかありません……
未央,情報？
乃々,はい。実は、奈緖さんがさっき言っていた推理が大正解なんです
奈緖,あの丸いのが、林檎ってやつか？
乃々,その通りです。あれはよく言われる知恵の木の実を指し示しているんです
奈緖,知恵の木の実。ああ、確かに林檎だな
乃々,クリスマスがそもそもにして、キリスト教のお祭りですから……
未央,へえ。それにしてもぼののちゃん、よく知ってるね！
乃々,いえ、その……。クリスマスの時期に、飛鳥さんが物憂げに語っていたので……
奈緖,ああ……。調べてそうだな、飛鳥なら
乃々,ちなみに、そちらの玉はクーゲルというらしいです
未央,くーげる？
乃々,日本語にすると、玉という意味です
未央,そのまんま過ぎない！？
奈緖,あー、そういえばクーゲルシュライバーとか言うもんな、確か
乃々,そういうことです
未央,これもあすあすが言ってたの？
乃々,いえ、これはその時近くに居たプロデューサーさんが言ってました
奈緖,ああ……。調べてそうだよな、あのダメな大人は
乃々,と言うわけで、もりくぼは安息の地を求めて旅に出ます。探さないで下さい
未央,どこ行くの？
奈緖,探すなって相手に行き場所聞くのかよ
乃々,隣の、みくにゃんさんのとこですけど
奈緖,言うのかよ
未央,みくにゃんさんって呼んでるんだ……
乃々,もりくぼが出来る最大限の譲歩と敬意ですから……。それでは
未央,それじゃあ、続きを開けていこうか！
奈緖,って言っても、もうそこまでたいしたものは出てこないだろ
未央,そうだね～、殆どクリスマスの飾り付けっぽいし……、あっ
奈緖,なんだ？何が出た？
未央,門松
奈緖,門松。いや、おかしいだろぉ！？
未央,でもどう見ても、手乗りサイズの門松だよこれ
奈緖,そうか、小さいならまあ……、って納得するかよぉ！何だよ手乗り門松ってぇ！？
未央,う～ん、何の為に作られたかがイマイチ謎ですな……
奈緖,イマイチどころか、全部が謎だろ……
未央,でも御利益ありそうだし、一応飾っておこっか
奈緖,今飾っても絶対無いけどな、御利益
未央,最後にはい！星！
奈緖,クリスマスツリーには欠かせないな
未央,でも、笹の上に飾る物じゃないよねぇ
奈緖,そりゃなぁ。ってか終始クリスマス用だったな
未央,ますます門松の謎が深まるばかりなんだけど……
奈緖,取り敢えず使わなさそうだし、色々戻そうか
未央,門松は？
奈緖,お前が飾るって言ったんだろぉ
未央,あ、いいの？じゃあかみやんの許可も取れたし、折角だから置いとこっか
奈緖,しまった！
未央,クーゲルは？
奈緖,いらねえよ！
未央,じゃあ直しとくね。んで、箱に……
奈緖,何するんだ？マジックなんて持って
未央,ちゃんと書いとかないと、他の人が中身分かんないと思って
奈緖,なるほど
未央,ええと、年末の飾り付け用品(おおよそクリスマス)っと
奈緖,この門松だけ別にすりゃあ良いんじゃないか……？
未央,まあまあ、ここに入れた人が探す羽目になっちゃうかもだし
奈緖,そこまで気が利くなら、もっとあたしにも気を回してくれよ……
未央,しまむー、そろそろ帰ってくるかな？
奈緖,スルーすんなぁ！。うおっ、危なっ
未央,え？ゴフッ！！
卯月,あ、すみません！大丈夫ですか！？
未央,う、う～ん……。お、お腹が……
卯月,ああっ！ごめんなさい未央ちゃん！
奈緖,なんだ、何を持ってきたんだ卯月は
卯月,え？何って、笹ですよ、笹！
奈緖,笹！？いや、でかくないか！？これって竹だろ！？
卯月,いえ、奈緖ちゃん。笹と竹って実はそんなに差は無いんですよ
奈緖,そ、そうなのか？
卯月,はい！見分け方なんですけど、茎の所に皮が残ってるの方が笹で、ツルッとしてる方が竹なんです
奈緖,……皮、付いて無い気がするんだが
卯月,あれ、おかしいですね。もしかして取れちゃったのかも
奈緖,……
卯月,……
奈緖,……他に、見分ける方法は？
卯月,ええとですね、笹はいっぱい枝があるんですけど、竹は節目毎に二本しか生えてないんです！
奈緖,二本だな、生えてるの
卯月,あれ、おかしいですね。もしかして取れちゃったのかも
奈緖,……
卯月,……
奈緖,なあ、これってやっぱりたｋ
卯月,葉っぱ！葉っぱを見れば分かるんです！
奈緖,お、おう。そうなのか
卯月,竹の葉脈はあみだくじみたいになってるんですけど、笹はまっすぐな線になってるんです！
奈緖,どうみても横に脈が入ってるけど
卯月,あれ？おかしいですね。もしかして付いちゃったのかも
奈緖,……
卯月,……
奈緖,いや、付いちゃったのかもじゃ無いだろ！？そんなわけ無いだろぉ！？
卯月,あれー！？
奈緖,どう考えても竹じゃ無いか！
卯月,そ、そうですね……。これ、竹です
奈緖,竹です、じゃ無いだろぉ……。これ、どっから取ってきたんだよぉ……
卯月,プロデューサーさんに聞いたら、敷地内に生えてなかったっけ？って言ってたので……
奈緖,あったって訳か、ウチの敷地内に、竹が
卯月,はい、……竹が
奈緖,……まあ、別に大差無いだろ！な！
卯月,は、はい！そうですよね！
未央,う、うぅん……
奈緖,あ、やべ！忘れてた！おい未央、大丈夫か！？。意識はあるか？頭とか、当たったのは腹だったか、とにかく痛いところは？
未央,……あっ！かみやん！さっきの電飾、かみやんがクリスマスに付けてたやつじゃない！？
奈緖,なんの話だよぉ！
未央,いや、だからさっきの電飾だよ！
奈緖,ああ、あれってあの時の……、じゃなくて！
卯月,未央ちゃん、体は大丈夫なんですか？
未央,へーきへーき！寧ろつっかえてたものが出てきて良い気分だよ！。それで、これがしまむーの持ってきた、笹……。笹？
奈緖,……
卯月,……
未央,え、これ竹なんじゃないの？
奈緖,……
卯月,……
未央,あれ、二人ともどうしたの？
奈緖,あのな、未央
未央,え、何？
奈緖,そのくだりもうやってるから
未央,いや知らないよ！
卯月,未央ちゃん、それ竹なんです
未央,えぇ……？
奈緖,って事だから、竹で我慢してくれ
未央,どういう事なのかはさっぱりだけど、まあいいか。別にそこまでこだわってないし
奈緖,あたし達より冷静だな……
卯月,私達が話し合ってた時間って何だったんでしょう……？
奈緖,気にしたら負けだぞ、卯月
未央,一体何の話してたの……？
奈緖,未央も気にすんな。それで卯月、これどうやって取ってきたんだ？まさか引っこ抜いてきた訳じゃ無いだろ？
卯月,え
未央,えっ
奈緖,おい
卯月,いえ、あの、持って行って良いと言われたので
未央,あ、よく見ると土が付いてる
奈緖,まじか……。竹って確か根っこが凄く強くて、他のと繋がってるんじゃなかったか？
卯月,そうですね、ちょっと重かったです
奈緖,ちょっと重かったって、お前なぁ……
卯月,だから、千切ってきました！
奈緖,千切ったぁ！？
未央,うわぁホントだよ。一番下のとこ、すごい形してるもん
卯月,えへへ
奈緖,いやいや、えへへじゃ……。いや、もうこの話はやめよう
未央,と、取り敢えずこれを立てようか
卯月,分かりました！
奈緖,片手で持ち上げんな
卯月,あ、そう言えば未央ちゃん。さっきの段ボールは何が入ってましたか？
未央,幾つか飾りが入ってたよ。って言っても殆どクリスマス用だったから使えなかったけど
卯月,そうだったんですか
未央,あ、でも一つだけ飾れそうなのがあったかな
卯月,どんなのですか？
未央,門松
卯月,門松。ええ！？門松って、あの門松ですか！？
奈緖,だああ！もう！話が進まねーだろうが！
未央,このくだり、一回やったからね……
奈緖,とにかく！後は短冊だけなんだよな！？
未央,そ、そうだね
奈緖,ならさっさと書こう！な！？
楓,笹にさっさと掛けましょう♪
奈緖,おわぁ！？
未央,あ、楓さん
楓,部屋から声が聞こえたので、ふらっと寄っちゃいました
奈緖,それはいいけど、急に後ろから声かけんのはやめてくんねえかな！
楓,あら、ごめんなさいね奈緖ちゃん。ふらっと酔っちゃったもので
奈緖,上手くねえよ！
楓,え？美味しかったですよ？
奈緖,そうじゃねえ！！。どうぞ、楓さん
楓,短冊にお願い事を書くなんて、子供の時以来かもしれませんね
未央,そうなの？楓さんこう言うイベントって結構好きなイメージだけど
楓,イベントは好きなんですけど、短冊は子供向けな気がして……
卯月,そうですか？
奈緖,まあ、人それぞれだろ
楓,だから七夕はいつも、夜空いっぱいに広がる星を見ながら一杯頂くんです
奈緖,いやそれ、いつも通りな気が……
楓,そんな！全く気分が違うんですよ！
未央,風情ってのがありますからなぁ
楓,いえ、イベントがあるとこう、お酒を飲んでも怒られないんですよ
奈緖,ただ免罪符にしてるだけだよなぁ！？
未央,星も短冊もそっちのけだよね
楓,まあでも、折角ですし何か書かせてもらおうかしら
卯月,何て書くんですか？
楓,もっとお酒が飲めますようにっと
奈緖,これ以上望むな！
未央,織姫様もびっくりだね
楓,いいじゃありませんか。ここで本気のお願い事をされても、織姫様は困ってしまうでしょう？
卯月,まあ、そう言われるとそんな気がしますけど
楓,とにかく、私のはこれと言う事で♪
奈緖,ああ、本当に飾ってるよ
楓,師匠が失笑、ですね
奈緖,その呼び方はやめろ
未央,ほら、かみやんも書きなよ！
奈緖,ああ、後で書くよ
加蓮,とか言って、見られるのが恥ずかしいんでしょ？
奈緖,そ、そんなんじゃないって！
卯月,私は書けましたよ！
未央,お、早いね－！何て書いたの？
卯月,私の笑顔がもっと色んな人に届けられますようにです！
凛,ふふっ、卯月らしいね
未央,じゃあ私は、もっと色んな場所で輝けますようにっと
卯月,色んな場所ですか？
未央,うん！今までにやった事無い事でも、どんどん挑戦していこうかなって！
凛,未央は……、いつも通り、かな？
未央,ちょっとしぶりん、なんで私はそんな言い方なのさ！
凛,ごめんごめん、悪気は無いんだってば
奈緖,っつーか凛と加蓮もこっち来たんだな
加蓮,まあ、楽しそうだったし？それに一通りボケも終わったかなって♪
奈緖,なんて理由だ……
未央,しぶりんの短冊は、卯月と未央ちゃんの二人とずっと一緒にいられますようにって書いておくからね！
凛,えっちょっと待って、それ本当に飾るつもりじゃないよね？
卯月,いいじゃないですか凛ちゃん、すっごく凛ちゃんらしいですよ？
凛,私らしいも何も、私が書いてないんだけど！？
未央,この辺に掛けとけば良いかな～
凛,待って待って未央、せめて目立たない所にして！
加蓮,あははっ、珍しく凛が焦ってる
奈緖,お前なぁ……。んで、加蓮は何て書いたんだ？
加蓮,え？奈緖のお小言がもう少し減りますようにだけど？
奈緖,それ短冊に書くような事じゃ無いだろぉ！？
加蓮,そうかな？真面目過ぎなくてふざけ過ぎてない、丁度良いぐらいのお願いだと思うけどな～？
奈緖,冗談が過ぎるぞ……
加蓮,あはははっ、そうだね、流石に冗談だよ
奈緖,ならその握って捨てた短冊広げてみろよ
加蓮,ホントに冗談だって。飾り付けるのはこっちの短冊
奈緖,えっと、明日がもっと楽しくなりますようにか
加蓮,そ。まあ今でも充分楽しいんだけどね？
奈緖,そのお願いで割を食うのはあたしなんだけどな……
加蓮,それで結局、奈緖は何て書くの？
奈緖,そうだなぁ。実際の話、まだ全然思いつかなくてさ
加蓮,この時期に髪が爆発しませんように、とか？
奈緖,いや、それこそ願われても困るだろ……
P,眉毛が綺麗に整いますように、とかか？
奈緖,どわぁ！ぷ、プロデューサー！？
P,おう、プロデューサーだぞ
奈緖,加蓮もそうだけど、急に後ろに現れんなって！あと眉毛はほっとけ！！
P,そうか、悪いな……って、うん？
加蓮,どうしたの、プロデューサー？
P,いや、気のせいかな。あれ？
奈緖,何だよ、言ってみろよ
P,いやぁ、あの短冊掛けてる奴あるじゃん
奈緖,……
加蓮,うん、それが何？
P,あれって竹じゃ
奈緖,それはもういいよ！！
P,何だもういいって！？
奈緖,三回目なんだよ！ってかアレを持ってこさせたのはプロデューサーだろぉ！？
P,……。あ、そう言えば……
加蓮,何？あれプロデューサーが用意したの？
P,いや、卯月が欲しいって言うから勝手に取ってけとは言ったけど
奈緖,それがアレなんだけどな
P,マジかよ……。普通あれを持ってけって言われたら、枝のとこだけ切って取ってくと思うだろ？
奈緖,そうだな。普通の女の子ならそうだな
加蓮,卯月は普通の女の子だよ？
奈緖,普通の女の子が竹を根っこから引きちぎってたまるかぁ
P,ま、まあいいじゃないか。それよりほら、奈緖も短冊掛けてこいよ
奈緖,無理矢理流しやがって……。ほら
P,うん？なんだ、俺にも書けってのか？
奈緖,あたしらだけお願いするってのも変だろ。どうせ他の部署にも声かけて飾るんだしさ
P,確かに、これをウチだけに置いとくのももったいないな。よし、書けたぞ
奈緖,早いな、プロデューサー
P,まあな
奈緖,ええと、皆のお願い事が叶いますようにって、そんなお願いでいいのか？
P,いいじゃないかこれで。俺は皆が楽しそうにしてればそれでいいんだよ
加蓮,さっすがプロデューサー、格好いい！という訳で、私のお願い叶えて♪
P,うん？ポテトを山盛り食べたい？おい加蓮、これ今書いただろ！
加蓮,だってプロデューサーが叶えてくれるって言ったから～
P,願っちゃいるが、叶えるとは言ってねぇ！
奈緖,全く、加蓮もぶれないな。……うん、やっぱこれだな
P,お、奈緖も書けたのか？
奈緖,ああ、こんな日々が続きますようにってな
P,何だ何だ、お前も主人公に目覚めたのか？
奈緖,人を中二病みたいに言うな。別に、これぐらいのお願いがあたしの身の丈に合ってるんだよ
P,そうか。ま、お前がそう思うなら多分そうなのかもな
奈緖,何だよ、悪いかよ
P,いや、奈緖らしくていいなってさ
奈緖,な、なんだよ。……って、結局門松も飾ったのかよぉ！！
