ナレーション,双海亜美
伊織,意味はわからないけれど、客観的にはその言葉におかしな点はないわね
律子,でしょう。よし、データ収集よ
Ｐ,そうじゃない、美希。そこはもっとぬしゅぱあっと踊るんだ
美希,ぬしゅぱあっ？
Ｐ,そうだ。今の美希の踊りじゃあ、視てる人はぬぱあという印象しか持たない。ぬぱあではない、もっとぬしゅぱあっだ
美希,よくわからないけど、わかったの
春香,私はどうですか？
Ｐ,今日の春香はいいぞ！良いと思い始めたら、春香の何もかもが良く見えてきた
春香,えへへ。ほんとですか
Ｐ,欲を言えば、歌い終わりの足運びをめたぁからめたっにするとなお良い
春香,わかりました！
律子,……なんでわかるのよ、あれ
亜美,来る途中で、ミキミキもはるるんも兄ちゃんのマンガを読んでたからだと思うな→
律子,そんなんでわかるもんなの！？
あずさ,でもほら～
Ｐ,ほらほら２人とも！みゅきんだ！みゅきんを忘れるな！！。おー。おはよう律子
律子,おはようございます。今日は早いですね
Ｐ,ん？いや、毎日こんなもんだが
律子,え？
Ｐ,業務前に、仕事のイメージをしつつ読むマンガは、最高だ
律子,……よくそんなもので、仕事ができますね
Ｐ,んん？いや、マンガってのは馬鹿にできないぞ。今も、素晴らしいアイディアを思いついた
律子,別に聞きたくありませんから
Ｐ,昨日、春香にバラエティでのツッコミで相談を受けてな
律子,興味ありません
Ｐ,そこで思い出したのが、このダイの大冒険だ！
律子,知りません
Ｐ,大魔王バーンの必殺技から、春香の為に編み出したのが天地無用の構えだ！！
律子,私、仕事があるので
Ｐ,なんと、１つのボケに対し３つの超ツッコミを同時に返すという……
律子,プロデューサー！
Ｐ,え？
律子,今、忙しいので。失礼します
Ｐ,あ、ああ。悪かったな、なんか律子が来てくれて、はしゃいじゃって
律子,……
Ｐ,２人っきりって、珍しいじゃないか
律子,……そうですか？
Ｐ,あ、あのさ。今度、良かったら……
律子,な、なんで……す？
Ｐ,その、律子が良かったら……
響,はいさーい！今日は早起きしたから、自主トレに来たぞー！
Ｐ,！
律子,！
響,な、なんだ？どうかしたのか２人とも
Ｐ,い、いやー響があんまり練習熱心だから、驚いたんだよ。な、なあ、律子
律子,え？あ、ああ。そ、そうですね
響,？律子、なんか変だぞ
律子,へ、変ってどこが？
響,いや、なんとなくだけどー……
Ｐ,それより、自主トレだろ？付き合ってやるから、レッスンルームに行くか
響,ええっ！？こんな早くから自分に付き合ってくれるのか？
Ｐ,がんばっている娘は、応援したくなるからな。じゃ、じゃあ律子、俺は響に付き合ってるから
律子,わ、わかりました。はあー。な、なんだったんだろう。さっきのあのドキドキは。これもデータの一環か……それにしても、プロデューサーは何を言おうとしたんだろう？
亜美,りっちゃん、どうかしたの？
律子,え？なによ亜美、急に
亜美,りっちゃん元気ないみたいだから
律子,そんな風に見える？
亜美,うん。なんかあったの？
律子,別に……亜美に言われるまで、自覚も無かったわよ
伊織,もしかして、この間言っていた分析の為のデータの事？
亜美,あれ？急にりっちゃん元気になった
律子,え？
あずさ,ほんとね～。顔色が良くなってきたわよ～
律子,ええ？。さあさあ！帰るわよ、あんたたち
伊織,そう言わないの
Ｐ,はい！ありがとうございます。はい、よろしく
律子,帰りましたよー
Ｐ,お帰り
あずさ,今の電話、またお仕事ですか～？
Ｐ,ええ。春香にアニメの主題歌と、声の出演依頼です
律子,またアニメですか
Ｐ,そう言うなよ。今や海外でも高く評価されているジャパニメーションだぞ。メディア展開されれば、春香のファンも増える！
亜美,なんてアニメなの→？
Ｐ,おとめ妖怪ばくろだ！半妖、つまり人間と妖怪のハーフである主人公ばくろが、人間社会の建前や欺瞞を本音で暴露していく痛快アクションストーリーだ
律子,説明されても、全くわかりません
Ｐ,さあ！これから忙しくなるぞ……できたら、ウチの事務所からもう何人か声で出演させられたら……夢が膨らむなあ
律子,……聞いてないわね
亜美,りっちゃんが、不機嫌だよ→
伊織,ほっときなさい。元気が無いよりいいでしょ
Ｐ,いいぞ春香。疑惑を追及する、その感情を歌に込めるんだ
やよい,うっうー！プロデューサー、私も声で出演するんですかー？
Ｐ,ああ。なんだかんだで、スケジュール調整の難しい竜宮小町以外のウチのアイドルは、全員どこかの回に出てもらうからな
千早,私もですか？
Ｐ,ああ。声だけとはいえ、がんばってもらうぞ
千早,まあ、なんでもいいですけど……
あずさ,声、かけないんですか～？
律子,あずささん……いいです。モテた事とか、あんまりなさそうよね。いや、もしかして意外に……？。放っておけなくなっちゃう時があるのよね、年上なのに。そこは尊敬できるわ。うん。結構、細かいのよね。でも、みみっちいことは言わないし
Ｐ,ん？なに書いてんだ、律子
律子,これは今、対象者のデータ整理を……
Ｐ,対象者？
律子,ぷ、ぷぷぷ、プロデューサー！？いつからそこに？
Ｐ,いや、今来た所だけど。その対象者って……
律子,な、ななな、なんでもありません！な、なにか用ですか！？
Ｐ,ああ。この間、言ってた事だけどな。ちょっと訂正しとこうと思って……
律子,この間……？
Ｐ,あ、あのさ。今度、良かったら……。ほらこの間は俺、マンガだけじゃない！アニメもゲームもなんでもいけるぞ！！って言ったじゃないか
律子,へ？ええ？
Ｐ,あの後、よーく考えたら俺、マンガとアニメとゲームだけじゃ無かったわ。特撮！
律子,……は？
Ｐ,特撮だよ、特撮！俺、特撮も大好きだったんだわ！！
律子,はああ！？
Ｐ,それ、訂正しとかないとな。いやー、俺がマンガとアニメとゲームだけの男だと思われてたら心外じゃない？
律子,……そんな
Ｐ,律子？
律子,……そんな……そんなデータは……いらないわよおっ！！！
Ｐ,うぎゃあああぁぁぁーーー！！！
小鳥,随分、楽しそうでしたね律子さん？
律子,いろいろとデータを集めていたのに、邪魔されて
小鳥,これですか？へー性格の分析ですか？
律子,ちょ、小鳥さん！
小鳥,性格といえばですね、この間みんなで心理ゲームやったんですよ
律子,返してくだ……え？心理ゲーム？
小鳥,ええ。それがですね……
春香,あれ、小鳥さんそれなんの本です？
小鳥,これはね、ゲーム感覚で質問に答える事でその人の深層心理が解明できる、心理ゲームの本なのよ
響,深層心理？なんだか面白そうだぞ
真,ボクもちょっとやってみたいです。ね、雪歩
雪歩,そ、そうだね……ちょっと興味、あるかも
小鳥,そうね。ちょうど今日はみんないるし、みんなで一緒にやってみましょうか
あずさ,あらあら～なんだか面白そうね～
貴音,興味深いですね
小鳥,じゃあいくわよ
春香,うーん、１年？
千早,海って広いのよね。誰にも見つけられない……という答えもありかしら？
伊織,この間の震災の漂着物が、最近北米に流れ着いているのよね。だから１年半ぐらいかしら
やよい,一週間ぐらいかなーって
あずさ,私は翌日には誰かが見つけてくれると思うわ～
真,石の上にも三年で、３年！
雪歩,わ、私も千早ちゃんと一緒で見つけてもらえなかったり、見つけられても開けてもらえない気がしますぅ
真美,一週間！
亜美,３日！
貴音,十年ぐらいはかかるのではないでしょうか……
美希,ならミキは２０年なの
響,あれって結構流れ着くんだぞ。ひと月のうちには、誰か見つけるさー
小鳥,じゃあこの質問に対する答えよ
千早,……
雪歩,ううぅ
真,ま、まあまあ雪歩。あくまでゲームだから
貴音,美希、見つかるとした中では一番長い期間ですね
美希,ミキは絶対ハニーと結ばれるの。だから、次の恋とか考える必要ないの
春香,へ、へー
真美,逆に一番短いのは→
亜美,あずさお姉ちゃんだYO！
あずさ,あらあら～
響,小鳥、次の問題が気になるぞ
小鳥,はいはい。じゃあ次にいくわよ
春香,テレビはあきらめて、友達に電話でもします
千早,音楽を聴くわね
やよい,家にひとりってあんまり想像できないんですけどー。もしそうなったら、家事をしてますー
真,筋トレ、かなあ
貴音,爺に相談してみます
美希,寝るの
あずさ,優しくお願いしたら、直らないかしらねえ～
伊織,新しいのを持ってこさせるわ
雪歩,お父さんを呼んで相談しますぅ
真美,叩く！真美パンチ！
亜美,蹴る！亜美キック！
響,自分完璧だからな、直せるかもしれないからバラバラにしてみるぞ
小鳥,じゃあ質問に対する答えよ
春香,確かに……
千早,そうかも知れないわね……
貴音,やよいと美希は、あまり動じていませんね
やよい,うっうー
真,真美と亜美が、意外にバイオレンスだね
亜美,う→ん、でもある意味ゆきぴょんが一番バイオレンスなんじゃ→
真美,そ→そ→
雪歩,？どうして？
美希,ミキは、響の答えが一番怖いの
伊織,猟奇なのはちょっとね……私でもひくわ
響,なにさー！
小鳥,はいはい、次にいくわね
春香,うーん、友達だからやっぱりちゃんとゴメンって言って食べないですね。まだ口をつけてないなら、もらってもらうとか
千早,栄養の摂取ですから、我慢して食べます
響,家族の動物にわけてやるぞ！
伊織,文句言って返すわよ。なんで私が無理して食べなきゃいけないのよ
やよい,私、嫌いな食べ物ってないですー！
雪歩,お、お皿に入れたままにしておきますぅ
真,気合いで食べる！
亜美,真美にパス
真美,亜美に押しつける
貴音,意外なる美味が隠されているやも知れません。とりあえず食してみます
あずさ,ごめんなさい、って言ってお返しするわね～
美希,他の人のお皿に入れちゃうの
小鳥,じゃあ回答ね
春香,これって、例えば千早ちゃんみたいに我慢して食べるという答えはどうなっちゃうの？
小鳥,我慢して付き合う、って事になるわね
あずさ,あらあら～千早ちゃん、意外に押しに弱いのかしら～
千早,そ、そんなことは！
真,これ春香は、ちゃんとごめんなさいと言って断るけど、友達に紹介しちゃうってこと？
小鳥,そうなるわね。ある意味、相手に優しいとも言えるけど……
貴音,かえって殿方を傷つけるやも知れませんね
春香,や、別に私もそんなつもりで答えたわけじゃ……
小鳥,まあゲームだから。あんまり深刻に考えなくても大丈夫よ
千早,萩原さんの、お皿に入れたままというのは？
小鳥,お返事しないまま放置、かな？聞かなかった事にしちゃう感じ
真,ある意味、雪歩らしいね。断れないとか
亜美,じゃ→じゃ→亜美達みたく、他の人にあげちゃうのは？やっぱはるるんと同じ？
小鳥,そうね。別の娘に、紹介しちゃう感じね
律子,へえ。面白そうですね
小鳥,ちなみに律子さんは？
律子,え？
小鳥,ほら、嫌いな物をお皿に取り分けられちゃったらどうするんですか？
律子,私は……私は、ハッキリと嫌いだからと言って断ります。食べませんね
小鳥,なるほどなるほど。それで、ですね
律子,？なんですか？
小鳥,今の質問を、プロデューサーさんにもしてみたいんですよ
律子,は、はあっ！？
小鳥,みんなも興味津々で。どうです？律子さん？
律子,な、なんでそれを私に聞くんですか。聞いたらいいんじゃないですか
小鳥,ふふ、そうですね。じゃあ、結果は後で報告しますから
律子,要りませんよ、別に
小鳥,これもデータですよ？
律子,……
春香,小鳥さんっ！どうでしたか？
小鳥,おはよう、春香ちゃん。なんだったかしら？
雪歩,おはようですぅ。ぷ、プロデューサーの心理ゲームですよ。聞いてみたんですか？
小鳥,聞いたわよー。実に意外な答えが得られました
春香,き、聞かせてください！
雪歩,お願いしますぅ
小鳥,はいはい。ええとね……
Ｐ,え？なんですか、その質問
小鳥,まあ、お遊びみたいなものですよ。それで？プロデューサーさんはどう思います？
Ｐ,んー実は俺、前にやったことあるんですよね
小鳥,そうなんですか？
Ｐ,ボトルメールが流行った事あって。でも俺の周り、誰も返事が来なかったんですよ
小鳥,実経験ありなんですか
Ｐ,よってこの回答は、いつになっても返ってこない……ってことで
春香,うう、プロデューサーさん一途なんですね
律子,いや話を聞く限り、今のは心理とは関係ないんじゃ
雪歩,別れてもその人だけを想い続ける……素敵ですぅ
律子,……素敵？
Ｐ,これは……痛いですね
小鳥,そうなんですか？
Ｐ,自宅でのリフレッシュタイム。アニメと特撮のスーパーお楽しみ時間ですよ？これ無くして、仕事だってがんばれないでしょう！？
小鳥,よ、予想外のアツい反応ピヨ！
Ｐ,そうですね……もし本当にそんな事があったら……
小鳥,あったら……
Ｐ,泣きますね
小鳥,え？
Ｐ,ちょっと平静でいられる自信がありません。きっと、泣いて……泣き叫んで……
小鳥,そこまで！？
Ｐ,捨てられた猫みたいに、どしゃ降りの雨の中を街をさまよって……
小鳥,ええ？
Ｐ,肩のぶつかった酔っぱらいのヤンキーとケンカして、ボロボロにされて……
小鳥,そ、そんな……
Ｐ,２人組の女性に、眉を顰めながら指をさされてヒソヒソと何かを言われて……俺は狂ったように笑いながら泣き続けるんです……
小鳥,ど、ドラマティックですピヨ！
春香,プロデューサーさん、可哀想……
律子,いやいやいや、騙されちゃダメよ。アニメ視られないだけでそんな醜態を晒す男ってどうなのよ
雪歩,恋人と別れて自暴自棄に……もしも私が恋人だったら、絶対にプロデューサーにそんな思いは……
律子,こ、恋人って、雪歩！？
小鳥,まあまあ律子さん。もしも恋人だったら、っていうお話ですから
Ｐ,つまりグリンピースとかを、皿に入れられちゃったって事ですよね
小鳥,それがプロデューサーさんの嫌いな物なら、そうですね
Ｐ,それは無理ですね！
小鳥,え？それはつまり
Ｐ,ハッキリキッパリ、お断りします
小鳥,そうなんですね。でも……でもですよ
Ｐ,なんですか？
小鳥,たとえば接待の席、営業相手のテレビ界の大物とかが相手でも同じ事を？
Ｐ,無論です！たとえどんな相手からの接待であろうとも、グリンピースを食べるなんて、無理ですから！
小鳥,そうなんですね。でも……でもですよ
Ｐ,今度はなんですか？
小鳥,たとえば事務所でみんなで打ち上げとかの場で、事務所のみんなが相手でも同じ事を？
Ｐ,！
小鳥,春香ちゃんが、笑顔で……取り分けてくれたら……
Ｐ,ぐ、ぐぬぬ……そ、それは……食べるしか……
小鳥,雪歩ちゃん、プロデューサーさんが食べてくれなかったら、泣いちゃうかも……
Ｐ,そ、それも食べるしか……
小鳥,律子さんが、いかにもそっけなく、それでいて真っ赤になりながら取り分けてくれたら……
Ｐ,あー食べます食べます。それは食べる
律子,……
春香,えーと、それってつまり……
雪歩,大嫌いな相手でも、私達が紹介したら無理をしてでもがんばって食べ……お付き合いするって事ですか？
小鳥,そうなるわよね。はい、はい、承っております。はい、お待ちいただけますか。プロデューサーさん！876プロから紹介のあった……
一同,！！！
小鳥,お仕事の件でお電話です
一同,……ふぅ
Ｐ,はーい！あ、お世話になっております。ええ、はい。え？本当ですか！？
春香,またお仕事かな？しかもあの嬉しそうな雰囲気だと
亜美,またアニメとかの、お仕事とみた！
Ｐ,響！貴音！仕事だぞ！！それもお面ライダーだ！！！
雪歩,お面……？
真美,ちいっ！特撮だったか→。亜美、ざ→んねん
亜美,無念
響,お面ライダー？それってどんな番組なんだー？
Ｐ,特撮ヒーローものの、三巨頭の一角だ。お面をかぶったヒーローが正義のために戦う！今回は新シリーズお面ライダークウガ！
貴音,食うか？はて、なんとも面妖な
Ｐ,シリーズ初の女性主人公だぞ、響！
響,ええっ！じ、自分が主役なのか？
Ｐ,謎の生命体グロンギ族と、アイドル対決をしていく番組だ！
響,？アイドル……対決？
真美,ええ→！？ひびきん、戦うんじゃないNO→？
Ｐ,戦うさ！ただしアイドルとしてな
亜美,？？？
Ｐ,グロンギ族は、リント……つまり我々人間を、決められたルールに基づいてファンとして獲得していく。これをゲゲルと呼ぶ
雪歩,ゲゲル、ですか？
Ｐ,グロンギはゲゲルの前に、時間と獲得ファン数を決められる。８週で２０００人という風にな。それが達成できれば、ランクが上がって称号が変わる
千早,なんだか……アイドル活動と一緒ですね
Ｐ,ああ。響はクウガにとして、そのグロンギとアイドルとして対決していく
貴音,それでわたくしは？
Ｐ,貴音はグロンギでゲゲルを取り仕切る謎の女腹にタトゥーの女として、出演してもらう
貴音,ゴババグギダ、ササレンダデダギ
響,だから見ててくれー！自分の、衣装！！
律子,……
亜美,も→またりっちゃんが元気ないYO→
伊織,原因はなんなのよ
あずさ,もしかして～
亜美,なになに？なんなの？
あずさ,ん～やっぱり違うかも～
伊織,？
あずさ,今日は私、律子さんにお説教をしますね
律子,え？
あずさ,今は事務所のみんなが上り調子です。大事な時です
律子,そ、それはもちろんわかってますよ
あずさ,でも今日、亜美ちゃんも伊織ちゃんも、律子さんを心配してお仕事に集中できていませんでしたよ
律子,ええ？
あずさ,やっぱり気づいてなかったのね
律子,本当なんですか？
あずさ,本当よ。二人はまだまだ中学生だし、そういうのも仕方ないですよね。だから、少なくとも私達は気をつけないと
律子,なんでかしら。私、そんなにぼーっとしてました？
あずさ,顔に書いてありましたよ。プロデューサーと、会えなくて寂しいって
律子,な、なっなな、な
あずさ,お顔、真っ赤ですよ？
律子,そ、そそそ、それじゃまるで、私がプロデューサーのことを好きみたいじゃないですか！？
あずさ,あらあら～？
律子,な、なんですか？
あずさ,違うのかしら～？。私もプロデューサーさんのこと、好きですよ
律子,す、好き？あずささんが、プロデューサーの事を好き！？
あずさ,プロデューサーさんが、私の運命の人だったらな～と思います。律子さん、大丈夫！？
律子,え、ええ。ごめんなさい、立ち眩みかしら
あずさ,……またそうやって～
律子,え？
あずさ,いいかげん、自分の気持ちに気がついてください
律子,私がプロデューサーの事を、好き……だっていうんですか？
あずさ,顔、赤いわよ～？
律子,！そ、そんな
あずさ,でもいい表情よ～。正直、律子さんはものすごいライバルだけど～。でも、大好きな仲間だから
律子,ありがとうございます。でも、正直まだよくわかりません
あずさ,ふう、困ったわね～。でも、よく考えて欲しいの
律子,……はい。はあ……。好きだから……気になってたんだ
Ｐ,なんの事だ？
律子,だから私が……ぷ、プロデューサー！？
Ｐ,？ああ
律子,か、帰ったなら声をまずかけてください！！
Ｐ,いや、かけたんだけど
律子,え？
Ｐ,なんか考えごとしてるみたいで
律子,す、すみません！
Ｐ,いいよ、別に。また仕事の事だろ。実は俺も、またまた新しい仕事、ゲットしちゃったんだよねー
律子,ま、またアニメですか？それともゲームで、ですか？
Ｐ,ふぅふぅふぅふぅ、今度は有名推理小説の映画化だ
律子,！それってまさか……
Ｐ,容疑者Ｘの変身だ！！！
律子,決まったんですか！？あの企画！！
Ｐ,ああ、765プロのオールキャストでいくぞ！主役は雪歩と真だが、竜宮小町のメンバーも出演してもらうからな
律子,はい！。あ……
Ｐ,あ！ご、ごめ……
律子,い、いいえ
Ｐ,律子の手、暖かいな
律子,そ、そうですか？プロデューサーの手もですよ
Ｐ,あ、ありがと
律子,……いいえ
Ｐ,怒らないんだな、律子
律子,え？
Ｐ,触れられたりしたら、怒るかと……思った
律子,そりゃ、いきなり触られたら……怒りますよ？
Ｐ,律子、怒ってない
律子,え？
Ｐ,今、怒ってないだろ？
律子,怒ってはない、ですけど……
Ｐ,けど？
律子,……なんでもありません
Ｐ,じゃ、じゃあもうちょっと先へ進んでも……怒らない、か？
律子,へえ？
Ｐ,律子、怒ってない？
律子,こんなことして……怒ってますよ！
Ｐ,……ごめん
律子,ぷっ、くくくっ
Ｐ,あれ？律子、怒って……
律子,あはは、あはははは
Ｐ,な、なんだよ……本気で怒ったのかと思ったじゃないかよー
律子,あはは。あら、怒ってないなんて言ってはないわよ
Ｐ,やっぱり……
律子,あら、なに？
Ｐ,綺麗だな、律子
律子,ふえ、え？
Ｐ,あー……お、俺さ。前から律子って美人で、性格もその……はっきりしてて好きだなーって
律子,……うそ
Ｐ,いや、いやいやいや、ほんとほんと。ずっと好きだったんだって！
律子,……うそじゃないにしても、軽過ぎません？
Ｐ,今なら……言えるかな、って思ったからさ。それで、どう？
律子,どう、って？
Ｐ,律子は、俺のこと……どう思う？
律子,……
Ｐ,あ、いや、あの、答えはさ、今じゃなくてもいいから
律子,え？あ、はい
Ｐ,考えてみて、くれるか？
律子,わかりました。それじゃあ、私はこれで
Ｐ,ああ……また明日な
律子,告白……されちゃった。どうなのよ？私。なによ、その顔……。私はプロデューサー殿が好きで、その好きな人から告白……されちゃった。返事……どうしよう。はあ……。どうしたらいいのよ……。おはようございます
Ｐ,あ、ああ。おはよう……
律子,昨日の話ですけど
Ｐ,え？あ、ああ
律子,私もその、プロデューサー殿が好き、みたいです
Ｐ,みたい？
律子,いえ、好き……です
Ｐ,！
律子,それでですね、色々と考えたんですけ……
Ｐ,うおおおぉぉぉーーーっっっ！！！
律子,え？な、なに！？
Ｐ,やったー！やったやった！！やったぞーーー！！！
律子,でも聞いて下さい、プロデューサー。私達、おおっぴらに付き合うというか、交際はできませんよ
Ｐ,……え？
律子,私達、付き合うにしても誰にも内緒でこっそりとしないと
Ｐ,なんで……なんでだよ！？
律子,プロデューサー殿は、事務所のアイドル全員から好かれています。私達がおおっぴらに付き合ったりしたら、みんなの士気に関わります
Ｐ,え？
律子,みんな今、大事な時期です。私達の個人的な感情やつき合いで、彼女達の夢や努力を無にするわけにはいかないんです
Ｐ,いや、ちょっと待ってくれ。それ……ほんと？
律子,どうしてプロデューサー殿は、そう鈍いんですか！？
Ｐ,伊織とか、けっこう俺に厳しいし
律子,あれは照れてるんです
Ｐ,千早はそっけないぞ
律子,千早は自制心が強いですから
Ｐ,雪歩もいまだに、オドオドしてるし
律子,恥ずかしがってるんです。怖がってるのとは違います
Ｐ,んー……
律子,いいかげん、わかってください
Ｐ,律子の勘違いじゃね？
律子,わかってください！お願いしますから！！
Ｐ,でもさー。俺、今までそんな女性にモテた事なんてないぞ？
律子,今はモテてるんです！！！
Ｐ,まあ……律子がそういうなら、そこは認める事にするよ。わかった、俺は今モテている
律子,ふう。それで？どうします？私はやめて、あの娘達の中から誰かつき合う娘を決めます？
Ｐ,いや、俺は律子が好きだ
律子,だっ、だから私達がつき合う事は、誰にも内緒です
Ｐ,誰も知らない、知られちゃいけない……そういう事だな？
律子,ようやく見解が一致して、嬉しいです
Ｐ,でも逆にいえば、誰にも知られなければ俺と、その……つき合ってくれるんだな？
律子,それは……はい。ふつつか者ですが……お、お願いします。とにかく、作戦を立てましょう
Ｐ,作戦？みんなには内緒にしておけばいいんだろ？
律子,それが良くないんです！無策でコトに臨むなんて失敗しようって自分で言ってるようなものですよ
Ｐ,えー？じゃあどうするんだ？
律子,ちょっと考えたんですけど、私達が気が合わないって風に振る舞うというのはどう？同時にプロデューサー殿のイメージダウンをアピールしていきます
Ｐ,イメージダウン！？
律子,だって今はつき合うのは内緒ですけど、いつかは……そのみんなにも公表したいですし
Ｐ,そりゃそうだけど
律子,公表した時、プロデューサー殿の人気が下がっているとみんなもあきらめやすいでしょ
Ｐ,理屈はわかるけど……
律子,もちろん、プロデューサー殿だけに損な役回りはさせません。私は、そのダウンしている部分に対してヒステリックというアピールをしていきますから
Ｐ,へ？
律子,プロデューサー殿はダメ男、私はそれに対してイライラしているヒステリー女。これで二人は不仲でというアピールをしつつ、お互いに損な役回りができるという……
Ｐ,律子……
律子,？なんです？
Ｐ,そういう凝った事はやめないか？俺、自信ないし……律子がヒステリー女を演じているトコなんて見たくないよ
律子,それは別に私だって、やりたくてやるわけじゃ……
Ｐ,策士策に溺れ、才士才に溺れるって言うじゃん
律子,でも、でも……
Ｐ,わかった。やってみよう
律子,！ありがとうございます
Ｐ,……いいよ。律子がそうやって笑顔になるなら。それで？どうするんだ？
律子,はい。色々と調べたんですけど、年頃の女の子に好感を持たれない一番の要素は服装がだらしなかったり清潔感がないだそうです
Ｐ,服装、ねえ……
律子,まあプロデューサー殿は、背広もルクタイも曜日ルーチンですし、今更それを崩すのも変で……
Ｐ,え！？な、なんで知ってんだよ？
律子,みんな知ってますよ。千早とやよいは、よくプロデューサー殿のネクタイを見て曜日を確認していますし
Ｐ,……知らなかった
律子,とりあえずこういう作戦でいきましょう……。……
Ｐ,……
真,……
雪歩,……
真,律子、なにかいいことあったのかな？
雪歩,プロデューサーも、すごく機嫌がいいみたいですぅ
亜美,おはよ→
伊織,おはよう
あずさ,おはようございます～
律子,あらみんな、おはよう
Ｐ,よう、おはよう
亜美,！
伊織,！
あずさ,？
真,みんな！こっちこっち
雪歩,待ってたよぉ
伊織,なによ？あれ！
亜美,りっちゃんなんで、あんなにニコニコ四天王→？
真,聞きたいのはボク達の方だよ
雪歩,二人ともすごく嬉しそうで。でも、一言も口をきかないんですぅ
真,険悪じゃないけど、なんていうか……
雪歩,とにかく今までとは、どこか違うんですぅ
亜美,え→？またケンカってゆ→か、そんなんじゃないの→？
伊織,あのすぐに顔に出る律子が、あんなニコニコしてるのよ？
あすさ,……
雪歩,ど、どうしよお……
伊織,と、とりあえず様子をみましょう。今日は真と雪歩はプロデューサーと、映画の打ち合わせでしょ？
雪歩,うん
伊織,私達は竜宮小町で営業だから、律子の様子をみておくわ
真,じゃあボクらはプロデューサーの様子を
Ｐ,お、なにやってたんだ？出るぞ
真,あ、はい
律子,ちょっとプロデューサー殿！
あずさ,！
Ｐ,あ？なんだ律子
律子,ネクタイ、曲がってますよ。まったく……そんなんじゃウチの事務所の沽券に関わりますから！
Ｐ,あ、ああ。すまん……
律子,プロデューサー殿は、服装とかに気をつけて、もっとしっかりしてもらわないと困りますからね！！。ほら……ちゃんとしてください！！！
Ｐ,ああ。ありがとうな
律子,……いいえ。さ、さあ、あ……あんた達も行くわよ！
亜美,いおり→ん……
伊織,待って、待って亜美。状況に頭がついていかない……
真,雪歩お！今のってまるで……
雪歩,……新婚さんみたいだったね
あずさ,……
真,変……身！えーっくす！！
雪歩,真ちゃーん！！
Ｐ,いいぞ。今回の映画容疑者Ｘの変身は、本格推理特撮アクションだ。巧みな心理戦の法廷劇だからな
真,……はい
Ｐ,どうかしたのか？雪歩も、元気ないみたいだし
雪歩,……
Ｐ,どうした？本当に
律子,♪机の中書きかけのラブレター♪
亜美,……
伊織,……
あずさ,……
