島村卯月,みなさんこんにちは！島村卯月です！
奈緒,ここにきて狂ってるタイプのプレゼンターは勘弁してくれよ……
法子,ひどい！？
卯月,VTRどうぞ～
朋,卯月ちゃんがだらけてるのはおかしくない！？
今回は、そのアクセサリーがなぜか本物のドーナツになっていても、,ああ、そういうアクセサリーなんだな
朋,これて
奈緒,よく言った
朋,よく言った
法子,あれ～？おかし
奈緒,おかしくはない
法子,あれ～？おか
朋,おかしくない！！！
奈緒,ここのスタッフは頭がおかしいのか！？20分ぶり2度目
朋,わかってたってば！！！
卯月,はい！これで今日は以上です！２人とも、どうでしたか？
奈緒,帰りたい
朋,帰りたい
卯月,はい！また来てくださいね！
奈緒&朋,断る！！！
卯月,次回のゲストは、奈緒ちゃんとありすちゃんです！お楽しみに！
奈緒,嫌だよ！！！
ありす,嫌です！！！
朋,裏から来てまで！？
