スタッフ,それでは本番いきまーす
加蓮,李衣菜ちゃんの誕生日ということで、こないだ李衣菜ちゃんがプリンを作っていたのを思い出したので、僕も初めてプリン作りに挑戦してみました！
李衣菜,おお、すごい！
泰葉,ねえ！
加蓮,皿に移したら少し形が崩れてしまったのですが、写真に収めたので見ていただけたら幸いです。味は美味しかったです！、と頂きました♪写真こちらね～、あとで公式ツイッターにも上げるよっ
李衣菜,わーいありがとう！全然崩れてないよ、本当に初めて？私だっていくつも作ってようやく写真上げたんだもん
加蓮,大丈夫、味は完璧だったから！
泰葉,ぴんきり、ぼんぼり、しょんぼり……
李衣菜,あはは、韻踏んでる♪
加蓮,しょんぼり泰葉かわいい♪
泰葉,……プリンで思い出したけど、あのとき李衣菜ったら試食し過ぎてちょっとお腹がぷにぷにだったよね
李衣菜,あー！？内緒だったのに！！。もー泰葉ぁ～！
加蓮,多田李衣菜暴露大会いいよいいよ～♪もっとやってこう！
李衣菜,誕生会じゃなかったの！？と、ともかくっ。メールありがとうございます、やっぱり初めてでも何かに挑戦するっていいことだよね！
泰葉,李衣菜の考え方がファンの皆さんに届いている証拠だよ
加蓮,李衣菜のチャレンジャー精神は結構、私たちも見習ってるとこある。うんうん
李衣菜,えへへ
泰葉,これで朝ちゃんと起きてくれればね……
加蓮,今日だっていつまでもぐーすか寝てたし
李衣菜,私の評価がフリーフォール並に上下してる！ごめんて！
泰葉,そんな李衣菜に私たちからプレゼント♪
李衣菜,この流れで！？
加蓮,ばばん！私たちの声入り目覚し時計～！
泰葉,ランダムに複数パターン、私と加蓮の声があなたを起こしてくれます！
李衣菜,お……おお～。意外と普通に良いやつだ
加蓮,試しにいくつか流してみよっか。ポチッとな
李衣菜,ふざけすぎだよ！！特に加蓮！！せめて起こして！！
加蓮,起こしてるじゃん！私なら絶対ﾃｨﾛﾘで起きるもん！
李衣菜,世界で加蓮だけだよそんなの！
泰葉,ちなみにﾃｨﾛﾘの声帯模写は私が指導したよ
李衣菜,まさかの伏線回収
加蓮,あと何録ったっけな～
李衣菜,もー！！おばか！！！。はい……とにかく2人とも、プレゼントありがとね……大切に使……使うから……多分
泰葉,ちょっとツッコミ疲れちゃった？
李衣菜,うぅ……誕生日なのに……
加蓮,ここまで李衣菜に対する愛に満ち溢れた番組をお届けしていまーす♪それじゃ次のお便り――あ、もう無理？
李衣菜,メール1通
泰葉,ごめんなさい！でも送っていただいたメールは全て3人で読ませてもらっていますので、どうかご理解くださいっ
加蓮,多分実況でいつものとかノルマ達成、今週は1通も読んだのかって書かれてると思うな～♪でもでも、本当にいつもたくさんのメールありがとね！
李衣菜,うん、それはほんとにね。今日は特に多くの人から頂きました。絶対絶対全部読むから、全部家に持って帰るから！ありがとうございました！
泰葉,さて、次のコーナーは？
加蓮,ローテだと目指せ！ポテト道みち
李衣菜,メール読む時間無いって言ったそばからこのラジオでいっちばんふざけたコーナーやるの？
加蓮,失礼か！でも今日は李衣菜スペシャルだから吟じるだけにしよっか
李衣菜,絶対いらない
ポテト道,みち
加蓮,……ありがとうございます。満足！
李衣菜,20秒をムダにしました
泰葉,あ、アバンだと思えば……
李衣菜,気を取り直して――。エンディング流れ始めましたけど！！？
泰葉,思った以上にお話が膨らんじゃったみたいだね
李衣菜,膨らんでたかな……
加蓮,今年もロックにお祝いできたね♪
泰葉,それは確かに♪
李衣菜,常人には理解出来ないという意味でロックだったよ、うん
泰葉,褒められました！
加蓮,李衣菜にロックだって認められたよみんな～！
李衣菜,もうなんでもいいよぉ……
加蓮,投げやりーなかわいい
李衣菜,やめー！
泰葉,はい、というわけで。大人の方々もどう編集したらいいんだってにこにこ笑顔で頭を抱えていますので、あまり困らせないようにここで終わりにしましょう♪岡崎泰葉でした！
加蓮,はーい♪来週は普通にえばらじ！やるよ！またね、北条加蓮でした♪
李衣菜,もう！2人とも大好きだよ！多田李衣菜でした！。またらいしゅ。うわあああああああ――！！
泰葉,コーナーはいらないけどミスポテトヘッドのアバンだけ残してだって♪
加蓮,ふふっ、ひどーい♪こっちは岡メロちゃんゲストまだですかって言われてるよ泰葉♪
李衣菜,……へんてこな実況で私へのお祝いコメントが埋もれてますPさん……
P,ま、まぁまぁ……。その代わり俺がなんでも言うこと聞くから、な？
