・アニメの世界線＋独自設定です,＝デレステのコミュと違う
智絵里,このメモを、交番に届けてくれた女の子は…きっと。落とした人、わ、私が…とってもメモを大事にしている、なかったらきっと困るはず。…そう思って、純粋な気持ちで、拾ってくれたと、思うんです…
かな子,ああ、そうだよねー
智絵里,だから、きっと……この子も……勝手な推測かもですけど…。私とおんなじで、メモが大事な、ちょっと自信がない、そんな子なのかな、って
藍子,なるほど、そうでないと、届けませんよね
智絵里,私も、そういう気持ち、わかるから………そんな人たちが、一歩前に踏み出せる…。がんばろう、って思える、アイドルになろう、って…改めて、思ったんですっ
かな子,天使だ、天使が見えるよぉ
藍子,…天使さん、どこかなあ？。というわけで、智絵里ちゃんの最近うれしかったことでした。いいお話をありがとう
智絵里,い、いえ…
かな子,どうしよう、私のすごく恥ずかしかった話が霞む～
智絵里,わ、わゎ、あの、ごめんなさいー
藍子,友達にあげたレシピの”生イースト5g”を”5kg”って書いちゃった話、豪快でしたよ
智絵里,…かな子ちゃん以外に、あんな話…できないよ…
かな子,褒めてるのそれ？
加奈,は、はじめましてっ！今井、加奈っていいます、よ、よろしくお願いしますっ
智絵里,緒方…智絵里、ですっ、このたびは、その…ありがとう、ございましたっ
P,私からも、御礼申し上げます
加奈,は、はい！こちらこそ………わあー
智絵里,はうっ！？な、なにか、顔に…ついていますか？
加奈,いえ、そ、そうじゃなくって…。まさかアイドルさんだなんて…ぜんぜん知らなくて…
智絵里,デビューしたて、ですから、ま、まだまだ…全然………
P,緒方は、弊社でも期待の新人アイドルです、どうかお友達などにも、広めていただければ
加奈,はい！お約束しますっ。思ってた通り、アイドルさんって、笑顔がまぶしくって…きれいで…
智絵里,そ、そんなに見つめられたら///////
加奈,ほんとにすごいなあ…あそうだ、メモしなきゃ…
智絵里,………あっ
加奈,え？
智絵里,やっぱり、メモ…
加奈,これ、ですか？いろんなもの、興味あって、いっぱいメモしてるんです。…というか、やっぱりって…どういう
P,緒方が、言っていました。メモを届けるような人だから、きっとメモを大事にする人なのだろう、と
智絵里,予想してた、通りでした
加奈,すごーい！っていうことは、緒方さんも私みたいに、メモいっぱい取る…
智絵里,そんなには…ただ、私に似てるところがあるのかな、って思って…
加奈,似てるんですか？
智絵里,はい、なんとなく…でも、今井さんみたいに、興味あることに、ぴゅーん、っては、なれない、です…
加奈,ぴゅーん。智絵里ちゃ…緒方さんって、かわいい方ですねっ
智絵里,えええぇぇ
加奈,…
智絵里,それに…智絵里で、いい、ですよっ、緒方さん、って…他人行儀だし…
P,…申し訳ありません
智絵里,あ、その、いえ、Pさんは、緒方で、全然、はうぅ
加奈,えへへっ、じゃ、智絵里ちゃんって、呼ばせてもらいますね
智絵里,私も、加奈ちゃん、で、いい…ですか
加奈,もちろん♪。…この場だけ、ですけれど…
智絵里,…
P,…
智絵里,あの、Pさん
P,はい
智絵里,加奈ちゃんって…アイドルに向いてるって、思いませんか？
加奈,えっ！？
P,緒方さんは、そう感じたのですね
智絵里,はい…
加奈,あ、あのっ…自分では全然、そんなこと、思ったこともなくって…。智絵里ちゃんから見て、どんなところがアイドル向きなんでしょう？
智絵里,えーっと、その…言葉にしにくいんですけれど、加奈ちゃんって…。失礼かもだけど、すごく…普通、で…
加奈,あっ！それ、よく言われます
智絵里,なのに、いろんな人の懐に、すっと入っていけるように思えて
加奈,そう、なのかなぁ？
智絵里,それに、興味が湧いたことに、まっすぐ行動できるし…
加奈,/////…だんだん恥ずかしくなってきました…自分のこと、メモするのって…
智絵里,Pさんは、どう思いますか？加奈ちゃんのこと
P,そうですね…いい、笑顔だと、思います
加奈,///////
P,もし、今井さんにその気がおありでしたら。一度、オーディションを受けられるのも、いいと思います
加奈,そ、そう、ですか…ふぇぇ
P,私は、シンデレラプロジェクトに係っているので、担当するわけにはまいりませんが。アイドルとしての可能性は、あると思われます
加奈,あ…ありがとうございますっ、えへへっ、アイドルかぁ…
智絵里,いつか、一緒のステージに立てたりして…えへっ
加奈,もしそんなことになったら…夢みたいですねっ
智絵里,加奈ちゃんに目指してもらえるように、私、アイドル頑張るからっ
加奈,はいっ、応援してますね♪。………アイドル、かぁ…。智絵里ちゃんみたいな…キュートなアイドル………いいなぁ。……わたし、向いてる…かなぁ？。わたしなんかの…どこが……。…わかんない、わかんないけど…嬉しいっ♪。うん、いまは自分にできること、精いっぱいやろう。かなかなファイファイおー！
次のSSにつなげられたらと思いつつ、ＨＨＢ,筆を置く
