若林智香,おはようございますっ
友紀,なんでそんなマサイ族にコンタクトレンズあげるみたいなマネするのかな
智香,わ、悪気はないはずです……
茜,友紀さん！どうぞ！
友紀,ちょっとまって結構ピンチなんじゃないのコレ
智香,あ、茜ちゃん！
茜,志希さんと私を信じてください！
智香,それ不安を煽ってるだけだからね！？
茜,あ……すみません……。嫌がる人に無理矢理はよくないですよね！
智香,わかってくれてよかったっ！
友紀,ロボットに感情が芽生えた瞬間を見た気分だよ
智香,もうちょっと言い方ありません！？。……でも結局、その薬ってなんなのかな？
茜,えっと……志希さんによれば脳がカクセイするビタミン剤らしいです
友紀,
智香,そ、それ以上は
茜,略してカクセイざ……
友紀,ｸﾞﾊｧ！！！！
智香,友紀さーーーーん！！！！！
茜,ど、どうしましたか！？
智香,もはや茜ちゃんが殴ったも同然だよ！？
友紀,生まれ変わったら日産スタジアムになりたい
智香,野球場ですらないじゃないですか！？あとその異常なまでの建築物への執着はどこから来るんですか！？
茜,えっと……117
智香,それでわかるのは友紀さんの吐血推定時刻だけだよ！？
茜,でも、都さんと早苗さんに人が倒れたらまず時間をチェックと教わったんです……！
智香,あの２人は人が死ぬことを前提に動いてるの！？
友紀,い、生きてるけど……
智香,だ、大丈夫ですか！？安静にしててください！
茜,そうですよ！！！はっ！！！こんな時こそ“カクセイするクスリ”、略して“KK”を！！！
友紀,
智香,茜ちゃん！！！！！
友紀,生まれ変わったら仏陀になりたい
智香,なんで急に悟りを開いたんですか！！！
茜,智香ちゃん！こういう時こそ応援です！
智香,こういう時には治療だよ！？
友紀,なぜ人は争うのか……？
智香,スポーツ全否定！？。ちょ、友紀さん！戻ってきてください！
茜,ﾄﾞｩﾙﾙﾙﾙﾙﾙﾙﾙﾙﾙﾙﾙﾙﾙﾙﾙﾙﾙﾙﾙ
智香,そのドラムロールは素なの！？煽り！？
友紀,……はっ！？あたしは何を……？
智香,よかった！
友紀,茜ちゃんのドラムロールまでは覚えてるんだけど
智香,何一つとして失ってないじゃないですか
茜,ジャン！！！！
智香,今さら！？
茜,なにはともあれよかったです！！！
友紀,え？吐血とかひっくるめてなにはともあれでまとめたの？本気？
茜,後ろなんて振り返っちゃダメです！！
友紀,それひき逃げ犯の発想だからね？
茜,挽き肉！？
智香,もう発想の飛躍についていけないよ！？。……あれ？そういえば、どうして集まったんでしたっけ？聞かされてないんですけど……
友紀,あ、そうそう、ユニット名についてなんだけど、プロデューサーが言うにはチアフルボンバーズで仮決定らしくて、一応３人で話し合ってみてって言ってたよ
茜,ﾁｱﾌﾙボンバァァーーーーズ！！！！素晴らしいですね！！！
智香,前半やけに早口じゃなかった！？
友紀,もうボンバーが持ちネタみたいになってるじゃん
智香,私はいいと思いますっ！友紀さんはどうですか？
友紀,うん、熱い応援っていう私たちのウリをよく表してるよね
茜,かーらーのー！！？？
友紀,あたしのこと嫌いなら教えて欲しいな
茜,大好きです！！！！
友紀,振り上げたこぶしが行き場を失ったよ
智香,ほんとにいい子なんですけどね
友紀,さて、元気な２人とお仕事をするんだから、あたしも元気出さなきゃね……！
智香,でも、あまり無理はしないでくださいね？
友紀,だいじょぶだいじょぶ！開幕さえすれば！
茜,そうですね！野球がやってる時の友紀さんはきっと無敵です！！！きっとこのユニットも成功しますよ！！！賭けてもいいです！！！
友紀,ｸﾞﾊｧｧｧｧｧ！！！！
智香,茜ちゃん！！！！！
