細野かずえ,２０
かずえ,私の近い未来が分かるんですか？
喪黒,そうです。私が今からやるタロット占いは、スリーカードと呼ばれるやり方です。まずは1枚目、過去のあなたを表すカード……。これは月の正位置のカードですか
かずえ,え、ええ……。言われてみれば、当てはまっているかもしれませんね
喪黒,次に2枚目、現在のあなたを表すカード……。これは塔の正位置のカードですか
かずえ,じゃあ、彼との関係は……
喪黒,残念ながら、修復不能でしょう。まさに、今のあなたはどん底です
かずえ,そ、そんな……
喪黒,しかし……。人間は一度どん底を迎えた後、必ず這い上がるものですから……。元気を出してください
かずえ,ど、どうも……
喪黒,そして3枚目、近い未来のあなたを表すカード……。これは愚者の正位置のカードですか
かずえ,じゃあ、私は……
喪黒,ひょっとすると、新しい出会いがあるかもしれませんよ
かずえ,本当にそんなことが起きるんですか？
喪黒,可能性はかなり高いでしょう。タロットカードが示した答えなのですから……
かずえ,そんなにすごいんですか？タロット占いって……
喪黒,はい。直感でカードを選ぶことを通じ、自分の第六感で運命を見抜く……。それがタロット占いの特徴なのです
かずえ,へぇ……。ずいぶん奥が深いんですね。タロット占いって……
喪黒,数あるタロットカードの中でも、占いの的中率が高いのがこのカードなんです
かずえ,えっ、いいんですか？
喪黒,細野さんの人生のお役に立つのならば、望むところです
かずえ,あ、ありがとうございます……。このカード、大事に使いますから……
喪黒,どういたしまして。その代わり、あなたには約束していただきたいことがあります
かずえ,約束！？
喪黒,そうです。このタロットカードで占いをするのは、1日に1回のみにしておいてください
かずえ,わ、分かりました……。喪黒さん。それにしても、不思議な感じの人だったなぁ……
彼女が喪黒から貰った名刺の裏の白地には、BAR,魔の巣
かずえ,なるほど……。タロットカードには、22枚の大アルカナと、56枚の小アルカナがあるのか……
教授,テイラーの科学的管理論と、メイヨーの人間関係論の違いは……
かずえ,果たして、この授業は人生の役に立つんだろうか？私には、そうは思えない……
かずえのモノローグ,私が所属しているサークルは、いわゆるオタサーみたいなものだ
老婆,おお……。おぬしはどうやら、選ばれたお方のようじゃ……
女子学生,今度、他の大学のサークルと合コンをやろうと思うんだけど……。細野さんも参加する？
かずえ,うん……。そりゃあ、もちろん私も参加しようと思ってる……。いつも通り、ワンオラクルで占ってみよう。えーと、今日の合コンは……。これは、太陽の正位置……！ポジティブなエネルギーに充ち溢れたこのカードなら……
夜。居酒屋チェーン店,鳥王子
隆一,いよぉ、かずえ！久しぶりだな！
テロップ,加賀美隆一２０
かずえ,あ！隆ちゃん！！
数日後。BAR,魔の巣
かずえ,こんにちは、喪黒さん
喪黒,その様子を見ると……。どうやら、新しい出会いがあったようですなぁ。細野さん
かずえ,ええ。合コンに参加した場所で幼馴染と出会い、そのまま交際が始まるなんて……
喪黒,どうです？例のタロットカードの的中率の高さは本物でしょう？
かずえ,はい。おかげで、私はこのタロットカードに心からハマりました
喪黒,ほう……、そうですか。ただ、私としては、あなたにどうしても忠告しておきたいことがあるのですよ
かずえ,は、はあ……
喪黒,時に、占いに頼るのもいいかもしれません。人間は何かと心に弱さを抱えていますからねぇ……
かずえ,え、ええ……。十分に承知していますよ。お、星の正位置のカードが出た……。明るい未来で、希望が持てる……。よかった……
隆一,かずえー。俺たちの運勢をタロットで占ってみてくれよ
かずえ,えーーっ！！でも……
隆一,いいから、やってみろよ
かずえ,しょうがないな……。じゃあ、ヘキサグラムでやってみようか。えーーと……。1枚目の過去を表わすカードは、節制の正位置。これまでの私たちは、控え目な関係……
隆一,気にすんなって。残りの4枚も見ようよ
かずえ,4枚目の周囲や状況を表すカードは、戦車の逆位置。不安に支配されて暴走……。7枚目の最終結果を表すカードは、世界の正位置！世界のカードは、タロットの中では最高の運気……
喪黒,細野かずえさん……。あなた約束を破りましたね
かずえ,も、喪黒さん……！！
喪黒,あなたは、ワンオラクルをやるのが日課ですよねぇ
かずえ,え、ええ……。そうですけど
喪黒,では、これは一体どういうことですか？
かずえ,ああっ！！
喪黒,私は言ったはずです。例のタロットカードで占いをするのは、1日に1回のみにしておけ……と
かずえ,す、すみません！！だって、隆ちゃんが頼んだものだから、どうしても……
喪黒,言い訳はよしてください。約束を破った以上、あなたには罰を受けて貰うしかありません！！。ドーーーーーーーーーーーン！！！
隆一,ギャアアアアアアアアア！！！。なんか薄気味が悪いところだな……
かずえ,うん……。喪黒さん、このバスはどこを走っているんですか？あっ、喪黒さんがいない！！。ねぇ、運転手さん。このバス、本当に目的地へ向かっているんですか……！？。キャアアアアアアアアアッ！！！
喪黒,この世には、理性で説明できない人知を超えた力が、どこかに存在していますが……。占いの神秘もその一つと言えましょう
