今西部長,君もそろそろいい歳だ。考えても良い時期じゃないかね？
武内P,そう……ですね
部長,しかし、熱愛報道で片付けられそうな年齢のアイドルもウチにはいるだろう？
武内P・部長,……
武内P,しかし……そうは言っても、人数が多いので
部長,ふむ、それもそうか
武内P,……
部長,では、高垣楓くん、川島瑞樹くん、片桐早苗くんの三人の中なら？
武内P・部長,……
武内P,……その、何故その三人なのでしょうか？
部長,以前談話スペースで三人で居るのを見かけてね、なんとなくだよ、なんとなく
武内P,……そう、ですね
部長,彼女達は、それぞれ違った良さがあるねぇ
武内P,はい。アイドルとしても、とても素晴らしいですが……
部長,ふむ？
武内P,女性としても魅力的で、その……とても可愛らしい方達だと思います
武内P・部長,……
部長,しかしそうか……ハハハ、可愛らしいか！
武内P,……はい、私はそう思います
部長,しかし、だ
武内P,部長？
部長,確かに君の言う通り、彼女達は可愛い女性かもしれない
武内P,……
部長,だが、結婚相手として考えた時も、君は同じことが言えるのかね？
武内P,……
部長,付き合うだけなら良いだろう。可愛い、大いに結構だ
武内P,……
部長,しかし、結婚と考えると話はまた変わってくるのではないかね？
武内P,……。……いえ、私の答えは変わりません
部長,ほう？。駄洒落まみれの毎日が、冗談ではないと思わないのかい？
武内P,駄洒落が冗談ではない……ブフッ！
部長,10年後、隣に居る女性がピッチピチのボディコンを着ていても構わないと？
武内P,……せめて、5年後まででお願いします
部長,それでも、君の答えは変わらないのかね？
武内P,……はい。彼女達三人は、とても可愛らしい女性です
部長,わかるわ
武内P・部長,……。ハッハッハ！。！？
部長,……両隣はとても盛り上がっているねぇ
武内P,その……ようですね
部長,よし！二軒目に行こう、二軒目に！
武内P,そうですね。落ち着いた所に行きましょうか
部長,何を言ってるんだね君は！
武内P,？部長？
部長,まだこんな時間だよ？次は、お姉ちゃん達がいっぱい居る店に決まっている
武内P,あの、それは……！
部長,プロの女性達に囲まれるのも悪くないだろう？私の奢りだよ
武内P,……
部長,それでは、会計をしてしまおうか
武内P,そうですね。確か、この店は伝票が部屋に入口に……
部長,いやー、楽しみだねぇ！
武内P,……
部長,？どうしたね、伝票を見て固まって
武内P,……
部長,たかが二人分だろう？どれ、見せてみなさい
武内P,……
部長,……
武内P,……
部長,……これは……何人分だろうねぇ。いやはや、こんなに高価な伝票は初めて見たよ
武内P,……そうですね。私もです
部長,見給え、ほうら、裏にこんなにギッシリとサインが
武内P,……すっかり酔いが覚めてしまいましたね
部長,安心しなさい、私もだよ
武内P,……部長、携帯が鳴っていますよ
部長,君のも、だろう
武内P・部長,……
武内P,……外に、居ますかね
部長,……居るだろうねぇ、まず、間違いなく
武内P,二軒目は……はい、確かにプロの女性達に囲まれますね
部長,私ももう歳だ。後は、君に任せても大丈夫だろう
武内P,！？待ってください！
部長,冗談だよ。結婚の話も、二軒目の話も私が言い出したことだ
武内P,……それを聞いて安心しました
部長,しかし、結婚は人生の墓場とは良く言ったものだね
武内P,墓穴を……掘ってしまいましたね
部長,……よし、そろそろ穴を増やしに行こうか
武内P,お供します
武内P・部長,穴が空くほど謝らないと
