池袋晶葉,よし、実験開始！
Ｐ,確かにそうだが
晶葉,ただ、浮き輪ではそのまま泳ぐのには適さない浮力が生まれてしまうからな。他の推進手段を考えていたんだ
Ｐ,なるほどな。……浮き輪、いらないだろ
晶葉,むぅ、浮き輪の良さがわからんのか
Ｐ,さっぱり
晶葉,……まあいい。浮き輪があっても泳げるように、これからさらに考えなくてはならんな。君も付き合ってくれ
Ｐ,そうだな、俺で良ければ……。……ははは。そうか、そうだな
晶葉,どうした？
Ｐ,晶葉……その研究、ちゃんと俺にも手伝わせてくれよ？
晶葉,ん？無論だ、今更何を――
Ｐ,――世界広しといえど、俺以外に晶葉の助手は務まらんからな
晶葉,……ふん、今更何を言っている。当たり前だ、Ｐ！君のポジションは、常に私の横だろう？
Ｐ,……そうだな、勿論だ。それくらい、お互い言うまでもなく分かっているしな
晶葉,ふふん、それでいい。私とＰの歯車が噛み合えば、不可能なことなどないのだからな！。……それでだが、なみのりウサちゃんロボも並行して作ろうと思う。力を貸してくれよ？
Ｐ,本当に作るのか
晶葉,ああ、姿勢制御が難しいだろうが……その方が可愛いだろうからな
Ｐ,……どうして可愛さ重視なんだ
晶葉,……そうだ、ひとつ忘れていたよ
Ｐ,どうした？
晶葉,先程の話だが……私が溺れた原因は自分にある、と言ったな
Ｐ,……ああ
晶葉,なあに、責任を取れというだけの話だ。安心したまえ
Ｐ,責任……責任ねぇ
晶葉,……勘違いするなよ？
Ｐ,当たり前だ
晶葉,むぅ……それは、それで……まあいい。また、こうやって……二人でどこかに出かけよう。だから、その……。……ふふっ、そうだな。次もこうして、私の隣にいてくれよ？
