金色のガッシュ!!,漫画版
不良女,キャアアアアアアアア！
犬？,ｸｸｸ…オイ、正義の味方気取りか？
男,何でもいいだろ、楽しそうじゃねぇか。お前も楽しいだろ、ゴフレ？
ゴフレ,ああ、最高だよ連次……。お前は臆病で軟弱なオレをあるべき姿にしてくれる。傷つけるためのオレにしてくれる……いいパートナーだ
時子,あれは……あの犬？まるで巨大な弾丸……いや……。そんなことはどうでもいい
連次,おいそこの女。テメーも早く反撃してこいよ。それとも今の不意討ちに足が竦んだか？
時子,……それはそこで震えてるメス猿に言ったのよね？
不良女,
時子,あなた、気に入らないわ
ゴフレ,まあ待て連次。コイツは何も知らないんだ……
時子,アァ？
連次,その嗅覚は魔物の気配が判るんじゃなかったのか？。――あぁ、そうか。それで魔本しかないって言ってきたのか
ゴフレ,……
連次,おい女、こんな本を持ってないか？
時子,っ！……ﾁｯ、口には気を付けなさい
連次,その本はな、魔物の子に呪文を使わせるための説明書だ。そして魔界から人間界に放たれたコイツら魔物達は互いに本を狙い、燃やし合う戦いをしている。つまりその本は争いを招くってことだ。理解したか？
時子,……確かに、それならこの犬の戦闘力も理解出来る……。なら、あなた達はこの本が欲しいのかしら
ゴフレ,そう、と言いたいが少し違う……
連次,オレはな、この戦いが面白そうだからコイツと一緒にいるのよ。テメーがまだ魔物を見つけてねぇなら仕方ねぇ。本には手は出さねぇさ。本にはな
時子,……下卑た視線をくれるじゃない。フン、駄犬の飼い主はとんだチキンだったようね
連次,……何が言いてぇんだ
時子,そのままの意味に決まってるじゃない。あなたはこう考えている。何故、この女はこんなところに来た？
連次,！
時子,……へぇ。間合いの分からない相手は怖いものねぇ？
ゴフレ,連次、落ち着け。臭いはしない！
連次,……。ご、ゴフレ、帰るぞ
時子,背を向けるのかしら？
連次,……っ！
ゴフレ,連次っ！
連次,……っ、そぉ！ナメんな！
時子,それでいい……力の過信……自信過剰バイアス……
連次,ドルクッ！
時子,線の力は脆い
ゴフレ,な……っ？！
不良１,あ、が。
連次,あの女、他人を足蹴にして盾に……！
不良２,消えた！
連次,消え……？ま、待て、あの女はどこだ？！
ゴフレ,クソッ、あの一瞬で逃げたか……。……！。逃げろ連次ィ！
連次,は？。ぅぐぇっ？！
時子,アーッハッハッハッハ！傑作ね！
連次,この、アマ……いつの間に後ろに……ぃ……！
時子,アァン？口を慎みなさい、三下
連次,む、鞭で首絞めは、し、死……っ
ゴフレ,ﾋ……ｯ
時子,私はあの猿に消えたと叫ぶよう指示しただけ。その声にも言葉にも興味を抱いたノータリンなのが悪いのよ
連次,たひゅ、たひゅけ、ひっ
ゴフレ,お、オォッ！
時子,……ベルトをしている理由はウエストを絞って見せて男に媚びるためじゃないの。躾るため、よっ！
ゴフレ,ｷｬｲﾝｯ！。
連次,お、俺のゴフレの装甲が……ズタズタに……
時子,所詮は皮膚だもの。股にぶら下がっているその粗末なモノを踏み潰すのと同じことよ
不良達,ひ、ヒィィィィィィィッ！
時子,……猿が逃げたわね……まぁいいわ。この犬の方が退屈しのぎになりそうだもの
ゴフレ,
連次,やめろ……やめてくれ……！
時子,口のきき方がなってないようね。でも、今の私はとても機嫌がいい。教育してあげるわ……魔界についてもっと情報を吐きなさい
連次,
時子,……何。アンタも教育が必要そうね。下僕の分際で名前を気安く呼ばないで。ﾁｯ……廃工場よ。……残念ね
連次,ごめんなさい……許して下さい……これ以上は本当に何も知らないんです……！。い、いっそころ、殺して……！ごろじで下ざいぃ……！
時子,大袈裟ね。駄目よ、私が困るもの
連次,せ、せめてゴフレだけでも……！
時子,誰かさんがライターを持ってなかったものね。さ、これで二桁回目。口を開けなさい
連次,……！もう、もうホースはっ、水はっ！
時子,鞭
連次,あ、あぁぁぁ……！
Ｐ,時子っ！
時子,二分遅刻よ
Ｐ,すまない……で、この惨状は何なんだ？下水管でも破裂したのか？
時子,水風船よ
Ｐ,？
時子,膨らませて吐き出させて……裂けるまで遊んだだけ
Ｐ,そうか。意外と無邪気なんだな
時子,アァン？
Ｐ,だからそれをやめろと言ってるだろ
時子,ﾁｯ……車を出しなさい。それと、レッスン場へ行く前にコンビニへ
Ｐ,何の用なんだ？
時子,ライターを買うのよ
Ｐ,なっ、喫煙してるのか？！
時子,違うわよ低能
肉塊？,
時子,ここでいいわ、停めなさい
Ｐ,今日はお疲れ。明日からはレッスン遅れるなよ？
時子,ハッ。それなら私を退屈させないで頂戴。あの程度なら俗物でも出来るわ
Ｐ,考えておく。それじゃ、また明日な
時子,……フン。……あの後、レッスン場付設のトイレであの男の本は燃やした。思ったより火付きは良かった。火災報知器が鳴ると面倒だったけどそれもなかった。魔物が相手だからと少し暴力的な躾をしたけど……追って来ることもなかったわね。それはアレが弱かったから、なのか。そしてこの本の存在。魔本、だったかしら。……また光って……。……！
魔本,
時子,エクセレント。まだまだ退屈しないで済みそうね。第一の術――アボロディオ
Ｐ,くぁ、眠っ。おっと黄信号。事務所帰ったら……で、……、そしたら……。……凄いな、人間って。！。おおおおおおおおっ？！。く、車が道路ごと抉れて大破した……まさかオレの呪文か？。魔本は事務所の棚に置いてたからなぁ……パートナーなんて見つけたくなかったし。となるとちひろさんか？いや、もしかすると美穂や乃々かもな。帰ったら確認してみよう。……いや、その前に
婦警,ちょーっといいかなキミ。事によるとシメなきゃいけないんだけど
Ｐ,これ……どう説明しよう……
