釣り人,おう、五郎ちゃん！今日は釣れたかい？
骨ダヌキ,その通りだぁ！！！。俺はかつて、ウサギによって散々な目にあわされ、最終的に溺れて死んじまった。死んだ俺の体は流され、地上に漂着し、土に埋もれた。やがて、俺が埋まった地点に木が生え、伐採され切り株となった。俺は地中から怨念の力でこの切り株に強烈な吸引力を与え。次々とウサギを激突させてったというわけだ！復讐のためにな！
男,……で、俺が掘り返しちまった、と
骨ダヌキ,そうだ！せっかくの楽しい復讐を邪魔しやがって……
男,復讐って、お前を殺したウサギと今を生きてるウサギは全然無関係だろ！
骨ダヌキ,無関係？いーや、違うね！。ウサギという時点でそれは罪！ウサギを絶滅させるまで俺の復讐は終わらねえ！
男,このクズ野郎が……！
骨ダヌキ,クズぅ？。お前らはすぐに藻屑になるんだよ！。俺の手によってなァ！
男,み、水……！？
ウサギ,ものすごい量の水を生み出したわ！
骨ダヌキ,溺れ死に、ずっと水ん中を漂ってたせいか、怨念パワーを全開にした俺は。水を自在に操ることができる！。二匹まとめて溺れ死ねぇぇぇっ！！！。この津波のような激流に飲まれたら、ひとたまりも――。――な！？
男,しっかりつかまってろよ！
ウサギ,はいっ！
骨ダヌキ,こいつ……この激流を泳いでやがる！
男,はぁっ、はぁっ、はぁっ……
骨ダヌキ,信じられねえ……魚か、てめえ！？
男,腕はイマイチとはいえ、これでも釣り人だからな。泳ぎは達者なんだよ
骨ダヌキ,……！
男,さすがにもう、あんな大量の水を繰り出す力は残ってないよな？俺の勝ちだ！
骨ダヌキ,そういや、この近くには海があったよな？
男,？……それがどうした？
骨ダヌキ,ここらへんの地面……よく濡れて泥になってやがるな
男,なんだ？なんの話をしてるんだ！？
骨ダヌキ,こういうことさァ！！！
男,！？
ウサギ,きゃっ！
男,泥が……俺たちを包み込んで……。泥団子のように……！
骨ダヌキ,へへへへへ……これでもう動けねえ！。あとは泥団子になったお前らを海に放り込めば、お前らは海底に沈む！。俺が味わったあの地獄を、てめえらも体験するがいいぜ！。あばよ！
ウサギ,沈む……沈んでいく……！。だけど、海に入ったおかげで、固められてた泥が柔らかくなってる！。これならあなたなら逃げられます！あなただけでも……！
男,心配するな
ウサギ,え？
男,俺のご先祖様は、もっともっと深い海の底から生還した人なんだ
ウサギ,表情が変わった――
男,久々に……本気出すか！
骨ダヌキ,これで奴らは海の底だ……。そうだ、せっかくこうして掘り起こしてもらえたんだ……。もうあんな切り株なんぞに頼らず、俺の手で直接ウサギを殺しまくってやるぜ！。で、いつだったかのババアみてえに汁にして食ってやる！。ギャハハハハハハハハハハハッ！！！。――は？。ま、まさか……！
男,ふうっ……泳ぎ切れた
ウサギ,すごいです……
骨ダヌキ,な……！？なにィィィィィ！？。なんなんだお前……いったい何者だァ！？
男,教えてやろう。俺の名は浦島五郎……浦島太郎を初代とすると五代目ってとこかな
骨ダヌキ,浦島……！聞いたことがある……竜宮城から生還したっていうあの英雄か！
ウサギ,あなたは子孫だったなんて……！
男,そして――。初代は玉手箱を開けてしまい老人になってしまったが、おかげで身に付き、代々伝わる能力がある
骨ダヌキ,能力……！？
男,それがこの――“玉手煙”だ！。ふぅーっ！
骨ダヌキ,な、なんだこの煙は！？。！？。ひいいっ！俺の体が……朽ちていく！
男,その煙には浴びた者を老化させる力がある。たとえ怨霊だろうと老化させる
骨ダヌキ,うわぁぁぁぁぁっ！
男,あまりに強力で凶悪だから、一族の掟でめったなことでは使用を禁じられているが――。今回は使わせてもらった
骨ダヌキ,ひえぇぇぇぇっ！た、助けてくれぇぇ……！
男,成仏しろ……古狸
骨ダヌキ,おお……おおおお……！
ウサギ,ありがとうございました！これでこれ以上、ウサギが死ぬことはないでしょう……。このお礼は必ず……
男,いや、気にしないでくれ。俺だってこんな異常事態じゃなきゃ、労せずしてウサギを手に入れられたって喜んでただろうから。それじゃ。はぁ……今日の晩飯どうしよ。あーあ、今日もほとんど魚が釣れなかったなー。おっ、これはあの切り株だ。そういやタヌキは退治したが、これはそのままだったな。また動物がぶつからないかなー、なんて期待して待ってみたりして……。……。……。んなことあるわけないか
美女,あのう……
男,はい？。誰だこの人？
美女,浦島五郎さん、ですよね？
男,ええ、そうですが
美女,よかった！ここに来ればまた会えると思っていました！恩返しに来ました！
男,？俺に、あなたのような美人の知り合いはいませんよ？
美女,あっ、そうですよね。名乗らないといけませんね。私はウサギです。あの時、あなたに助けていただいたウサギです！
男,ああ、あの時の……！
美女,あなたに恩返ししたいと強く願ったら、神様に人間にして頂くことができたのです
男,“鶴の恩返し”ならぬ“兎の恩返し”というわけか。へえ～、これだけ美人だってことは、ウサギとしても相当美人だったんだろうな
美女,やだ……もうっ！浦島さんったら！。私、これでも自前で野菜を作っておりまして、料理も得意なんです。だから、これからはあなたのご飯は私が用意いたしますね！
男,そりゃありがたい！。どうやら俺は、この切り株で待ってたおかげでご飯にありつくことができたようだ
