工藤忍,ねえねえ柚ちゃん
忍,うん
柚,そっか～。まあじゃあいただきま～す
忍,……。柚ちゃん、みかんもお尻から派なんだね
柚,ん？ああ、そうだね
忍,アタシはヘタの方から派だからさ。やっぱり人によって違うんだね
柚,お尻からとると、最後にヘタと芯みたいな部分が白いヤツを取ってくれるから良いんだよね～
忍,え～白いとこ栄養あるのに？
柚,いや、栄養あるのはわかってるんだよ？だけど、多すぎじゃない？
忍,そうかな……？
柚,だいたいみかんって栄養のために食べてるんじゃないし！おいしいからだし！
忍,う、うん……
柚,そんなに栄養が大事なら青汁でも飲んでればいいじゃん！ねえ？忍ちゃん！？
忍,アタシ、青汁毎日飲んでるよ？。ほい出来た
柚,わ～い！いい匂い……さっすがカレールー！
忍,ちょっとちょっと？ルーじゃなくてアタシをほめるべきじゃない？
柚,まだ食べてないし？
忍,確かに。じゃあ食べよっか
柚,イエス・マム！
忍,はい、どうぞ
柚,いっただっきま～す！
忍,……どう？
柚,ウマイ！
忍,よかった～、これで一安心だよ……あ
柚,ん？
忍,柚ちゃん、カレールーの位置、右なんだね
柚,そうだね。いつもだよ？
忍,ふ～ん……
柚,な、何？
忍,いや、アタシは左だからってだけだけど……
柚,けど？
忍,食べにくくないの？
柚,全然食べにくくないよ？
忍,ルーがなくなったりとかしない？
柚,そこはちゃんと考えて食べてるから大丈夫だよ？
忍,へ～……そうなんだ～
柚,じゃあ逆に聞くけど、忍ちゃんはどうなの？ルーが左にあって食べにくくないの？
忍,食べにくくないよ
柚,でしょ？それとおんなじだよ
忍,う～ん……
柚,何？
忍,いや、なんで左右に分かれるんだろうと思って……
柚,あー、う～ん……なんでだろうねぇ
忍,で、一つ仮説を立てたんだけど
柚,え？早くない？
忍,柚ちゃんみたいにルーを右に置く人は、カレーという存在の中でお米を重要視してるんじゃないかな？逆にアタシみたいに左に置く人は、カレーという存在の中でルーを重要視してるんじゃないかな？みたいな？
柚,なるほど～。確かにそうかもね。アタシはルーよりお米が多くても全然平気だし
忍,いや～。新発見だね
柚,そうだね～。でも、まさかカレーのルーの位置の話になるとは……
忍,なんで？
柚,アタシはてっきり、福神漬けいる？いらない？の話になるかと思ってたんだけど
忍,ああ、福神漬けね……。あってもなくてもいいかな。やっぱりあそこのお店はおいしいな～
柚,あ、忍ちゃんだ！ヤッホー！
忍,あ、柚ちゃん
柚,どこ行ってたの？
忍,どこだと思う？
柚,う～ん……ヒント！
忍,じゃあ、質問です
柚,お？
忍,ラーメンのスープ、飲み干す？
柚,ラーメン屋か！
忍,う～んまあ正解で良いでしょう！
柚,？ラーメンって言ってなかった？
忍,で、飲み干す？飲み干さない？
柚,えっと・・・アタシは場合によるけど、最近は飲み干してるよ。スタンプ欲しいし
忍,え、まさかの家系？
柚,うん、最近ハマっちゃってさ～
忍,なるほどね～そういう制度があるってことは小耳にはさんだことがあるけど……
柚,アタシがよく行くお店にはあるかなぁ。どこのお店にもその制度があるってわけじゃないと思うけど
忍,ふ～ん
柚,忍ちゃんは？
忍,アタシも場合によりけりだけど、最近は飲んでないかなぁ
柚,へぇ、なんで？
忍,え、なんでって……。最近油そばにハマってるから。ちなみに最近穂乃香ちゃんは二郎系に行って衝撃を受けたっぽいよ
柚,あら～
忍,この前話してくれたんだけど、ナチュラルに誘われたらもう一回食べてもいいかもって言ってよ。あれは完全にハマったクチだね
柚,あら～。ちなみにあずきちゃんは？
忍,あずきちゃんは刀削麺にハマってるらしいよ
柚,あらら？？？？？。ケーキを買って参り申したぞ、お代官様
忍,お主も悪よのぉ……
柚,ショートとショコラどっちが良い？
忍,ショートかなぁ
柚,おっけー。じゃあ、お皿を準備してっと
忍,おおー
柚,はい、これで準備万端！
忍,ではでは、いただきます！……あ！
柚,うん？
忍,一つ聞いてもよろしいですか？
柚,なんだ。申してみよ
忍,このケーキの周りについているビニールを舐めるのは……？
柚,……セーフ！
忍,ありがたき幸せ！
柚,まあ、アタシはそんなことしないけどネ
忍,な、何？
柚,昔はそれはもうベロンベロン舐めてたよ？でも今は違う！
忍,今は？
柚,今はこうして限界までフォークでビニールに付いてるクリームをこそげて……
忍,こそげて……？
柚,舐める
忍,舐めるんかい。いや、舐めるんかい！
柚,エビフライうみゃ～！
忍,エセ名古屋弁使うと、ふじともちゃんに怒られるよ
柚,でも、この店に来ると使ってしまう……そんくらいおいしい……
忍,まあ良いけどさ
柚,アレ？
忍,ん？何？
柚,忍ちゃん、エビのしっぽ食べない派だったったけ？
忍,ああ、これ？アタシ、エビフライの時はしっぽ食べないんだよね。てんぷらの時は食べるけど
柚,ふ～ん……なんで？
忍,う～ん……てんぷらだと柔らかいけど、エビフライだと固いから……かな？
柚,へ～
忍,柚ちゃんはどっちも食べる派なんだね
柚,そうだね。手軽に甲羅食べてる感味わえるし
忍,え、なにその独特な感性
柚,いやほら、甲羅を食べてるって感じると、まだまだ自分のあごや歯は大丈夫なんだなって思えるじゃん？
忍,いや、じゃん？って言われても……
柚,だから、カニ食べるときは甲羅に手間取っちゃって大変なんだよね～
忍,ふ～ん……。え？カニの甲羅も食べるの？
