伊集院惠,ここが……備前の国ね
夏美,いいのよ、私たちああいうのが大っ嫌いだから♪
惠,貴女こそ怪我はない？
少女,ええ…
芽衣子,よっ、よっ…はい♪大事なお茶碗拾っておいたよ
少女,重ね重ね、すいません…
椿,あら、あれだけ激しく叩きつけられのに…一つも割れてないですね
少女,ええ、備前焼きは丈夫で有名ですから…
夏美,さっきの奴らの顔に投げつけてやればよかったわね…
惠,人のものを投げちゃダメでしょ
椿,あの、よろしければ一ついただけませんか？
少女,え？でも…
椿,私たち旅の者でして、こういうお土産品を探してたんです。だからお一つ買わせてください
少女,あの…その…………ありがとうございます！
椿,いえいえ♪私、椿と申します。貴女は？
肇,私は肇、藤原肇です
椿,では肇さん、お家まで送りますよ
肇,ここです。安普請ですけど、どうぞあがってください
椿,はい。芽衣子さん大丈夫ですか？
芽衣子,大丈夫…大丈夫だよ…
肇,すいません、荷車…重かったですよね
夏美,大丈夫よ、お腹が減ってちょうどいいでしょ♪
肇,そ、そうですか…？おじいちゃん、おじいちゃん？どこ行ったんだろう…
椿,ご両親はいらっしゃらないのですか？
肇,ええ、私が幼い頃に二人とも流行り病で亡くなりまして…
椿,あら…それは失礼いたしました
肇,おじいちゃん？……ここにもいないとなると……まさか…！。おじいちゃん！ダメじゃない寝てなきゃ！
藤原爺,うるさい、それより何じゃ、これは
肇,これは私が……
爺,そんな事はわかっとる。これを、こんな物を売りにいったのか
肇,それは…
爺,馬鹿者め、お前は伊部の名に泥を塗る気か
肇,でも、こうでもしないとおじいちゃんが！
爺,こんな物に生かされるくらいならわしは…
椿,お取り込み中のところ申し訳ございません
爺,……誰じゃ、あんたら
椿,越後のちりめん問屋の娘、椿と申します。世間知らずの若輩者故、諸国を旅しております
爺,ほう…そんな金持ちの嬢ちゃんがなんだってこんなところに
肇,町で男たちに襲われているところを、この方たちに助けて頂いて…
爺,何！？まさか…棟方屋の連中に何かされたのか！？
椿,棟方屋…？
肇,最近、城下町に店を構えた焼物問屋なんですが…あんなやくざ者を雇ったりしていて、黒い噂が絶えないんです…
爺,奴らに脅され、不利な約束を結ばされた職人が後を絶たなくてな。借金地獄に落ちた仲間も多い……外道じゃよ
夏美,そんなに悪辣なのに、奉行所に訴えた人はいないの？
肇,奉行所に訴えた方は何人もいました…でも、まともに相手された人は……
爺,奉行所もグルなんじゃ。聞けば、奉行所に収める焼物は元々別の問屋が卸していたというのに、今では棟方屋が独占しておる。とにかく、肇よ、もう城下町へは行くな。分かったな
肇,……はい
椿,…………
惠,酷い話ね
芽衣子,ホントだよ！私たちでどうにか出来ないかな…
夏美,どうにかねぇ…
椿,いえ、どうにかしましょう。マキノさん、話は聞いていましたね？
芽衣子,え？
マキノ,あら、やっぱり椿さまにはバレてたのね
芽衣子,きゃあ！？マキノちゃん！
椿,マキノさん、探りを入れて頂けませんか？
マキノ,もちろんです、そろそろあの二人も岡山に来るはずですから、伝えておきますよ
椿,はい、お願いしますね
マキノ,では
芽衣子,はぇ～…相変わらず神出鬼没だねぇ～…
肇,皆さん。あれ…どなたかいらっしゃってました？
椿,いいえ♪何かありましたか？
肇,いえ、お食事の用意ができましたから、お昼だけでも食べていってください
芽衣子,ご飯！？わーい☆
惠,まったくこの子は…
夏美,ありがたいけど、私たちは…
椿,夏美さん、いいじゃないですか。せっかくですし頂いていきましょう
芽衣子,そうだよ！はやくいこ♪
番頭,なにぃ！？女四人組に追い返されて来ただとぉ！？
チンピラ１,へ…へい…
チンピラ２,すいやせん…
番頭,こんの…ボケ！カス！ハゲ！！
？？？,あの～
チンピラ１,いやマゲ結ってたらみんなここハゲだと思うんですけど…
チンピラ２,マジレス乙～ｗｗｗ
番頭,てめぇら…！！
？？？,ごめんくださ～い
番頭,うるせえな！！今取り込んでんだ！！！
美里,あの～、こちらで女中のバイト募集してるって聞いて来たんですけど～
真奈美,私は基本力仕事専門だが、仕事は選ばない。小間使いでも何でも好きなように使ってくれ
番頭,バイトだぁ？
？？？,まあまあ、いいじゃないですか
番頭,姐さん！？
愛海,いいじゃないバイト、ちょうど人手が欲しいところだし…それに
美里,ん？
愛海,げっへっへっへ…お姉さんいい体してまんなぁ…
美里,あらやだ♪お上手☆
愛海,お前たち、二人に仕事着を用意してやんな！そういう訳でよろしくね～
番頭,へ、へい…よぉし、じゃあ使ってやろうじゃねえか。そっちのねえちゃんは向こうで…こっちのねえちゃ…？にいちゃん…？
真奈美,私はどちらでも構わないよ(顎クイ)番頭さんの思うがままの私になろう…
番頭,は…はひ…
マキノ,ふふっ、こっちは上手く行きそうね。さてと…。粉飾決算に水増し請求…やれやれ、こんなの算盤を弾くまでもないわね。さて…例の棟方屋に流れてるさほど金は多くないのね……この程度のつながり？余計に怪しい…
侍,おい！誰かおるのか！おい！
マキノ,あら、早かったわね……………はい、ここに
侍,貴様、女中か。そこで何をしておる！
マキノ,この階の全ての部屋を掃除しろとお達しがありましたので、はたきをかけておりました…
侍,この部屋は女中が入れんことを聞いておらんのか！見張りは何をしておる！
マキノ,さぁ…存じ上げません(美濃忍法・精露丸で厠送りよ…)
侍,とにかく、今すぐ立ち去れ！！
マキノ,も、申し訳ございません…
侍,むっ…待て、貴様…胸元に何か隠しておるな…？
マキノ,はい…？いえ…何も……
侍,怪しいな…ええい、胸元を開けてこちらに見せい！
マキノ,そ…そのような事できません…！
侍,ならば…触って確かめるまでよっ！
マキノ,いやっ！
侍,ほう……ただの女中にしては良いものを持ってるでは無いか…
マキノ,お…お止めください！！
侍,ふんっ、減るものではあるまい！
マキノ,いいえ、減ります
侍,なにっ…？
マキノ,貴方様のお命にございます
侍,痛っ！？なんだ！？
マムシ,シャー！！
侍,ひっ！！？
マキノ,やれやれ…死体の処理が面倒ね…それ、食べれる？
マムシ,(食べる！)
マキノ,そう、じゃあお願い
侍,やめろ…やめっ！！
マムシ,(ほめてほめて)
マキノ,さて、もう少し資料がいるわね…
肇,…………。…………だめ…こんなんじゃとても…
椿,…………
肇,！？……つ…椿さん！いつからそこに！？
椿,お邪魔してしまってごめんなさい、ただ、備前焼を見つめる肇さんの横顔が美しかったのでつい…
肇,絵を…描かれるんですね
椿,ええ、旅先での出来事を故郷に帰ってから自慢したいんです♪
肇,それでしたら、私なんて…
椿,いいえ、そんな事ありません
肇,椿さん！？お手が汚れますよ！
椿,大丈夫です。肇さん、指が細いんですね。職人さんの手ってもっとゴツゴツしてるのかと思いました
肇,あ…ありがとうございます…
椿,あの…私にも備前焼の作り方を教えていただいていいですか？
肇,え…？
椿,知ってますか？師範というのは弟子に教えるだけでなく、弟子からも教わるそうですよ
肇,弟子から？
椿,ええ、他人に教える事で、無意識のうちに曖昧で済ませていた事に気づいたり、そのものの本質を見たりするんです
肇,本質…
椿,ですから、私に教えてください。肇さんの備前焼を♪
肇,………はい！
爺,げほっ！げほっ！
芽衣子,あ～おじいさん、お水お水
爺,おぉ…すまんね…客人なのに
芽衣子,いいんですよ～♪こう見えて、みんなの世話をしてるのは私なんですから！
爺,えっ
芽衣子,あれー……？
爺,……とにかく、わしは窯にいかんと…
芽衣子,あーわわわ！ダメですよ寝てなきゃ！！
爺,わしが作らにゃ…おまんま食い上げじゃ……
芽衣子,肇ちゃんに任せられませんか？
爺,ん……今のあいつには無理じゃ。あいつの顔を見てるとな、倅…あいつの父親の顔を思い出すんじゃよ……倅はわしに追いつこうと必死じゃった。そしてわしも倅を一人前にしようと厳しく接した……そしてわしは倅を潰してしまった…
芽衣子,おじいさん……
爺,焼き物はね……作ったもんの魂が宿るもの、今の肇が作る焼き物は倅に似とるんです
芽衣子,そうなんですね…
爺,じゃからわしが…
芽衣子,ダメッ！！！
爺,のわっ！！？
芽衣子,おじいさんの気持ちはわかります……でも、ここでおじいさんがポックリいったらどうするんですか！とにかく今は体を治して…………おじいさん？
爺,こ…腰が……
芽衣子,あれぇ！？ギックリ！？うわーん！！ごめんなさーーい！！！
美里,なるほど……そっちは芳しくないんだぁ～
マキノ,そう、悪いんだけど、美里さんの方でも
美里,はいは～い♪元からそのつもりだよ♪
マキノ,真奈美さんも
真奈美,任せたまえ
番頭,おい、真奈美！…さん！風呂の準備はできて……ご用意はよろしくて？
マキノ,おっと
真奈美,はい、出来ております
番頭,おう……ありがとうございます
真奈美,湯加減は確かめていただけますか。完璧のはずですが
番頭,ご…ご苦労…さま、です……クソっ…やりづれえったらありゃしねぇ…
美里,ごゆっくり～
番頭,うむ………あっ、そうだ…美里ちゃ～ん？
美里,はい？
番頭,後でさぁ～背中、流してくれねえかなあ？
美里,え……あ、はい～☆任せてください
番頭,着物が濡れるからよぉ、襦袢で来いよ？
美里,いや～ん、番頭さんのエッチ～♪
番頭,げっへっへ…じゃ、待ってるからよぉ、早く来いよ
美里,はぁ～い♪。……………はぁ…
真奈美,やれやれ、美人過ぎるのも考え物だね
美里,あら、お上手
真奈美,いいのかい、美里。はぐらかす事もできただろうに
美里,いいのいいの、あの人…いつも胸に何か忍ばせてるし…
真奈美,なるほどな……何かあったら呼んでくれ。君が汚されるような事は…
美里,きゃー！真奈美さんってばイケメ～ン☆
番頭,おい！美里！まだこねえのか！
美里,おっと…じゃ、よろしくね♪
真奈美,うむ
美里,失礼いたします
番頭,おう！おせえぞ！
美里,申し訳ございません…きゃっ！
番頭,へっへっへ…お湯も滴るいいオンナって感じだなぁ
美里,もう…お戯れを…
番頭,なあ…お前も分かってんだろ…？こっち来いよ、裸の付き合いだ！
美里,きゃっ！
番頭,けけけ…俺ぁなあ…濡れ透けフェチなんだよぅ…
美里,み…見ないでくださいまし…
番頭,いじらしい事言ってくれるじゃねえか…ほら、もっとこっちに来いよ！
美里,あ～れ～
番頭,あら？あららら～？？？？
美里,えいっ
番頭,がぼぼぼぼ！！！？？
美里,旅星忍法・河童絡め…ごめんなさいね、番・頭・さ・ん♪
番頭,がぼっ！？げぼ！？溺れる！溺れるぅ！！！？？
チンピラ１,何事ですかい！？
チンピラ２,アニキ！？
番頭,たっ…助け…！
チンピラ１・２,ちょ！？あああああ！！？
愛海,えええ～！！！？？例の書状を盗まれたぁ！！？？
番頭,へ…へい…すいやせん…
愛海,バカバカバカ！ハゲ！禿頭！アルシンド！！うちと代官様との関係がバレたら…！
チンピラ１,これはきっとアイツらだ…伊部の藤原達の仕業に違いありやせんぜ
愛海,伊部の！？…そっか…ふっふっふ、この愛海様を怒らせた事…あの世で後悔させてあげなくちゃ…
？？？,棟方屋さん
愛海,うぇ！？おっ、お代官様ぁ！！？
瑛梨華,も～、書状を盗まれるなんて…斬り捨てGO☆ME☆Nしちゃぞ☆
愛海,おっ、お許しください！！かくなるうえは…伊部の者どもに天誅を
瑛梨華,ホント？もし失敗したら…
愛海,したら…？
瑛梨華,ばっきゅん☆
愛海,ひぇ！？かっ、必ずや！！！
チンピラ２,姐さん、伊部の藤原っていやあ、あの娘がいますね…
愛海,え？あ…そっかぁ…
瑛梨華,MU☆SU☆ME？
愛海,は、はい…たしか肇と…
瑛梨華,ハジメ…ハジメってハナ肇の肇？
愛海,え？あ、はい…たぶん
瑛梨華,わ～お！その娘連れてきて、ZETTAI☆面白い事できるよ！
愛海,え？そうなんで…あ、いや、必ずや…はい………アンタ達、行くよ！登山の準備だ！！！
椿,なるほど…これは…
美里,コレを見る限り、ここの代官・赤西瑛梨華之介と棟方屋の関係はズブズブですねぇ…
マキノ,けど、決定的な証拠とは言いにくいわね…やはり、直接二人を絞り上げた方が
真奈美,そうだね、このままでは遅かれ早かれ伊部の職人達が干上がってしまう
夏美,アイツら…！
惠,これは事を急いだ方が良さそうね…
芽衣子,みんな～！！大変！大変だよ～！！！
椿,芽衣子さん？
夏美,芽衣子ちゃんストーップ！
芽衣子,はい！
夏美,お座り！お手！
芽衣子,わんっ♪……って、ちょっとー！！
夏美,アハハ、ごめんなさい♪
芽衣子,それどころじゃないの！アイツらが！！
チンピラ,ヒャッハー！！壊せ壊せー！！
肇,やめて！やめてください！！
爺,貴様ら！棟方屋か…！下衆どもが！！
チンピラ,うるせぇ！！
爺,ぐわっ！？
肇,おじいちゃん！？
チンピラ,けっ！おい、野郎ども引き上げだ！！
チンピラ衆,へい！
肇,酷い…こんな…こんな事って…！
侍１,おい、肇という娘はおるか
肇,はい…？あっ！お武家様！助けてください！棟方屋の者達が焼き物を壊していったんです！！
侍１,貴様には奉行所に来てもらう！大人しく縛につけい！
肇,……え？
爺,そんな…何かの間違いじゃ！
肇,離して！離してください！！
侍２,うるさい！大人しくしろ！！
爺,やめろ！やめてくれ！孫が何をしたって言うんじゃ！！
侍１,この娘には赤西様を暗殺しようとした嫌疑がかかっておる！大人しく沙汰を待てぃ！
爺,そんな…孫がそんな事をするわけ…！
侍１,黙れ！！
爺,ぐあっ！？
芽衣子,ああっ！おじいさん！！
椿,何事ですか…お武家様たちがこのようなところまで…
侍３,む…なんだ貴様らは
椿,越後のちりめん問屋の娘、椿と申します。諸国を旅しておりまして、こちらにお世話になっております
侍１,ふんっ、旅の小娘か…ならば貴様らには関係の無い事よ！邪魔立てするなら貴様らも奉行所へひっ捕らえてくれる！
椿,そうですか、でしたらお邪魔させていただきましょう
侍１,なにぃ！
夏美,ちょっと！椿ちゃん！？
椿,頃合を見て助けに来てください…虎穴に入らずんば虎児を得ず…です
夏美,でも…！
椿,さあ、お武家様、その赤西だか亀梨だか言うお代官様のところへ連れて行っていただけますか？
侍１,この…アマぁ……！？ええい、ひったてぇい！！
爺,肇！肇ぇ！
肇,おじいちゃん…！
椿,肇さん、落ち着いてください。今騒いでも仕方ありません。後で必ず私の連れが助けに来てくれますよ
肇,椿さん…？貴女いったい…？
椿,ふふっ、世間知らずな越後の小娘ですよ。そして、焼物職人・藤原肇の一番弟子です♪
肇,きゃあ！
瑛梨華,ふっふっふ…君が肇ちゃんかぁ……この赤西瑛梨華之介の前に連れてこられたからには…どうなるか分かってるNE？
肇,何を…何をなさるおつもりですか…！？
瑛梨華,ノンノン☆何かするのは、君の方DA☆YO！
肇,え…？
瑛梨華,みんなー！お待たせしましたー☆これより期待の超☆新☆星・藤原肇ちゃんオン・ステーーージ♪
部下達,うおおおおおおおおおおおおおおおお！！！！！
肇,え？
瑛梨華,伊部が産んだ笑いのニュージェネレーション！清楚で大人しい顔からは想像できない稀代のコメディエンヌ！伝説のデビューライブを目に焼き付ける準備はいいかー！！
部下達,おおおおおおおおおおおお！！！！
肇,ええ？
瑛梨華,お笑いがみたいかあああ！！？
部下達,おおおおおおおお！！！
瑛梨華,伴天連に行きたいかああああ！！！？
部下達,おおおおおおおお！！！
肇,ええええっ！！！？？
椿,あっ！
愛海,うぇっへっへ……肇山の登山は後回しになっちゃったけど…越後も美人どころだもんねぇ…椿山…どんな登り心地だろぉ…
椿,やはり…お代官様と繋がっていたのですね…！
愛海,そうだよ～、でも、そんなの関係ないでしょ？これから君はずぅーっと私専用のお山(なぐさみもの)になるんだからさぁ…
椿,そうですか……それはいい事を聞きました
愛海,ホントに！？ホントに私専用になってくれるの！！？イヤッホゥ！！
椿,…
愛海,あれ……おかしいなー？興奮しすぎて時の流れが遅くなってるのかなー？さっきからずっとお空を飛んでるようなー…
真奈美,おや、登山登山というから高いところが好きなのかと思ったんだが…違ったかな？
愛海,え？あーっ！！？そのご立派なお山はぁ！！！！？？
瑛梨華,一発芸！！一発芸！！
部下達,一発芸！！一発芸！！
肇,そんな…私…お笑いなんて……
部下達,おーい何やってんだー！早くしろー！！。焦らしてんじゃねえよー！！
チンピラ,おーい！脱いでくれてもいいんだぜー！。JK！JK！JK！JK！
肇,(できない……でも…私がここで拒否したら…伊部のみんなに迷惑がかかるかも…)
瑛梨華,肇ちゃーん！巻いて巻いてー！
肇,……。(今宵……私は汚れてしまうんだ……どうせ汚れるなら、土に塗れたかったけど……)。…一発芸…させて頂きます…！！
一同,うおおおおおおおおお！！！！！
椿,肇さん！！
瑛梨華,NA☆NI☆YA☆TU！！？
肇,＼兵！／みんな乗ってるわね！！そう、心まで…舞踊的！！//////
椿,え
肇,あ
真奈美,おや
椿,えっと…あの……。すいません、間違えました
肇,……////////////////////
瑛梨華,あ、はいー………………って、なんでやねーん！！！者どもー！DE☆A☆E！！！！
椿,ああ……あちこちで悪者退治して来ましたが、こんな出づらい登場は初めてです…
真奈美,彼女に害は無かったんだから、いいじゃないか。肉体的には
肇,(放心)
椿,えー…こほん……赤西瑛梨華之介、商人と手を組み私服を肥やそうとするその企み。私にはヅバッとバキッとお見通しです！
瑛梨華,なぬぅ！
椿,こちらの可愛らしい商人さんが教えてくださいました
真奈美,それっ
愛海,うひゃああああ！！？
瑛梨華,えええ！？ちょちょちょっ！？。あいたた…
愛海,げへへへ…赤西様のお山…やわらか～い…あったか～い…
瑛梨華,やんっ！ちょっと愛海ちゃん！？
椿,さて…今すぐ罪を認め、代官の職を辞する事をオススメします。さもなくば然るべき方から裁かれる事になりますよ！
瑛梨華,ふ、ふーんだ！たかが旅の小娘如きに何ができるって…ちょっと愛海ちゃんJA☆MAAAAAA！！！！
愛海,(一心不乱)
瑛梨華,者ども～！やってO☆SHI☆MA☆I
一同,おおおおっ！！
椿,夏美さん！惠さん！出番です！！
惠,はっ！………あの…ちょっとだけ待ってもらっていいですか…？夏美さんが…
夏美,ふふっ……ふふふ…カワイイ…兵！って…カワイイ…
椿,あらら…
瑛梨華,あーもうグダグダー！！！いいからやっちゃえー！！！！！
椿,仕方の無い方たちですね…！
侍,でええええい！
惠,ふんっ
侍,あがあっ！？
惠,夏美さん！
夏美,あー…おかしい…久しぶりにツボっちゃった…
チンピラ,オッラーン！！。死ねよやああ！
夏美,はい、ほい、よししょ
チンピラ,アバーッ！！
夏美,芽衣子ちゃん、その子よろしく♪
芽衣子,はーい！！肇ちゃん！しっかりして、大丈夫汚れてない！貴女はヨゴレじゃないよ！！
肇,はい…はい…ありがとうございま…
チンピラ１,待てやぁ！
チンピラ２,剥け剥けぇ！JKじゃあ！！
肇,！？
芽衣子,肇ちゃん！！
美里,よっ、と…お二人とも、お久しぶり♪
チンピラ１,あー！？てめえ！
チンピラ２,どけBBA！
美里,ふーん、そ。旅星忍法・峰打ち☆あ、そっちの人にはもう一発
チンピラ２,ひぎぃ！！？
美里,真奈美さーん♪
番頭,やべぇよ…やべぇよ…！
真奈美,やぁ、しばらくぶりだね
番頭,て…てめぇは！？。壁ドン！？
真奈美,やれやれ…イケない子だ…私から逃げてしまうのかい？
番頭,は…はひ…
真奈美,マキノくん、代官を
瑛梨華,う…うっそーん……こうなれば！伝家の宝刀・ハリセン打法ー！！。あれ？え？あれ？U☆GO☆KE☆NNA☆I！？
マキノ,風車なんてキザな得物…ホントは好きじゃないんだけど…しばらくそのままでいて頂戴
瑛梨華,あれー！？エリカちん標本になっちゃった！？
椿,えい！やぁ！
侍,うぐっ！？
チンピラ,いでぇ！？
椿,……まったく、女性相手に刀なんて…………夏美さん！惠さん！もういいでしょう！
夏美,はい！静まれぇ！！
惠,静まれ！静まれぇい！！
瑛梨華,え？なになに？
愛海,もみ？
惠,この紋所が目に入らぬか！！！！
瑛梨華,えーっと……ええええええ！！！？？
夏美,ここにおわすお方をどなたと心得る！先の副将軍…の正室！椿殿であらせられるぞ！
愛海,えと…つまり……ええええええ！！？？は、ははーっ！
部下達,ははーっ！
チンピラ,ははーっ！
瑛梨華,あっ！えっ！？あの、アタシだけ磔！！も、申し訳ございません～！！！
肇,椿さんが……徳川家の…！？
椿,赤西瑛梨華之介、そちの悪業、この椿がしかと見届けました。この事は遠からず公方様の耳にも届く事でしょう
瑛梨華,そ…そんな…
椿,棟方屋の愛海といいましたか。貴女にも罰を受けていただきます。逃げることなく縛につきなさい
愛海,は、はい～！！
椿,肇さん
肇,は、はい！まさか御台所様とは露知らず、数々のご無礼…何卒お許しを…！
爺,肇！
肇,おじいちゃん！
爺,椿様…お許しくだせえ…何卒…後生でございます…
椿,………………肇さん、面を上げて、お手を出してください
肇,はい…
椿,本当に綺麗な手…貴女がこれから作る焼物は、さぞや美しいことでしょうね
肇,そんな…もったいないお言葉…
椿,おじいさん
爺,へ…へい！
椿,人は過ちを繰り返します。何度も何度も。ですが、それが過ちと気づけているのなら、改める事も必ずできます。安心してください。貴女のお孫さんは、こんなにも美しく強い心をお持ちです
爺,……ははーっ…！
椿,肇さん、もう一度、焼物を教えてください。自分の器を確かめてみたいのです
肇,はいっ！喜んで！
悠貴,お団子とお茶４つ、お待たせしましたっ
芽衣子,わーい！お団子ー！
夏美,いい事した後のお団子は美味しいわね～
惠,あら、夏美さん、こないだ甘いものは控えるって言ってませんでしたか？
夏美,このくらい大丈夫よ！だぶん！
椿,ふふふ、大丈夫ですよ。あれだけの大立ち回りを演じた後なんですから
悠貴,みなさん、ご旅行なんですか？
椿,ええ、諸国をぶらりと
悠貴,いいなー、私も早くお金を貯めて旅をしてみたいですっ
椿,あら、何か目的があるんですか？
悠貴,え…あはは…特に無いんですけど…
夏美,まぁいいんじゃない？可愛い子には旅をさせよって言うし
芽衣子,ほうあよ！ふぁみははのひいほ！
惠,飲み込んでからにしなさい
椿,そうですね、旅先で様々な人と出会い、色んな経験をして、多くのことを得るのはとても楽しいですから…。見る、知る、触れる。そういう体験こそが人という器を美しくするのです…そう、この茶碗は私が…
悠貴,うわぁ、ブサイクなお茶碗ですね…棟方屋にでも買わされたんですかっ？
椿,えっ、あっ…ええ……
夏美,………
惠,………ふふふ…
夏美,…アハハッ
椿,……………うふふふ…
芽衣子,おかわり！
