双葉杏,最近、何か急に寒くなってきた気がする……
杏,……。……本当に？。……冷静になってみよう。"この幸子は普段の反対の性格である"が正しいなら……？。"カワイイ"なんて口にする必要もないくらいの自信家が、普段の反対だとしたら……？。普段の幸子が"カワイイ"と口にする理由は……。普段の、自信家に見える幸子は……！。幸子
輿火幸子,へ？どうかしましたか？
杏,こっち、来て
輿火幸子,い、いや、ボクは宿題を……
杏,……いいから
輿火幸子,は、はあ……
杏,……
輿火幸子,いったい、なんなんで……
杏,……
輿火幸子,わっ！？ち、ちょっと！杏さん！？
杏,……幸子は、カワイイよ
輿火幸子,え？え？
杏,ちゃんと、覚えておいてね……
輿火幸子,あっ、は、はい……
杏,じゃあ、杏は寝るから
輿火幸子,？？？
杏,杏らしくないかなぁ……。ふわぁ……。あれ、誰もいない……、幸子は仕事かな。でもまあ、冷静に考えてみよう。今、幸子で何かいい感じの雰囲気になったから、そろそろオチが来て話を畳むはず……。ここからはそんなにヤバい奴は来ない！
栗山智絵里,346プロも球団を買って一儲けしましょう！
杏,緒方の反対を栗山にするな！！！双方に失礼だろ！！！
香川未央,うどん食べたい
杏,お前さっきトヨタだったろ！？！？
ケンブリッジつかさ,結局、陸上が一番コスパいい競技なわけ、わかる？
杏,桐生からケンブリッジ！？！？怒涛のスポーツラッシュやめてよ！！！！！。し、死ぬ……。もう、誰が来ても驚かないぞ……
小腹減る,こんにちは……
杏,誰！！！
小腹減る,あ、杏さん……、お、お助けを……、今月のパンが切れてしまいまして……
杏,パン……。小腹←→大原減る←→みちる。みちる！？！？！？
小腹減る,なにか……、パンを……
杏,マジか……、えっと……そこの戸棚のところに菓子パンがいくつかあったような……
小腹減る,ほ、本当ですか！！！
杏,まあ、事情を説明して、給料から引いてもらえばいいんじゃない？
小腹減る,ありがとうございます！
杏,もう食べてるのかよ
満腹満ちる,ふうー！助かりました！
杏,大原みちるには戻らないの！？
満腹満ちる,？
杏,いや、もういいや……
中腹満ちる,そうですか？
杏,まって
小腹満ちる,どうかしましたか？
杏,待てって！
小腹減る,お腹が空きました……
杏,コスパ最悪だなみちる！！！！！。ほ、ほら！アメあげるから！
小腹減る,あ、ありがとうございます
杏,これじゃあ回復しないと思うけど……
小腹満ちない,……
杏,言い回し腹立つな
小腹減る,……おや
杏,ど、どうしたの？
小腹減る,……杏さんの"双葉"の部分、美味しそうですね……
杏,は、はあ！？
小腹減る,いただきます！
杏,えっちょまっ！
小腹減る,す、すごいです！
単葉杏,ち、ちょっと！？なんか変なんだけど！？！？！？
満腹満ちる,……あ
単葉杏,こ、今度は何！？
満腹満ちる,"杏"の部分も……
単葉杏,えっ
満腹満ちる,……
単葉杏,いやいやいやいや
満腹満ちる,いただきます！！！
単葉杏,うわああああああああああああああ！！！！！！
杏,うわああああああああああああああ！！！！！！
大原みちる,わあ！あ、杏さん、うなされてましたが、大丈夫ですか？
杏,うわああ！！！み、みちる！？
みちる,そ、そんな化け物を見たみたいなリアクションしなくても……
杏,ふ、普通……、ってことは……
みちる,？
杏,夢オチ……かよ……。……な、何をしてるの？
みちる,そうだ！聞いてくださいよ杏さん……、今月の分のパンがなくなってしまって……
杏,！！！
みちる,あ、杏さん！？
杏,な、なんでもないよ、で？
みちる,はい！でも、今、スイーツファイブが食べ物を作ってくれているんです！
杏,そ、それはよかったね……スイーツファイブ？
みちる,そうなんです！なんでも、アンズを使ったお菓子だとか！
杏,！！！
みちる,いやあ、"アンズ"、とっても"美味しそう"です！
杏,……
みちる,杏さん！？！？！？
