※艦隊これくしょんは(DMMアカウント的な意味で)18歳未満の人にはプレイできません。それをガヴリールがプレイしているのは,PCになぜか入っていて勝手に起動していたネトゲ
ガヴリール,マスのマークが違いますね……
PC,ポーン……キィーィンなのです！
ガヴリール,わ、敵の数が……
PC画面,軽巡駆逐駆逐駆逐
PC,……どっかぁーん！
ガヴリール,！？い、一方的に攻撃されてます！
PC,ドンッ！はわわ！？恥ずかしいよお…
ガヴリール,電ちゃんの服が！
PC画面,追撃せず夜戦突入
ガヴリール,電ちゃんが大変ですし追撃はしなくていいですよね？
PC画面,追撃せず
ガヴリール,それでどうやって直してあげれば……。補給……じゃないですし、工廠でもないですし……。？……ここは……にゅうきょと読むのですね。……！ここで直せるんですか！
PC,衝突とか、気をつけますね
ガヴリール,イベント、ですか……。まずは水上機母艦と駆逐艦ですね……。何度かボスも倒せましたし、順調に進んでたのですが…………。むう……皆さん結構ダメージを受けちゃいましたね…………とりあえず一度戻りましょう。一休み一休み、と。皆さん回復しましたしもう一度……あれ？
戦力ゲージ,伸びてるでー
ガヴリール,目の錯覚でしょうか？。今回もボスを倒せましたが。また皆さん結構ダメージを受けちゃいましたね……また休んで明日続きをしましょう。う、嘘！？。き、気のせいじゃなかったんですね……。こ、今晩頑張って何とかしましょう…………。結構良い感じに進みましたけど……もう時間も遅いし……休みの日一日掛けてなんとかするべきだったでしょうか…………。ですが今回ボスを倒せればこの海域はクリアです！
電,はわわ！？恥ずかしいよお…
ガヴリール,わ！電ちゃんが！？。う……一度引いて、高速修復材で回復してからもう一度出撃？…………でもそれでもう一度到達できなかったら……。今まで特に何か、というような事も無かったはずですし、このまま進んでも大丈夫ですよね？
PC画面,進撃
古鷹,主砲狙って、そう…。撃てぇー！
PC,ドンッ！ドンッ！
電,次に生まれてくる時は…平和な世界だといいな…
ガヴリール,へ？
PC画面,艦娘轟沈LOST
那珂,ロケ中はお肌が荒れちゃうなぁ
PC,ドンッ！ドンッ！
ガヴリール,電ちゃん？
千代田,索敵したら、攻撃よね！
PC,ドンッ！ドンッ！
PC画面,B勝利
ガヴリール,ボスは撃破できたし、電ちゃんも母港に戻れば……。………電ちゃん……電ちゃんはどこに？。そ、そうです、インターネットで調べれば……。沈んだ子は、帰っては来ない……戻ってくるのも、同じ顔をした別の子？。……本当に、手はないんですか？。少なくとも大破で進撃したら確実に轟沈の可能性がある……それどころか時々進撃していた中破でも可能性があった？電ちゃん……私は…………。電ちゃん、電ちゃんごめんなさい……私は、私は、なんて、事を…………。…………今日は、もう休もう
※13年10月・11月に,中破轟沈を確認したという記事の載った雑誌
※現在は,中破轟沈した
ガヴリール,電ちゃん…………。いえ、先に、先に進まなくては、電ちゃんは……
朧,絶対に守ります
PC,ドンッ！ドンッ！
那珂,こんなになっても、那珂ちゃんは絶対、路線変更しないんだから！
ガヴリール,て、撤退、撤退しないと……
PC画面,S勝利
PC,キランッ
ガヴリール,電ちゃん！？。う、あ、ああ、うぅぅぅ……電ちゃん、電ちゃん、ごめんなさい、ごめんなさい…………。結局、攻略できたのは2番目の海域まで……でも、電ちゃん以外は無事に終わった。……これで良かったんですよね、電ちゃん…………
電,司令官さん、そのぅ…誰かと間違えてないですか？
ガヴリール,夏休みの初めはみんなで海に行ったけど、後半は艦これです！。夏休みを使って艦隊の練度も上げたし、装備も準備できた……今度は全部攻略しますよ！。曲が変わってる！。支援艦隊は最後のダメ押しとかにはいいですけども……資源の消費があるし、遠征が止まるからその分も合わさると……。でも道中でダメージを受けにくくなるのは大きいですし……。うう、それに対潜装備の準備でも思ってたよりも資源を消費してしまいましたし……
日向,航空戦艦の真の力、思い知れ！
ガヴリール,潜水艦にも攻撃できて、二巡させられる。使いどころを間違えなければ航空戦艦はとても便利ですね。ほ、補給できない！？
PC画面,燃料14弾薬32鋼材500ボーキサイト1000
ガヴリール,ま、まあこの海域もクリアできましたし……。そうです、ひとまず資源の回復に努めて、貯まったら最後のマップをクリアしましょう。し、資源消費が思ったより激しかったですね……も、もう一度貯めてから…………。え、どうして、どうしてコレで足りないんですか！？。ま、また貯めてから、それから……
ガウリール,や、やっとギリギリ、で、でも資源が、資源が……
ガヴリール,ま、また、貯めないと…………。こ、今度こそ十分な量溜めたはずです。そ、それに、もう次はないんです……
PC,シャッ！シャッ！シャッ！
ガヴリール,や、やった、那珂ちゃんセンター！
那珂,いつもありがとー！
PC,シュバッ……ポスッ
ガヴリール,ど、どうして、どうして今ので無理なんですか！？も、もう資源が……それに高速修復材も…………ここまで来て無理なんですか！？。…………そ、そうだ、八八資源セット、それと高速修復材パック、これを。あ、ど、どうやって買えば…………キャッシュカード？ビットキャッシュ？か、買えないんですか……。そんな……そんな…………。も、もっと資源を、高速修復材を、貯めておくべきでした…………。もっと、もっと資源を貯めて、練度も上げて、装備も準備して、もっと、もっと詰めないと…………。クソ、この時期じゃ学生だからって休めないし……。しかも約20日間でまとまった休みは最初くらいじゃんか……。……最初の内は様子見するか？
大井,海の藻屑となりなさいな！
PC,バン、ズガーン！バン、ズガーン！ボンッ…………
ガヴリール,クソ、やっぱサーバー不安定だな
PC,……………………………………………………ガシャン
ガヴリール,……ま、とりあえずE1はクリアしたしいいんだけどさ。次、夜戦マップとかやっぱヤだよなぁ……。クソ運ゲーだし、駆逐艦に戦艦がワンパンされるし…………
高雄,馬鹿め…と言って差し上げますわ！
PC,ドンッ！ズガーン！ボンッ……
ガヴリール,あー、なんとかなったー
大井,海の藻屑となりなさいな！
PC,バン、ズガーン！バン、ズガーン！
ガヴリール,しっかし、あのお仕置き部屋。うぅぅぅ……やっぱ回復するのはプレッシャーだったな…………。と言っても戦力の層もちょっとはあるし、疲労抜きは交互出撃とかで減らせたし、まあ思ったよりは楽だったかなぁ。……でも猫は許さん。だあぁぁぁぁぁぁぁぁぁ！。なんだよ！クソ！クソッタレ！ファッキンHマス！。なんであのクソマスとランダムで祈れってんだ！。そもそもその二択になる前でも延々と運ゲーなんだぞ！誰か一人がまともに攻撃受けたらそれだけで撤退する羽目になるんだぞ！
※Hマス……2013年秋イベント,決戦！鉄底海峡を抜けて！
ガヴリール,しかもたどり着いてもやたらめったらこっちばっかに攻撃が刺さったり、ボスだけ残して昼行かなかったり、昼行ったと思ったらボロボロすぎて大して意味無いだのT字不利だの！。挙句の果てになんか猫るし！。こんな調子じゃボスとまともに戦う前に資源が尽きるってんだよ！ふざけんな！。他のやつらはどうやってんだよ！クソが！
※E4ボス(とHマス)では随伴の特定の敵が残っていないと開幕夜戦だけで戦闘終了。ボスにダメージを与えられないまま終わったりして辛い。なお元ネタ的には,敵が残り過ぎて退避失敗
※猫る……通信エラーが起きる事。猫る。猫った。猫襲来。他だいたいの,猫なんたら
ガヴリール,捨て艦戦法？。主力数隻の他にいらない艦。……ボスを倒す為に出るんじゃなくて、削れるだけ削る方法か…………。…………でも、轟沈するの分かってて進撃させるのか？
※なお殺伐としたスレに颯爽とログの改変ネタ,捨て艦をアナルバイブに置き換えたテキスト
ガヴリール,あー！もー！学校なんて滅べばいい！。もう学校なんて行ってられるかってんだ！。学校のせいで何度回復されたんだよ！どれだけ無駄にしたんだよ！
時雨,この僕を、ここまで追い詰めるとはね。まあ、いいさ
ガヴリール,よくない！何がまあいいさ。クソっ！何度逸れたんだよ！何度撤退したんだよ！。このままじゃ本当に資源が尽きちまう！。あの時あいつが大破しなきゃ、あの時もし進んでたら、ひょっとしたらボスマスにっ！。……捨て艦…………いや、ダメコンはいくつかあったよな？
時雨,僕もここまでか…提督…みんな…さよなら…
ガヴリール,あ、う、うぅっ！
PC,ぴろんっ
PC画面,緊急ダメコン発動！！
ガヴリール,ふっ、ふーっ、ふーっ…………。ううぅ……電ちゃん、電ちゃん…………
夕立,吉川艦長…また、会えるか…なぁ
ガヴリール,あ、う、うぅっ！。ダメコン、ダメコン積んでる、積んでるから…………
PC,ぴろんっ
PC画面,緊急ダメコン発動！！
ガヴリール,ふーっ、ふーっ、ふーっ、ふーっ…………。これはゲーム、これはゲーム、これはゲームだから、ゲームなんだから…………
PC,私、沈むのね…さようなら…提督…
ガブリール,これは、ゲームっ！
PC,ぴろんっ
PC画面,緊急ダメコン発動！！
ガヴリール,ふーっ、ふーっ…………。あ、あぁ、ダメコン……ダメコンがない…………。次、次撃破できたら突破なのに、ダメコンが……
PC,Shit！提督に貰った大切な装備が！
ガヴリール,た、大破…………ダメコンを……ないから撤退しないと……
PC画面,進撃。撤退
ガヴリール,も、もしかしたら沈まないかも…………うっ。戦艦が戦力外なんだから勝ち目は…………。て、撤退、てったいしないと……
PC画面,撤退
ガヴリール,ふぅ…………ふぅ。入渠は、させた……ちょっとだけ、ちょっとだけ…………。い、今、何時！？何日！？
PC画面,15日のAM3時ですねん
ガヴリール,あ、ああああああああああああああああ！。12時間も経ってる…………ゲージは……4分の1くらい増えてる、撃沈2回で終わる？3回？。こんな調子じゃいつになったら、いつになったら！。勝たなきゃ、勝たないと…………。ダメコンないし、大破したら撤退だし……捨て艦……捨て艦…………。ゲ、ゲームなんだから、ゲームだから、やれる事なんだから、問題ない…………。問題なんて、ないんだ
PC,ドンッ！ズガーン！。文――…こ――――じゃ…終――ないんだ…――……。ダカラ…ムリナノヨ…。パンッ！。沈む――…呉鎮――で――…――――だけどな…。ドンッ！ドンッ！。次――まれ――には、重――――なぁ……。ドンッ！ズガーン！。ズガーン！ズガーン！。司――……どこ……？もう声が――え――わ……。ダカラ…ムリナノヨ…。パンッ！。――…水が入っ――た…冷た――…。嫌――感し――――…――よ、もう。ダカラ…ムリナノヨ…。ドンッ！。ドンッ！ドンッ！。まぁ…駆――…だから…――。ダカラ…ムリナノヨ…。パンッ！。あ、あれ……なん――う。海が……暗――？な――見え――……どう――……。ダカラ…ムリナノヨ…。パンッ！。こん――ころで沈むの…い――よぉ…。ダカラ…ムリナノヨ…。ドンッ！。――？――沈むの…？――な…アイド――――ない設定――…。ダカラ…ムリナノヨ…。次に生ま――――時は…平和な世界――――な…。ダカラ…ムリナノヨ…
？？？,ガ――ール！？。返――して！
ヴィーネ,ガ、ガヴリールなの？ひ、酷い顔………いったい何をして……ゲーム？
ガヴリール,っ！？か、帰れ、帰れよ！
ヴィーネ,なにを言ってるのよ！連絡もなしに休んで！昨日も来たのに返事もしなくて！誘拐とか大変な目に遭ってるんじゃないかって心配したのよ！
ガヴリール,帰れって言ってんだよ！
ヴィーネ,こんなに部屋散らかしてっ、何があったのよ！
ガヴリール,うるさい！うるさい！帰れ、帰れよ！
ヴィーネ,ガ、ガヴ……
ガヴリール,あ……
ヴィーネ,そ、そうよね、人と会いたくない時とかってあるわよね……。その、無理に押しかけたりしてごめんなさい……今日は帰るわね…………戸締り、ちゃんとしてね
ガヴリール,あ、あぁ…………
ヴィーネ,……せめて休む連絡くらいは学校に入れて休んでね、ガヴ…………
ガヴリール,ヴィ、ヴィーネ…………。…………あ……次撃破したらクリア出来る…………しなくちゃ。クリアしなくちゃ…………。編成組みなおして、装備付けて、補給して…………。クリアしなくちゃ……いけないんだ…………。や、やった、クリアした……遠征して、明日になったらE5だ…………。やっと、やっとクリアだ……はは、ははははは…………。全然、うれしくないよ…………
？？？,司令官に連絡みたいだよ。こんなことになったあたしたちのこと、見ないで、見ないで。司令官、青葉、見ちゃいました……司令官って人みたいに取り乱せるんですね、あんな事できるくらいだから人とは感性が違うと思ってたんですよぉ？。あれを積まなかったのはいいけどさぁ、代わりにあれみたいな使い方されるとは思わなかったなぁ。司令官…。そこまでして、何を…するの…？。……何も答えてくれないんですね。提督のそういうとこ、キライです。みんなにあんなことして、許さない…許さないんだから！。痛いって言ってたじゃん！
電,戦争には勝ちたいけど、命は助けたいって…おかしいですか？……おかしかったんですよね？司令官
ガヴリール,ひっ
電,だからあんな事できたんですよね
？？？,司令官、一言お願いします！
ガヴリール,っ！わ、私は、私はっ！！。…………ゆ、夢？。……今日は日曜日か。艦これは………………今日はやめておこうか
ヴィーネ,またそわそわして……ゲームが気になってるの？
ガヴリール,べ、別にいいじゃないか！
ヴィーネ,今日はもう帰るけど、後で見せてもらってもいいかしら？
ガヴリール,別にいいけど見てるだけで楽しい、ってもんでもない気がするんだけどなー
ヴィーネ,ガヴー？入っていいー？
ガヴリール,あ、あぁ、今行くー。昨日の今日で見に来たの？
ヴィーネ,ええ
ガヴリール,ヴィーネも物好きだよなぁ。カーニバルは嫌だ、カーニバルは嫌だ……
ヴィーネ,ガヴ？
マヤ,カーニバルだよ！
ガヴリール,ぎゃあぁぁぁ！
ヴィーネ(学校とかでは表面だけはギリギリ取り繕われているけども、中身は自称,駄天使
※決戦戦力……そもそも捨て艦しても最終的には,真正面からぶち破りうる艦隊
