第10位,時をかけるアイドル
茄子,…蓮実ちゃんもアイドル志望何だっけ？
モバP,この春で中学卒業なんだろ？東京に出れるじゃんか
蓮実,あっ…私は…！
第6位,センチメンタル・ジャーニー
モバP,そうだそうだ、帰り道大声で歌ってたんだ
蓮実,恥ずかしかったんですからねあれ
安部菜々,あれ、プロデューサーさんに蓮実ちゃんじゃないですか
モバP,おお、菜々お疲れ
蓮実,菜々先輩お疲れ様です
菜々,蓮実ちゃんもお疲れ様、菜々はもうさっきのレッスンで腰が…
モバP,おばさんかよ
菜々,菜々はまだ17歳ですよ！？
蓮実,…でも菜々さんはこの事務所に入って長いんですよね
菜々,ああ…まあ、そうです
モバP,俺の髪がまだ黒かった頃からいたからな
菜々,そういうこと言うのやめませんか！？
蓮実,プロデューサーさん最近まで髪、黒かったんですね
モバP,…おうよ
菜々,良かった…
モバP,そういや蓮実と菜々は１歳差なんだな
菜々,その邪悪な微笑みやめて下さい！
蓮実,でも、菜々さんは凄いです！凄い大人びてます
菜々,あ、ありがとう…
蓮実,私も菜々さんみたいなアイドルになりたいです
モバP,蓮実はまだ16だからな、なれるよ
蓮実,でも菜々さんもまだ17だから～
菜々,プロデューサーの話の振り方に悪意を感じます
モバP,俺はもう、60だから～
菜々,…
蓮実,…
第5位,閑話休題
菜々,生まれてませんからね！？！？！？！？！？！？！？
第4位,プレイバックpart2
モバP,茄子はもう親御さんの許可は出たんだよな
茄子,はい！ばっちしです
モバP,嬢ちゃんは？
蓮実,蓮実でいいです
モバP,わかったよ、蓮実は？…春から東京でアイドルとか、親御さんは許してくれるのか？
蓮実,はい、うちはむしろ親は応援してくれると思います。もともと私がアイドルに憧れてたのも、母が昭和のアイドルが大好きだったのが影響してまして
モバP,そうか、それはいいことだな。アイドルになっても、親が1番のファンっていう状況が1番好ましいからな
蓮実,そういうものなんですか
モバP,そうだ、アイドルっていうのはいくら素材があってもメンタルと運次第だからな
茄子,なるほど…
蓮実,…
第3位,赤いスイートP
モバP,正直な話、アイドルはデビューするまでは運なんだよ。こういうこと言っちゃいけないのかも知れないけど。俺もこの業界に入って、もう長くなるんだけどさ。全員が全員最初に思い描いたアイドルになれたわけじゃない。運悪く腐って行ったやつを何人も見てきた。…それなりの、覚悟が必要ってことだ
茄子,…はい
蓮実,…
モバP,…まあ、俺はあと一年しか近くにはいられないんだけどな。時期的にも、多分お前達が最後のスカウトなんだろう
茄子,…はい、なんだか寂しいです
蓮実,え！？どういうことですか！？
モバP,俺、あと一年で定年なんだよ。赤いちゃんちゃんこのPなんて、もう必要ないだろ
第2位,誰がなんてったってアイドル
蓮実,そうだったんですか…
モバP,ああ。もう昭和からアイドル見続けてきてるからな。君たちが俺の事務所への置き土産、なのかも知れないな笑。何か説教臭くなってすまないな…それで、最終確認なんだが
茄子,はい
モバP,デビューして終わり、じゃないんだぞ。そこからは実力の世界だ。もちろん俺たちは全力を尽くしてプロデュースする。それでも、何の保証もできない世界だ。テレビで見るような、キラキラした世界ばかりじゃないかも知れない。それでも、アイドル…できるか？
茄子,はい、…決めてましたし、憧れですから
モバP,…蓮実は？
蓮実,…。誰が何と言おうと、私はアイドルになりたいです
第1位,私がオバさんになっても
茄子,あ！蓮実ちゃんにプロデューサーさん…後、菜々さん？お疲れ様です！
モバP,おう、お疲れ
蓮実,ちょうど1年前の話してた所だったんですよ
モバP,あの後よくわからないままに感極まって蓮実泣いたんだよな
蓮実,だから恥ずかしいんですって…
モバP,2人とも情熱が伝わって良かったぞ
茄子,あの後よくわからないまま私ももらい泣きして…菜々さん？
菜々,ぐすっ…うぇぇぇん
モバP,更年期か？
菜々,違いますよぉ！感動じだんでず！
蓮実,何かありがとうございます笑。でも…今だから思うんですけど。後から知ったんですけど茄子さんってめちゃくちゃ運がいいじゃないですか。もしかしたら茄子さんが、プロデューサーさんを呼んでくれたのかなって思ったりするんですよ
茄子,私が、ですか？
蓮実,はい
茄子,いいえ、違うと思いますよ
蓮実,え？
茄子,蓮実ちゃんのアイドルになりたいっていう気持ちが、運を引き寄せたんです。運っていうのは、そういうものですよ
モバP,そうだな、茄子も蓮実も、この1年必死でやってきたのを見てきたからな。神様も見ててくれてるんだろ、1年前も、そしてこれからも
蓮実,そういうものなんですかね
モバP,俺はもう、近くでは見られないけど。これからは1人のファンとして、全員応援していくよ
蓮実,はい、見ててください…寂しいですけど。私がオバさんになっても
モバP,わかってる、頑張れよ
茄子,プロデューサーさん、今までお疲れ様でした
モバP,3月末までいるけどな。…菜々も、オバさんになるまで頑張れよ
菜々,だから何でちょっと悪意があるんですか！！！
