エイプリルフール,AprilFools'Day
卯月,なぁーんてうっそぴょ～ん。きゃははは～！。ふぇ？
江風,姉貴、ウサギを捕まえたぜ
夕立,よくやったわ江風、今日はパイが食べれそうね
卯月,ま、待つっぴょん！今日はエイプリルフールだから・・
夕立,ちゃんと言ったはずよ。これ以上私を馬鹿にしないでよ
卯月,し、しれいかーん！助けてー！
古鷹,て、提督！このままだと卯月さんが・・
提督,パイにはされなさそうだけど酷い目にあうのは確実だね・・二人ともちょっと待っ――
浜風,みなさんどうかされたのですか？
江風,ン？あー！浜風！お前何食べてるんだよ！？
浜風,何って・・・"たい焼き"ですけど
夕立,お、おいしそう・・
江風,なぁー・・浜風ー・・。たい焼き1個ちょーだい
夕立,ぽいー
浜風,いいですけど・・焼きたての方がおいしいのでご案内します
江風,おっしゃー！姉貴！行こうぜ！
浜風,提督達も良ければどうですか？
提督,それじゃあ僕たちも行こうかな
古鷹,卯月さん、大丈夫ですか？
卯月,し・・死ぬかと思ったぴょん・・
ウォースパイト,魚の形をしてるわね。What'sthis？
浦風,それは"たい焼き"という魚の形をした食べ物じゃ
アークロイヤル,ふむ・・・どうやって食べるのだ？
浦風,そのまま食べて貰ってええんよ
リシュリュー,はむ・・・あら、チョコレートが入ってるわね
ウォースパイト,これにはカスタードが入ってるわ！
アークロイヤル,私のは・・・何だこれは？
浦風,"餡子"じゃけ。アークさんが食べてるのは赤餡じゃ
アークロイヤル,ほほぉ・・・これが・・・
リシュリュー,私にもそれ、くれないかしら？
浜風,こちらで作っています
提督,へー結構賑わってるね
江風,腹減ったー！浦風ー！たい焼き1個くれー！
夕立,ぽいー！
浦風,待ちんしゃい。一人ずつ渡すから、味は何がいいんじゃ？
江風,餡子くれ！
夕立,カスタードが欲しいっぽい！
浦風,はいはい。おや、提督さん達も来てたんか。提督さん達もいるかい？
提督,じゃあ餡子を貰えるかな
古鷹,私は抹茶でお願いします
卯月,うーちゃんはチョコレートが欲しいぴょん！
浦風,あいよ。ちょっと待っておくれ。はい！お待ちどうさん！
提督,ありがとう。たい焼きを食べるのは久しぶりだなぁ
江風,提督は尻尾から食べるんだな
提督,たい焼きの尻尾の皮がおいしいんだよね
夕立,カスタードたっぷりでおいしいっぽい！
卯月,はふはふ・・チョコレートも甘くておいしいぴょん！
時津風,あー！良い匂いすると思ったらいいの食べてるじゃん！。しれー！頂戴頂戴！
提督,ごめん、もう無くなっちゃった
時津風,あー！しれー！ずるいずるーい！時津風にもくれたっていいじゃーん！
提督,頭の上に登らないで！
浦風,こら！時津風、提督さんが困っとるじゃろ！今焼いちゃるから、その間に雪風達呼んでおいで
時津風,わかったー！時津風は餡子が欲しいな！
浦風,たくさん作っちゃるからはよ行っといで
提督,さて・・そろそろ出ようかな。ありがとう、浦風
浦風,喜んでもらえて何よりじゃ♪古鷹さんもがんばるけえね
古鷹,はい、たい焼きありがとうございました
江風,江風はまだまだ食べるぜー！
卯月,うーちゃんは司令官と一緒におさらばするぴょん！
夕立,おいしいー！
提督,特に何も問題は無さそうだね
古鷹,そうですね
衣笠,あ！古鷹！外に出てたんだね！
古鷹,どうかしたの？
衣笠,あのね、加古がぎっくり腰になっちゃって出撃のメンバーが足りなくなっちゃったんだ
提督,あらら・・代わりを探さないとね
古鷹,提督、私が行きましょうか？
提督,いいの？それじゃあお願いしていいかな？
古鷹,はい。衣笠、私が行くよ
衣笠,オッケー！じゃあ付いてきて！
卯月,司令官、これからどうするぴょん？
提督,そろそろ執務に戻るとするよ
卯月,了解だぴょん！ここでお別れぴょん！
提督,それと、あまり嘘をついちゃ駄目だよ？それじゃあね
卯月,・・・司令官は嘘ついちゃ駄目って言ってたけど。うーちゃんは黙っていられないっぴょん！もーっとみんなに嘘言っちゃうぴょん！。うーちゃんの嘘が本当のことになるのならみんな幸せになるっぴょん！
大和,あら、卯月さん。こんにちわ
卯月,こんにちわっぴょん！
大和,4月になって暖かくなってきましたね
卯月,この季節が一番好きぴょん！うーちゃんの月だぴょん！。それはそうと～大和さん？知ってるぴょん？
大和,？何がですか？
卯月,なんとなんと・・・。大和さんが改二になる計画があるらしいぴょん！
大和,私が・・・改二？！
卯月,なぁんてうっそぴょ～ん♪キャハハハ～
大和,ついに私にも・・・改二！やったぁ～！
卯月,・・・えっと・・大和さん・・これは嘘だぴょん・・
大和,いつですか？！いつ改二になれますか？！
卯月,あう・・そ、そんなに遠くはないと思うぴょん・・
大和,うふふ♪楽しみです！。このことを矢矧達に知らせてこなくちゃ！卯月さん！ありがとうございます！
卯月,あ！これはその・・。・・・・・・。まぁ大和さんは優しいし、本当のことにならなくても許してくれるはずぴょん
能代,たまには外で花見もいいわね
矢矧,そうね、日差しも暖かいし
酒匂,ぴゃあ～♪おにぎり美味しい！
阿賀野,おいしい！これもおいしい！
能代,阿賀野姉、そんなにがっつくとのどに詰まるわよ
大和,あっ！矢矧！嬉しいお知らせを聞いちゃったの♪
矢矧,大和じゃない、どうかしたの？
阿賀野,んー！んー！
大和,実はね、ついに私が改二になるらしいの！
酒匂,ぴゃあ！ほんと！？
矢矧,良かったじゃない！誰から聞いたの？
大和,卯月さんからなの！
阿賀野,んーんー！んー！
酒匂,ぴゃあ・・阿賀野お姉ちゃん、お茶だよ
能代,ねぇ矢矧・・これって・・
矢矧,えぇ・・100%嘘だと思うわ
大和,うふふ♪楽しみだわ♪そうだ！鳳翔さんにも言ってこなくちゃ！
矢矧,あっ！ちょっと・・・行っちゃった
阿賀野,げほっげほっ・・どうするの？矢矧
矢矧,いずれ知ってしまうし・・・知ってしまったらショックを受けそうだけど・・
酒匂,大和さん可哀想・・・
卯月,ふんふふ～ん♪次は誰にしようかぴょん？
松風,おや、うーちゃんじゃないか。機嫌いいね
卯月,あ！松風！今日はうーちゃんの日だからぴょん！
松風,あー、なるほどね。4月だからか
卯月,松風・・・あのね・・聞いてほしいことがあるの・・。実はうーちゃん・・・松風の事が・・す・・好きなんだぴょん。だから・・その・・付き合ってほしい・・ぴょん・・//
松風,うーちゃん・・
卯月,なぁんて！うっそ――
松風,嬉しいよ・・僕もうーちゃんのこと前からずっと好きだったんだ
卯月,えっ・・・あ、あの・・
松風,ふふ、こんな日が来るなんて思わなかったよ。ああ、今日は何て素敵な日なんだ！本当に嬉しいよ
卯月,あ・・あう・・//
松風,さぁ・・目を閉じて・・。・・・・・・
卯月,うぴゃあああああああ！痛いぴょん！
松風,あはは！うーちゃんも騙されちゃったね！
卯月,松風ー！嘘ついたぴょん？！
松風,僕は嫌いじゃないよ？でも、恋愛というまではいかないかな
卯月,デコピンすごい痛かったぴょん・・
松風,君の噂は聞いてるよ、いろんな艦娘に嘘をついてるって
卯月,嘘をついていい日なら嘘をついてもいいはずだぴょん！
松風,・・・・・エイプリルフールだからはしゃぐのは分かるけど、あんまり嘘をつきすぎると痛い目にあうよ。それじゃ
卯月,・・・・・何かうーちゃんが騙されると悔しいぴょん！。こうなったらどんどん嘘をついて気を晴らすぴょん！
提督,ところでこの絵画を見てくれ、こいつを見てどう思う？
時雨,すごく・・・不気味です・・
提督,んー・・みんなそう言うんだね
時雨,当たり前だよ。誰がどう見たって不気味にしか見えないよ
提督,何かこう・・・引き込まれる感とかしない？
清霜,司令官！遂に私も戦艦になれるって本当？！
提督,え・・・？何の話？
清霜,改装設計図3枚で戦艦になれる改装ができるって聞いたんだ！
時雨,提督・・これって・・
提督,いや・・・そんな話は聞いたことないけど・・
金剛,テートクゥ！鎮守府の飲み物全部コーヒーにするって本当なんデース？！
瑞鳳,私の卵焼きが商品化されるって本当？！
磯風,司令！！この調味料を振りかけることで料理がおいしくなると聞いて試してみた！早速試作品を食べてくれ！
山風,あう・・あう・・
江風,ほらっ！提督はちゃんとピンピンしてンぜ姉貴！
皐月,じゃあ嘘ってことなんだね。よかった・・
提督,・・・・とりあえず話を聞こうか。つまりみんなは卯月の嘘が本当になるんじゃないか心配で来たわけだね
金剛,鎮守府の飲み物を全部コーヒーにする計画は・・？
提督,そんな計画はありません
瑞鳳,卵焼きの商品化は？！
提督,予定はありません
清霜,私が戦艦になれる改装は！？
提督,そんなものありません！
磯風,じゃあこの調味料をかけたら美味しくなるのも・・・
提督,もちろんありません！！
時雨,全部嘘ってことだね
提督,全く・・エイプリルフールだからと言って・・
江風,それに、提督が元気なんだから今までの本当になったことはもう偶然ってことだな
提督,山風はどんな嘘を聞いたの？
山風,えっと・・・提督が倒れたって・・・
提督,・・・洒落にならない嘘だね、それ
野分,今までの嘘が本当になったと聞いたので確認しに来ました
提督,山風、見てのとおり僕は元気だよ
山風,そうなんだ・・良かった・・
江風,ったく、冷や冷やさせやがって・・
鳳翔,あの・・そうだとすれば、大和さんの改二も・・
提督,そんなのもないし、聞いたこともないよ
鳳翔,祝杯という事で高級食材を用意したのですが・・残念ですね
雪風,大和さん、嘘つきですか！？
野分,元は卯月さんですからね
皐月,今頃嘘と分かったら大和さん相当ショック受けそう・・
提督,卯月・・・ちょっとやりすぎだから叱らないとね。・・・・そうだ、いいこと思いついた
江風,ン？どうした？
提督,あのね、みんな。聞いてほしいんだけど・・
武蔵,・・・・今日の夜、酒でもどうだ？
卯月,ふふ～ん♪たくさん嘘をつけて満足ぴょん♪。特に山風のあの顔は最高だったぴょん！。流石に司令官が倒れただなんてそんなことあるわけないっぴょん！
江風,卯月！こんなとこにいたのか！緊急だ！
卯月,どうしたぴょん？江風
江風,どうしたもなにも！お前が別の鎮守府に異動することになったんだよ！
卯月,えっ
江風,ほら！早く提督のところに行くぞ！
卯月,ちょっ・・・待ってぴょん！いきなりどういう・・・
江風,説明は提督から聞け！
提督,やぁ卯月。急で申し訳ないね
卯月,こっちが聞きたいぐらいだぴょん！異動ってどういうことぴょん！？
提督,実はね、新しい鎮守府の提督から要請が来たんだよ。そこの提督もまだ着任したばかりだから手助けで誰か派遣して欲しいとのことで君が選ばれたんだ
卯月,そ、そんな急に・・・どれくらいの期間ぴょん！？
提督,んー・・・わからないや
卯月,一生帰ってこれないパターンだこれ！
弥生,卯月・・・
卯月,や、弥生！弥生からも何か言ってほしいぴょん！司令官はきっと嘘をついてるぴょん！
弥生,・・・元気でね・・卯月と・・一緒にいたことは・・忘れ・・ないから
皐月,手紙・・送るからね！
提督,そろそろお迎えが来るみたいだし、荷物はまとめておいてね
卯月,し、しれいかぁ～ん・・
提督,泣きついてももう決まったことなんだし・・他の二人も待ってるから早くするようにね
卯月,ま、待ってほしいぴょん～！もうちょっと話し合って――
提督,早くしねぇとパイにするぞ
卯月,あ、あう・・・了解だぴょん・・
提督,・・・・やれやれ
卯月,着替えよし・・寝巻きよし・・日記帳・・よし！
水無月,艤装は別のトラックが運んでくれるらしいよ
卯月,・・・・ありがとぴょん
水無月,・・・・うーちゃんと話すのも今日で最後なんだね
望月,4月にお別れだなんてね、せっかく卯月だってのに
如月,あなたがいなくなるとこの部屋も寂しくなるわね・・
卯月,・・・・
皐月,・・・・
睦月,・・・駄目だよ！こういうときこそみんな笑顔で見送らなきゃ！
三日月,・・・・そうですね、こんな雰囲気で見送りは寂しいですもんね！
長月,卯月、あっちでもしっかりするんだぞ。あまり迷惑をかけるなよ
菊月,武運を祈る
卯月,うん・・・うん！
文月,ほら～弥生ちゃんも笑って笑って～！
弥生,そんなにほほを引っ張らなくても笑える・・
卯月,きゃはは～弥生変な顔してるぴょん！
睦月,じゃあ・・卯月ちゃん！元気でね！
卯月,ぴょん！うーちゃん行ってきます！。そういえば・・司令官が言ってたあとの二人って誰ぴょん？
藤波,あ、来た来た
涼月,こちらです、卯月さん
卯月,藤波に涼月、二人も一緒かぴょん？
涼月,はい、急でびっくりしました
藤波,けど、あっちで大活躍したら一躍ヒーローになれるかもね
卯月,確かに・・それで司令官をあっと驚かすのも悪くないぴょん
運転手,準備ができましたら指定された車両にお乗りください
藤波,じゃあ行こっか。卯月はこの車に乗ってね
卯月,二人は違う車に乗るぴょん？
涼月,はい、訳あってこの車には一人しか乗れないので卯月さんが乗ることになりました
卯月,了解だぴょん
藤波,ちゃんとシートベルト閉めておいてね
卯月,もち！だぴょん
運転手,私もお手伝いいたしますね。それでは出発しますね
卯月,ねぇ～新しい司令官はどんな人ぴょん？
運転手,私もあまり知らないですけど・・優しい人とは聞いてますよ
卯月,異動する鎮守府はどんな名前ぴょん？
運転手,確か・・・"霧動鎮守府"という名前でしたね
卯月,霧動・・鎮守府・・・聞いたことないぴょん
運転手,まぁ新しい鎮守府ですからね。・・それはそうと前のみなさんとはお別れの挨拶は済ませたんですか？
卯月,もちろんぴょん！みんな笑顔で見送ってくれたぴょん！
運転手,それは良かったです！いい仲間を持ちましたね！
卯月,うーちゃんはみんなに好かれてるからぴょん！。けど・・・・やっぱり寂しい・・みんなと仲良くなれたのに・・
運転手,・・・・・
卯月,やっぱり離れたくないぴょん！お願いだぴょん！降ろしてほしいぴょん！。夢なら覚めてほしいぴょん！神様ー！何でもしますから前の鎮守府に帰してほしいぴょーん！
運転手,・・・・その言葉、本当ですね？
卯月,え？
運転手,念のためにシートベルトがちゃんと締まってるか確認しておいてくださいね！
卯月,へ？え？？し、締まってるぴょん・・
運転手,OK！じゃあ行きますよ！
卯月,びゃあああああ！スピード出しすぎぴょん！
運転手,まだまだー！これからですよ！
卯月,め・・・目が回るぅううう！
運転手,もう一回周りますよー！
卯月,うひゃああああ！！
運転手,次はこれで行きますよー！
卯月,あばばばばばば。お、降ろしてほしいぴょん！死んじゃうぴょん！藤波～！涼月～！助けてほしいぴょんー！
運転手,さて・・そろそろクライマックスと行きますか！
卯月,・・・・ふぇ？何するつもりぴょん？
運転手,猛スピードで走行して、あの台を利用してジャンプしまーす！
卯月,いやああああああああああ！助けてええええええええ！
運転手,心の準備はいいですかー？行きますよー！
卯月,死にたくないぴょーん！
運転手,ジャンプ台まで・・3・・2・・・1・・・
卯月,ぴょおおおおおおおん！。ひゃあああああああああああああ！！
運転手,Coooooooooooooool！最高ネ！。さて・・・どうでしたか？って
卯月,あう・・・あう・・
運転手,あらら・・気絶しちゃってる・・。まぁ、私はこれでお役御免ってことですね
卯月,ふぇ・・・・あ！松風！
松風,やぁ、どうだったかな？迫力満点のドライブは？
卯月,霧動鎮守府に行く前に死ぬかと思ったぴょん！
松風,ははっ！その表情からして大成功だったみたいだね！
卯月,え・・・？大成功・・？
松風,うん、今までの話はね"嘘"なんだ
卯月,つまり・・・どういうことだぴょん？！
江風,ニシシ！ざまぁねぇな！卯月！
提督,ごめんね、君が別の鎮守府に異動するというのは嘘なんだ
卯月,藤波も凉月も？！
凉月,はい。ごめんなさい、卯月さん
藤波,卯月の顔、とても面白かったよ
卯月,うーちゃんの顔・・・撮られてた？！
時津風,本当にすごい顔してたねー
江風,特に縦に揺られてる時の顔が最高だったな！
野分,爆発した時はどうなるかと思いました
卯月,じゃ、じゃあ！この運転手は？！
運転手,ふふふ・・・・
金剛,実は私デース！
卯月,え、えぇ・・・！？新しくできた"霧動鎮守府"は？！
松風,"霧動"を繰り返して言い続けてごらん？
卯月,えっと・・・"霧動"・・"霧動"・・・"キリドウ"・・・。きりどう・・・きりどっ・・・どっきり・・・あ！。もしかして霧動鎮守府は・・・！
松風,そう！もともと存在しないんだよ。つまりこれは・・
卯月,えっ・・・ドッキリ？！
提督,君がいろんな艦娘に嘘をついて楽しんでるのを聞いて少しお仕置きをしようと思いついたんだ。最も、この案を考えたのは松風なんだけどね
松風,ふふっ、皆の演技のおかげでもあるよ
睦月,睦月の演技を褒めるが良いぞ！
皐月,ボクの演技もすごかったでしょ！
金剛,私のドライビングはどうでしたカー？
卯月,うう・・・仕返しは卑怯だぴょん！
松風,だから言ったじゃないか？痛い目にあうって
弥生,卯月・・・これで懲りたでしょ？
卯月,ご、ごめんなさいだぴょん・・
提督,帰ったら大和にちゃんと謝ってよね。本当にショック受けてたみたいだから・・
江風,本当になると思ってたしな。覚悟しとけよ？
卯月,どうしたら許してくれるかぴょん・・
皐月,素直に謝ったら許してくれるはずだよ
野分,大和型の部屋にいるはずなのでそこに向かいましょう
卯月,了解だぴょん
提督,それじゃあ行こうか
大和,えへへ～改二改二～
江風,・・・あれは何してンだ？
提督,何かお絵かきしてるみたいだけど・・・話を聞いてくれる状態じゃないみたいだね
武蔵,ああ・・部屋に戻ってからこの状態だ
卯月,あ、謝り辛いぴょん・・
武蔵,卯月・・・お前の噂は聞いてるぞ。大和に改二が来るって言う嘘をついたらしいな
卯月,は、はい・・・
武蔵,・・・あまりそういう嘘をつくのはやめろ。誰だって改二が来ると知ると楽しみにするものだ
卯月,ごめんなさいぴょん・・
武蔵,また明日、謝罪に来ると言い。その時まで私が何とかする
提督,頼んだよ、武蔵。卯月、ちゃんと反省してね
卯月,はぁーい・・
金剛,あれから卯月は大和に謝りに行ったんデース？
提督,うん、武蔵が話を聞ける状態にしてくれたおかげでね。大和も今は来なくても、いつか来るから気長に待ちますって卯月に言ってたし許してると思うよ。ただ・・元気はなかったけどね
金剛,Oh...ところで卯月はどうしてマスカ？
提督,卯月なら・・ほらあそこ
皐月,うーちゃん！どうしてボクのプリンを勝手に食べたの！
卯月,だって名前が書いてないから食べて良いものかと思ったぴょん！
皐月,ちゃんと底に書いてあったのにー！
卯月,ややこしい所に書いてるからぴょん！見えにくいぴょん！
金剛,相変わらず元気ですネ
提督,この季節は卯月と皐月が元気いっぱいだからね
金剛,でもその後は梅雨ですネー
提督,・・・・・嫌になるなぁ
金剛,ところで、今日の秘書艦は古鷹じゃなくて私なのは何故デスカ？
提督,古鷹ならもう一人の嘘つきの看病をしてるからね
金剛,・・・？
加古,本当にぎっくり腰になるとは思わなかったよ・・・
古鷹,出撃をサボろうとした罰だよ、もう・・
