P,そんなわけで合コンという訳ですよ。
文香,今日は親戚で集まる日だと決まっていたんですが、兄が仕事と偽ってこういう場に出席しようとしてると聞きまして
愛梨,私たちもムッときちゃって、知り合いのつてを使ってちょっと懲らしめようってなったんです
モバP,いやーごめん。どうしても合コン出たくってさー。集まりはまたあるからいいかなーって
友人B,おいおい、お前それはまずいだろ。先にいえば日程の調整ぐらいできたのに
友人A,まあまあ、そのおかげで三人と出会えたわけだしさ
美波,すみません兄へのお仕置きは完了しました。もう一度自己紹介から始めましょう
文香,すみません。この後親戚の集まりに兄を連れていかなければいけないので
美波,おじさんにこってり絞ってもらいますからね。めでたくないですよPさん
文香,大事な案件の打ち合わせ
愛梨,ぜんぶウソだったんですね！
モバP,それについては謝るけど、だいたい君達もあんな場に出てくるなんて非常識だぞ！バレなかったらよかったものの！
文香,大事な案件の打ち合わせは合同コンパのことでした。そう事務所全体のメッセンジャーグループに送信しておきますね
モバP,やめてください死んでしまいます
美波,あそこのお店は３４６系列なので大丈夫です
愛梨,いざとなったら数時間の記憶がなくなる薬があるからって
モバP,悪かったよ。もうみんなが不安になるようなことはしない
愛梨,えへへお兄ちゃん。だってお兄ちゃんは私のお兄ちゃんなんですよね？。また嘘つくんですか？
文香,まさか振りほどいたりしませんよね？兄様
美波,はいはい二人ともそういうことはこの後ゆっくりやりましょう。あれ？だって兄さんはこの後送ってくれるって言いましたよね？。私たちもまだ言いたいことがあります。きっちり受け止めてもらいますかね
愛梨,これがいわゆるお持ち帰ってやつですね！私初めてです
文香,妹萌え文学の嗜みですよ兄様。荻野朔太郎さんもそういってました
美波,さあいきますよホラホラ
モバP,随分ご機嫌ですね？
ちひろ,いやー臨時収入が入りまして、これから定期収入としても見込めるんですよ
友人C,いやー昨日はお疲れ、なんか結構盛り上がったけど釣果はなかったんだって？。埋め合わせと言っちゃなんだが、また合コン企画したんだけど、どうよ？。今度はなんとJKだぞ。まあ流石にエロいことは期待できないけど。飯食うだけどもさ？日程は大体これ位でさ？
