モバＰ,以降Ｐ表記ダ！スシ食べるカ？
Ｐ,あ゛～…夜中に食べる卵かけって何て言うかこう…罪な味だよなぁ
凛,…あ、めんつゆ合うね。今度やろっと
まゆ,ポン酢の酸味が良いですねぇ。ちょっとクセになりそうです
Ｐ,…ふぅ
凛,卵かけご飯にするとお茶碗一膳なんてあっという間に食べちゃうね
まゆ,美味しかったです。…あらＰさん？置いておいて下っていいんですよ？まゆが洗いますから
Ｐ,え、２杯目にいくんだけど
凛,卵かけご飯２杯？
まゆ,コレステロール大丈夫なんですかぁ？
Ｐ,ああ、それ俗説らしいぞ。むしろ沢山食べたほうが体に良いらしい
凛,え、そうなの？テレビっていまいち信用できないよね
まゆ,テレビでお仕事しているアイドルが言っちゃいます？
Ｐ,２人もおかわりするならよそうけど、どうする？
凛,んっ
まゆ,お願いします
Ｐ,そりゃ夕飯抜きで卵かけ１杯じゃ足りないよなぁ。ほれご飯。あと追加の卵
凛,うん、ありがと
まゆ,ありがとうございます
凛,…
まゆ,…
凛,あれ、まゆって後混ぜ派じゃなかった？
まゆ,凛ちゃんこそ、先混ぜ派だった筈ですよねぇ？
Ｐ,ほんと仲悪いのか良いのか分からないなぁ…この超竜神コンビ。さてと、２杯目は変化球で…バター醤油でいくか
凛,え、そんなのアリ？
Ｐ,オリーブオイルとブラックペッパーとか、食べるラー油とゴマ油とか、シンプルにマヨネーズとか色々あるぞ？
まゆ,あっ、まゆラー油で食べてみたいです
凛,マヨネーズ…卵と卵になるよね、それ…。美味しそうだけど
Ｐ,塩昆布、という手もあるんだがなぁ
凛,あ、私それやる！塩昆布！
まゆ,あわわ…ま、まゆはどうすれば…ラー油でピリッと、でも塩昆布の効いた卵かけご飯…あわあわあわ
Ｐ,迷うなら３杯目いけば？。…よし、後はライフル部分を…
時子,…チッ、まだ居座っていたの
Ｐ,あれ、こんな時間まで残ってたのか？
肇,お疲れ様です。私達ついさっきロケから戻ってきたところなんです
Ｐ,ああ、そうなのかお疲れ様
肇,…あの、今少しお時間宜しいですか？
Ｐ,今ちょっと手が離せないんだけど
時子,オモチャで遊んでるだけじゃない。叩き壊すわよ
Ｐ,やめろぉ！俺の渾身のヤクト・ドーガを！
時子,仕事終わってるならさっさと帰りなさい。光熱費の無駄よ
肇,まぁまぁ。時子さんだって分かってるんですよね？
時子,アァ？
Ｐ,えっと、それで何か用か？
肇,…あの、改めてこんなお願いするのも恥ずかしいのですが…
時子,スタッフがグズで撮影が遅れて夕食すら満足に取れなかったのよ。どこの養豚所に迷い込んだのかと思ったわ
Ｐ,ああ、要するに腹ペコなのね
肇,あの、もう少しオブラートに…
時子,どうせ何かエサを持ち歩いてるんでしょう？１つくらい人間様の口に入れられるモノでもあれば出しなさい
Ｐ,お前さん達ね、俺がいつでもどこでも食べ物常備してるとか思ってない？
肇,え、無いんですか？
Ｐ,エクレアと萩の月と灰汁巻きしかねぇよ
時子,あるじゃないの
Ｐ,…待ちなさい。流石にこんなので夕飯代わりにさせる訳にはいかん。確か給湯室に…うわ、米ねぇや。中力粉ならあるんだけど…。中力粉かぁ…
肇,…？
Ｐ,よし、うどん作るか
肇,あ、あの。どうして私を見てうどんと思い立ったのですか？
時子,当然ね
肇,時子さん！？
Ｐ,じゃ、腹ペコ娘ズのためにもササッと作るよ
時子,頭の悪い名称付けるんじゃないわよ。このオモチャ砕くわよ
Ｐ,やめろぉ！俺の今日１日の集大成！
時子,仕事しなさいな
肇,なんて、じゃれながら凄い手さばきで粉に水を入れて混ぜてる…
Ｐ,うどんはもちろん、麺モノはこの水回しっていう工程が一番肝心なのだよ。ダマにならないように素早く、丁寧にな
時子,散々思っていたけれど、貴方職選び間違えてない？
Ｐ,粉がそぼろ状になってきたら、こうして一まとめにしてだね…。本格的にこねるにはちょっとスペースが足りないな…よし
肇,わっ！か、壁が開きましたよ！？
Ｐ,いやぁ、この事務所の娘らよく食べる子ばっかりだろ？だからこの前晶葉に頼んで調理室作ってもらったんだわ
時子,思い付きで部屋１つ作るんじゃないわよ
肇,あの…それ、常務さん怒りませんでしたか？
Ｐ,時々おやつを作ってくれるのなら許可を出そう
肇,わぁ、声そっくりです
時子,この事務所は上も下もポンコツしかいないのかしら
Ｐ,後は力いっぱい生地を捏ねて…んしょ、よいしょ…運営コノヤロ…！
時子,妙な私怨を混ぜるんじゃないわよ
肇,……
Ｐ,ふう…こんなもんかな。後は３０分ぐらい生地を寝かせて…
芳乃,ほいさっ
Ｐ,…
芳乃,でしてー
Ｐ,…寝かせたものがこちらになります
肇,い、今…その調理台の引き出しから…
時子,突っ込まないわよ
Ｐ,寝かせた生地を軽く捏ね直して引き締めてだね、伸ばしてだね、巻いて畳んで切ってだね
肇,て、手先が全然見えないんですけど
時子,もう、プロデューサーなんて辞めなさいな
Ｐ,ハハッ、縁起でもない。あとはたっぷりのお湯で茹でれば完成ですよ。たっぷりのお湯ってのがポイントな
肇,あ、私今のうちにお椀用意してきますね？
時子,私も飲み物買ってくるわ
Ｐ,綾鷹でよろしくー
時子,誰が豚の分まで買って言ったかしら
肇,お椀持ってきましたっ
Ｐ,ありがと。ちょっと退いてな、今湯切りするから。んでもって、熱いうちにすぐ冷水で濯いで引き締めて…っと
肇,あ、お箸も用意しないといけませんね
Ｐ,汁はどうしようか…あ、作り置きの一番出汁があった。これに醤油入れればいいか
時子,何をグズグズしているの。テーブル拭いたわよ
肇,飲み物も準備できましたー
Ｐ,はいはい、今持っていくよー。肇はもちろんだけど、時子も良いお嫁さんになりそうだよな
時子,気色の悪い妄想垂れ流すんじゃないわよ
Ｐ,定規でビンタは地味に凶悪！
肇,でもちゃんとＰさんがうどんを置いてから叩くんですよね
時子,くだらない事ばかり吠える豚は叩かれなければ学習しないのかしら
Ｐ,叩いてから言うなよ…
肇,はいはい、お２人とも仲良しなのは分かりましたから、食べましょう？
時子,ちょっと待ちなさい。聞き捨てならない台詞が聞こえたわよ
Ｐ,あ、そうそう。綾鷹ありがとな時子。はい１２０円
時子,豚ァ！
Ｐ,八つ当たりすんなよ痛い！
肇,はいはい、時子さんがＰさん大好きなのは分かりましたから。おうどん冷めちゃいますよ？
時子,ちょっと待ちなさい
Ｐ,あれ、俺の箸どこだ？あ、あったあった。時子それ取ってくれー
時子,豚ァ！
Ｐ,理不尽！
肇,わぁ、打ち立てうどんです
時子,こんな時間にうどん打つ豚は貴方ぐらいでしょうね
Ｐ,そもそも豚はうどん打たないと思うけど
時子,口答えするんじゃないわよ
Ｐ,ブヒ
肇,それでは、頂きます
時子,チッ…食べてあげるわ
Ｐ,ブヒ
時子,いただきますぐらいキチンと言いなさい豚ァ！
Ｐ,いただきます痛い！
肇,はふほふ…コシが凄く強いです
時子,…
Ｐ,ダシは各自そこの鍋から取ってかけてくれ。釜玉にしたかったら卵持ってくるけど、どうする？
肇,お、お願いひまふ
時子,さっさと持ってきなさい
Ｐ,マッテローヨ
時子,…
肇,はふっ…美味しいですね、時子さん
時子,ハッ、それなりってところね
肇,Ｐさんの手料理なんて、昔は考えられなかったですよね
時子,…どうでもいいわ
Ｐ,ん？今埼玉県の話した？
時子,どうしたらそう聞こえるのよ。耳に狭山茶詰まってるのかしら
肇,あ、卵ありがとうございます
Ｐ,バターと明太子も持ってきたけど明太バター釜玉にしたかったら言ってくれな
肇,え、そんなの反則じゃないですか
Ｐ,シンプルにゴマ油で、というのも案外イケるんだよなぁ…
肇,あぁ…これ駄目です。明太子とバターと卵とか、間違いないに決まってるじゃないですか…
時子,豚
Ｐ,ん？ああ、バターね
時子,チッ
肇,出汁にバターを溶かしてみるのも…あ、駄目ですこれ。絶対太りますこれ
Ｐ,同じ炭水化物だから米に合うものは大体うどんにも合うんだよなぁ…なめたけとか納豆とかもイケるし
時子,豚
Ｐ,うん？ああ、明太子ね
時子,チッ
肇,あ、お茶が空ですよ。入れますね
Ｐ,ありがと。肇は仕事外のフレデリカばりに気遣いできるなぁ
肇,えへへ
時子,豚
Ｐ,んあ？ああ、ワサビね
時子,チッ
Ｐ,牛乳があったらチーズと卵でカルボナーラうどん作ろうと思ったんだけどなぁ。昼間藍子と紗枝がしこたま飲んだから切らしてたの忘れてたわ
肇,こんな時間にそんなのを食べたら確実に太ってしまいますね
Ｐ,お手軽に作れるカロリーの権化だからなあ。しかも美味い
肇,わぁ、性質が悪いです
時子,豚
Ｐ,はいよ。お茶が無くなったから廊下の自販機で伊右衛門買ってくればいいんだな？
時子,チッ
Ｐ,肇も何かいるか？ついでに買ってくるけど
肇,あ、私はまだ残っていますので
Ｐ,ん。それじゃちよっと行ってくるな
時子,…
肇,…何で豚
時子,私が聞きたいわよ
Ｐ,トランキーロ。あっせんなよ…
加蓮,あれ、まだ残ってたんだ
Ｐ,そりゃこっちの台詞だよ。随分遅くまでかかったんだな
奈緒,聞いてくれよＰさん！撮影は何のトラブルも無く順調だったのに加蓮のせいでさぁ
加蓮,だからアレは謝ったじゃない。もぉ～しつこいなぁ
奈緒,何度注意しても直さないからだろ！
Ｐ,何だ何だ姦しい。どうしたんよ、また加蓮がポテト詰まらせて六文銭の船に乗っちゃったか？
加蓮,それは先週でしょ。Ｐさんまでいちいち掘り返さないでよ
奈緒,今日はナゲット詰まらせたんだもんな
Ｐ,マジか
奈緒,マジ。しかも運悪く今日のスタッフさん達は加蓮の生態に免疫の無い人達でさ。そりゃあもう現場が大パニックになっちゃって
加蓮,だって、１５ピースのクーポンがあったんだもん
Ｐ,気持ちはわかるけど、せめてよく噛んで食べろよ…お前さんこの前なんか舌噛んだショックで昇天したろ
奈緒,迎えに行ったらルシファー達とフットサルしてたって芳乃から聞いたぞ？何あっちの世界を満喫してんだよ
加蓮,だって向こうだと肉体という縛りが無いからさぁ。で、Ｐさん今ヒマ？
Ｐ,見ての通りだよ
奈緒,ダンボール好きのオッサンが敵地に潜入するゲームやってるだけじゃんか
加蓮,Ｐさんお腹空いたー。何か食べるもの持ってない？
Ｐ,お前さん達ね、俺がいつでもどこでも食べ物常備してるとか思ってない？
奈緒,え、無いのか？
Ｐ,ぽたぽた焼きとエブリバーガーとヤンヤンつけボーしかねぇよ
加蓮,あるんじゃん
Ｐ,…待ちなさい。流石にこんなので腹を満たさせる訳にはいかん。確か給湯室に…くっそ油断した！焼きまんじゅうで埋め尽くされてやがる！。えーっと、何か残っていないか……お、焼きそばがあったぞ
奈緒,お、いいな焼きそば
加蓮,ふーん、悪くないかな
奈緒,プッ、似てね
加蓮,加蓮ぱんちっ
奈緒,いたっ
Ｐ,えーっとホットプレート、ホットプレートは…あったあった。焼きそばで良かったらちゃちゃっと作るけど、どうする？
奈緒,あたしは構わないけど
加蓮,あ、ちょっと待って。手首が粉砕骨折した
奈緒,マジか
加蓮,うん、ありがと。もう治った。アタシも構わないよ
奈緒,マジか
Ｐ,よーし、んじゃ作るぞー
加蓮,うん。お腹空いたから早めにお願いね
Ｐ,焼きまんじゅうでも食べてなさい
奈緒,あ、それじゃあたしも１個貰おうかな
Ｐ,さてと、まずは麺をほぐさないとな
加蓮,え、そのままジューッて焼けばいいんじゃないの？
Ｐ,ほぐさないと大抵コゲたり固まったりして失敗するぞ？ちなみにほぐす時は水でもいいけど料理酒を使うとほぐれやすくなる
奈緒,へー
Ｐ,本当に焼きまんじゅう食ってるし。まずは麺を表面がパリッとするまで焼いてだね…
加蓮,ひっくり返さないの？焦げない？
Ｐ,ワザと焼き目をつけてモチモチ部分とパリパリ部分を作ってるんだよ。てか、さっきから横からヒョコヒョコと何さ。退屈なら向こうでメタルギアでもやってなさい
加蓮,えー、駄目？
奈緒,加蓮、Ｐさんの邪魔すんなって
加蓮,しょうがないなぁ…じゃ、あっちで奈緒で遊んでるから。早めにねー？
奈緒,あたしで？あたしと、の間違いだよな？
Ｐ,よし、両面焼き目がついたら一旦麺は退けて…豚バラを焼くでごぜーますよ！。小さめにカットした豚バラとキャベツをよく炒めて…。程よいところでさっき焼いた麺を再投入！豚ﾊﾞﾗから出た脂を絡ませるようにして。んでもってソースをドバッと。後はソースが焦げないようにササッと混ぜて焼いて最後にちょっぴり塩コショウで味付けですよ。…うし、こんなもんだろ。おーい、出来たからそっち持ってくぞー
奈緒,あ、ちょっと待ってー。加蓮が死んだー
Ｐ,おいおいまたか
奈緒,焼きまんじゅう詰まらせたー
Ｐ,あれほどよく噛んで食えと…。ほれ、焼きそば出来たぞ
奈緒,おおっ、すごく良い匂いっ。おーい加蓮ー生き返れー。Ｐさんが焼きそば作ってくれたぞー
加蓮,。……んにゅ？…もう現世？
奈緒,乗り過ごし感覚で天と地を行き来すんなよ
Ｐ,天空時タケルばりに命の定義が軽いな
加蓮,アハハッ、命燃やしちゃってる？アタシ
奈緒,お前の命よく燃えすぎだろ。ほら、箸配るから加蓮はグラス持って来いよ
加蓮,はぁーい
Ｐ,冷蔵庫の中に作り置きしてるウーロン茶あるから
加蓮,わかったー
奈緒,おおっ、ちゃあんと青のりまでかかってる！
Ｐ,クカカカ、まだまだここからだよ奈緒やん。更にこの上にたっぷり目の紅しょうがをだね
奈緒,うわぁ、うわぁ…！
Ｐ,更に更に目玉焼きをも乗っけてやろうではないか！
奈緒,うわぁぁ！駄目だろこれ！夜に食べたら駄目だろこれ！
加蓮,えー、何なに？どうしたの？
奈緒,見ろよ加蓮！目玉焼き乗せ焼きそばだぞ！
加蓮,。・あ、ごめん。感激して一瞬逝っちゃった
Ｐ,おでこにお札でも貼っとけば？
奈緒,キョンシーかよ。こんな時間にこんなガッツリ食ったら絶対太るだろ…
Ｐ,ハハッ、ちょっとだけバターも入れたぞ
奈緒,確実！コーラを飲んだらゲップが出るくらい確実！
加蓮,ちゃちゃっと作る夜食にしては手が込んでない？
Ｐ,何だろな。作り始めるとスイッチ入っちまうんよ。そういうのって無い？
加蓮,あー、ちょっとわかるかも。面倒くさいんだけどいざ始めると終わるまで止められなくなるみたいな
奈緒,お前の場合終わらせる前に生命活動が一旦止まるじゃんか
加蓮,アハハッ
奈緒,いやいや。笑って済ませられないからな？それで片づけられるのウチの事務所の中だけだからな？
Ｐ,まぁいいや。冷めちまうから食べようかトライアドプリム
奈緒,凛の要素ス
加蓮,
Ｐ,いただきまーす
加蓮,ゲホッ…ちょ、今の、ツボっちゃった…
Ｐ,おいおい、大丈夫か？プリ
加蓮,アタシ２文字！？
奈緒,ちょちょちょ！ほとんどあたしメインじゃんかそれ！
Ｐ,あー、やっぱ付属の粉末じゃなくてちゃんとソース作ると美味い…
奈緒,投げっぱなしにして食い始めるなよ！
加蓮,げほっ…ちょ、ごめん奈緒…そこのティッシュ取って。鼻から肝臓出そう
奈緒,お前が言うと冗談かどうか判断し辛いんだよ。ほら。大丈夫か？プリ
加蓮,
Ｐ,食事中に遊ぶなお前ら。流石に食ってる横でアイドルが臨終するのは嫌だぞ
奈緒,ゴメン。つい……普段の恨みで
Ｐ,意外とお前も黒いとこあるよな
加蓮,げほっ…あ～……死ぬかと思った
奈緒,昼寝感覚でちょいちょい死んでる癖に…あ、ホントだ。ソース美味っ！
加蓮,どれどれ？………わっ、美味しい！ペヤングより美味しい！
Ｐ,カップ焼きそばと焼きそばは別物だろが
奈緒,カリッカリに焼けてるところとモチモチしたところがあって良いなぁ。でもゃっぱソースが良いよソース！
加蓮,ホント。これ何か秘伝のソースとか？
Ｐ,ウスターソースとケチャップとオイスターソース
奈緒,お手軽っ！
Ｐ,オススメはウスター４:オイスター４:ケチャップ２ぐらいの割合かな
加蓮,うわぁ、簡単
Ｐ,夕飯ならまだしも、夜食にそこまで手をかけないっての
奈緒,…目玉焼きどうしよっかな…黄身を潰して麺にトロッと絡ませるか…目玉焼きは目玉焼きでチュルッといくか…
加蓮,アタシ潰しちゃおーっと
奈緒,躊躇ねぇなぁ。加蓮って目玉焼きの黄身容赦なく割って食うよなぁ
加蓮,奈緒は最後まで取っといて一口でいくよね
奈緒,なぁ、Ｐさんはどっち派なんだ？割る？取っておく？
Ｐ,結果的に割れてションボリする派
加蓮,不器用か
奈緒,精巧な立体チョコ作ったりする癖に何でピンポイントで不器用なんだよ
Ｐ,あ、マヨネーズ持ってくるけど使う人ー
加蓮,使うー
奈緒,あたしも
Ｐ,あいよ。ついでに七味とカラシも持ってきて七味マヨとカラシマヨも出来るようにするか
奈緒,やめろよぉ！そこまでされたら太るだろぉ！絶対太るだろぉ！
加蓮,むしろ太らせようとしてるよね？モッチモチにしようとしてるよね？
Ｐ,ハハッ、まさか。そんなこと。あ、ゆで卵刻んでタルタルソース作ったら合うかな、焼きそばに
奈緒,やめろよぉ！絶対確実に太るだろぉ！
加蓮,間違いなく太らせようとしてるよね？え、なに？Ｐさんはもっとお肉ある娘がタイプ？
Ｐ,ササッと作ってくるからマッテローヨ。…スパロボの新作情報無いなぁ…ワイルドアームズもまだかなぁ…
ちひろ,あれ、まだ残っていたんですか？
Ｐ,あ、お疲れ様です
ちひろ,ふぅ…もうこんな時間になっちゃいましたか。晩御飯食べ損ねちゃいました
Ｐ,それはそれは
ちひろ,プロデューサーさん、何か食べるもの持ってません？
Ｐ,俺がいつでもどこでも食べ物常備してるとか思ってない？
ちひろ,思ってますけど
Ｐ,即答かよコイツ…。チタタプとカネ餅と細かく刻んだ沢庵を乗せた茶漬けしかありませんよ
ちひろ,何ですかそのラインナップ。あ、そう言えばプロデューサーさん、最近よくアイドルの娘たちと一緒にお夜食食べてるそうじゃないですか
Ｐ,…仕方ないなぁ。ちょっと待ってて下さい。確か給湯室に…お、あったあった
ちひろ,何があるんですか？
Ｐ,志希の作ったビビット色のドリンクとイチゴパスタと法子秘蔵のドーナツがありましたよ
ちひろ,どれ１つとして食べたらアウトじゃないですか！
Ｐ,あ、俺そろそろ失礼しますね。アメトークに間に合わなくなるんで
ちひろ,ちょっ
Ｐ,戸締りお願いします。それじゃあお疲れ様でしたー
ちひろ,ちょっ！待って私だけ扱い悪くありません！？何か作ってくださいよぉ！てかアメトークは録画しろ！。うわぁ…本当に帰ったよあの鬼畜社畜。……ふーんだ、海無し県民なんか録画予約ミスってカンブリア宮殿撮れてればいいんですよーだ。…。……おなかすいたなぁ。……。…お茶漬け食べよ
この後,冗談ですよ
アッキー,終わりだ
芳乃,バニラアイスにー、砕いた歌舞伎揚げをぱらぱらとー
