モバP(以下P),お疲れ様……志乃。今日もよかったぞ
志乃,あら、無償で妹へ贈れるご褒美なんだから……もっといっぱい欲しいわ？
P,……はぁ。志乃、こっちにおいで？
志乃,………ふふ、こんな姿……事務所の子には見せられないものね
P,礼子さんにもな……子供の頃からこれが好きだよな、志乃は
志乃,……お兄ちゃん、ありがとう
P,俺こそありがとうだよ。それと……お疲れ、志乃
志乃,……うん。もう少し……このままで、撫でてほしいわ
P,事務所で一番上のお姉さん……なんだけどなぁ……
志乃,今はお兄ちゃんの妹だもの……大丈夫、明日にはいつも通り
P,いや、まぁみんなにバレたし…….いつも通りではないけどな？
志乃,そうね……明日からは……事務所でも甘えていいかしら？
P,それは……勘弁してくれ……
