①向日葵,櫻子がバレンタインでチョコを……
綾乃,そ、そうなの。あっ、もしかして相手が誰であれ、チョコを貰うという行為が嬉しいって事ね？
向日葵,違います！櫻子からのプレゼントなんて嬉しいに決まってますわ！
綾乃,そ、そうよね。え、えーと、貰って良かったわね
向日葵,それにしても櫻子が手作りチョコなんて……。ふふっ楽しみですわ
綾乃,……。ま、まぁ、嬉しそうだし、古谷さんが落ち着くまで話に付き合ってあげましょう。ねぇ、古谷さん？
向日葵,はい？
櫻子,こんにちはーーー
向日葵,あっ、櫻子
綾乃,大室さん、こんにちは
櫻子,チョコの話が聞こえました！もしかして、ここにチョコがあるんですか！食べたいです！
向日葵,あ、あなた……どういう聴覚しているのよ……
綾乃,チョコ？今日はお菓子はないと思うわ。何かの聞き間違いじゃないかしら？
櫻子,そうですか……
綾乃,ごめんなさいね
向日葵,シュンってしてる櫻子可愛い//
櫻子,まっいっか。どうせ家に沢山チョコレートあるし
綾乃,え？
櫻子,ふふふふ、実はチョコのウエディングケーキ作ろうと頑張ってるんです！
向日葵,！
櫻子,そして、今流行のＹＵＲＩＴＵＢＥに動画投稿しようと思いまして！
綾乃,そ、そうなの……
櫻子,そうだ！材料が足りないから買いに行くんでした！じゃあ、帰ります。お疲れ様でしたー
綾乃,お、お疲れ様ー……。え、えーと、古谷さん？
向日葵,櫻子ったら……結婚まで考えて。もうっ、私達まだ恋人繋ぎもやっていないのに……。まったく常識知らずにもほどがありますわ！ここは妻がビシッと常識を！。って誰が妻なんですのよ！
綾乃,∵
向日葵,それでは、さくひま、ひまさく短篇集、始まりますわー
あかり,それあかりのセリフだよ！？
②：向日葵,そんな……人生終わり……
綾乃,古谷さん！？どうかしたの！？人生が終わったみたいな顔をして！
向日葵,もういいんですの。私なんて生きる価値もないような人間で……
綾乃,何を言っているの！価値がないなんて言わないで。あなたが生徒会で頑張ってくれているお陰で、どれだけ私が助かっているか
向日葵,杉浦先輩……
綾乃,悩みがあるならいつでも相談していいのよ。可愛い後輩からの相談、生徒会副会長杉浦綾乃は逃げも隠れもしないわよ
向日葵,……先輩
綾乃,ほら、言ってごらんなさい
向日葵,実は……実は！。櫻子が赤座さんのジュースを飲んだのですわ！
綾乃,……………………………………へ？
向日葵,赤座さんが口を付けたコップに……櫻子が！
綾乃,え、えーと？
向日葵,関節キス……いいえ、これは唾液の交換みたいなものですわ！なんて嫌らしい！きっと赤座さんが櫻子に自分の唾液を飲ませるために！。って、杉浦先輩？
綾乃,∵
③：向日葵,櫻子が浮気しないようにするには……
向日葵,まったく櫻子は！誰にでも犬みたいに懐いて！だから友達が多すぎるんですわ！これでは心配で夜も眠れません！まぁ、そこが櫻子の良い所でもあるんですけど！
綾乃,……
向日葵,杉浦先輩！櫻子が浮気しない為にはどうすれば良いと思いますか！？
綾乃,え、えーと、まだ古谷さんと大室さんは付き合ってないのよね？
向日葵,当り前ですわ。櫻子と結婚するなんて……考えただけで、頭が熱くなるくらい大変な事です
綾乃,そ、そう……。じゃあ、浮気の心配とかする必要は……ないわよね？ほら、そもそも浮気って恋人関係とかになった後の事でしょ？
向日葵,……？
綾乃,いや、キョトンと不思議そうな顔をされても……わかったわ！浮気をしない方法を考えましょう
向日葵,はい！
綾乃,ネットで調べてみましょう
向日葵,えーと、浮気防止っと……
ＹＵＲＩＧＬＥ先生,恋人の場所を常にＧＰＳで確認しよう
綾乃,えぇ！？ＧＰＳ！？常識的に考えてこれはおかしいわ！
向日葵,そうですわよね。常識的に考えて、ＧＰＳを埋め込むのは既にやっていますわ。常識的に考えてやらないなんておかしいですわ。常識的に考えて
綾乃,…………ぇ。まぁ、これは問題ないわよね
向日葵,ええ、朝食～夕食、夜食、おやつまで最近は全部作ってますわ！……でも、櫻子に渡すのが恥ずかしくて……作ってるだけで……//
綾乃,怖っ
向日葵,当り前ですわ。度が過ぎる束縛は嫌われます。常識的に考えて
綾乃,でも、ＧＰＳは埋め込むのね……
向日葵,これは問題ありませんわ。櫻子の本命は、わ・た・く・しです
綾乃,うざっ
向日葵,それ以外ありえませんわね
綾乃,告白もしてないから、本当に本命かわからないのよねー
向日葵,え？
綾乃,ううん、なんでもないの
向日葵,でも確かに櫻子が告白をしないから、いまいちおかしな関係になっているのは事実ですわ
綾乃,あっ、聞こえちゃってたわね
向日葵,ぐぐぐぐ。これもあれも告白しない櫻子のせいですわ！
綾乃,じゃあ、古谷さんから告白してみたら？
向日葵,なっ！私が告白！？そんな事をしたらまるで私が櫻子を好きみたいじゃないですか！
綾乃,え？好きじゃないの？
向日葵,好きなんかじゃありません！幼馴染だから仕方なく一緒にいてあげてるだけでして
綾乃,じゃあ、私が大室さんに告白しちゃおうかなー……なんて
向日葵,……ぇ
綾乃,冗談！冗談だから泣かないで！ごめんなさい！謝るから！
向日葵,ほ、本当に冗談ですの？
綾乃,冗談よ。そもそも大室さんは可愛い後輩というか妹みたいな感じで……。そうよ、おこちゃまだから恋愛対象じゃないの！
向日葵,……
綾乃,え？どうしたの？憐れんだような眼をして……？
向日葵,はぁ……。櫻子の魅力がわからないなんて杉浦先輩もまだまだですわね
綾乃,ねぇ、私そろそろ怒っていいかしら？
向日葵,すみません、調子に乗りました。でも、櫻子の事は好きとかじゃないんです。わかってください
綾乃,ふぅ……で、なんの話だったかしら？
向日葵,どうやったら櫻子が告白するかという話ですわ
綾乃,そ、そんな話だったかしら？
向日葵,というわけで次回に続きますわ
綾乃,続かないからね！
④：向日葵,櫻子が……櫻子が……
向日葵,杉浦先輩……ご相談が……
綾乃,暗い顔をしてどうかしたの？
向日葵,あら？髪にゴミがついてますわよ
櫻子,ひゃっ//
向日葵,え？
櫻子,か、勝手に触るなし！
向日葵,顔真っ赤にして怒ってるのよ。ちょっとゴミを取っただけじゃない
櫻子,っ//
向日葵,その後、話しかけても……顔を真っ赤にさせて怒ってきて。杉浦先輩……私どうしたら？
綾乃,∵
⑤：向日葵,私、そろそろ死ぬかもしれませんわ
綾乃,ど、どうしたの？生徒会室の扉を勢いよく開けて……
向日葵,杉浦先輩！聞いてください！！
綾乃,え？相談なの？ちょっと待って今は……
向日葵,昨日、櫻子がこたつの中で猫みたいに丸くなってましたの！。なんですのこれ！可愛すぎるんですけど！！。可愛すぎて心拍数がすっごい事になってしまいましたわ！。私、死ぬ所だったんですのよ！
綾乃,え？あっ……はい
向日葵,え！？終わりなんですの！？
綾乃,いや、実は……その……私、ちょっと今は……
向日葵,杉浦先輩！ちゃんと聞いてください！私は真面目なんです！
綾乃,ふ、古谷さん落ち着いて
向日葵,これが落ち着いていられますか！だって、櫻子が櫻子が可愛すぎるんです！
綾乃,そ、そうなの？
櫻子,じゃじゃーん。新しいマフラー櫻子様ー
向日葵,手を広げてクルクル回ったら危ないわよ
櫻子,ふふーん。この櫻子様の可愛さがわからないなんて、向日葵もまだまだだね
向日葵,可愛すぎですわよ！！バッカじゃないの！！！妖精みたいにクルクル回って！！可愛すぎなんですけど！バッカじゃないの！天使なんですけど！
綾乃,あっ、うん。わかったから。机をたたかないでね？えーと、落ち着いて聞いて欲しい事があるんだけど……
向日葵,ちょっと待ってください！実はもっと聞いて欲しい事が！
綾乃,へ？
櫻子,ケーキを作りすぎちゃってさ……
向日葵,ケーキ？ああ、この前のチョコのウェディングケーキの事かしら？
櫻子,うん
向日葵,はぁ……。あんな大きいケーキを作って一体どうしますの？食べるにしても一人だと体に悪いんですのよ。普段栄養に気を遣えとあれほど－－－－
櫻子,だ、だから、向日葵も食べろ！一緒に！
向日葵,へ？
櫻子,今度の水曜日にうちに来いよ！わかったな！バーカ！
向日葵,水曜日って２月１４日じゃないですのーーーー！！！！！！！。バレンタインにチョコのウェディングケーキとか愛が重すぎなんですけどーーーー！！！
綾乃,で、でも、嬉しそうにみえるわよ？
向日葵,嬉しいに決まってるじゃないですかーーーー！！！。もうっ！櫻子ったら２月１４日にうちに来いと言わない辺り、サプライズのつもりなんでしょうか？ふふっ。まぁ、櫻子が考える程度のサプライズ、驚きもしませんがね
綾乃,えーと、その……実は私からもサプライズがあるんだけど……
向日葵,え？
綾乃,じゃ、じゃじゃーん。実はここに大室さんが隠れています
向日葵,……………………………………………………………………………………………………………へ？
櫻子,……
向日葵,…………
櫻子,…………
向日葵,……………………いや、これはその……
櫻子,……向日葵のバカ
向日葵,え？
櫻子,向日葵のバーーーーーーーーカーーーーーーー！！！！！！！！
向日葵,櫻子！？全速力でどこに行きますの！？ちょっと待ってーーーーー！！！！。杉浦先輩！どうしましょう！？私櫻子を怒らせて！。…………あれ？でもあの子なんで怒っているのかしら？
綾乃,ほら、いいから追いかけなさい。追いかけて自分の気持ちを伝えれば大室さんも許してくれるわ
向日葵,え？気持ち？な、なんて言えば……
綾乃,じゃあ、逆の立場だったらなんて言って貰えたら嬉しいのか考えなさい。追いかけながら考えれば、古谷さんなら答えを見つける事ができると思うわ
向日葵,……逆の立場で……わかりました。頑張ってみます
綾乃,ええ、またね。行ったわね。……。ふふ。大室さん、顔真っ赤にしてニヤけながら走っていったわ。きっと嬉しくて嬉しくて。でも古谷さんにそんな顔を見られたくないから逃げ出したのね。まったく素直じゃないんだから……私はああならないように頑張らなきゃね。……。頑張ってね。古谷さん。それに大室さんも。で？なんで大室さんは古谷さんのパンツを被っているのかしら？
櫻子,幸せな香りがするからです！
向日葵,もうっ。櫻子ったら//
綾乃,極端すぎなのよーーーーー！！！あなたたちはーーーーー！！！！
