土屋亜子,ふぃ～、今日のレッスンもきつかったな～！
さくら,……
亜子,いずみ……
泉,そんなことしてたら、さくらはまた明日遅刻するかもしれないじゃない
さくら,……ごめん
亜子,いずみ！言い過ぎ
泉,言い過ぎ！？事実でしょ！？もうライブも近いのに！
亜子,そんな怒鳴らんでも……
泉,いつもそうじゃない！さくらは！こっちの気も知らないで振り回して！
さくら,……
亜子,……
泉,さくらがアイドルやろうって言ってきたから始めたんだよ！？なのに……
さくら,イズミン……ごめん……
泉,謝ってダンスが上手くなるの！？違うでしょ！？
亜子,いずみ、落ち着いて
泉,落ち着いてるわよ！そんな中途半端な覚悟じゃ、ライブなんてできるわけないでしょ！？。本気でやるつもりがないなら！。アイドルなんてやめちゃいなよ！！！
さくら,！！！。……。なんで……なんでそんなこと言うの……？
亜子,え？
さくら,イズミンの……。イズミンのばかぁぁぁ！！！！！
亜子,ちょ！？さくら！？どこ行くん！？。い、いずみ！言い過ぎやって！追いかけなきゃ！
泉,平気よ、ちょっと頭を冷やしたら帰ってくるでしょう
亜子,せやかてあの言い方は……
泉,いつか怒らなきゃいけなかったの！
亜子,さくらやって悪気があったわけやないし……
泉,でも！
鷺沢文香,お疲れ様です……？どうかしましたか？
文香,泉さんと亜子さんが言い争っているのは初めて目にしますが……
亜子,あ、文香さん！
泉,別に、何でもないです
文香,そんなはずはありません、何かあったのでしょう……？。遠目にですが、さくらさんが走っているのも目撃しました
亜子,！
文香,第三者だからこそ……何か力添えができるかもしれません……。話してみてはくれませんか……？
泉,……
亜子,……
泉,ふぅ……。実は……
文香,なるほど……さくらさんにそんなことを……
泉,でも……さくらが……
亜子,……
文香,ふむ……。“世の中に絶えて桜のなかりせば春の心はのどけからまし”
亜子,へ？
泉,……？
文香,“在原業平”という名前を聞いたことはありますか？
泉,き、聞いたことくらいは……
文香,この詩は彼が詠んだとされるものです。これは桜の花についての詩です。では、桜はいつ咲くか、わかりますか……？
亜子,そりゃあ、春……ですよね？
文香,では、今年の桜は何月の何日に咲きますか？
泉,……そんなのわかりません。毎年違うんですから
文香,その通りです……だから、私たちは春が来る度に、“いつ桜が咲くのか”と胸躍るのです。では、散る日時はわかりますか？
泉,……
文香,そうですね、いつ咲くのかわからないように、いつ散るのかもわかりません。つまり、春の人の心は、桜が咲くまでは“いつ咲くのか”咲いてからは“いつ散るのか”と、騒ぐばかりなのです……。先ほどの在原業平の詩の直訳はもしこの世に桜が存在しなければ、春を過ごす人の気持ちは穏やかなものだったろうにとなります
亜子,……
泉,……春に桜はいらないということですか？
文香,……いいえ、その反対です
泉,……
文香,在原業平は桜を愛していたのです……。今の直訳を逆説的に取ると、春の人の心をこれだけ動かせる桜はやはり素晴らしいものだとなります。ただ咲き、ただ散る。ただ花として当たり前のことをするだけで人々の心を動かすことができる……。そんな桜の魅力を存分に表した名歌と呼べるでしょう……。さて……お二人はどう思いますか……？
亜子,……
泉,……
文香,春に桜は必要ありませんか……？たとえ、それによって何か気をもむこととなっても、振り回されることになっても……。お二人は、そんな桜に魅力を感じたからこそ、共に歩く決意をしたのではありませんか……？
亜子,！
泉,……！
文香,桜の開花を間近で見ることができる……そんな特等席にいるのですから、手放してしまってはもったいないですよ……？
亜子,文香さん……
泉,……そうだ、なんで私は……。さくらとだから……3人だからって決意したのに……。私は……私は……！
文香,……まだ間に合いますよ
泉,！
文香,伝えたい言葉があって、伝えたい人がいるのなら、遅いなんてことはありえません
泉,……。ありがとう……ございます……！亜子！行こう！
亜子,うんっ！
文香,羨ましい……限りです……。私にも……いつか……
宮本フレデリカ,おっつー！今ね！今ね！アコちゃんとイズミちゃんがすっごーい勢いで走って行ったんだけど、文香ちゃんなんでだかわかる！？
橘ありす,フレデリカさん！いきなり大声出しすぎです！話し合いとかしてたらどうするんですか！
文香,あら、二人とも……ふふっ……そういう気分だったのではないでしょうか
フレデリカ,ふーん？そういうものなのかな？ありすちゃん！私たちも走る？
ありす,橘です！今レッスン終わったところなのに何で走らなきゃいけないんですか！
フレデリカ,つれないな～
ありす,そういう問題じゃないです！
文香,お二人は仲がいいのですね……
ありす,なっ！そんなわけないじゃないですか！
フレデリカ,文香ちゃんも気づいちゃったかー。この前なんて、一緒に電器屋に行ったんだよ！
ありす,あれはフレデリカさんが無理やり連れて行ったんじゃないですか！
フレデリカ,ありすちゃんったら、文香ちゃんがデザインした商品を即決で買ってて……
ありす,わー！！！わー！！！うるさいです！！！
文香,ふふふ……
フレデリカ,今度は文香ちゃんも一緒に、どこか行こうね♪
文香,私……ですか……？お邪魔では……
ありす,そんなわけないじゃないですか！むしろフレデリカさんが邪魔ですよ
フレデリカ,ワオ！ツンデレ！
ありす,デレてない！
文香,……。私にも……いたのですね……
フレデリカ,どーしたの？
文香,いえ……では、どこへ行きましょうか
フレデリカ,えっとねー！まずは今日の夕飯かな！
ありす,まったく、無計画なんですから……
文香,ふふ……
さくら,……。飛び出してきちゃった……。しかも……イズミンにひどいこと言って……。で、でも、イズミンもひどいよね！。アイドル……やめちゃえなんて……。どうしよう……
双葉杏,……こんなとこで何してんの
さくら,！……杏さん！
杏,……ケンカ？
さくら,っ！？い、いえいえ、なんでも……ないです……
杏,そんな腫れた目で言われてもねぇ。ま、怒るとしたら亜子より泉かな。何したのさ
さくら,あ、あの……実は………
杏,ふーん、さくらが悪いね
さくら,うっ……
杏,泉に迷惑かけて、泉が怒ったんでしょ？それじゃ謝るしかないじゃん
さくら,それは……そうなんですけどぉ……
杏,……。さくら
さくら,は、はい……
杏,さくらはさ、3人で、肩組んで、ヨーイドンで同時に一歩踏み出してこの世界に入ったんでしょ？
さくら,……
杏,じゃあ今、さくらの一歩と他2人の一歩は一緒になってる？ちゃんと3人並んでる？
さくら,……
杏,杏が見るにさ、泉と亜子がちょっと前を歩いてると思うんだ。さくらは引っ張ってもらうのを待ってる。でも、それは甘えって言うんじゃないのかな
さくら,甘え……
杏,3人を最初に見た時はさ？さくらが2人を引っ張ってるんだと思ってた。みんな、そう見えてると思う。でも、意外に、さくらは2人に引っ張ってもらってるんだよ。例えば、最初に2人をアイドルに誘った時、断られたらどうしてた？
さくら,それは……1人でも……
杏,本当に？2人を引っ張るつもりで、実は背中を押して欲しかったんじゃないの？
さくら,……
杏,アイドルなんてさ、顔も知らなかったやつとユニット組むこともあれば、何年も続いたユニットがある日突然なくなることもあるんだよ。そんな中、最初から知り合い同士で活動できるなんてとてつもないアドバンテージなのに、甘えるなんてもったいないよ。引っ張るとか、引っ張られるとか、そんな関係じゃないのがニューウェーブでしょ？
さくら,！
杏,迷惑かけたなら、それを、その差を埋めなきゃ
さくら,杏……さん……
杏,あー……たくさん喋って疲れたー……
さくら,あ、ありがとうございました！
杏,はいはい、早く行きなー
さくら,はいっ！
杏,杏のガラじゃないなぁ……まったく……
緒方智絵里,あ、いた！杏ちゃん！
三村かな子,お～い
杏,んー
智絵里,どうしたの？こんなところで
杏,ちょっと悩める子羊にアドバイスをねー
かな子,どういうこと？
智絵里,なんだかんだ、面倒見がいいよねっ
杏,どーでもいいよ。それより、疲れちゃった。事務所までお願いー
かな子,はいはい
智絵里,明日もお仕事、頑張ろうね！
杏,まあ、それなりにね……
亜子,な、なあ、目星はついとるんー？
泉,全然！
亜子,ええ！？
泉,でも、走らなきゃ！とにかく！
亜子,あてずっぽうなんー！？
さくら,と、とにかく事務所に戻ろう！そして謝らなきゃ！。って、事務所どっちだっけ～！？。えーっと、この道だっけ？。あれ～？
泉,亜子！あそこの十字路は、どこに行くんだっけ！？
亜子,ええ！？っと……左は行き止まり！真っすぐは公園で……右が川や！
泉,じゃあ右に曲がろう！
亜子,ちなみに根拠は！？
泉,ない！
亜子,もう！
さくら,そうだ！この道は通った！。このまま行って、あそこの十字路を左だ！。そうだそうだ！事務所に帰れそう！
泉,あそこを右に、あそこを右に……！
さくら,あれを左、左、左！
泉,ここを右！
さくら,ここを左！
泉,あっ！！！
さくら,うわっ！！！！
亜子,ちょ！ってさくら！？
泉,……
さくら,……
亜子,……
泉,さ、さくら……ごめ
さくら,ごめんなさい！イズミン！アコちゃん！。わたし！いつも2人に迷惑かけて！それなのに全然反省しなくて……っ！。これからは！本当に！絶対に頑張るから！だから……。これからも3人でアイドルがしたい！！！。……
亜子,さくら……
泉,さくら、私も、ごめんなさい。さくらのこと、全然わかってなかった。3人だからここまで頑張ってこれたのにね
さくら,イズミン……
泉,こちらこそ……これからもよろしくね
さくら,イズミーーーン！！！！
泉,わっ！いきなり抱き着いて……ビックリするじゃない……まったく……
さくら,ほら！アコちゃんも！
亜子,せやなぁ！
泉,あ、亜子まで……
亜子,まあまあ、ええやんええやん！
さくら,ええやんええやん♪
泉,もう……
さくら,2人共、これからもよろしくね！
トレーナー,はい！1・2・3・4！そこでターン！はい！右！左！。ストップ！。いいですね！この前とは比べ物にならないくらいです！この調子ならライブも期待できそうですね
さくら,わぁい！
泉,油断しちゃダメよ？
亜子,でも、褒められていずみも嬉しいやろ？
泉,べ、別に……
亜子,素直じゃないなぁ
さくら,次行きましょー！
トレーナー,はいはい。それにしても、本当に息がぴったりですね……なにかあったんですか？
亜子,ううん！でも……
泉,ええ、桜の魅力を、もう一度見つけただけですよ
さくら,？
泉,ふふっ……さくらはそのままで……ね？
さくら,うんっ♪
