軽口,今日のオーディション合格者は～……。２番の君達だ！気にいっちゃったよ、オレ！
律子,あ、あなたが人のこと言えた義理ですかっ！？
小鳥,あの、すいません。私を挟んで口喧嘩しないでもらえませんか。すごいツバ飛んでるんで。私に全部引っかかってるんで
律子,……バーカ
P,アーホ
律子,死ね
P,お前が死ね
律子,いやプロデューサーが死ね
P,いやお前もプロデューサーだから
律子,あ？
P,あ？
小鳥,あの、私を挟んで罵詈雑言を飛ばさないでいただけませんか。私が言われてるようですごい不愉快です
P,……いい加減にしろよ。そんなに俺のオーディション攻略法が気に入らなかったのか？
律子,……あんなの、フェアじゃありませんし。私は認めたくないですね。それにあんなアホな衣装を採用するだなんて、頭どうかしてるんじゃないですか？
P,。アイドル崩れにプロデュース業の何が分かるってんだ
律子,っ！
小鳥,！プロデューサーさん、それｈ
P,いっ……！
律子,……今日はこれで帰ります、お疲れ様でしたっ！
伊織,ち、ちょっと律子！？
小鳥,あっちゃー……
真,あんな綺麗な平手打ち、見たことないや……やるなぁ律子
亜美,……流石に今のは兄ちゃんが悪い
響,……そだな
春香,あれから、一週間経ったけど……
律子,それじゃ小鳥さん、私出かけてきますね
小鳥,あ、はい律子さん、行ってらっしゃい
P,…
伊織,互いに互いを無視する、夏なのに冷え切った日々が続いてるわね
雪歩,じ、事務所の雰囲気が最悪です～……
貴音,……困ったものですね
千早,そうかしら。元々が競合相手だったのだし、いつこうなってもおかしくなかったと思うけれど
やよい,例えそうだとしても、私は仲良くしてほしいです……
美希,Zzzzz
亜美,あー、あー。本日は晴天なり、本日は晴天なり
真美,亜美、準備は出来てる？
亜美,モチロンだよ真美。ほら、律っちゃんの外出前に携帯、抜き取っておいたから
伊織,？……あんた達、一体何してんのよ
真美,この変態！ド変態！！変態大人っ！！
伊織,！？
亜美,……んっふっふ～、早速兄ちゃんに電話をかけるよ～。こ、これは……
真美,律っちゃんの携帯、兄ちゃんの登録名がクソ野郎になってる……
伊織,……根はかなり深いようね
亜美,……出ないね
真美,おかしいなぁ、さっき見た時は事務所で仕事してたんだけど……
亜美,あ、兄……コホン、プロデューサー殿ですか？。オッケィ、まずは第一段階突破……
真美,真美達の十八番はモノマネだかんねー
伊織,あんた達はそういう無駄な才能を磨く努力を、少しでもアイドル活動に向けなさいよ
亜美,私……この間の事、謝りたくて。プロデューサーが用意した衣装を捨てちゃって、本当にごめんなさい！。あの……私と仲直り、してくれませんか？。遊園地の一日フリーパス、取ってあるんですけど……今度皆がオフの時に、一緒にどうかと思いまして
伊織,……何で仲直りに遊園地なのよ
真美,え、ダメなの？
伊織,ダメって訳じゃないけど……何か不自然過ぎて、逆に怪しまれるわよ
亜美,今は仕事中なので、ちょっと手が離せませんけど……。できればそこで、二人だけで……改めて、謝りたいって思ってるんです
真美,く、来るか……！
亜美,っしゃあ！第二段階クリアー！
真美,兄ちゃんチョロいよ兄ちゃん
伊織,……ヘタレね
律子,ただ今戻りましたー
あずさ,律子さん。はい、これ
律子,あっ、私の携帯！……やっぱり事務所に忘れてきちゃってたんですね。どうもすみません
あずさ,……あのー、律子さん？
律子,はい？
あずさ,プロデューサーさんが、律子さんにどうしても謝りたいそうで……
律子,……謝りたいなら、本人がここに来ればいいじゃないですか
あずさ,それが、今は仕事で出かけてて……あ、そうそう
律子,？
あずさ,実はその件で、プロデューサーさんが遊園地に
律子,ゆ、遊園地？
あずさ,はい～、それで――
真美,あずさお姉ちゃんの話なら、確実に聞いてくれるよね～
亜美,これで第三段階もオッケィ！あとは……
伊織,あとは？
真美,765プロの皆ァ！
亜美,オラ達に、オラ達に力を分けてくれェ！
伊織,……ここで人頼みってわけ？
亜美,遊園地に二人を連れてって、仲直りさせたいんだよぉ～
真美,あんな兄ちゃんと律っちゃん、真美達もう見たくないんだよぉ～……お願いだよぉ～
伊織,……バカね。あんた達だけで成功させられるなんて、ハナから思っちゃいないわよ
真美,いおりん……
貴音,ですから、わたくし達の手も使って、成功させなければなりませんね
亜美,お姫ちん……！
響,ｸﾞｽｯ……自分も、力になるぞ！
やよい,うっうー！絶対に成功させましょう！
雪歩,わ、私も力になりたいです！
千早,はぁ、まったく……しょうがないわね
真,……遊園地、行ってみたかったんだよね～
春香,一時は恋愛の神様と言われたこの私に万事任せなさい！
亜美,み、みんなぁ……
真美,こ、心の友よぉ～
美希,Zzzzz
P,参った、参った……こんなに道が混んでるとは思わなかった。(うっ……ホントに入口で待っててやがる。しかも俺より先に)
律子,………
P,……お、おはよう
律子,……おはようございます
P,(会話が続かん……つーか謝ってこないな)
律子,(……いつ謝ってくるのかしら)
亜美,やよいっち隊員、そちらの様子はどうかね？どうぞー
真美,んっふっふ～、いおりんのおかげで大規模な作戦ができそうだよ～
伊織,……それはいいんだけど。何であたし達全員、黒スーツにネクタイ締めて、サングラスまでかけなきゃなんないのよ
亜美,遊園地や時代劇村でのターゲット追跡なら、この格好しかないっしょ？
真美,お約束って奴だよ、いおりん
P,……なぁ律子
律子,はい
P,誘ってくれたのは嬉しいんだが、そろそろ本題に……
律子,？……プロデューサーが、私に謝るために誘ったんじゃないんですか？
P,は？何で俺がそんな事しなきゃなら……ん？
やよい,！
P,………
律子,どうしました？
P,……ちょっとそこで座って話そう
律子,……黒スーツを着たやよいが？
P,ちょうどそこの植え込みの陰に隠れてる
律子,な、なんであの子がここに……
P,おかしいと思ったんだよなぁ、律子から謝ってくるだなんて
律子,……それってどういう意味ですか
P,俺達は多分、ハメられてる。あいつらがこういうことを仕組んだってトコだろう。今日は都合よく全員オフだしな。伊織辺りも動いてるんじゃないか、多分
律子,で、どうするんですか？
P,仲の良いフリをして安心させて、適当にうまく撒いた後に解散するか
律子,……結局、謝らない訳ですね
P,何で俺が謝る必要があるんだ？謝るのは律子の方だろ
律子,はいはい……じゃ、仲の良いフリ、しましょうか。ダーリンごめんねー、私が悪かったわー、和解の握手をしましょー
P,あーはいはい俺も悪かったー、ごめんなー律子ー
やよい,！
P,は、ハハハー！力入り過ぎだろー、律子ォー……っ
律子,ごっめんねー！素直じゃなくってー……っ
やよい,！？。あ、あの！急に謝って、急に仲良くなったみたいです！……どうぞー。マジです、どうぞー。うっうー！了解でーす、どうぞー
P,……付いてきてるな
律子,明敏なプロデューサー殿は、この場合どうするんです？
P,(まぁ、考えがない訳でもない、が……)。よーし律子ー、あれに乗るかー
律子,！……きゃーやだー、あれに乗るのー？私こわーい
P,あぁそうだー、でも爽快だぞー
やよい,司令部、応答願いまーす！どうぞー。二人はどうやらアトラクションに乗り込むようです。律子さんは怖がってるようです。私もアレに一緒に乗り込みます！どうぞー
亜美,アトラクションねぇ。真美はどう思う？
真美,うーん……乗り物で怖い、と言ったら絶叫系かなぁ？
伊織,乗り物じゃなくて二人の様子の方が重要じゃないの？まったく
亜美,？……でもさ、地図見る限り、やよいっちの周辺にジェットコースターはないっぽいよ？
真美,じゃ、一番近いこの乗り物じゃない？フリーフォール系の絶叫マシーン
伊織,ふ、フリーフォール系ですって！？
亜美,？……どしたの？いおりん
伊織,やよい、その乗り物には乗っちゃダメよっ！……やよい！？やよい、返事しなさいっ！！。や、やよい、落ち着きなさい！安全だからっ！しっかり目をつぶってっ！！
亜美,………
伊織,や、やよいぃぃぃぃぃ！
真美,あぁっ、いおりん！？
やよい,
P,……許せ、やよい
律子,呆れた。高所恐怖症だって、知ってて選んだんですね……最低
P,じゃあどうすればよかったんだ。こうでもしないと、どこまでも付いてくるだろ。他に案があったんなら、こうする前に是非出してほしかったもんだね
律子,………
亜美,いおりん……やよいっちは？
真美,やよいっち、無茶しやがって……
亜美,oh.....
真美,やよいっちの犠牲を無駄にしてはならないよ、亜美……！
亜美,そうだね、真美……で、二人が向かった先に今一番近いのは
真美,はるるんとミキミキだね！
亜美,ミキミキは正直当てにしてないけど、はるるんならバッチリお仕事してくれるって信じてるよ！
春香,…
美希,っていうか、何でハニーが律子と一緒にいるの？
春香,ちょっ、美希！ちゃんと隠れてよ！
P,リボンを外せばバレないとでも思ったのか、あいつは？……まったく
律子,美希に至っては隠れる素振りもありませんね
P,で、どうするよ？
律子,……それじゃあ、無難にコーヒーカップにでも乗りましょうか、ダーリン
美希,！
P,ん？……あ、あぁ、そうだな
美希,………
P,……こんな歳になっていざ乗ってみると恥ずかしいな、これ。テーブル回せば回転するんだっけ？ガキの頃はよく乗ったし、懐かしいなぁ
律子,遊んでないで、ちゃんと私に協力してくださいよ。もっと寄ってください
P,ん？……こんな感じで、寄ればいいのか？
律子,そうです。もっと近くに、カップル風に装って……手を、重ねてください
P,………
美希,は、ハニーが……律子と、一緒に……
春香,何だかちょっといい雰囲気かも……？
美希,痛いよ……胸の奥が、ズキズキする……
春香,美希？
美希,どうして？……何で、こんなに痛むの……？
春香,……あの、美希？わ、分かったから、それ以上テーブル回さないで？
美希,何でミキはハニーの隣にいないの？
春香,ちょ、やめっ！回すの、やめて美希っ！聞いてる！？
美希,……何でミキは、春香なんかと一緒にこんなのに乗ってるのっ！？
春香,ひゃぁぁぁぁぁぁあああっ！！？。
美希,うっぷ……
P,美希に嫉妬させて自滅させるとは、やる事が下衆いな
律子,お言葉ですけど、プロデューサーがアイドルと関係を持つ方が問題でしょう？。そういうのは風当たり、強いんですから。火遊びは厳禁ですよ
P,……じゃあ聞くが、律子は男相手に、いつもこういうカマをかけてるのか？
律子,まさか
P,………
律子,………
真美,はるるんとミキミキも脱落かー……
亜美,怪しいけど、ここまでは普通にデートしてるっぽい感じではあるよね
真美,お姫ちん、兄ちゃん達の行く方向に誰かいない？
亜美,！？
真美,まこちん……？
響,……なぁ真ー、まだ乗る気なのかそれにー？
真,うるさいなぁ、フリーパスなんだから何回乗ったっていいだろー？
響,でも、それメリーゴーラウンド……
真,メリーゴーラウンドで楽しんで一体何が悪いのさ？
響,いや、そういう訳じゃないけど……ほ、ほら、プロデューサーと律子がー
真,ボクは満足するまで絶対ここを動かないからな。ここで一生分、楽しんでやるんだから……
亜美,まこちん……メリーゴーラウンドに魂を引かれたか
真美,と言うか、一人だけ普通に満喫するつもりだよね……こりゃバターになるまで帰ってこないね
亜美,となると、ここで頼れるのは、ひびきんしかいないかぁ
真美,全てはひびきんの肩にかかってると言わざるを得ないね
亜美,ひびきんには期待してるよ、超頑張って！
P,ふむ……今度は響か
律子,結構厄介なんじゃないんですか？撒くのは
P,まぁ、そうだな。そんじゃここは一つ、頭を使うとしますか
律子,頭を……？
響,今頼れるのは、自分しかいない……。園の外にいるハム蔵達に笑われないように、頑張って追跡するぞー！。あいたっ……！。うぅぅ、また鏡にぶつかったぞ……。プロデューサーと律子は、どんどん先に行っちゃうし……。一体何なんさー、このアトラｋ。はうっ！？
P,遊園地っつったら、ミラーハウスだよなぁ
律子,よく道順、分かりますね
P,前を見るな、下を見ろってね。鏡と床の継ぎ目があったりするんだよ
律子,……それはそうと、響はわざわざここに入らなくても、出口で待ってればよかったんじゃ……
P,そこまで考えが至らないのが響なんだよ。俺はそういうトコも含めて好きだけどな
亜美,あ、あれ？ひびきんは？
真美,……ひびきん？
亜美,あっ、切れちゃった……
真美,……ひびきんも案外頼りにならなかったね～
亜美,まぁ、ひびきんだししょうがないよね～。あ、あずさお姉ちゃんからだ
真美,あずさお姉ちゃんが、ターゲットを捕捉した、だと……！
亜美,い、今二人はどこに向かってるの？。黒い建物……んっふっふ～、これはチャンス到来ですな
真美,あずさお姉ちゃんは、そのまま二人を尾行して！
亜美,さっそくあそこで準備してる二人に、連絡を取らないとね～
P,うーん、あずささんは俺達を偶然見つけたってか……
律子,そのようですけど……何か？
P,どうもおかしい。いくら撒いても、俺達の行く先が向こうには分かっているようだ
律子,つけられる前から、監視でもされているとか？
P,それは分からんが……撒かれても大丈夫なようにしてはいるようだな
律子,ま、それはおいおい考えるとして。こっちですよ、ダーリン
P,……なぁ、そのダーリンは何とかならんのか
律子,……私だって好きで呼んでる訳じゃないです。フリですから、フリ
雪歩,わ、私が、脅かす側になるなんて……
千早,入ってきた辺りで速攻脅かして、二人が恐怖を抱くことで吊り橋効果を狙う、ねぇ。……本当にそんな上手くいくのかしら？。だから不安なのよ……はぁ
雪歩,よ、よ～し……気合入れて、脅かすぞぉ～
千早,……萩原さんは逆に脅かされそうね。準備はいいわね、萩原さん
雪歩,ミスミスミスター、ドリドリラー……ミスミスミスター、ドリドリラー……
千早,な、何、その呪文は……？
雪歩,じ、自信をつけるおまじない……かな
千早,(今だっ……！)。んあぁぁぁぁぁぁぁぁぁっ！！
雪歩,お、おばけだぞーっ！？
千早,えっ？……き、気絶した？
雪歩,ち、千早ちゃん！……こ、この人、あずささんだよ！
あずさ,
千早,え、えぇー……な、何であずささんがプロデューサーより先に……
雪歩,だ、誰か来たみたい……
千早,ち、ちょっと、このあずささんはどうするの！？
雪歩,……と、とりあえず、隠しましょう！
P,いやぁ、スッキリしたなぁ～
律子,プロデューサーがトイレに行ってる間に、あずささん、勝手に入って行っちゃいましたけど
P,えっ、そうなの？
律子,……お化け苦手なのにこんな所にホイホイ入っちゃって、大丈夫だったかしら
P,その割には、姿を見かけないが……？
律子,持ち前の迷子スキルで、もう外に出ちゃったのかもしれませんね
千早,な、何で脅かす側なのに、私達が隠れなきゃならないのよ……
雪歩,だ、だって……あずささんを脅かして気絶させたなんて、千早ちゃんは言える？
千早,……まず怒られるわね。真面目なお前達まで一体何やってんだって
雪歩,ｸﾞｽｯ……や、やっぱり、私には脅かすなんて無理だったんだ……
P,しかしお化け屋敷も大したことなかったなぁ……怖かったか、律子？
律子,はぁ？何で私がプロデューサー殿の前で怖がらなきゃいけないんですか？
P,……そんなんだから可愛くないんだよ
律子,えぇそうですねどうせ私は可愛くないですよ。大きなお世話です
P,……ストップ
律子,？
P,右斜め後方、フードコーナー。テーブル席の着ぐるみ
律子,着ぐるみ？……あっ
P,……あれで園内に溶け込んで、俺達を監視してた訳か
律子,……どうするんです？
P,どうするもこうするも、やることは一つだ。おーい、貴音ー！
貴音,！……な、なぜわたくしだと……！？
P,俺達に追いついてこれるかー？
律子,えっ、ち、ちょっと！？
貴音,こ、ここで二人を見失う訳には……！
律子,はぁっ……はぁっ……ちょっと、プロデューサー！。一体どこまで走るつもりなんですか、もう！
P,んー、園内を半周程すれば、諦めるかな
律子,へ？
P,こんなクソ暑い日にメシを食った直後、ブ厚い着ぐるみを着て走ればどうなる？
律子,……あっ
貴音,ｺﾋｭｰ……ｺﾋｭｰ……。………
亜美,お、お姫ちぃぃぃぃんっ！！
真美,お姫ちんまでダウンしちゃったか～……
亜美,……どうやら、覚悟を決める時が来たようだね、真美
真美,そうだね。やっぱり真美達じゃないと、ここはしまんないかな～
亜美,お姫ちんが亜美達に託してくれたものは、無駄にはしないよ！
真美,んっふっふ～、律っちゃん達は流石に気づいてないよね～
亜美,撒いて逃げてるつもりが、実はその場所に追い込まれてた、なんてね～
真美,兄ちゃん達が向かった先は、この遊園地内最大にして最高のスポット……！
亜美,亜美達の戦場は、観覧車にあり！いざ、出撃ィ！！
律子,……逃げるのに必死過ぎて、成り行きで乗っちゃいましたね
P,ま、ここなら周りに気を使わなくていいしな。勘違いするなよ？
律子,ハッ、誰が勘違いするもんですか
P,…
律子,…
P,！？
律子,な、何！？。わ、私の声……！？
P,こ、このふざけた調子……まさか、あいつらの仕業か？
職員,き、君達、こんな事をしてタダで済むと……！
亜美,いーからいーから、亜美達は水瀬財閥の関係者なんで～
職員,えっ
真美,そうそう、責任はす・べ・て水瀬財閥が取りますので～
律子,私から、誘いの電話があったって……
P,履歴に残ってるはずだぞ。まぁ、うまく真美達に騙されたみたいだなぁ
律子,……置き忘れたと思ってたあの時にやられたみたいね。迂闊だった……
P,で、ここまでして律子と俺との時間を作りたい理由、原因は……
律子,………
P,………
律子,……はぁ。何だか、どうでも良くなっちゃった
P,あいつらを心配させるほど、ここまで引っ張る事じゃなかったよな……
律子,あんなにムキになってた自分が、バカみたいです
P,……悪かったよ、律子
律子,えっ？
P,アイドル崩れだなんて言って、さ。本当にすまなかった
律子,あ……そ、その事はもう、気にしてませんから
P,そ、そうか……
律子,……私も、プロデューサーの衣装を勝手に、捨てた、なんて言ったりして。ホントはそんな事してないのに、何だか意地悪してみたくて……つい
P,す、捨ててなかったのか……？
律子,最初はそっちが謝るなら、返してやろうかなって……今思えば、本当に幼稚でした。……プロデューサー、ごめんなさい
P,あっ……お、俺もな、そんなに怒ってないから。うん
真美,そろそろ下に来る時間だね～
亜美,あ、降りてきたよ！
P,よう、お前ら
真美,兄ちゃん、律っちゃん！
亜美,仲直り……できた？
律子,えぇ、まぁね
P,お前らには心配掛けたようで、悪かったな
真美,ホントに？ホントにもう喧嘩しない？
P,あぁ、もちろんだ
律子,約束するわ
亜美,――こうして、亜美達は律っちゃん達を仲直りさせることに大☆成☆功し
真美,その栄光を讃え、真美達は兄ちゃん達にパフェを奢ってもらえる事になっ
P,で？これは一体何の騒ぎなんだ？説明してもらえるかな、二人とも
真美,あ、あれ……？
亜美,ま、まっすぐを流したのに、ハッピーエンドにならない……！？
律子,なる訳ないでしょう？あんた達にはたぁっっっっぷりと聞きたい事があるんだから
真美,あ、亜美！どうしよう！？
亜美,……たった一つだけ策はある！とっておきのやつだ！
真美,そ、その、策は……！？
亜美,フフフフ……逃げるんだよォォォーッ！
真美,あぁっ！ま、待ってよ、亜美ィ～！！
律子,くぉらぁぁぁ！待ちなさぁぁぁぁいっ！！
P,……ま、一件落着、とはいかないよなぁ。はい、もしもし。えっ
小鳥,っざけんじゃないわよぉぉぉぉぉっ！！。全員オフで仕事ないからって事務作業全部私に押しつけて行きやがってぇぇぇぇぇっ！！。私のアフターファイブを返せよっ！返しなさいよぉぉぉぉぉっ！！。はぁっ、はぁっ……もうキレた、もーキレた！。私をキレさせたら大したもんですよ、そりゃね！でもハイ、もうキレました！もう遅いっ！。こうなったらストですよ、スト！事務員の待遇改善を求めて訴えてやりますっ！！
高木,残業お疲れ様、音無君。今日は私のおごりで一杯、どうかね？
小鳥,はい、社長！是非ご一緒させていただきますっ！
