グラーフ,ハァ……ハァ……
グラ,綺麗な駅だ……。この吹き抜け、なんて広さだっ
提督,……京都駅って、こんなんだったっけなぁ。昔はもっとあっさりしてて、駅ビルももっと普通な感じだったけど……
グラ,アトミラール、あの建物はなんだ？
提督,あぁ、これは昔もあったな。たしか京都タワーってやつだったはず
グラ,キョウトタワー……
提督,登る？
グラ,……いや、構わない。それより私はさっそく、キヨミズノブタイを見てみたいぞっ
提督,ははっ、りょーかい
グラ,ふむふむ……。このキョウト市内の移動は、バスを利用することが常識らしい
提督,へぇ～……バスって……。……あれのこと？
グラ,……あぁ
提督,すっげー混んでるゾ～。……提案がありまーす
グラ,ん、なんだ？
提督,地図を見てもそんなに距離があるようには思えない。……行こう、徒歩で
グラ,徒歩……。そ、それは大丈夫か、アトミラールっ
提督,大丈夫でしょ……道も簡単みたいだし
京都市の地図を見たことのある方なら分かるかもしれないが、ここは平安京の時代に,条坊制
提督,あれで“おしくらまんじゅう”になるのは……。かえって体力を使いそうでかなわん
グラ,むぅ……。……うん、構わない。あなたと一緒なら、なんだってな
提督,言うようになったなぁ君
グラ,だったら……少しだけ、良いか？
提督,ん、なーに？
グラ,気になるパン屋があるんだ……
提督,パン？……って、あれか。確かにもう昼時だけど……いいの？。もっと京都らしいお昼ご飯じゃなくて
グラ,良いんだ。雑誌に書いてあったんだ……。キョウトの人々のパンの消費量はこの国で一番だとな
提督,ほう
グラ,私の国でもパンはよく食べられていたからな。なんだか親近感を感じるよ
決してドイツパンではない,無慈悲
提督,買いすぎちゃったなぁ
グラ,ははっ、本当だな……。ブレッツェルは置いてなかったのか……
提督,せっかくだから、どっか眺めのいい場所で食べたいな。さて、清水寺へはどこから向かうか……
グラ,……
提督,あっ……。手……
グラ,なぜだか……こちらが良い気がするんだ。行こうっ
提督,……りょーかい。あったけぇ。なんだか呆けてしまいそうだ
A,ﾖﾄﾞﾊﾞｼｰ
B,ｶﾒｰﾗｰ
提督,……ヨドバシカメラに外国人が集まるという噂は本当だったのか。戦争が終わって、渡航も楽になったからなぁ
グラ,アトミラール、そこで曲がるぞ
提督,ん、あいよー
グラ,ナナジョウストリート……というのか。そこを東に行ってみるよ。しかし……
提督,んっ
グラ,道を歩けばすぐに日本のマチヤが見える、というわけではないのだな……
提督,まぁ、それは実際しょうがないな。このあたりも前の大震災で被害は受けてるはずだし……
グラ,大震災か……。むしろ、それだけ大きな地震の後でも町がなにごともなかったように復興しているのは……。やはり日本はすごい国だな
提督,地震と言えば……グラーフも面白かったなー
グラ,……怒るぞ。アトミラール、小さい川がある
提督,お、ホントだ
グラ,川の両岸のランドスケープがとてもいいフンイキだ。植栽も見事だ……どれだけ愛情を注いでいるかがわかる。アトミラール、ここを北上しても構わないか？
提督,うん、いいよ
グラ,この国は電線がすべて地上に出ているんだな
提督,あぁ、そうだね。今まで疑問に思ったことはなかったけど……
グラ,私の国では、電線はすべて地中化しているんだ
提督,あぁー……確かに写真とか見ても、こんな風に電柱とか余りないよね。はっきりいって、邪魔だよねこの電線
グラ,ははっ、確かにな……。でも、これはこれで日本らしくて……私は好きだな
提督,おぉ、大きい通りに出たな
グラ,ここがゴジョウ通り……。ではあの大きい川がカモガワだなっ
提督,そうみたいだねぇ
グラ,どうだろうアトミラール、川のそばにベンチがある。そこで昼食としゃれ込もうじゃないか
提督,賛成っ！。ウメーウメー
グラ,……
提督,んぁ？
グラ,……ｸｽｯ。アトミラール、これも食べてみろっ
提督,はむっ。……うまい
グラ,ミルクフランスだそうだ
提督,……じゃあ、俺のもくらえいっ
グラ,んっ……これは……
提督,日本の大発明品、カレーパンじゃ
グラ,……おいしい……。……なるほどなっ。このゴジョウオオハシでかつて、そのウシワカマルとベンケイが戦ったのか
提督,さよう
グラ,日本に伝わる伝説もなかなか面白いな
提督,なんか、これだけはめちゃくちゃ覚えてたよ。よっしゃ、そろそろ……
グラ,あぁ……行こう。ええと……。……なるほど。このままゴジョウストリートを東に向かえばいいそうだ
提督,なんか坂になってるように見えるなー
グラ,運動不足の解消だな、アトミラール
提督,うるせーやい
グラ,アトミラールっ。アトミラールの使っていたチャノミがたくさんあるぞっ
提督,……俺のと全然違うべ……
グラ,いや、そういう意味ではないんだ。この日本の独特の陶磁器のことだ……
提督,あ、そういうことね
グラ,……なるほど、あのノボリガマで昔のトウキを焼いていたのだな
おじいさん,あぁそうだよ。今じゃもっぱら電気釜で焼いてしまうがね
グラ,そうなのか……ふむ。興味深い話だったよおじいさん、ありがとう
おじいさん,べっぴんな姉ちゃんの質問やったら何でもオーケーやで。ほな、楽しんでな
グラ,アトミラール、“べっぴん”とは……どういう意味だ？
提督,……ちぇっ
グラ,？
提督,ヒエーっ！一気に人が増えたなぁ！
グラ,では……この坂の上にキヨミズノブタイがあるのだな？
提督,そうみたい
グラ,アトミラール、はやく行こうっ
提督,あ、ちょっと！
グラ,！？
提督,道が狭いし、バスもたくさん通ってる。急いじゃ危ないよ……
グラ,……スマナイ。アトミラール！マチヤだ！。マチヤがあるぞっ！
提督,おぉ、そうだな。そんなに珍しいものなんかなぁ
グラ,コウシがかかっているし、ベンガラも塗られている……。まさに……まさに……。これこそ日本の家というものだなっ！
提督,そうだけど落ち着きなさい
グラ,赤い門だ、ここがブタイなのか？
提督,いや違うでしょう。ここをくぐって、もう少し登ったとこらしいよ
グラ,そうなのか……
提督,あ、それと。日本の建物の敷居……この下の木は踏んじゃだめだよ。敷居を踏むことは、人の頭を踏むのと同じ…………らしい
グラ,なるほど……分かった
特徴的な本堂の前面は山からせり出す形となっていて、これを多くのケヤキ柱で支えている様から,清水の舞台
提督,へー、すごいおっきい…。想像以上に雄大な景色だ、これは来て良かったなぁ。なっ、グラーフもそう思っ……
グラ,……
提督,あれー？
グラ,……あ、あぁ……そうだ……な。素晴らしい……景色だ……
提督,本堂の中見て何言ってるんだろうこの人
グラ,……じ、実に堪能したぞ……アトミラール……
提督,……
グラ,……そ、そろそろ……行こうｋ
提督,肩ポンっ
グラ,ひぐっ！！！。あ……あぁ……
提督,高いところダメだったのか……。悪かったよ……
グラ,……。アトミ……ラールなど……。もう……しらんっ……
提督,えらいこっちゃ！
グラ,第一っ、貴官は前々から……。いたいけなレディにっ……。やってはいけない事をっ。何度も何度も……。……。……美味い……
提督,お茶と和菓子を美味しそうに頬張る君を見てると。こんな出費、屁でもないと思える
グラ,日本のチャガシはとても繊細だ……。作り手の遊び心がよく伝わってくる。あれは……どうやって作られていたのだろうか？気になる……
提督,機嫌が治ってなによりです
グラ,アトミラール……
提督,ん？
グラ,少し、坂の麓まで戻りたい……よろしいか？
提督,うん、いいよ
グラ,そうかっ。……すまない、付き合ってもらって
提督,ううん、俺も嬉しいよ
グラ,“メオトチャワン”はどうしてもここで欲しかったんだ。そういえば……リョカンは、大丈夫なのか？
提督,今が１６時過ぎかぁ……。祇園で１９時だから……まだ時間があるんだよね
グラ,そうか、それならあなたと一緒に周辺を歩こう。たしかギオンといえば、祭りではないかっ
提督,……時期が違うんだよなぁ
グラ,……。
提督,おっ、こんなところに神社だ
グラ,ジンジャ……テラとは違うのか？
提督,うぅーん、詳しくは無いんだけど……。神様を祀ってるか、仏様を祀るかの違いなんじゃないかな。ちなみに、日本の艦艇にも小さい神社が設けられているぞ
グラ,そうなのか？
提督,あぁ、艦内神社ってやつね。……で、神社にはこういう絵馬がある
グラ,エマ？
提督,そう、絵馬。神様に願い事を叶えてもらうために、こうやって……。……
グラ,ど、どうしたっ？
提督,あんな文章、この子には見せられん……っ！
グラ,何があったのだろうか？
提督,次は神社に行こう、そうしよう
グラ,今のはジンジャではなかったのか……？
提督,四条に着いたぞ……
グラ,では、ここがギオンなのか？
提督,そうみたいだねぇ
グラ,なるほど、キヨミズに負けず劣らない賑やかさだな
提督,実は俺ここ、昔来たことあるんだよ
グラ,そうか、では案内は頼んだぞ
提督,……全然覚えてないけどなっ
グラ,
八坂神社……通称,祇園さん
グラ,しかし……ジンジャの中の雰囲気は独特だな。木々のこともあるが、何か重厚な印象を受ける
提督,まぁ実際日本の神様が祀られてるところだからね。俺は大丈夫だけど今の時間、神社の空気がだめだって人もいるしな
グラ,ふふん、私は平気だぞっ
提督,んっ
グラ,ん……
提督,さっき言い忘れてたんだけど、鳥居をくぐるときは。真ん中をさけて、一礼してから入るといいよ
グラ,そうなのか？
提督,うん。参道の真ん中は神様の通り道だからね
グラ,なるほど、常に敬意を忘れてはならないということだな
提督,手水舎で手は清めたな？
グラ,あぁ！
提督,お参りをするときはまず賽銭に小銭を入れて、鈴を鳴らすんだ
グラ,ゴエンダマを出して……。ニレイ。ニハク。イチレイ……。―――――――……
提督,よくできました
グラ,ありがとう
提督,君は実に喜怒哀楽がはっきりしている
グラ,な、なんのことだ……
提督,おみくじの凶でここまで落ち込むとはなぁ
グラ,“イチゲンサンオコトワリ……？”
提督,あぁ、いかにも繁華街の裏手って感じだなぁ。紹介制のスナックとかのことだよ
グラ,スナック……女性にオシャクをしてもらう店のことか……？。……アトミラールも、こういうところには行ったことがあるのか？
提督,うん、海軍にいたころはよく行ったねー
グラ,そうか
提督,？
グラ,アトミラール、ここ……少し覗いてもいいか？
提督,おーけい
グラ,“アブラトリガミ”……？
店員,はい！お顔をこれで優しくお拭き取りいただきましたら。お肌の余分な油分を取り除いてくれるんですよ
グラ,ふむ……なるほど……
提督,なるほど、ここは化粧品屋かぁ
グラ,アトミラール……よかったのか？
提督,ん？
グラ,アブラトリガミに化粧水にカオリセッケン……。こんなに買ってもらってしまった……
提督,いいのいいの。女性の化粧が大変なのは分かってるからな
グラ,……また何かで、返す
提督,じゃあ黄金チキンのムネ奢って
グラ,もうすぐ旅館で夕飯だろう……
女将,本日は遠路遥々、当旅館にお越し下さり……。誠にありがとうございます……
グラ,っ！。こ、こちらこそっ
提督,え
女将,あら……
グラ,……え。……。い、いきなりお辞儀をされたから……わ、私も……と……
提督,はははっ
仲居,うふふ……お二人はご夫婦でいらっしゃるのですか？
提督,はい、そうです
グラ,……。顔の火照りが止まらない……！どうする……！
提督,おぉ～、見事な中庭だぁ
グラ,素晴らしい、これがこの国のランドスケープの花形か……。私の祖国では見られない植物ばかりだ
提督,撮るねぇ～
グラ,あぁ、一つ一つが貴重な体験だからな。今日だけでもかなり容量を使ってしまったよ
提督,ほう、見せて見せて。よく撮れてるな……ん？。清水の舞台から撮れたんだな、写真
グラ,写真を介してなら……私も感動を味わえると思ったんだ……。日本人が一度は行くところだと聞いたから……
提督,ん、えらい
グラ,……。……素直に嬉しいな
提督,京都タワー行ったらどうなってたんだろう
仲居,お食事をお持ちしました……
提督,よしきたっ
グラ,おぉ、これが“ヘヤショク”……
仲居,こちらの茶飯は吹き零れましたら、蓋を少しずらし。そのまま２０分ほどお待ちください……
提督,おかずで飯を食らう性分だからなぁ。ご飯を後で頂くのを少しもったいなく感じるのは俺だけでしょうか
仲居,では、ごゆっくりどうぞ……
グラ,おぉ……見たことのない料理ばかりだ……。美味いっ
提督,このあんかけみたいなの、胡瓜なんだって……すげえ
グラ,先ほどのチャガシもそうだが……見た目もとても楽しいな。これはアユ……というのか？
提督,そうだよーウマイヨー
グラ,……本当だ。スシじゃない生の魚もある、この緑の添え物を乗せるのか……？。っ――――――！
提督,つけすぎっ！。ほれほれ、グラさんも一杯
グラ,おぉ、これは分かるぞ……ニホンシュだな。何と書いてある……“タマノヒカリ”？
提督,ふふ、もう潰れちゃだめだぞー
グラ,もうチャンポンはしないと言っただろう。意外だな、デザートはシャーベットかぁ。……なるほど、ユズの香りがする。これも好きだな……
提督,ねー。肌が白いから顔赤くなってるのがよく分かるなぁ。良い酔い方、とでも言うのかな
グラ,おぉ……日本のリョカンは食後にフトンをひいてくれるのか
提督,そうだよ。こういう旅館で働いてる人ってすごいよな、何から何まで
グラ,あぁ……本当にな。……そうだ、今の間にシャワーを浴びてこよう
仲居,ごめんなさいね……せっかく日本にいらしてるのに……。温泉とか、ご期待もされていたでしょう？
グラ,いや、いいんだ……ここは温泉の湧かないところなのでしょう。温泉が無くとも、ここはとても良いところだ……
仲居,あら、ありがとうございます……
提督,ふー、さっぱり
グラ,あ、アトミラールっ
提督,ん？
グラ,
提督,ん？
グラ,
提督,ん？
グラ,ヒザマクラ……する……
提督,……いいなぁこれ
グラ,そうか……それはよかった。……。……
提督,……。……いい……
グラ,もうこんな時間か……。そろそろ、フトンに入ろう
提督,……名残惜しいけどしかたがない。それにしても、本当に布団が一つとは
グラ,私は……構わないぞ
提督,……俺も
グラ,あ……アトミラール……
提督,……なに？
グラ,……好き……
提督,……俺の方がね……
グラ,……んっ
提督,……っ。ﾌﾞｪｯｸｼｮｰｲ！
グラ,アトミラール、早く服をっ
提督,……。うぅ……暖かいお茶がありがたいなぁ
グラ,スマナイ……
提督,いやいや……こちらこそ……
グラ,……
提督,……
女将,朝食、本当によろしかったのですか……？
提督,はい、朝は街で食べるって決めていましたし……。あっ、夕食ごちそうさまでした。美味しかったです
女将,そうですか……そう言っていただけると嬉しいです。では、お気をつけて……
グラ,オカミサン、ありがとう
提督,さて、ここを渡れば京都一の繁華街かぁ。あの辺で、コーヒーでも飲み歩きましょうや
グラ,あぁ、いいなっ。コーヒーは大好物だぞ。ここも、すごい人の数だなっ。そして車も、かなり混み合っている……
提督,街の規模に比べて車道が狭そうだし。ここは車で走りたくないなぁ……
グラ,そんなことを言うんじゃないっ
提督,フゥーっ。これはいい雰囲気だね
グラ,あぁ……私の国でも馴染みのある設えだ。この国でも楽しめるとは思わなかったぞ。すまない、ブレンドコーヒーを二つと……
提督,トーストセットをふたつくださいっ。この辺りは電気街なのかな。大きいのも小さいのも、電気屋がいっぱいあるぞ
グラ,キョウト駅近くにも大きな電気屋があったぞアトミラール
提督,ヨドバシか……。こういう話もなんだけど、あんな競合店ができると大変なんだろうな……
グラ,……。ふぅ……。とてもフルーティだな、苦みより酸味が効いている。実に美味しいコーヒーだ
提督,。ｺﾞｿﾞｳﾛｯﾌﾟﾆｼﾐﾜﾀﾙﾈ
グラ,なかなかのコーヒーだ……。他の店も期待ができるな
提督,そうだねぇ。次はどうせなら……。ザ・京都なところがねらい目か……
グラ,どういうことだ？
提督,いや、分かんない
グラ,まだ寝ぼけているのか、あなたは？
提督,本当に見つけちゃったよ……。ザ・京都
グラ,これは……マチヤではないのか！？
提督,町家で間違いないね。中に喫茶店があるんだ……
グラ,なるほど……工夫が感じられるな……。固定概念にとらわれない店のあり方だ。アトミラール、入るぞっ
提督,オケーイ
グラ,……。これはコクがあるな……。ここはコーヒーショップも兼ねているだけに、種類が多いのだな。うむ……飲み比べてみたいな
提督,なるほど、この町家と離れで二つの空間を作ってるんだ。町家を改装した方を表にしてるから、話題性も十分だね。……ギア３階にてロングラン公開中……。このビルで？
グラ,窓が星形だぞ、アトミラールっ。なんだかかわいらしい意匠だ……
提督,このビルにもカフェがある。ここを最後にしよっか
その名の通り、１９２８年に大毎新聞,現在の毎日新聞
提督,あれ、今度はコーヒーじゃないの？
グラ,……あぁ。おかしい……か？
提督,いやいや、そんなことない。そりゃ誰だって。ココアを飲みたいときはあるさ
グラ,うむ……今日はどこに行こうか。……そういえば、今日の宿泊先はどこなんだ？
提督,…………
グラ,…………。予約していたのは昨日のリョカンだけなのだな……
提督,。すまん……。二日で回れると踏んでいたから……
グラ,いやいや、いいんだっ。プランを決めないと言った私にも責任はある。それに……。この先、なにがあるか分からないのが旅の醍醐味なんだろう？
提督,堪能したなぁ……
グラ,あぁ、実に満足だ
提督,……本当に良かったの？。雑誌を見た感じ、東の方に観光地がいっぱいあるんだけど……
グラ,あぁ……いいんだ。ヘイアンジングウやナンゼンジ、ギンカクジも見てはみたかったが。昨日は人の多いところを歩いたしな……。それに京都の魅力は観光地だけじゃないんだろう？。なら、こうやってあなたと川辺を歩く……。日本ではこれを“オツ”というらしいじゃないか
提督,……グラーフ……。なんか悟った？
グラ,人をオボウサン扱いするんじゃないっ
―――鴨川,三条
グラ,なんだこれは……
提督,ゲェーッ、アベックが等間隔で座ってるーッ。俺たちも真似してしまった……
グラ,アトミラール
提督,ん？
グラ,……手を……繋いでほしい
提督,……ん
―――鴨川,丸太町
提督,歩いてたらちょっと喉かわいたね。一回上がって、自販機で飲み物買おう
グラ,あぁ……賛成だ。だが、喫茶店でたくさんコーヒーは飲んだ……二人で一本でいいだろう
提督,オッケイ。少し暑いから冷たい炭酸が飲みたい
グラ,私は寒いから暖かいミルクティーがいいぞ。冷たいミルクティー……
提督,誰も望まぬ結果に……
グラ,おぉ、こんなところに猫がいるぞ……。まてまてっ
提督,ははは、猫であんなにはしゃいでら。可愛いワイフを持ったもんｄ……ん？。今川にいたあいつはなんだ？
グラ,子供が河原でバドミントンを楽しんでいるな
提督,元気があってよろしいなー。そうだ、俺たちも今度バドミントンやろうよ
グラ,あぁ、いいな
提督,負けた方は草を食う
グラ,…………
提督,……冗談だから
グラ,立派な三角州が見えるな
提督,てことは……。鴨川はこの先から加茂川と高野川に分かれるのね
グラ,では、ここらで上がろうか
提督,そうだな
この三角州の北側には下鴨神社という神社があるが、５月にはここと上賀茂神社に跨って,葵祭
提督,あぁ……なるほど、ここが京大なのか！
グラ,“キョウダイ”……？。では……私の義兄さん？
提督,……
グラ,リュウジョーに教わったジャパニーズボケを無視だと……
京都大学がある場所がここ,正門はおそらくもうすこし南側
グラ,アトミラール……お願いがある。ランチなんだが、私はラーメンというものを一度食べてみたいっ
提督,ほほう。女の人って、あまりラーメンは好きじゃないと思ってたよ
グラ,店のラーメンはそもそも食べたことがないから分からないが……。どちらかというと、店構えが一人では入りにくいというか……。この先はラーメンが有名だと書いてあったから、これを機にと思ったんだ
提督,あぁ～なるほど。いいよ！。今日もけっこう歩いてるからガッツリいきたいけどなー。グラやんはどんなのが食べたいん？
グラ,うぅむ……。どれがオーソドックスというわけでもないようだからな……。ここはアトミラールに任せて良いか？
提督,分かった
グラ,スマナイ
提督,……決めた、コラーゲンたっぷりの鶏がらと行こう！
グラ,おぉ、なんだかいい響きだぞ
提督,そうだろうそうだろう。すいませーん、二人なんですけど……
グラ,おぉ、来たなっ
提督,唐揚げでけぇなあ。よっしゃ、食うぜ食うぜー。ウメーウメー
グラ,は……。……んっ
提督,ん？どしたんだ？
客,
提督,あっ、なるほどね。ここは麺を“すすって”もいいんだよ
グラ,なっ……そうなのか？。マナーに反するのではないか？
提督,日本のラーメン屋は治外法権なんですよ
グラ,そうだったのか……。……いけるなぁ
提督,はい、ブレスケア
グラ,ありがたい……これを噛めばよいのだな
提督,。あの組み合わせなら、ビールがあっても良かったなぁ
グラ,日本ではラーメンとビールの組み合わせがあるのか？
提督,そうだね、合うねー。たぶん日本のビールだから合うんだろうけど
グラ,なるほど……。今度、試させてくれっ
提督,また御同行させていただけば良いのですね
グラ,とても……洒落た店だ……。
提督,……入りたい？
グラ,あぁ……良いか？
提督,もちろん。すげーなぁ、その筋の人が喜ぶ雰囲気出てるよ。これは……映画年鑑か、映画は大好きだぞ。……。
グラ,……
提督,庭園の写真集か……。もともと、そういう仕事がしたかったのかなぁ
グラ,本など久しぶりに買ったな……
提督,そうなの？意外だ
グラ,話すならまだしも、日本語を読むのはあまり得意ではないからな……。写真集程度の文字数なら大丈夫なんだ
提督,あぁ、そういうことか
グラ,ちなみに……私たちはどこへ向かっているのだ？
提督,ふふふ……それはだな……。“温泉”だ
グラ,このキョウトにも、温泉はあったのか……
提督,そうだよ～
グラ,昨日はナカイサンにああ言ったが……。やはり温泉に入れるとなると……すごく嬉しい
提督,本当に嬉しそうだ。昨日の温泉云々の会話の後で必死でググった……とは言わないでおく
グラ,この打ち放しコンクリート……なんの建物だ？
提督,なんだろう、学校かな？
グラ,だんだん山の中に入って行くな……
提督,人里が離れていく……。パノラマ車っていうのかな、こういうのすごくいいね
グラ,ア、アトミラール、日本の鹿がいるぞっ
提督,なにっ、どこだ！？。案外、あっという間に着いたなー
グラ,なかなか楽しい列車だったぞ。この駅もなんだか可愛らしい設えだ……ん？。アトミラール……あれはなんだ？
提督,あれは……天狗だね
グラ,テング？
提督,なんか字面が卑猥だなぁ
かつてはケーブルカー,宗教法人では唯一の鉄道事業主であるらしい
グラ,アトミラール……ここは登らないのか？
提督,え、だって……グラーフ高いところ苦手じゃ？
グラ,う、確かにそうだが……。あなたが支えてくれるなら……がんばれる
提督,……。お任せくださいっ。ｾﾞｰﾊｰ
グラ,うぅ……スマナイ、アトミラール
提督,ｾﾞｰﾊｰ。いいんだ……それより……
グラ,あ……手……
提督,こっち……見てごらんよ
グラ,高いところの景色……。……怖くない。すごくきれいだ……
提督,この先も義経堂というのがあるみたいだけど……もう限界にゃしい
グラ,アトミラールは大変疲れているようだ。そろそろ……降りようか
提督,さんせい……。降りるときの方が危ないから、ゆっくりね
グラ,う、うむ……
提督,そうそう。ようやく駅前まで戻ってこれたぞ……。自身の体力の無さに泣きそうＤＡ☆。温泉行きの送迎バスがあるみたいだけどまだ来てないなぁ
グラ,アトミラール……これはなんだ？
提督,ここはお土産屋か。そりゃ紙風船だね
グラ,カミフウセン……
提督,膨らませて、突いて飛ばしたりして遊ぶ玩具だよ
グラ,ふむ……。買ってしまった……
提督,旅行中はどうしても財布の口が緩くなるね
グラ,それにしてもすごい所だな。見渡すばかりのミドリだ。街からそれほど離れているわけでもないだろうに……。なぁアトミラール……
提督,ｳｯﾌﾟ
グラ,！？。着いたぞアトミラールっ
提督,ｵｩ
グラ,バス酔いするなら、一言言ってくれれば……
提督,昔はそうでもなかったんだけどなぁ。市バスを使わなくてよかった……。うん、もう……大丈夫。ありがとう
グラ,ふふっ、お互い様だ
提督,宿泊は部屋がいっぱいでできないらしい……
グラ,それは仕方ないな
提督,……でも、タオルや浴衣がレンタルできて助かった。じゃあ……一時間ほどしたら休憩所にいるようにするよ
グラ,あぁ、了解だ
提督,では、ごゆっくり……
グラ,あなたもな。ふぅ……。あぁ、これは良いな……。これはロテンブロというのか。室内外の空間の繋がりを意識した、日本らしい風呂のつくりだ。これなら長く入れるな……。やはり、日本人と私の肌の色は……かなり違うな……。……。私は白すぎる……アトミラールは……。もっと健康的な色をしている方が喜ぶのかな……。……
おばあさん,お嬢さん、お湯にタオルつけたらあかんで～
グラ,えっ
おあばさん,みんなで入るお風呂やからね、清潔にせなあかんよ
グラ,
おばあさん,あんた、どこから来はったん？
グラ,わ、私はヨーロッパからだ……
おばあさん,ヨーロッパ！そんな遠い所から来てはんのやね～。お一人で？
グラ,いや、日本人の同行者がいるんだ
おばあさん,旦那さん？
グラ,厳密にはまだだが……そうだな
おばあさん,コクサイケッコンっていうんやね？素敵やわぁ。あんた、美人でお肌も綺麗やし……ラッキーな旦那さんやね
グラ,え……私の肌が……？
おばあさん,あんた以外、おりはしませんよ
グラ,……ありがとう
提督,あぁ^～ぁぁぁぁぁｌ。うちにもマッサージ機ほしぃぃぃぃぃ
グラ,上がったぞ……アトミラール
提督,やぁやぁグラーフ氏。風呂上がりのマッサージに個室の休憩所。やめたくなりますよ～娑婆～
グラ,何をいっているのだアトミラール。できたっ。フフフ……
提督,今どきの子供も紙風船でなんか遊ばないのに
グラ,
提督,……。いくゾ～
グラ,こい、アトミラールっ
提督,次、落とした方が罰ゲームね……。語尾に“わん”を付けるッ
グラ,ぐ、正気かアトミラール……っ
提督,あぁ、本気だぜ……。フゥ、けっこう楽しいなこれ。ねぇ……グラーフ君？
グラ,……そ、そうだな…………。…………
提督,…………
グラ,……そうだ……わん……
提督,。風呂上りと言えばこれだよねー。グラーフはどっちがいい？。コーシーかフルーツか普通のか
グラ,……コーヒー牛乳がいいわん
提督,…………。……もう語尾つけなくてもいいのに
グラ,…………
提督,よしッ！とれた！。空きのあるホテル、叡山電鉄の途中にあったよ
グラ,おぉ、すまないな……アトミラール
提督,いやいやー。ただ、飯は外で食べなくちゃいけないみたい
グラ,まぁ……それは問題ないだろう。せっかくだから、美味しい店をさがしてみよう
提督,そうだなぁ
グラ,もうすっかり日が暮れてしまったな……
提督,そうだなぁ。そういえばこの線路の周り、紅葉シーズンの夜はライトアップされるらしいね
グラ,コウヨウ……
提督,あ、紅葉知らない？
グラ,いや、分かるぞ。私の祖国でも紅葉は見られるからな
提督,えぇっ！そうなの！。ホテルが駅からさほど遠くなくて助かったよ。チェックインは終わったし……。早速どこかで晩飯にありつくとしましょう
グラ,あぁ……分かったわん
提督,ん？。……とはいったものの……。居酒屋とかはあっても。これぞ京都ってのはなかなか無いなぁ
グラ,ここは住宅地のようだし、仕方がないだろう。私はその居酒屋に行ったことがない。だから……な、アトミラール？
提督,ん、分かった……そうしよっか
グラ,なんと威勢の良い接客だ……。活気があって、良いではないか
提督,確かにそうかもしれない。じゃあ俺生で……グラーフは？
グラ,では、私も同じで。以前から思っていたのだが……。日本のビールはピルスナースタイルが主流なのだな
提督,ぴ、ぴるすな？
グラ,ピルスナーは……たとえば、これがそうだな
提督,一番搾り……
グラ,というより、日本の一般的なビールはほとんどがそうらしい。私の国でも飲むことはよくある、どうりで馴染みやすいわけだ……
提督,グラーフの国では他にも種類があるってこと？
