松井灯舞,４１
喪黒,そうです。松井さんがこの里の祭りに参加するのは、今回の1度だけにしておいてください
松井,わ、分かりました……。今夜の経験は、一生忘れません……
松井の妻,あなたーー！！起きなさーーい！！
松井,ああ……
松井の妻,早く起きないと、会社に遅れちゃうでしょ！！
松井,……会社はもう辞めた。俺、クビになったんだ
松井の妻,な、何ですって！？
松井,でも、俺の心の中には祭りが戻ってきた。だから、これからやることはもう決まっている。俺はもう1度、あの祭りのような日々を味わってみたいんです！だから……
社長,まあ、お前の頼みとあればな……。この事務所に再契約してやってもいいがな……
松井,あ、ありがとうございます……、社長……
ネット掲示板,松井の出演シーンほとんどカットか
松井,社長、お願いします！！何か、仕事とかないんですか！？
社長,残念ながら、今のところお前のスケジュールには何も予定は入っていない
松井,そ、そんな……。俺はどうやって食っていけばいいんですか……
社長,松井……。芸能界は弱肉強食なんだよ。こうなることを覚悟して、お前は芸能界に復帰したんだろ？
松井,おう、桑島！俺だよ、松井だよ！いやぁ、懐かしいなぁ……。お前が出世してくれて、俺はうれしいよ
桑島,お前と話すことなんか、何もねぇよ……
松井,ど、どうしてそんなこと言うんだ！？あまりにも、つれないじゃないか！！
桑島,つれないのはお前だろ。コンビを解散して、俺が売れなかった時期……。お前は俺に対して見向きもしなかったよなぁ……
松井,いや、それはその……
桑島,俺が売れてるから便乗しようったって、そうはいかんぞ。もう電話かけてくるなよ
BAR,魔の巣
喪黒,やぁ、松井さん
松井,喪黒さん……。実は、私は……
喪黒,そうですか……、お気の毒ですねぇ。芸能界は生存競争が厳しいですから……
松井,それだけではありません。私は芸能界に復帰したせいで、妻とも離婚する羽目になりました
喪黒,いやはや……。あなたの心労、察するに余りありますよ
松井,できれば再び、あの祭りの里に行って気分転換がしたいですよ……
喪黒,松井さん、それはなりませんよ。あそこに行くのは1度だけ、というのが私との約束だったでしょ？
松井,いいえ！！どうしても、私は祭りの里に行きたいんです！！。お願いします、喪黒さん！！できることなら、私はあの里に引っ越したいくらいです！！
喪黒,仕方ありませんねぇ……。そこまで言うのなら、あなたの願いをかなえてあげてもいいですよ
松井,ほ、本当ですか……！？
喪黒,本当ですよ。さぁ、私の手をよーく見ててください……。ドーーーーーーーーーーーン！！！
松井,ギャアアアアアアアアア！！！
テロップ,数か月後――
社長,ところで、あなた……。松井は本当に、こんなところに住んでいるんですか？
喪黒,ええ。彼はおそらく、この村のあの場所にいるはずです
マネージャー,何だか、楽しくなってきましたね……
社長,ああ……。子供のころに、祭りに行った日を思い出してしまったよ……
喪黒,見てください。松井さんが見つかりましたよ
マネージャー,あ、あれは……！！
社長,ま、松井……！！
喪黒,古来より、人々は何かしらの形で祭りを祝ってきましたし……。そもそも、祭りをすること自体が特別な意味を持っていました
