松尾千鶴,今日の予定に書いてあったミーティング、この部屋のはずだけど……、何この内装……。学校……？
そら,ちなみにだんぷかーは和製英語！正しくはだんぷとらっくなんだよ！
泰葉,その豆知識は別に言わなくても……
裕美,4へぇ
千鶴,厳しっ！
そら,はいはい！全員揃ったとこで、れっすんをすたーとするよ！
泰葉,あ、あの、そらちゃん
そら,どーしたの？
泰葉,私の席がないみたいなんだけど……
そら,わお！言い忘れてた！泰葉ちゃんは副担任だから、こっち側だよ！かむかむひーあ！
泰葉,ふ、副担任！？
千鶴,そらちゃんが担任なのもちょっと不安だけど……
裕美,そらちゃんが担任なのもちょっと不安だね
千鶴,心を読まないで！？……声に出てなかったのに！
泰葉,あ、ほたるちゃんは内容を聞いてないよね？
ほたる,あ、はい。雰囲気的には、笑うことが苦手な私たちに、そらさんが笑顔のレッスンをしてくれる感じがするんですが……
千鶴,理解力
そら,ぱーふぇくと☆
裕美,うん！なんと、あのそらちゃんが教えてくれるんだよ！感動だよね！
泰葉,さっきからそらちゃんに恨みでもあるの……？
そら,れっすんの前に、1つ、注意事項があるからちゃんと聞いてね！
泰葉,注意事項……？
裕美,ここで起きたことは他言しないようにとか……？
千鶴,今から何が起きるの
そら,このるーむの中では、"わたしなんて……"みたいな自虐は禁止！みんな、とらすとゆあせるふ！自分をびりーぶすることだよ！
泰葉,なるほど……！
ほたる,わかりました……！
裕美,……うん！
千鶴,が、頑張ろう……！
そら,じゃあれっすんすたーと！泰葉ちゃんをくすぐろう！
泰葉,どうして！？！？！？。ち、ちょっとそらちゃん！
そら,おーけーおーけー！言いたいことはわかるよ！
裕美,"年下なんだからさんを付けろよそら助野郎"とか……？
泰葉,思ってない！！！
裕美,誰がデコ助野郎なんですか！？
千鶴,誰も言ってないでしょ！？
そら,すまいるのお手本を泰葉ちゃ……さんには示してほしいのさ！
泰葉,ほらなんか気を遣われてる！！！。え、じ、冗談だよね……？
そら,ふふふー♪がーるずびーのみんなのために、ぎせ……お手本になってもらうよ！
泰葉,今犠牲って言いかけた！！！
そら,ほたるちゃん！
ほたる,ご、ごめんなさいっ！
泰葉,わ！は、羽交い絞め！？離し……ほたるちゃん力強いね！？ピクリとも動かないよ！？
千鶴,え？……え？ど、どうすれば……？
そら,かかれー♪
千鶴,ええ！？
泰葉,う、動かない……！
ほたる,ごめんなさいごめんなさいごめんなさいごめんなさい！
泰葉,言ってることとやってることが反対だよ！？
裕美,あ、そんなにほたるちゃんと密着してると……
そら,？
泰葉,あれ？何の音……？
ほたる,あ、床が……！
泰葉,え！？ちょ、きゃぁぁぁぁぁ……
ほたる,きゃぁぁぁぁ……
千鶴,床が抜けて2人が！！！！！
裕美,ボッシュートしたね！
千鶴,そういうのいいから！！！ってかいい笑顔！！！
そら,この下のるーむ、なんだったっけ？？？
千鶴,た、確か……衣装室？
そら,とりあえずれっつごー！
裕美,御意
千鶴,裕美ちゃん、キャラがブレてるってレベルじゃないけど！？
森久保乃々,うぅ……、これが次回のライブの衣装……
乃々,キラキラでかわいいぃ……。でももりくぼになんて似合いませんし……。この服さえなければ……！。で、でも、作ってくれた人とか、トレーナーさんは悲しむかも……。ううぅ……もりくぼはどうすれば……。……？何の音でしょうか……？。！？。う、上！？
ほたる＆泰葉,きゃあぁぁぁぁぁ！！！
乃々,ひゃぁぁぁぁぁ！？！？！？
泰葉,いたたた……。あ！ほたるちゃん！ごめん！し、下敷きに！！
ほたる,あ、乃々さん、こんにちは
泰葉,なんでなんともないの……！？
乃々,もりくぼの目が正しければ、空中でほたるさんが下側に体を入れ替えてたんですけど……
ほたる,今朝轢かれたダンプカーよりはマシですね……
乃々,ふ、2人共、ケガは……ダンプカー！？！？
泰葉,そのリアクション見るのは2回目かな……
乃々,えっと、何をしてるんですか……？
泰葉,私が聞きたいよ！！！
乃々,ちょ、お、抑えてください！
ほたる,そらさんが、笑顔について教えてくれるらしいんです
乃々,いや、そらさんどこから出てきたんですか
そら,よばれてとびでてじゃじゃじゃじゃーん！
乃々,ひぅっ！！！
千鶴,そんな勢いよく開けなくても……あ、乃々ちゃん
乃々,あ、こ、こんにちは……
泰葉,あれ？裕美ちゃんは？
そら,じゅーすをどりんくしに行ったよ！
泰葉,自由か！！！
千鶴,や、泰葉さん！口調がどんどん雑に！！！
乃々,すみません……状況が呑み込めないんですけど……
千鶴,大丈夫、最初からいる私もよくわかってないから
そら,じゃ、れっすんの続きをすたーとするよ！
泰葉,ここで……！？
そら,乃々ちゃん！
乃々,は、はいぃ……？
そら,じょいなすじょいなす☆
乃々,え？い、いや、もりくぼはべつに……
裕美,だめ、全部参加して
乃々,ひ、裕美さんはいつの間に……！？
千鶴,今日の裕美ちゃん、ある意味そらちゃんより読めないから
乃々,慣れてきてる千鶴さんもどうかと思うんですけど……
そら,……と思ったんだけど、今日はもういいや！
泰葉,えぇ……
そら,だって、やっぱりてぃーちゃー気分になるならすくーるのせっとがいちばんだもんね！
千鶴,まったくもう……
そら,そーりーそーりー！あ、次は乃々ちゃんのてーぶるもせっとしておくから！
乃々,いや、だからもりくぼは……
裕美,……
乃々,ちょっ……無言で掴まないでほしいんですけど……
裕美,仲間だもんね！
乃々,押しつけがましいぃ……というか笑顔が普通に素敵ぃ……
そら,じゃ！せっかくだから、6人でらんちでもどうかな？
ほたる,いいですね……！
千鶴,ま、まあいいけど
乃々,……
裕美,……
乃々,い、行きますから……！
泰葉,ふふふ……。まあいろいろあったけど、そらちゃんもみんなのためにやってくれたんだもんね。あれ？
そら,あ！そらちんずすまーとふぉんだね！うぇいとありとるぷりーず！。もしもしー！そらちんだよ！。あ！ちひろさん！はろー！どうかしたのー？。うん！うん！……うん
泰葉,……？
そら,天井……、修繕費……
千鶴,うわぁ……
そら,いえ、あれは白菊さんが
千鶴,最低！！！！！
乃々,なんでもりくぼまで……
