橘ありす,充電……と
夢見りあむ,え？え？なになに！？え？？？
フレデリカ,新人サンのりあむちゃん！通称”たき火”
ありす,たき火
りあむ,ぼくそんな目で見られてるの！？。い、いや急にめっちゃ顔がいいヒトに拉致られたと思ったらふふふふフレデリカちゃんだし！陽キャの匂いしかしない！ど、どうすればいいのさ！
フレデリカ,はじめまして！
ありす,いや初対面なんですか……よく連れてきましたね……
フレデリカ,ありすちゃんはりあむちゃんのこと、知ってる？
ありす,ええと……ウワサはかねがねと言いますか……
りあむ,うぇ！？ど、どんなウワサ……！？
ありす,新人なのにSNSをたびたび禁止されるとか、新人なのに生放送出演禁止だったり、新人なのに共演NG多数とか、新人なのに
りあむ,もういいよ！オーバーキルだから！！！
フレデリカ,ホントなの？
りあむ,全部ホントだよぅ……！！！
フレデリカ,りあむちゃんはSNSがすっごい得意ってフレちゃん聞いたよ！
りあむ,この流れでそれは皮肉か！？
フレデリカ,すっごいよくバズってるって！
ありす,よくバズるというか、悪くバズるというか……
フレデリカ,フレちゃんもその秘密、知りたいな！
ありす,……って、このバズりは真似しちゃいけないやつですって！俗に言う……えっと……燃えるというか……
りあむ,もう”炎上”って言っちゃっていいから！小学生に気を遣われるのめっちゃやむよ！！！
フレデリカ,でもでも！好きと嫌いはすぐ近くって言うよ！悪いバズりだってみんなの心を掴んでるってことだとフレちゃん思う！
りあむ,天使か……
ありす,なんで拝んでるんですか……
フレデリカ,例えば直近はどんなツイートが燃えちゃったの？
りあむ,えっと……これかな……
ありす,いやこれは燃えますよ
フレデリカ,ナナちゃんに意地悪されたの？
りあむ,はぁ！？違うよ！こないだウサミンに挨拶行ったらめっちゃ優しくて可愛くていい匂いして、泣きそうになったらハンカチまで貸してくれたんだぞ！はぁ〜、まじありえん女神……
ありす,その感情の出力がこれですか！？
フレデリカ,ファンの反応は〜？
ありす,でしょうね
りあむ,音読しないでいいよう〜〜〜！！！
フレデリカ,なるほどなるほど！
ありす,何を学んだんですか……
フレデリカ,フレちゃんもやってみる！
りあむ,は？
ありす,え？
フレデリカ,とりゃ！
ありす,な、何してるんですか！
りあむ,燃えちゃう！よ！？
フレデリカ,さっそく反応が！
ありす,ファンの物分かりが良すぎる！！！
りあむ,なんで！？いやもちろん燃えてほしかったわけじゃなくてね！？
フレデリカ,なんか予想と違ったけどオッケー！
ありす,日頃の行い……？つまり新人なのに燃えてるりあむさんは相当……
りあむ,うわーん！
フレデリカ,他にはどんなテクニックがあるの！？
りあむ,期待の眼差しがつらい……テクニックじゃないし……
フレデリカ,ねえねえ！
りあむ,うぅ……他に燃えたやつは……これとか
ありす,逆になんでこれがセーフだと思うんですか？？？
フレデリカ,どういう意味？
りあむ,え……そりゃわ！また
ありす,わかるか！！！！！。わざとやってるんですか！？
りあむ,ひぃぃぃぃぃ！！！
フレデリカ,ファンの反応は〜？
りあむ,ぐえええええ
ありす,というかさっきからカタコトの外国人みたいな人が紛れてるのはなんなんですか！？
フレデリカ,でも、思ってること自体はぜんぜん悪いコトじゃないのにね！
ありす,まあ、情状酌量の余地はありますが……
りあむ,うぅ……
ありす,致命的にアウトプットが下手ですね……
りあむ,うぅ……
ありす,しかも文章に思いやりも見られませんし……
りあむ,うぅ……
ありす,自分の投稿を客観視するのがここまで下手な人は初めて見ましたよ……
りあむ,うぅ……
ありす,これじゃ燃えるのも当然で
フレデリカ,や、やめてあげよ！！！ね！！！
りあむ,フレデリカちゃん……優しい……でも悪いのはぼくだし……
ありす,す、すみません……ですが、逆に考えましょう。きちんと伝えられるようになれば、きっと炎上の頻度も減るかと！
りあむ,ありがと……可愛くて優しいとかなんなの……天はこの部屋だけで2人に二物を与えたか……？
ありす,褒めるセンスはあるのに……
フレデリカ,他には〜？あ、このツイートもたくさん伸びてる！
ありす,どれだけ不用意なこと言ってるんですか……。これちょっと可哀想じゃないですか！？
フレデリカ,いまダルシムいた？？？
りあむ,そうだよね！？これぼく悪くないよね！？
ありす,もはや単純に嫌われてるだけなのでは……坊主憎けりゃとも言いますし……
りあむ,それはそれでやむ！！！
ありす,最初はヤバイ人だと思ってましたが、だんだん、単純に可哀想になってきました……
フレデリカ,大変だねー？
りあむ,うぅ……優しい……ありすちゃ……あっ！違う……！確かテレビとかでありすちゃんは名前で呼ばれた時にあんまりいい顔をしてなかった気がする……！わかんないけど、初対面だし……！
ありす,え……
りあむ,あれ？無反応？ま、またぼく外しちゃった！？うわーん！
ありす,まあ、悪い人では、ないんでしょうね……
りあむ,？
ありす,……改めて今後とも、よろしくお願いします。りあむさん
りあむ,は～～～、だいすき！！！
フレデリカ,フレちゃんの方がだいすきですけど！？
ありす,張り合わないでいいです
フレデリカ,それにしても、勉強になったね！
ありす,参考にしてはいけないとは思いますが、反面教師にはなるでしょうね
りあむ,めっちゃよく言われるそれ……
フレデリカ,あれれ？
ありす,？どうしました？
フレデリカ,見て見て！志希ちゃんがバズってる！
ありす,え……どこの冷蔵庫に……
フレデリカ,レイジーレイジーの信用のなさー……。えーっと……
ありす,動画ですか？
フレデリカ,えいっ
ありす,あ、梨沙さんと晴さんですね
フレデリカ,ぴょんぴょん跳ねててかわいー！
りあむ,かわいい……推せる……！
ありす,この両足をくっつけて左右に跳ぶ振り付けは確か……
フレデリカ,ミラーボール・ラブの振り付けだね！フレちゃんも練習したなー
ありす,やはり、こういうファンには見えない姿を投稿すると、たくさんの反響があるんですね
フレデリカ,ねー！
りあむ,はぁ〜、顔がよくてキレもいいな！なんなんだ！もう……ん？
ありす,……どうかしましたか？
りあむ,……
フレデリカ,りあむちゃん？
りあむ,……
ありす,無視してるとまた炎上しますよ？
りあむ,そういう脅しはやめて！。って、そうじゃなくて……フレデリカちゃん、もう一回今の映像見ていい？
フレデリカ,どうぞ！
りあむ,……
ありす,そんなにハマったんですか？まったく……
りあむ,……晴ちゃん、ちょっと右への飛び幅が少ない……ってことは左の……ヒザ……いや、平気……この庇い方なら……？
ありす,あのー……
りあむ,足首、違う。じゃあ、股関節……が原因で……影響としては……
フレデリカ,？
りあむ,ふ、フレデリカちゃん、志希ちゃんに連絡してあげて。晴ちゃんたぶん、大腿四頭筋……あー、太ももの前痛めてるかも……本人に認識がないレベルかもだけど……原因はたぶん股関節だと思うから、医務室に……
ありす,ち、ちょっと待ってください！いきなりどうしたんですか！
りあむ,うるさいよ！あの辺の炎症は庇うと別のとこに負担きてヤバイんだから！実習で見たの！まぁその時は高齢者だったけど……と、とにかく！！！ぼくがここのアイドルのライブを何億回見てると思ってんのさ！！！違和感あるって思ったらあるの！
ありす,っ……！
フレデリカ,おっけー！伝書鳩で伝えるね！
りあむ,いや遅いよ！！！電話してよ！！！
フレデリカ,あ！志希ちゃんからメッセだ！なになに〜？
晴ちゃん、,別に大丈夫だー
フレデリカ,だって！りあむちゃんのおかげって言っとく？
りあむ,む、無理無理無理無理！！！フレデリカちゃんだったから信じてもらえたんだと思うし！ぼくの名前なんて挙げても無駄！だよ！
ありす,りあむさん……
りあむ,……はっ！なんかさっきあり……たちばなちゃんに強く言っちゃった気がする！ご、ごごごごごめんなさい！！！
ありす,こういう謝罪、颯さんにもされましたね……。いえ、見直しました。私こそ不用意に口を挟んでしまってごめんなさい
りあむ,うぉえっ！？ぼ、ぼくなんかに頭を下げちゃダメだよ！燃えるよ！ぼくが！
ありす,自分で言うんですか……
フレデリカ,でもすごかったね！りあむちゃん、オイシャサン？
りあむ,ま、まさかまさか！……まあ、進行形の黒歴史も役に立つことがあるのかなって感じで
ありす,？
フレデリカ,ではでは！仲良くなった記念に、フレちゃんが1枚撮ってあげる！ありすちゃんとフレちゃんとの写真ならチヤホヤ間違いなしだよ！
りあむ,チヤホヤ！？まじよりのまじ！？
フレデリカ,はいはい詰めてー！
ありす,ち、近いです……
りあむ,あああああめっちゃいい匂いする！！！死ぬのか！？ぼくは今日死ぬのか！？
フレデリカ,はい、ちーず♪
りあむ,はぁ〜！！！人生に悔いなし！！！
ありす,なんで勝手に人生の総括してるんですか
フレデリカ,それじゃあ！さっそく投稿しちゃおー！
りあむ,わ、わかった！
フレデリカ,いけいけー！
りあむ,とりゃ！！！。結局かよ！！！！！
ありす,ちょっと読めてたでしょうに……
フレデリカ,次はレイジーレイジーに写りこもう！
ありす,火に油を注がない！！！
