藤居朋,はぁ～……、ついてないなぁ……
智絵里,はい、雑誌のコラムのお仕事があって、その軽い打ち合わせで……
朋,智絵里ちゃんのコラム！なんだか癒されそう……。智絵里ちゃんに依頼したってことは……ファッション誌？旅行雑誌？あ！ペット雑誌とか？
智絵里,ムーです
朋,ムー！！？？。えっっ！？えっ！？なんで！？ユッコちゃんとか菜々さ……ちゃんならまだしも！。ちょっと智絵里ちゃんの守備範囲をみくびってたよ！？
智絵里,えっと……その……
朋,？
ほたる,なんでも、地上に舞い降りた天使にインタビュー！という内容らしいんです……
朋,ああ……なるほど
智絵里,バレちゃいました……
朋,……えっ。天使としてインタビューを受けることが朋さんに。本物の天使だってことがみんなに。ああああ～～～！！！聞けない！！！
ほたる,……あ、そろそろお昼の時間ですね
智絵里,本当だ……どこかに買いに行きましょうか
朋,え？あ、ああ、もうお昼なのね……。2人の話が衝撃的すぎて時間の感覚が……。じゃあコンビニにでも行こっか？
ほたる,ええと……コンビニはちょっと……
智絵里,あれ？ほたるちゃん、コンビニ苦手？
ほたる,いえ、そうではなくて……。最近、5日間くらいコンビニ強盗に鉢合わせていないので、そろそろ来るかもしれません……
朋,その受け入れがたい理論やめて
智絵里,じゃあやめておこっか
朋,受け入れるのもやめて！。そんな気にしないで大丈夫だって！
ほたる,でも……
智絵里,じゃあ、10分くらい待ってから行ってみよう？それなら平気なんじゃないかな？
ほたる,そうですね……少し待ちましょう
朋,おなかすいた……。さーって！行きますか！
ほたる,はきゃーーーーーーーー！！！！！！！！！！！！！！
朋,
ほたる,
智絵里,。面白かったですねっ！
朋,最初の感想それ！？智絵里ちゃん、ちょくちょく発想がサイコだよ！？
ほたる,植木鉢ひとつで倒れるなんて、鍛錬不足ではないでしょうか……
朋,ほたるちゃんは一般人をスぺランカーか何かと勘違いしてるの！？。結局何も食べてない……。しょうがない、みちるちゃんが持ってくるパンでも待ってようか……
智絵里,あ、みちるちゃんは風邪で休むそうです……
朋,え？ホント？……じゃあ、法子ちゃんでも……
ほたる,法子ちゃんはドナ散歩の収録中みたいです……
朋,初耳なんだけどその番組！？じ、じゃあかな子ちゃんは？
智絵里,キャンディーアイランドでロケに行ってます
朋,じゃあなんで智絵里ちゃんいるの！！！？？？
ほたる,あ、そろそろ現場に向かわなきゃ……
智絵里,私も打ち合わせの時間……
朋,ウソ！？もう！？
ほたる＆智絵里,行ってきますっ
朋,き、気をつけてね……。なんか、いつもの何倍も疲れた……。ほたるちゃん、いいことあるといいね……。とりあえず、私も何か食べにｷｬｰｰｰｰｰ！！！！ｳｴｷﾊﾞﾁｶﾞ！！！！！！。……ほたるちゃん！！！！！！！！！！！！
