・モバマスはアニメ時空,22話より後
ハルト,古本も取り扱ってるお店だから。とりあえず、一通り見てみようよ
ミザエル,ああ。ドラゴンの歴史か……ほう
ハルト,………
ミザエル,……どうした、ハルト。先ほどから落ち着きがないが
ハルト,あ、あはは……実は、さっきの本屋にあった本で、ちょっと気になるものがあって
ミザエル,なに？ならなぜ出る前に言わなかった
ハルト,今日はミザエルさんのために来たんだし、と思って
ミザエル,……今から戻ればいい。いくらか後で待ち合わせをすればいいだろう
ハルト,いいの？
ミザエル,私はひとりで買い物もできない子供ではないのだぞ
ハルト,……それなら、少しだけ。ありがとう
ミザエル,礼などいらん。もともとお前は、カイトに言われて私の付き添いをしているだけだ
ハルト,それでもだよ。ありがとう
ミザエル,ドラゴンに関する書物……なかなか興味深いな。他にはないのか。……こういう場合、店の者に尋ねるのだったな
店員,………
ミザエル,おい、女
店員,。……は、はい。なんでしょう……
ミザエル,ドラゴンの書物を探している。そこの棚にある物以外、何かないか
店員,ドラゴン……竜、ですか。それでしたら……こちらの棚にも……
ミザエル,おおっ！世界各国のドラゴンの伝承ドラゴンの生態……他にもあるな
店員,……あの……あまり、立ち読みは……
ミザエル,なんだ？
店員,……いえ。なんでも、ありません。海外の人とは、接し方がわからない……怒らせてしまうと怖いし……
ミザエル,女！ひとまず今日は3冊買うぞ
店員,は、はい……合計で、4532円になります
ミザエル,私は5000円札をコストにする
店員,コスト……？。……468円のお返しです……ありがとう、ございました
ミザエル,ああ。お前のおかげでいい書物に巡り合えた。礼を言うぞ。また来るが、かまわないな
店員,ええ……ここは、書店なので……
ミザエル,そうか。これでカイトに小言も言われまい
店員,は、はあ………
ミザエル,……女。名はなんと言う
店員,え？
ミザエル,名だ。ないわけではあるまい
店員,あ……その……。文香……鷺沢、文香です
文香,反射的に答えてしまった……
ミザエル,文香か。覚えておくぞ。またドラゴンの書物を仕入れてくれるな？
文香,機会があれば……
ミザエル,よし。ではまたな。私はハルトのもとへ行かねばならない
文香,……ありがとう、ございました……。………。不思議な人……日本語、流暢だったし……
ハルト,へえ。それじゃあ、あそこの本屋気に入ったんだ
ミザエル,ああ。また休みの日には足を運ぶつもりだ
ハルト,そっか、よかった。兄さんも喜ぶよ
ミザエル,喜ぶのか
ハルト,そう、喜ぶよ
ミザエル,そうなのか……？。まあいい。カイトの意図がどうであれ、あの店に出会えたのは得だった。また文香に面白い書物を紹介してもらおう
カイト,ミザエルは今日もその古書店に行っているのか
ハルト,うん。もう付き添いは必要ないって
カイト,そうか
ギラグ,見てみろハルト。この子なんてかわいいだろ
ハルト,うーん。僕はこっちの子のほうが
ギラグ,あー、なるほど。お前の好みがだんだんわかってきたぜ
カイト,……ところで、お前達はさっきから何をしている
ギラグ,見りゃわかるだろ。アイドルトークだよ
ハルト,兄さんもどう？
カイト,……遠慮しておく
ギラグ,どうも俺の周りはこういうの興味ない奴が多くてな。一緒に語れるハルトは貴重な仲間だ
ハルト,えへへ
カイト,……そんなに夢中になれるものなのか
ギラグ,おう！たとえば、俺の今の注目株……この子なんてどうだ！
カイト,………。気の弱そうな女だな。俺は好かん
アリト,だよな！やっぱり男も女も度胸がねえとな！
カイト,お前、いつからいた
ギラグ,わかってねえなあ。こういうのがいいんだ
ハルト,鷺沢文香さんか……綺麗な目、してるよね
ギラグ,一度お話ししてみたいぜ
アリト,お前みたいなコワモテが近づいたらビビっちまいそうだけどな
ギラグ,なんだとぉ！
カイト,………。いつの間にか、ここも騒がしくなったな
文香,ドラゴンと竜。同じものとして扱われることもありますが……西洋と東洋では、その姿かたちが大きく異なることもあります。手足がしっかりとしており、屈強に描かれるものもあれば
ミザエル,これはタキオンドラゴンやフォトンドラゴンに似ているな
文香,蛇のように細長い胴体が主で、四肢は小さく描かれる竜もいます
ミザエル,これは……あの竜に似ている
文香,……あの竜？
ミザエル,……こちらの話だ。気にするな
文香,は、はい……
ミザエル,しかし、文香はドラゴンに詳しいな
文香,その……創作の世界に浸るのは好きなので……。ドラゴンや竜も……その一環で……
ミザエル,創作、か
文香,………？
ミザエル,ドラゴンは力強く、そして美しい。文香が惹かれたのも当然だ
文香,は、はあ……。ところで、私はなぜこの人とずっと話しているのだろう……。来店するなり、一直線にカウンターまでやってきて……椅子に座って、当然のように語りかけてきて……。あ、あの……
ミザエル,なんだ
文香,その……あの……私はあまり……話すのが……
ミザエル,……ああ、そういうことか
文香,は、はい。わ、わかってくれましたか
ミザエル,文香に名乗らせておいて、私の名を教えていなかったな
文香,ち、違う……私の言いたいことはそれではなくて
ミザエル,私はミザエルだ。覚えておくがいい
文香,み、ミザエルさん……やはり、海外の方ですか
ミザエル,真のドラゴン使いだ
文香,………。おじさん、助けてください……
ミザエル,今日もいい買い物ができた。興味深い話も聞けた。有意義な時間だったぞ、文香
文香,は、はい……お買い上げ、ありがとうございます。………。つ、疲れた……周子さんや、フレデリカさんとお話しする時よりも、ずっと……。ミザエルさん……悪い人ではないことは、わかるけれど。親しくない男の人との会話は、やはり……。………はぁ。アイドルを始めても、なかなか変われない……こういうところは。………。……変わって、いいのでしょうか
ハルト,僕は島村卯月さんみたいな、笑顔が素敵な人がいいかな
Ⅲ,確かに、いいね。ちょっと遊馬の笑顔に似てるかも
Ⅳ,俺はもっと従わせがいのある女だな。この雑誌の中なら……この渋谷凛って奴だ
V,この双葉杏という少女……動くべき時のみ動く、泰然自若とした雰囲気を纏っている
トロン,僕は赤城みりあちゃんだね
Ⅳ,ロリコンかよ。家族ながら引くぞ
トロン,ロリコンじゃないさ。僕は子どもなんだから子どもが好きなのは当然じゃないか
Ⅳ,都合のいい時だけ子どもに戻るんじゃねえよ
カイト,………。なぜ一家勢ぞろいでここにいる？
Ⅳ,兄貴と親父が昼飯を持って行き忘れたもんでね。こうして研究所まで届けにきてやったのさ
Ⅲ,こっちに来て、一緒に見ませんか？アイドルの写真集
カイト,興味がない
V,カイト。お前もいい年だ。そろそろ異性に関心を持っても
カイト,それはあんたに恋人ができてからだ。クリス
V,……そう言われると、何も返せないな
Ⅳ,相手なら紹介してやるぜ？なにせ俺は何百通もファンレターをもらう身だからな。ハハハッ！
カイト,凌牙にでも紹介しておけ
ミザエル,なるほど。この国ではそのようなドラゴンの歴史があったのか
文香,……ミザエルさんは、本当にドラゴンがお好きなんですね
ミザエル,……ああ。ドラゴンは、私のすべてだったからな
文香,すべて……だった？
ミザエル,そうだ。だった。今は、大事なものが他にいくつか増えた。だがそれでも……ドラゴンは、我が魂だ
文香,………。とても、不思議な表情だった。寂しさと誇らしさ。哀しさと嬉しさ。その他たくさんの感情が、いくつもない交ぜになったような、そんな顔つき。私は彼の整った顔立ちを、しばし惹きこまれるように見つめていた。自然と、そうしてしまっていた。彼の……ミザエルさんの表情に、関心を抱いていた
ミザエル,また来よう。今度は手土産のひとつでも持ってくる。世話になった相手への礼儀……それが人間のルールだそうだからな
文香,は、はあ……お買い上げ、ありがとうございました
カイト,ハルト？どこへ行った？。………む？。雑誌が落ちてある……これは、アイドルの写真集、か。それなりの人数が興味を抱いていたようだが……。………
ハルト,あ、兄さん読み始めた
遊馬,カイトってアイドルに興味持つのかな？
凌牙,なんで俺までこんなことに付き合わなきゃならねえんだ。Ⅳが女をファンサービスだのなんだのうるさくて、元をたどればカイトに原因があるらしいから文句言いに来ただけだってのに
遊馬,いいじゃねえかよ。シャークだって気になるだろ？あのカイトがアイドル好きになるかどうか！
凌牙,………。まあ……気にならないと言えば、嘘だな
ミザエル,手土産だ
文香,これは……デュエルモンスターズのカードパック？
ミザエル,先ほどショップで買ってきた
文香,そ、そうですか……
ミザエル,案ずるな。引きの強さには自信がある
文香,そこは、別に気にしていないのですが……。私は、あまりデュエルはやらないので……
ミザエル,なに！？デュエリストではないのか！？
文香,そ、そこまで驚くほどのことでしょうか……
ミザエル,……考えてみれば、私のクラスにもデュエルをしない人間はいくらかいたな。少数派ではあったが。なに？ARビジョンが怖いだと？
文香,か、かわいいモンスターが飛んだり跳ねたりするのは問題ないのですが……ど、ドラゴンの咆哮とか、バトルとかを見るのは……びくっとなります。あ、あと……大声で効果やフェイズの宣言をするのも……苦手です
ミザエル,なんだそれは……呆れた奴だな
文香,なので……デュエルをする時は、机の上で行います
ミザエル,机の上でデュエルだと！？
文香,っ
ミザエル,………。なるほど、そういうやり方もあるのか
文香,か、感心している？
ミザエル,………。文香
文香,はい
ミザエル,お前の瞳は美しい
文香,………。………！？
ミザエル,どうした、慌てて
文香,い、いえ……なにも
ミザエル,まあいい。話を戻すが……お前の瞳は美しいが、ドラゴンのような力強さが感じられない。惜しいな
文香,……力強さ、ですか
ミザエル,何ひとつ強い意思が見えないわけではないが……足りないな
文香,足りない……
ミザエル,迷いや悩みがあるのなら、振り切ることだ。そうすれば、お前は強くなれる
文香,……強く
ミザエル,ではな。また来る
文香,ありがとうございました……。………。強く……。………。オータムフェス……私が本番直前に体調を崩したせいで、皆さんに迷惑をかけてしまった。あの時、怖気づいてしまったせいで……。最終的にステージに上がることはできた。ありすさん達も、気にしなくていいと言ってくれた。けれど……今度は、あんなことがないようにしないと。………。違う。本当に悩んでいるのは……迷っているのは、そのことじゃない。もちろんそのことも悩んでいるけど……私は、本当は……。ああ……やっぱり、私は弱い。もっと、皆さんのように心が強ければ……。強ければ……。……あ。どうして、本棚にカードが……。見たことのないカード……。……ナンバー、ズ？。っ！？。な、なにが……うっ。あ、頭が………！！
ドルべ,それは、まずかったのではないか？
ミザエル,私は間違ったことを言ったつもりはないぞ
ドルべ,たとえそうだとしても、さほど親しくない者に説教のようなものをされては、相手もいい気はしないだろう。しかもお前は年下だ
ミザエル,何を言う。私はドラゴンの友として、バリアンとして
ドルべ,前世でそうだったとしても、今の我々は一学生にすぎない。違うか？
ミザエル,………違わんな
ドルべ,その店員と今後も良好な関係を築きたいのであれば、今日あたり謝りにでも行っておけ
ミザエル,……そうしておこう。やはりドルべは頼りになるな
ドルべ,フッ、よせ。おだてても何も出ん
ミザエル,さて、もうすぐ文香の店だが……む？
文香,………
ミザエル,文香ではないか。今日は店の中にはいないのか
文香,………
ミザエル,……文香？
文香,ミザエルさん……私……強くなりたいんです
ミザエル,強く？………っ！？。なんだこれは。いつもの文香と気配が異なる
文香,強くなるためには……強い人を、倒さなければ……。うっ……違う、私はそんなこと……
ミザエル,おい文香！しっかりしろ！。文香の懐から、ただならぬ力を感じる……これは、まるで
文香,………。ミザエルさん。デュエル、しましょう？。私の、ナンバーズと
ミザエル,やはり、ナンバーズ……！。………。いいだろう。貴様の挑戦、受けて立つ
文香,ああ……やはりあなたは強い人なんですね……ふふっ。……それでこそ、倒す価値があります
ミザエル,随分直情的な言葉を使うな。すぐに元に戻してやる
文香,……元に……戻る。いいえ。私は戻りません……私は、変わったんです
ミザエル,………。Dゲイザー、オン！
文香,デュエルディスク、セット
ミザエル,デュエルターゲット、ロックオン！
ミザエル・文香,デュエル！
ミザエル,LP4000。先行はくれてやる。お前の力を見せてみろ
文香,余裕、ですね
ミザエル,癪だというのなら、私の余裕をなくしてみせることだな
文香,………
ミザエル,フン。そういう顔もできるのだな
文香,……私のターン。ドロー。私の新しい力……見せてあげます。私の、ナンバーズ……！
ミザエル,来るか……！
文香,………
ミザエル,………
文香,………あの
ミザエル,………？
文香,よくよく考えてみると……。私のデッキ……このナンバーズを召喚するための、素材がいません……
ミザエル,………
文香,きゃっ
ミザエル,フン。馬鹿らしい……。馬鹿か貴様は。エースモンスターの召喚がままならないようなデッキを組むデュエリストがどこの世界にいる
文香,そ、そう言われましても……このカードを拾ったの、つい昨晩のことですし……。そこから先の記憶が曖昧で……熱に浮かされていたような……
ミザエル,とにかく、このカードは私がもらう。……よりにもよって、このナンバーズとはな
文香,あの、ナンバーズとはいったい
ミザエル,お前が知る必要はない
文香,は、はい……すみません
ミザエル,そもそもナンバーズとはアストラルの記憶のピースのはず。そのアストラルはアストラル世界へ帰還したと聞いた……ならば、この人間界にナンバーズが存在する理由がない。何が起きている……？
文香,………。……すみません。私、あなたにひどいことを言ってしまったような……そんな記憶が、おぼろげながら残っています
ミザエル,………。謝るな。並みの人間では、ナンバーズの力に耐えられないのは当然だ。私ですら、人間の身体では、気を抜けば飲みこまれてしまいそうな――。！
文香,……っ。いつの間にか、他の人がいなくなっている……？
ミザエル,……何者だ、貴様
フードを被った男,我ら、混沌を……カオスをもたらす者
男,我らの目的を果たすため、ナンバーズの力が必要なのだ
ミザエル,カオスだと……貴様、バリアンか？
男,バリアンなどという下等な存在とは違う
ミザエル,なに？
男,さあ、無駄話は終わりだ。そのナンバーズを渡せ
ミザエル,断る
男,フン……ならば、実力行使に出るまでだ
文香,み、ミザエルさん……この人は、いったい
ミザエル,お前は下がっていろ。こいつは私が倒す
文香,でも……なにか、とても嫌な感じが
ミザエル,文香
文香,は、はい
ミザエル,私は誰が相手だろうと負けはしない。心配するな
文香,………わかりました
男,命乞いなら今のうちだぞ
ミザエル,フン、戯言を
ミザエル・男,デュエル！
ミザエル,LP4000。先行は私だ。ドロー！。仮面竜を攻撃表示で召喚。ターンエンドだ
男,それだけか？随分とおとなしいな
ミザエル,本番はこれからだ
男,その虚勢、いつまでもつかな。私のターン、ドロー。私は幻木龍を召喚。自分フィールド場に地属性モンスターがいる時、幻水龍を手札から特殊召喚することができる。さらに幻木龍の効果発動。1ターンに1度、自分フィールド上のドラゴン族・水属性モンスター１体を選択し、そのモンスターと同じレベルになる。私は幻水龍を選択
ミザエル,レベル8のモンスターが2体……
文香,……同じレベルのモンスターが揃えば
男,私は2体のレベル8モンスターでオーバーレイネットワークを構築。エクシーズ召喚。顕現せよ、銀河の竜。ナンバーズ107
ミザエル,！？107だと！
男,フッ……現れろ！銀河眼の時空竜！
タキオン,ギャオオオン！！
銀河眼の時空竜,ギャラクシーアイズ・タキオン・ドラゴン
ミザエル,馬鹿な……タキオンドラゴンだと！？。なぜ貴様がそのカードを持っている！答えろ！
男,ほう？このカードを知っているのか……だが無駄話は終わりだと言ったはずだ。タキオンドラゴンの効果を発動。オーバーレイユニットをひとつ取り除くことで、このカード以外のすべてのモンスターの効果は無効となり、攻撃力・守備力は元の数値に戻る。さあ、銀河眼の時空竜。仮面竜を攻撃しろ
ミザエル,くっ……私の前に立ちはだかるか、タキオン！
男,仮面竜には破壊された時、デッキから攻撃力1500以下のドラゴン族モンスターを特殊召喚する効果がある。だがそれも無効だ
タキオン,ギャオオオン！！
ミザエル,ぐっ……あああっ！！
文香,ミザエルさん……！。ARデュエルでは、どれだけ派手なエフェクトでも実際の痛みは生じないはず……。なのに、あれは……明らかに、苦しんでいる
男,言い忘れていたが、我々とのデュエルでは、ライフへのダメージがそのままプレイヤーの身体へのダメージとなる
ミザエル,くっ………
男,私はカードを1枚伏せ、ターンエンド。どうした、怖気づいたか
文香,ミザエルさん……
ミザエル,………ふっ。怖気づくだと？ハハハ……ありえんな。人間世界でのデュエルも悪くないとは思っていたが……やはり、こういう形のほうが私の性に合っている！。私のターン、ドロー！
文香,怖がるどころか……あの人の瞳は、さらに力強さを増している。それこそ、目の前の大きなドラゴンのそれに、負けないほどに……
ミザエル,私の知るタキオンとは、少々効果が変わっているようだが……その美しさは変わらんな。アストラル世界に何が起こったのかはわからないが……まずはお前を、私のもとに取り戻す！。相手フィールド上にモンスターエクシーズが存在する時、手札よりこのカードを特殊召喚することができる。現れろ、半月竜ラディウス。さらにこの効果で特殊召喚した時、このモンスターのレベルは8になる。続けて私は、星間竜パーセクを召喚！。このカードは、自分の場にレベル8モンスターが存在する時、リリースなしでの召喚が可能！
男,レベル8のモンスターが2体。お前もエクシーズ召喚か
ミザエル,その通り。だが、ただのレベル8ではない。レベル8の、ドラゴンが2体だ！。先ほど手に入れたこの力、早速使わせてもらうぞ！。私は半月竜ラディウスと星間竜パーセクでオーバーレイ！。2体のドラゴン族モンスターで、オーバーレイネットワークを構築！エクシーズ召喚！！。現れろ、ナンバーズ46！
文香,あれは、私が拾ったカード……！
ミザエル,雷鳴よとどろけ。稲光よきらめけ。顕現せよ、我が金色の龍！。神影龍ドラッグルーオン！！。………
ジンロン,久しいのう。こうして話すのはいつぶりじゃろうか
ミザエル,……お前が、かつて私とともに生きたドラゴンなのだな
ジンロン,まだはっきりとは思い出せんか
ミザエル,そうだな。本当の己の記憶なのかどうか、いまひとつ定着しない
ジンロン,これから慣れていけばよい
ミザエル,ああ……だがその前に、お前の力を借りるぞ
ジンロン,わかっておるのか？今のおぬしはバリアンの力を持っておらん。その状態でナンバーズを複数従えれば
ミザエル,わかっている。だが、私は負けん
ジンロン,……ならば、好きにするがいい
ミザエル,………。ドラッグルーオンのオーバーレイユニットをひとつ取り除き、効果発動！。相手フィールド上のドラゴン族モンスターを1体選択し、そのモンスターのコントロールを得る！。私が選ぶのは、当然銀河眼の時空竜！
男,なんだと！？
ミザエル,来い、タキオンドラゴン！
タキオン,ギャオオオオン！！
ミザエル,がっ……！
男,馬鹿め。人間がナンバーズを複数使って正気を保てるはずがない！
ミザエル,くっ……！。頭の中で、負の感情が増大していく！
文香,ミザエルさん……さっきの私と同じように……。………！
ミザエル,やめろ。私はもう。何かに操られるのは御免だ！。あ、ぐっ……！。い、意識が……
文香,ミザエルさん！
ミザエル,………ふ、みか？
文香,負けないでください……！
ミザエル,文香が、私の手を強く握りしめていた。ARビジョンを恐れていた女が、迷うことなく戦場に駆け寄っていた
文香,私、よくわかりませんが……あなたなら、きっと
ミザエル,………。温かいな、お前の手は
文香,え……
ミザエル,案ずるな。人間であろうが、バリアンであろうが関係ない。私は常に、誇り高き戦士でありデュエリスト！。真のドラゴン使い、ミザエルだ！！
文香,ミザエルさん……！
男,……抑え込んだ？人間ごときが、ナンバーズ2体分の力を？
ミザエル,私の力を、意思の強さを侮るな！。タキオンドラゴンの効果発動！オーバーレイユニットをひとつ取り除き、このカード以外のモンスターすべての効果を無効にする！。バトルだ！まずは神影龍ドラッグルーオンの攻撃！。火炎神激！
男,ぐわあああ！！
ミザエル,続けて、銀河眼の時空竜で攻撃だ！
男,くっ……トラップ発動！くず鉄のかかし！。タキオンドラゴンの攻撃を無効にする！これでこのターンはしのげ――
ミザエル,フン……自らのカードの効果くらい、把握しておくことだな！
男,なに？
ミザエル,タキオンドラゴンのさらなる効果。このターンのバトルフェイズ中、相手カードの効果が発動するたびに、攻撃力が1000ポイントアップし、2回攻撃が可能となる。タキオン・トランスミグレイション！
男,………！？
ミザエル,終わりだ！タキオンドラゴンでプレイヤーにダイレクトアタック！。殲滅のタキオン・スパイラル！
タキオン,ギャオオオオオオン！！
男,ぐっ……あああああっ！！。馬鹿な……私が、敗れるだと？
ミザエル,いくらカードが強力でも、使い手の実力が伴わなければ意味がない。貴様より強いデュエリストを、私は何人も知っている
男,くっ……まあいい。ここで私が破れようとも、いずれアストラル世界は必ず
ミザエル,アストラル世界だと？おい貴様、どういう意味だ！
男,さらばだ
ミザエル,待て！
文香,き、消えてしまいました……
ミザエル,何か聞き出せればと思っていたが……仕方がないか
文香,……でも、よかったです。ミザエルさんが、ご無事で
ミザエル,文香……。……ところで、いつまで私の手を握っているのだ？
文香,………あ。す、すみませんっ……
ミザエル,………。助かった
文香,え？
ミザエル,お前のおかげで、私は私を失わずにすんだ。我が友、タキオンドラゴンを取り戻すこともできた。礼を言う
文香,い、いえ……私はなにも
ミザエル,しかし不思議だ。なぜ文香が手を握っただけで……もしかすると、お前の身体に何か秘密があるのかもしれんな
文香,！？
ミザエル,どうした
文香,あ、あの……いきなり頬を触られると、びっくりします……
ミザエル,ああ、すまない。……とりあえず、ついてこい
文香,はい……？
カイト,検査の結果、彼女の身体に異常は見受けられなかった
ミザエル,そうか……となると、謎は深まるな。文香の手にはどんな仕掛けが――
カイト,仕掛けもなにもあったものではないと思うが……精神的なものだということを、どう伝えたものか。とにかく、アストラル世界で何が起きているか、早急に調べる必要があるな。場合によれば、俺達が再び戦うことになるかもしれん
文香,ナンバーズ……そのような危険なカードがあるなんて、知りませんでした
ハルト,はい。でも、ナンバーズのおかげで生まれた絆もあるんです
文香,絆、ですか
ハルト,はいっ。……あの、ところで。鷺沢文香さん、ですよね？
文香,はい……そうですが
ハルト,サイン、もらってもいいですか？
文香,……はい？
ミザエル,文香はアイドルだったのだな
文香,はい……デビューしてから、それほど時間は経っていませんが
ミザエル,確かに、その美しい顔立ちなら人気も出るのかもしれんな
文香,………
ミザエル,どうした、黙りこんで
文香,ミザエルさんの言葉……直球すぎて………なんでもありません
ミザエル,今後、不審なカードを見つけたら、手に取る前に私に伝えろ
文香,わかりました。あの……これまでも、今日のような戦いを？
ミザエル,ああ……といっても、立場は違ったが。命のやり取りをしてきたことには、変わりない
文香,強い方、なんですね……。……あの。少し、私の話を聞いてもらえませんか
ミザエル,？
文香,アイドルになってから、私の生活は一変しました。大学で勉強をして、家に帰って本を読むだけだった人生……それが、レッスンや撮影、ライブといったものに置き換わっていったんです。それらは、とても素晴らしい物でした。今まで経験したことのない輝きを、私は一身に浴びるようになりました
ミザエル,よいことではないか
文香,そうですね……きっと、それはとてもよいことです。ですが……だからこそ、私は自分自身の形というものが、わからなくなってきているんです
ミザエル,自分自身の、形？
文香,はい。アイドルが見せてくれる世界は、魅力的で……でも私にとっては、これまでの、静かに本を読んでいた時間も大切なんです。部屋にこもって、他のことを気にせず一日中本を読んでいるような時間が……。けれど……それは、アイドルらしくないのかな、と。ファンの方々が求めるのであれば、変わらなければならないのかと。昔の自分を、捨てなければならないのかと
ミザエル,文香……
文香,ずっと、後ろ向きな自分を変えたいと思っていました。でも、いざそうなると……怖いんです
ミザエル,………
文香,……すみません。こんなこと、あなたに伝えても仕方がないのに
ミザエル,………。かつて私も、自分が何者なのかわからなくなったことがあった
文香,えっ……？
ミザエル,相反する二つの記憶に苛まれ、自らの存在意義が揺らいだ。だがその時、私は我がライバルの言葉に救われたのだ。奴は私を肯定してくれた。おかげで私は、どちらの自分も受け入れることができた。私は文香のことをよくは知らない。だがきっと同じだ。アイドルになる前の自分と、なった後の自分。どちらかを否定する必要はない
文香,………。……私にも、できるでしょうか
ミザエル,それはお前次第だ
文香,ふふっ……そうですね。……ミザエルさん。お願いがあります
ミザエル,お願い？
文香,年末に、私達のプロダクションが主催する大きなライブがあるんです。私も、参加します。私、その日までに答えを出します……だから。見に来て、いただけませんか？
ミザエル,……いいだろう。お前には、これからもドラゴンの話を聞かせてもらわねばならんからな
文香,……ありがとうございます
ミザエル,騒がしいな
ハルト,これだけ大きな規模のライブなら、当然だよ
ギラグ,うおおおおお！！
アリト,よくわからんが燃えろーー！！
ミザエル,まあ、身内も騒がしいからな……
カイト,………
ミザエル,しかしカイト。お前が来るとは予想外だった
カイト,ハルトの付き添いだ。それ以上の意味はない
ハルト,その割には、熱心にステージを見てる気がするけど
ミザエル,………
文香,皆さん……今日は寒い中お越しいただき、ありがとうございます。一生懸命歌うので……聞いてください。皆さんに、贈る歌です
ミザエル,……なかなか様になっているではないか
ギラグ,いやー、満足ビングだぜ！
アリト,熱かったな！ライブってのも悪くねえ
ハルト,兄さん、楽しかった？
カイト,……それなりにはな
ミザエル,………
文香,ミザエルさんっ
ミザエル,文香
