前川みく,にゃ？急にどうしたんだにゃPチャン？
みく,そうにゃよ
珠美,え？
みく,だってたまにゃんは……誰よりも大きな志をもう持っているのだから……
珠美,み……み……。みくちゃぁーーーん！！！
みく,たまにゃん！今はみくの胸の中で思いっきり泣くといいにゃあ
仁美,うぅっ……なんかよくわかんないけど感動した！慶次と兼続を彷彿とさせる友情だよ……！
P,一件落着みたいだな
珠美,プロデューサー……珠美はこんなにも素敵な仲間に恵まれて果報者です……！
仁美,仲間でもあるけどライバルでもあるからね！。アタシの槍と珠美ちゃんの剣、どちらが天下アイドルの闘いを制すか勝負だよ！
珠美,はいっ！珠美も負けませぬ！
P,おぉ……なんか仁美がすごく強そうに見える。格好いいぞ
仁美,甘いよプロデューサー！アタシは強そうなんじゃなくて、強いの！。なんで強いと思う？もともと強いからっ☆
P,確かに仁美は強いな。その鋼のメンタリティは本当に凄いと思うよ
麻理菜,天下アイドルの闘いかぁ。これはお姉さんも巴ちゃんと手を組んで参戦しちゃおうかな！
仁美,むむっ、後ろからも参戦！？これは……名将・沢田麻理菜のうわ啄木鳥戦法！
P,じゃあ俺は華麗な戦術をみせる名軍師！
みく,Pチャンそれはちょっとキッツイにゃ
P,ぐぬぬ。ま、まぁこれだけの面子が揃っているんだ。アイドル天下を制するまでまだまだ道は遠いけど、これからもよろしくな！
島村卯月,今週はやっと私達の番だね！頑張ろう唯ちゃん！
大槻唯,ゆい達も世界に通用する女になっちゃお！
P,卯月に唯、なんだか燃え上がってるけど二人でどこに行くんだ？
卯月,あっ！こんにちは、プロデューサーさん、みくちゃん！
唯,唯と卯月ちゃんはこれから秘密レッスンを受けに行くんだじぇ☆
みく,ひ、秘密レッスン！？羨ましいにゃあ……！
P,知っているのかみく！
みく,最近アイドル達の間で人気沸騰中の、事務所の一角で行われるあるレッスンのことだにゃ
P,へぇ、初耳だなぁ。それって皆で集まって自主トレとか、それともトレーナーさん達にトレーニングタイム外でも教わったりしてるのか？
卯月,ヘレンさん主催のレッスンです！
P,なるほど、ヘレンのレッスンかー。…………え？。ちょっと待って、ヘレン？
唯,ヘレンさんだよ？
みく,どうしたんだにゃPチャン
P,いや、ある意味納得できるような、そうでもないような……というかどういう内容なんだそれは
卯月,ヘレンさんと言えば体中から溢れ出る確かな自信が印象的ですよね？
P,うん、それは本当にそうだな。自信は度が過ぎると驕りにもなるけど、ヘレンの場合は嫌味がない自信だからな
みく,そんなヘレンさんの自信の真髄を学んでアイドル力をアップしていこうという趣旨だにゃ
卯月,隔週で少人数制だから、殺到する予約者で数ヶ月待ちなんですよ
唯,んでんで、今日が卯月ちゃんと唯の番ってわけ！ちなみに参加者はヘレンチルドレンって言われてるらしーよっ☆
卯月,これ、ちひろさんが今までの参加者の声をいくつかまとめた物です。見てみますか？
P,どれどれ……
卯月,どうですか？
P,なかなか盛況なんだな……菜々だけイニシャル表記の意味ないけど
唯,人気っぷりは伊達じゃないってこと！じゃ、ゆい達はそろそろいっちゃうぜぃ♪
卯月,もう行かないと始まっちゃう！それじゃあ二人とも、また！。１人前のアイドル？いいえ、目指すのは72億人前のアイドルです！
唯,髪型まで……ダンサブルッ☆
ヘレン,唯、卯月。もう少し世界っぽさを出すと更に良いわね
卯月,もっと世界っぽく……こうですか……じゃなくて、こう、かしら
ヘレン,その調子よ。とてもよくせかってるわ
P,二人とも真剣に取り組んでるなぁ
みく,みくは自分を曲げないよ。なぜなら世界の方がみくにひれ伏し曲がっていくから……にゃ
P,うーん……それはちょっと世界っぽくないなぁ
みく,難しいにゃあ……やっぱり本家に教わらないとダメだにゃ
P,餅は餅屋って言うしな。世界には世界だ
みく,だったらもっと勉強する為に覗かないと……
P,誰だ今の
ヘレン,今日はこんな所ね
唯,ふぃー！お疲れっしたー☆
P,三人とも、お疲れ様
卯月,あっ、見ていたんですか。プロデューサーさんにみくちゃん
P,うん。それにしてもヘレンがレッスンを開いているなんて思わなかったよ
ヘレン,アイドルオブアイドル……NO．１になるには更に研鑽を重ねなければいけないわ。私はそのきっかけを与えているだけ。ここから自分だけの真実の世界に辿り着けるかは……卯月や唯、貴女たちの行動次第よ
卯月,……はいっ！ヘレン先生！
唯,せんせぇ！ありがとねっ☆
卯月,プロデューサーさん。私、もっともっと頑張ります！
唯,ゆいも世界に通用するビックな女になっちゃうぜぃ☆
P,俺も世界に羽ばたこうとする皆にふさわしい、世界レベルのプロデューサーにならないといけないな。今日皆の頑張りを見て、改めて気付かされたよ。ありがとう！
ヘレン,ふふ……いい目をしているわね。また一人、迷える兎を世界の理に導いてしまったわ。さて、とりあえず次は覗いていたみくにお仕置きをしないといけないわね
みく,え、ひどくない？。PチャンPチャン。なんだかちょっと疲れてきたにゃあ
P,ちょっと歩き通しだったからな。少し休んでいくか？
みく,だ、誰なのにゃ！？
P,みく、上だ！！
みく,ゲ、ゲキレイジャーだってにゃ！？
P,知っているのかみく！
みく,いや、知らにゃい
渚,まぁ智香が最近作ったばかりだからなァ
智香,まだまだこれからだよっ！
P,……なるほど。様々な人を応援する為に智香が結成した私設ユニットなんだな
智香,はいっ☆メンバーの皆はアタシの呼びかけに答えてくれて……嬉しいですっ！
千枝,千枝が皆を喜ばすことができるなら、何かをしてみたいと思ったんですっ
智絵里,わたしも……皆さんに四葉のクローバーを……届けたくて
李衣菜,型にはまらず、あえてヒラヒラの衣装を着る……これってロックじゃないですか！
千秋,私って欲張りなの。地位も名声も、誰かを励ますことができる力も、全て手に入れたいじゃない？
渚,部活で応援されてそのありがたさはよくわかってるからさッ！自分もする方になってみたいと思ったんだ
P,よくわかった。ところで１つだけ聞きたいんだけど
渚,どォしたの？
P,他の５人はチアユニフォームなのに、なんで渚だけ学ランの応援団スタイルなんだ？
智香,それはアタシが代わりに答えますっ☆実は
智絵里,えぇと……智香さんが結成の相談を光ちゃんにした時……。こういうグループは少しコンセプトの違うメンバーが一人はいるものだ……と言われたそうです
智香,あぁっ智絵里ちゃん！アタシのセリフが……★
みく,光チャンはメンバーに入っていないのかにゃあ
智香,最初は光ちゃんも誘ったんだけど
千秋,誰かを守る力は多ければ多い方がいいだろう？前はアタシが受け持つから、後は頼んだ！と言って辞退したそうよ
李衣菜,光ちゃんかっこいいですよね、ロックを感じます！ハッ……ロックとはヒーローの事だった……ヒーロック！？
智香,うぅぅ、またとられちゃった……★
P,光らしいな。それにしても渚の応援団スタイル似合ってるなぁ
渚,どーもッ！有香に気合の入れ方も教わったし、頑張っちゃおうかなァ！
P,智香は言うまでもなく、千枝も智絵里も李衣菜も千秋も、皆本当によく似合ってる。皆の新たな道が見れて嬉しいよ、ありがとう
智香,はいっ☆そして、これからもよろしくお願いしますっ、プロデューサーっ！
P,あぁ！
智香,……そして最後に、実はみくちゃんに私たちの仲間になって欲しいと思っているんですっ！
みく,にゃ？
渚,みくちゃんの明るさは私達が目指す応援の理想の形だからねッ！
千秋,まぁ渚の結論付けはちょっと早いけど、いい指標であると思うわ
智絵里,わ、わたしたちがもっと沢山の人に幸せを届けられるようになる為に……
千枝,力を貸してくださいっ！
智香,みくちゃん……いえ、マスター・ニャーフー！
みく,み、みんにゃ……ありがとう、ありがとうなのにゃあ……！。Pチャン！みく、最高のチアアイドルを目指すにゃ！
P,よし！皆の気持ちもひとつになった所で、新たな出発だ！
智香,はいっ！アタシたちはようやく登りはじめたばかりですっ！この果てしなく遠いチアリーディング坂を☆
高峯のあ,あれがデネブ……アルタイル……そして、ベガ……
星輝子,キ、キノコに負けず劣らずのまばゆい輝き……
棟方愛海,でっかい輝きだねー
P,天体観測の教授ですか、のあさん
のあ,…………今日は、星が観たい気分だったから
愛海,プロデューサーとみくちゃんはこんな時間にどうしたの？
輝子,も、もしかしてデート？フヒヒ……親友も隅に置けない
みく,バレちゃあしょうがないに
P,違うよ。今日は皆に会いたい気分だったからみくと一緒にぶらついていたんだ
みく,そう一蹴されたらなんか面白くないにゃあ
のあ,………二人も此方に来て。共に星を
みく,綺麗な空だにゃあ……
愛海,青森から観た空も同じくらい綺麗だったよ。少し前のことなのに、懐かしいなぁ……
のあ,天の光は全て星………貴女の両親もきっと同じ空を見ているわ………愛海
愛海,うん。そうだといいな。……それにしても空一面に広がって、まるで星の海だね。輝子ちゃんだけに！
P,おっ、いいセンスしてるな愛海！
愛海,でしょー！
みく,Pチャン……そこに食いつくなんてやっぱり……
輝子,ヒャッハァーー！！ダジャレに巻き込むんじゃねぇ！
のあ,………輝子、静かに。星の声が聞こえなくなるわ
輝子,あ、すいません
P,……。……三人とも、ありがとう
輝子,……親友？
愛海,急にどうしたの、プロデューサー
P,改めて、皆と歩んで来れたことに感謝したいと思って
輝子,センチメンタルな気分……ってやつ？
P,そんな感じ。それにしても、本当に綺麗な星だ
のあ,…………
P,のあさん？袖がどうかしましたか？
のあ,………空を。夏の大三角は全て一等星………最も強く輝く星々………
みく,ニ等星だったら、にゃつのだいにゃんかくだにゃ
愛海,はーいみくちゃんはこっちに行ってようね～
みく,なにするにゃ！はにゃせー！
のあ,貴方は、あの高みまで私達を届かせることが………あの星のように私達を輝かせることが、できるかしら
P,……俺一人の力じゃ到底届かないかもしれません。でも、皆と共にやってみせます。掴んでみせますよ、あの星を
のあ,………………そう。………時間をとらせたわ。もう戻って……。…………輝子？
輝子,……
P,どうしたんだ輝子。のあさんの背中に隠れて
愛海,あー……あたしがさっき名前ネタ言っちゃったからさ。会話に頻出するのに気づいてちょっと恥ずかしくなっちゃったんじゃない？
みく,Pチャンものあにゃんも、輝く星とか星を掴むとか言ってたからにゃあ
P,あっ……ご、ごめんな輝子？
輝子,ﾋ、ﾋｬｯﾊｧ
のあ,………輝子、私の服に顔を張り付けていたら声が聞こえないわ
みく,そういえば今日のあつにゃんは大人しかったにゃあ
愛海,え、あたし？
みく,さっきの流れ、いつものあつにゃんだったら。じゃああたしはこっちの星を掴んじゃうよ～♪とか言って輝子チャンを揉んでたはずなのにゃ
愛海,やだなぁ。あたしだってたまには真面目な時もあるよ。というかみくちゃん。その発想は完全にオヤジのそれだよ。流石のあたしも若干引いてるよ……
のあ,少しみくとの関係を改める必要があるようね………
みく,ユニット解散の危機なの！？
輝子,オ、オヤジ猫……
みく,ピ、ピ……。Pチャンのオヤジが伝染ったせいなのっ！
P,え、ひどくない？。もうすっかり夜になっちゃったな……みく、大丈夫か？
みく,すー……にゃー……すー……にゃー……
P,……寝ちゃったか。まぁ今日は色々と動き回ったからな。とりあえず一旦事務所までかついでいくか。よっこい、しょっと……。ん？。……うわっ、よだれついてる！
みく,……にゃあ♪
P,気持よさそうな顔して寝てるなぁこの子は
みく,焼き魚が……焼き魚がクラウチングスタートの姿勢から迫ってくるにゃ……Pチャン助けてぇ……
P,うってかわってどんな夢見てるんだ一体……。……みく、今日は一日お疲れ。一緒に騒いで楽しかったよ、ありがとう
