皆さんが,もうやめてくれ！！
あきつ丸,…提督殿、二人の様子がおかしいとは思いませんでしたか？
(Ｔ),そりゃ思うが…まぁ春だし
あきつ丸,暢気ですなあ…幾ら春で頭のネジが緩むとは言っても、プライドの高い加賀殿が乳首相撲をしようだなんて提案すると思うでありますか？提督殿じゃあるまいし
(Ｔ),お前の中で俺の評価どうなってんの？アホってこと？
あきつ丸,合法都市の続きは無いでありますか？
(Ｔ),おい目ぇ逸らすな答えろ。あと非常に残念なことに合法都市は全六巻だ。で、妖気がなんだって？
あきつ丸,前回の騒動、覚えているでありますか
(Ｔ),まさか総勢で三十匹くらいのクソ提督幽霊がいるとは思わなかったなぁ
あきつ丸,現在で三百万余りの提督がいますからなぁ。死者の数もそこそこなのであります
(Ｔ),だが幽霊は全て駆除したはずだろ？
あきつ丸,幽霊はであります
(Ｔ),……幽霊以外の魑魅魍魎がまだこの鎮守府にいると？
あきつ丸,いかにも！！さすが提督殿！！冴えてるでありますな！！
(Ｔ),いやそこまで言われたら誰だって察するわ…ちょっと頭痛い…青葉、頭痛ｙ…いねえんだった…
あきつ丸,おっほほぅ、目に見えて弱ってるでありますなぁ。マッチョの衰弱した姿もこう…萌えであります！！
(Ｔ),お次はなんだ？妖怪？
あきつ丸,その通りであります！！
(Ｔ),マジかよ……いくら妖怪アニメが大流行だからってその波がここまで来るか普通…。そんでこの加賀と瑞鶴の錯乱騒ぎは、妖怪の仕業だって言うのか？
あきつ丸,九分九厘、そうであります。ただ、自分にわかるのは妖気の強弱だけであります
(Ｔ),いや充分すげえよ…因みに、どんな方法で？
あきつ丸,この妖怪…。灯篭で
(Ｔ),アンテナですらない…だと…？
あきつ丸,改造を受けた際に、妖精さんが粋な追加機能を付けてくれたであります
(Ｔ),実戦じゃなんの役にも立たねえけどな。使い方は？
あきつ丸,妖怪の影響を受けている者にこの灯篭を向けると…。この様に、妖気のレベルが三段階に分けて表示されるであります
(Ｔ),あれでまだ弱レベルか…一体どんな妖怪なんだよこええよ
あきつ丸,いえ、先ほど扉の前で反応があった時は中レベルでありました。気を失って妖気が多少抜け出たのかと
(Ｔ),あなんだ良かった
あきつ丸,安心してる場合では無いでありますよ。恐らく、妖怪は鎮守府全域に妖気を発信している筈。早く手を打たないと、この地獄の血みどろマッスル鎮守府が乳首の相撲大会鎮守府と化してしまいます
(Ｔ),何このマニアックなＡＶみたいな展開……
あきつ丸,タチが悪いのはそれだけではありません。もし妖怪を退治しても、艦娘間で乳首相撲が行われてしまった場合、正気に戻った時に羞恥と乳首の痛みで精神的ダメージを負ってしまうであります。最悪の場合、轟沈もありえるかと
(Ｔ),ガチピンチじゃねーか
あきつ丸,春休み期間中で、いつもより人数が少ないことが唯一の救いでしょうな
(Ｔ),…解決できるか？
あきつ丸,愚問！！自分のこの妖気察知能力と、提督殿の鋼の肉体があれば、どんな怪異も指先一つでダウンであります！！
(Ｔ),さすが陸軍のお嬢さんは格が違った。よし、やるか！！妖怪退治！！
あきつ丸,おー！！で、あります！！
(Ｔ),で、作戦はあるのか？
あきつ丸,モチのロンであります。この灯篭には妖気探査機能も備わっているであります
(Ｔ),ドラゴンレーダーみたいなもんか
あきつ丸,これでより強い妖気を辿っていけば、おのずと妖怪の元へ到着するという算段であります！！
(Ｔ),なるほどな。ところで、お前さんは平気なのか？
あきつ丸,自分のような陰陽師タイプの艦載機使いは、妖気や霊気に対する耐性が強いであります
(Ｔ),なるほど、じゃあ龍嬢や隼鷹はまだ安全ってことか
あきつ丸,ですが、あくまで耐性なので、全く効かないという保障は無いであります。結局、時間との勝負であります
(Ｔ),……俺は大丈夫かな？
あきつ丸,誰が得すると言うのでありますか？
(Ｔ),ほら、世の中には色んな性癖の人がいるから…
あきつ丸,誰が得すると言うのでありますか？
(Ｔ),わかったよ真顔で同じ言葉繰り返すなよ心に刺さるだろうが
あきつ丸,誰が得すると言うのでありますか？
(Ｔ),ごめんってば。どう？妖怪灯篭は反応してる？
あきつ丸,もうビンビンでありますな
(Ｔ),もっと違う表現無かったのかよ…
あきつ丸,ふむ…この先は軽巡寮であります。かなり強い反応であります
(Ｔ),マズいんじゃねえのか！？急ぐぞ！！。…
あきつ丸,…
(Ｔ),…何かの間違いだろ？
あきつ丸,そう信じたいであります。自分、変な汗が止まらないであります
(Ｔ),…灯篭は？
あきつ丸,強…いえ、狂と出ているでありますね
(Ｔ),ええ…？
あきつ丸,…提督殿、短い人生でありましたなぁ
(Ｔ),諦めんなよ…。よし、あきつ丸。お前は別の反応を探せ
あきつ丸,提督殿！？
(Ｔ),なぁに、心配するな。後ですぐ追いつくさ
あきつ丸,フ、フラグではありませんか！！そんなの、認められないであります！！
(Ｔ),おいおい、俺を誰だと思ってる？かつてジャパニーズ・チャック・ノリスと呼ばれた漢だぜ？
あきつ丸,初耳でありますよ！！それに、自分は上官を見捨て敵前逃亡など出来ないであります！！
(Ｔ),あきつ丸…
大井,あの、扉の前で何やってるんです？
(;Ｔ)あきつ丸,うわああああああああああああああああああああああああ！！！！！！
大井,うるさっ…何なの一体
(;Ｔ),おっ、おま…部屋の中で北上と乳繰り合ってたんじゃ…
大井,セクハラですか？魚雷、撃ちますよ？
あきつ丸,で、では、この反応は一体…？
大井,反応…？ああ、もしかしてアレのこと？
(;Ｔ),アレ…？
大井,ちょっと待ってなさいな
(;Ｔ),心ッ臓口から飛び出るかと思った…
あきつ丸,死を覚悟したであります…
大井,お待たせ。多分、これの事じゃないかしら？
(Ｔ),…
あきつ丸,…
(;Ｔ),ガチの超危険アイテムじゃねーか！！！！！
あきつ丸,うわぁ…うわぁ…灯篭が小刻みに震えるくらい反応してるであります…
大井,遠征で拾った家具箱の中に入ってたんだけど、何か捨てると呪われる気がして手放せなかったのよね…持ってっちゃってよもう
(;Ｔ),ええー…ガッツですら手に余る代物をなんで俺にー…？
大井,男だろ？持ってけ
(Ｔ),ウッス
大井,んん～、やっとキモいアイテムから解放されたわぁ。それで、コソコソと何やってたのよ？
あきつ丸,実は…
大井,ハァ？バッカじゃないのアンタら
(Ｔ),俺もそう思う
あきつ丸,悲しいけどこれ、現実なのであります
大井,妖怪だかなんだか知らないけど、私と北上さんの邪魔だけはしないでくださいね！！
(Ｔ),アッハイ
あきつ丸,了解であります！！
大井,フン！！
(Ｔ),こわぁ…クレイジーサイコレズこわぁ…
あきつ丸,それ、どうするでありますか？
(Ｔ),どうしよっか…あっそうだ
あきつ丸,？
(Ｔ),地獄の血みどろ…。マッスル握砕！！！！！
あきつ丸,わっ！？
(Ｔ),握りつぶせたわ…
あきつ丸,…て、提督殿も、かなりのトンデモ人間でありますな
(Ｔ),反応、まだあるか？
あきつ丸,いえ、全くと言っていいほど無いであります
(Ｔ),大北部屋からは？
あきつ丸,こちらも無反応でありますな。妖怪も敵に回しちゃいけない人物を心得ているようであります
(Ｔ),小賢しいというかなんと言うか…まぁ、こちらとしても安心っちゃ安心だがな。じゃあ次だ
あきつ丸,提督殿、一つよろしいでありますか？
(Ｔ),なんだ？
あきつ丸,提督殿は……加賀殿と瑞鶴殿がおっぱい丸出しになったのを見た時…なんていうか…その…下品なんですが…フフ…勃起…しなかったでありますか？
(Ｔ),吉良吉影っぽい口調で何言ってんのお前…
あきつ丸,やっぱりホｍ(Ｔ)ホモじゃねーよ
(Ｔ),例えばだ、お前が夜道を一人歩いていたとしよう
あきつ丸,ふむ
(Ｔ),そしたらいきなり目の前に知らないイケメンが登場
あきつ丸,ふむふむ
(Ｔ),そして徐に下半身を露出させた
あきつ丸,変態であります
(Ｔ),興奮するか？
あきつ丸,いえ、全く。むしろ(ブッ)飛ばしていくのであります
(Ｔ),つまりそういう事だ
あきつ丸,それはちょっと違うんじゃ…
大鯨,て・い・と・く！！
秋月,こんにちは
(Ｔ),おお、大鯨。それに秋月も
あきつ丸,珍しい組み合わせでありますな
(Ｔ),あきつ
あきつ丸,…弱であります
大鯨,弱…？どうかしましたか？
(Ｔ),ああいやなんでもない、大丈夫
秋月,大丈夫！！
(Ｔ),あっ、うん、大丈夫…長10cm砲ちゃん、調子はどうだい？
長10cm砲ちゃん,Groovy(イカすぜ)
(Ｔ),アッシュかよ
あきつ丸,お二人とも、これからのご予定は？
大鯨,えっと、秋月さんがお握りとお味噌汁以外のお料理を習いたいと仰ったので、これから夕飯のカレーを一緒に作ります
秋月,はい！！お料理が趣味になりえるなんて…なんて素敵な時代なんでしょうか！！
(Ｔ),大鯨はウチの副料理長だからなぁ。ま、バッチリ教えてもらえよ
秋月,ご期待に副えるよう、頑張ります！！
大鯨,フフフッ
あきつ丸,あれ？ですが、カレーは毎週金曜日の献立の筈では…？
大鯨,！！
秋月,！？
(Ｔ),お、おい…なんか様子がおかしいぞ…？
あきつ丸,じ、自分、何かおかしなことでも言ったでありますか！？
大鯨,な、なんてこと……提督から名誉ある副料理長の座を戴いたにも関わらず、海軍食の基礎であるカレーの献立日を無視するだなんて…
秋月,いえ、大鯨さんは悪くありません！！この秋月がカレーを作りたいだなんてわがままを言うから…
あきつ丸,よ…妖気のレベルが中に変わったであります！！
(;Ｔ),ええ！？さっきまで弱だったじゃん！！
あきつ丸,恐らく、自分の余計な一言が両氏に後悔を生み出し、妖気の増長に繋がったのかと思われるであります！！
(;Ｔ),バカ！！！！！アンポンタン・ポカン！！！！！
大鯨,提督に合わす顔が…無いッ…
秋月,罰を…自らに罰を課さねば…ッ！！
(;Ｔ),いやいいよ！！カレーくらいでどんだけ重たい責任負ってんだよお前ら！！
あきつ丸,提督殿、自分にも罰を与えて欲しいのであります！！
(;Ｔ),ええい落ち着け！！
大鯨,秋月さん、これ…
秋月,ええ…共に罰を受けましょう
(;Ｔ),だからその洗濯バサミとゴム紐どっから取り出したーーーーーーーーーー！！！！！！！。クソッ、良心が痛むがやむをえんッ！！
(Ｔ),地獄の血みどろマッスルジャブッ！！
大鯨,はうっ
秋月,ひあっ
あきつ丸,て、提督殿。今のは…？
(Ｔ),最低限のパワーで顎にジャブを打ち込み、脳を揺らして気を失わせたんだよ…読んでてよかったリクドウ
あきつ丸,それを自分にも打ち込んで欲しいのであります！！これでは将校殿にも提督殿にも顔向けできないのであります！！
(Ｔ),だから落ち着けって。ここでお前が気ぃ失ったら誰が妖気探知するんだよ
あきつ丸,それは…
(Ｔ),別に怒っちゃいねえよ。どんな事態が起こるか、俺にもわかんねえんだからよ。フォローなら幾らでもしてやる。逆に俺が失敗したら、お前がフォローしろ
あきつ丸,…自分に、勤まるでありましょうか？
(Ｔ),今はお前が相棒だ。頼りにしてるぜ
あきつ丸,…はい！！
(Ｔ),しかし、どこでも出てくるなこの乳首相撲セット
あきつ丸,このアイテム自体には妖気を感じられないであります。自分で用意したものでは無いかと
(Ｔ),ええ～…てめえで作っててめえで使うのかよ…引くわ…
あきつ丸,しかし提督殿、これはチャンスでありますよ
(Ｔ),チャンス？
あきつ丸,鎮守府にある洗濯バサミを全て確保してしまえば、乳首相撲が実行される確立が減るであります！！
(Ｔ),なるほど！！冴えてるなあきつ丸！！
あきつ丸,そうと決まれば早速、物干し場へ急ぐでありますよ！！！！
(Ｔ),おうよ！！！！。洗濯バサミーーーーーーーーーーーー！！！！！！
鳳翔,…
(Ｔ),あっ、どうもこんにちは鳳翔さん
鳳翔,は、はい…こんにちは
(Ｔ),ち…違うんですよ…べつに洗濯バサミをね？どうのこうの…違うんすよ…
鳳翔,え、ええ…？
あきつ丸,提督殿！！うろたえるんじゃあない！！帝国海軍はうろたえない！！
(Ｔ),あきつ丸！！どうだ！！
あきつ丸,反応なし！！さすがお艦は格が違ったであります！！
鳳翔,えっと、ごっこ遊びでしょうか？私、何かの悪役…？
(Ｔ),いえいえそんな滅相も無い！！ああ、洗濯物を取り込んでる最中なんですね！！手伝います！！
鳳翔,助かります。ではあちらのシーツをお願いできますか？
(Ｔ),お任せください！！マッスル～～～～～～～～～取り込み！！！！！！
あきつ丸,鳳翔殿、洗濯バサミなのですが…
鳳翔,ああ、最近何故か数が減っているのですよね…あきつ丸さん、何かご存知ですか？
あきつ丸,…それはいつ頃から？
鳳翔,いつ…そうですね、春休み期間が始まった頃、からでしょうか
あきつ丸,二週間以上前…で、ありますか
鳳翔,この間、遠征班の子達に頼んで補充したんですけど、また減ってるみたいなんですよ。提督に言って何か対策を立ててもらわないと。そう言えば
あきつ丸,ハッ！！ど、どうかしたでありますか？
鳳翔,いえ、遠征班の子達から聞いた話を思い出したのですが、夕張さんも洗濯バサミを欲しがっていたそうです。それも、新品を
あきつ丸,夕張殿…い、嫌な予感しかしないであります…
鳳翔,流行なんですかねえ…私にはわかりかねます
(Ｔ),鳳翔さーん、シーツどこ置いとけばいいですかー！！
鳳翔,大広間に持っていって貰えますか。そこでまとめて畳みます
(Ｔ),はいよー！！
鳳翔,あきつ丸さん、ついでに今とりこんだ洗濯物も一緒に持っていって貰えますか？後は私一人でも大丈夫ですので
あきつ丸,了解であります。ああ、鳳翔殿
鳳翔,はい？
あきつ丸,貴女を信頼してお願いするであります。洗濯物を全て取り込み終えたら、洗濯バサミを全て回収して管理してもらえないでありますか？。それと、誰かがくださいと言っても、絶対に渡さないようにして欲しいのであります
鳳翔,え、ええ…それくらいならお安い御用ですが、理由をお伺いしても？
あきつ丸,…この鎮守府の存亡に関わっている、としか応えられないであります
鳳翔,…この事を提督は？
あきつ丸,存じ上げているであります
鳳翔,そうですか…わかりました。不肖ながら、努めさせて頂きます
あきつ丸,ありがたい、であります。もし手に余るとお思いになったら、大井さんを頼ると良いのであります
鳳翔,了解、お気をつけて
(Ｔ),お艦、何だって？
あきつ丸,二週間前から洗濯バサミが無くなっているそうであります。それと、夕張殿が新品の洗濯バサミを欲しがっていたと
(Ｔ),マジかよ凄まじく嫌な予感しかしねえな。それに、二週間前から？随分前から動きがあったんだな
あきつ丸,してやられたであります…自分が推測するに、妖怪は幽霊騒ぎに乗じて徐々に妖気を拡散し、影響を強めていったと思われるであります
(Ｔ),なるほど…目立つ怪異に紛れてたってわけか…だから二週間前から動きがあってもお前が感知出来なかったと
あきつ丸,面目次第もございません…
(Ｔ),ああ、スマン。別に責めちゃいねえよ気にすんなって。それより、問題は夕張だな
あきつ丸,乳首相撲セットの供給源である可能性が高いでありますな…もしかすると、もっとえげつない物も…
(Ｔ),やだなぁ…確認しにいくのやだなぁ…普段の兵装開発するノリで乳首相撲セット作ってたらもう目もあてらんない…
あきつ丸,ですが、ここを止めないと被害は拡大する一方であります
(Ｔ),呪われてんのかよこの鎮守府…
あきつ丸,何を今更。死者が三十人以上出てる鎮守府でありますよ？
(Ｔ),ほんと昔ここで何あったの…？
あきつ丸,提督殿はどんな罪を犯してここに流れ着いたのでありますか？
(Ｔ),VillagePeopleと躍らせてやるっつーんでホイホイ着いて行ったらこのザマだよ
あきつ丸,小学生でも今時そんな手に引っかからないでありますよ…
(Ｔ),よーし、そんじゃ工廠に…ッ！？
あきつ丸,て、提督殿？
(Ｔ),静かに
夕立,…
時雨,…
夕立,ぽい～…ぽい～…
時雨,ｼｭｳｳｳｳｳｳｳ…ﾌｼｭｳｳｳｳｳｳ…
夕立,ぽい～…
時雨,ﾌｼｭｳｳｳｳｳｳ…
夕立,ぽい…
時雨,ｼｭｳｳｳｳｳｳｳ…
(;Ｔ),…行ったか？
あきつ丸,妖気の反応は薄まっていくであります…提督殿の方は？
(;Ｔ),まだ残っちゃいるが、臭いは遠ざかったぜ。ゆっくり、反対側に出よう
あきつ丸,まさかあの二人が最も強く妖気に中てられているとは…
(;Ｔ),アホだから影響されやすかったんじゃねえ？ここに金剛がいたら一発だったな
あきつ丸,我々を探していたのでありましょうか？
(;Ｔ),だろうな…コソコソ嗅ぎ回っているのが、野郎にもバレたみてえだな
あきつ丸,これはますます解決を急がねばなりませんな…
(;Ｔ),見たか？あいつらの手に持ってたモン。ありゃあ確実にバリィ関わってるぜ
あきつ丸,変わった形状でありました…拷問器具と呼んでも差し支えないであります
(;Ｔ),まぁあれが乳首相撲セットって言われてもピンとこねえだろうな…工廠へ急ぐぞ。あのブツの件も合わせて、夕張を問い詰めないとな
(Ｔ),まずはこっそり様子を見よう。いつもみたいにﾄﾞﾄﾞｯﾄﾞって出て行ったら、色々と隠蔽されるかもしれん
あきつ丸,裏をとってから突入でありますな。憲兵密着24時みたいでワクワクするであります
夕張,だから…こう…強度が…
明石,では…こうして…張力を…
(Ｔ),うわぁ…明石までいる…変態エンジニアタッグ揃ってるぅ…
あきつ丸,ネクロモーフも真っ青であります…おや、あれは
榛名,榛名…大丈夫…
あきつ丸,榛名殿もいらっしゃるであります
(Ｔ),アホの妹までいんのかよ…
夕張,それじゃ、もう一度テストするわね
明石,ＯＫ、擬似乳首セット完了です
(Ｔ),擬似？今擬似乳首って言った？
あきつ丸,聞き間違いでは無いようでありますな…あの台の上に乗っている物を見るであります
(Ｔ),…おっぱいの、アレ何？なんて言えばいいの？
あきつ丸,精密におっぱいを再現した模型…とでも言いましょうか
(Ｔ),何作ってんのあいつら
夕張,第294回、テスト開始！！
(Ｔ),乳首に洗濯バサミを挟んで、なんか始まったな
あきつ丸,乳首が徐々に引っ張られていくであります。ところで提督殿
(Ｔ),何だよ
あきつ丸,あれは誰のおっぱいをモデルに作られたのでありましょうな？
(Ｔ),知らんがな…。えっ、乳首千切れた…
あきつ丸,見てるだけで痛いのであります
夕張,ああ～！！ダメだわ…やっぱり痛みの限界ギリギリの調整が難しいわね
明石,そうですね…張力を上げすぎると乳首が千切れてしまい、かといって弱めれば、榛名さんのオーダー通りに行かなくなってしまいますからね
榛名,榛名は乳首が千切れても大丈夫です！！
(Ｔ),もうダメだ突入するぞ。ほっといたら榛名がもっとヤバイ発言をしそうだ
あきつ丸,ドＭここに極まれりでありますな！！
(Ｔ),お前ら何してんだーーーーーーーーーーーー！！！！！！
夕張,やだ、提督！？
榛名,提督！！
(Ｔ),すげえ恐え事やってんじゃねえよ！！ムカデ人間以来だわ！！こんなゾワッとしたの！！
明石,武器人間と比べてどうでした？
(Ｔ),武器人間は萌え映画だろ！！いい加減にしろ！！
夕張,違う、違うのよ提督！！これは新しい兵装実験で
(Ｔ),乳首を洗濯バサミで挟んで紐で引っ張る兵装か…？ええ？愉快だなおい。テメーの頭が
夕張,えと、その…
(Ｔ),あきつ丸、どうだ？
あきつ丸,妖気レベルは弱でありますな。ご自身の意思で活動されている可能性があります
(Ｔ),だとよ…どうなんだ？ええ？
夕張,ごっ…ごめんなさい！！何故か乳首相撲が流行って、それ用の道具を作ってあげたら結構いいお小遣いになったからつい…
(Ｔ),明石、お前は？
明石,いやぁ、結構面白くって。提督、どうですかこのおっぱい模型。いい出来だと思いません？
(Ｔ),乳首が千切れててグロいよ！！！！！！！！！！アホかお前！！！！！！！！！
あきつ丸,おっほ、感触までリアルでありますな！！
(Ｔ),遊ぶな！！！！！！！！！！！。今回の騒動の一端を荷った責任はその体で思い知ってもらうぞ…
夕張,だ、誰かーーーーーーーー！！！！犯されるーーーーーーーーー！！！！！！
(Ｔ),安心しろ、ただのパロ・スペシャルだ。肩がバッキバキになるまで…。ガチャ？
榛名,…
(Ｔ),…あの、榛名…さん？この手錠は一体……？
榛名,提督。榛名と乳首相撲、しましょう
(;Ｔ),えっ…？嫌だよそれ乳首千切れるやつじゃん…
榛名,榛名は…。榛名は、提督となら乳首が千切れても大丈夫です！！！！！！
(;Ｔ),俺は大丈夫じゃねーーーーーーーーーーー！！！！！！！！！！
榛名,さぁ、さあ！さあ！！！
(;Ｔ),うわ力強い！！！！恐い！！！！助けてあきつ丸！！！！
あきつ丸,提督殿！！
夕張,おっと！！そうはさせないわ！！
あきつ丸,夕張殿！！邪魔をしないで欲しいのであります！！
夕張,こうなったら、あなた達も乳首相撲の餌食になってもらうわ！！
明石,夕張さん！！カメラ準備オッケーです！！
夕張,よし！！これで脅すネタが掴めちゃいます！！
(;Ｔ),発想がゲス以下だなお前ら！！
榛名,さぁ、その逞しい胸板を出してください！！
(;Ｔ),やめろーーーーーー！！！！俺のおっぱいは魅せるためであって乳首相撲する為じゃなーーーーーい！！！！！
榛名,榛名、もう我慢できません！！
(;Ｔ),おっぱいを出すなーーーーーーーーーーーー！！！！！！！
あきつ丸,提督殿ーーーーーーーー！！！！！
夕張,ディーフェンス！！ディーフェンス！！
明石,もう既にこの状況が最高に面白いですね…カメラ回しちゃいましょう！！
(;Ｔ),いい加減に…
(#Ｔ),しろオラァ！！！！！
榛名,手錠が弾け飛んだ！？
(#Ｔ),地獄の血みどろマッスルアイアンクロー！！！！！！
榛名,だいじょうぶあああああああああああああああああああああああ！！！！！
夕張,榛名さん！？
あきつ丸,隙ありであります！！
夕張,しまっ…！！
あきつ丸,レッグラリアート！！！！
夕張,げばっ！！
あきつ丸,そのまま返してローリング・ソバット！！！！
明石,ぐぴゃ！！
(#Ｔ),48の殺人技！！No.1宇宙旅行！！！！(宇宙に行くとは言って無い
榛名,ギニア！！
(Ｔ),ハイター博士に拉致された時の為に、手錠千切りをマスターしておいて正解だったぜ…
あきつ丸,提督殿、本当に人間でありますか？
(Ｔ),リッグスだってリーサル・ウェポン２で肩の関節外して拘束から逃れてただろうが
あきつ丸,彼は拘束具を破壊してはいないのであります
(Ｔ),しかし…やれやれだな。思わぬ襲撃だった。榛名ってこんなに頭可笑しかったか？
あきつ丸,榛名殿だけ妖気レベルが強でありますな
(Ｔ),金剛がいなくて本当に良かった…今のうちに乳首相撲関連の品物を処分するぞ
あきつ丸,おっぱい模型はどうするでありますか？
(Ｔ),全部捨てろよ…
あきつ丸,見て欲しいのであります！！榛名殿のおっぱいと、このおっぱい模型クリソツでありますよ！！
(Ｔ),モデル榛名かよ…あいつ間近で自分の乳首千切れる様見てたのかよ…狂ってんな…引くわ…
あきつ丸,一個持って帰っても良いでありますか！？
(Ｔ),いや、何に使うの？
あきつ丸,枕にするのであります！！
(Ｔ),絵面がやべえからやめとけ。しっかし、どんだけの人数が乳首相撲に惹かれたんだろうな…見ろよこの洗濯バサミとゴム紐の数
あきつ丸,ここまで影響が拡大しているにも関わらず、一切気付けないとは…並の妖怪ではないであります。ぬらりひょん…もしかすると、玉藻前クラスかもしれぬであります…
(Ｔ),羽衣狐様レベル…？
あきつ丸,何でありますかその羽衣狐様とは？
(Ｔ),何ってお前、週ジャン黒髪ロング界のトップスター……あきつ
あきつ丸,どうしたでありますか？
(Ｔ),手がかりだ
あきつ丸,！！
(Ｔ),夕張のレポートが出てきた。こいつもこいつなりに、騒動の原因を調べていたらしい
あきつ丸,おお！！マッドな実験を繰り返すだけではなかったのでありますな！！
(Ｔ),小遣いに目が眩んで黙ってたことは許されねえけどな…だが、内容によっては情状酌量の余地はあるかもしれねえ。どら…。乳首相撲の流行は留まる事を知らない。実際に行った者は現段階ではまだいないそうだが、時間の問題だろう。私自身、この恥ずべき行為に興味をそそられつつある。ニコ動の視聴履歴がそれ関連で埋まった。死にたい…ニコ動って何でもあるんだな
あきつ丸,提督殿、続きを
(Ｔ),おう。事の発端は長門さんだったそうだ。深刻な顔で相談に来たと明石さんが言っていた。乳首の先が寂しい、何故か痛みを与えると気持ちがよくなると
あきつ丸,口外してはいけない相談でありますな
(Ｔ),読んでる俺自身が恥ずいわ…程なくして、霧島さんやビスマルクさんが同じような相談をしに来たらしい。乳首相撲セットの製造を依頼されたのもこの時期からだった。この三人の相談には共通点があった。トレーニングジムで汗を流した後、特にその衝動が強くなるらしい…これだ！！
あきつ丸,ええ！！早速ジムに出向くであります！！！
(Ｔ),ジムーーーーーーーーーーーーーー！！！！！！
あきつ丸,逃がさんでありますーーーーーーーー！！！！！
(Ｔ),って、誰もいねえな…
あきつ丸,油断は禁物であります。妖怪灯篭の反応がビンビンのボッキッキであります
(Ｔ),更に酷い表現になってるじゃねえか…
あきつ丸,非常に近いと言うことでありますよ…
(Ｔ),この中の、どこかに潜んでると言う訳か……ん？
あきつ丸,いたでありますか！！！！！！
(Ｔ),あ、ごめん違う
あきつ丸,紛らわしいのであります！！！！
(Ｔ),怒んなよ…いや、この壁掛けハンガーフック、随分低い位置にあると思ってな
あきつ丸,どうでもいいのであります！！！！真剣になって欲しいのであります！！！！！
(Ｔ),乳首相撲に真剣になれっつってもな…しかし、このハンガーフック…俺の乳首と同じくらいの位置にあるな
あきつ丸,乳首……まさか！！！！。…ビンゴ、であります
(Ｔ),えっ？
あきつ丸,妖怪よ！！貴様の居場所は突き止めた！！姿を現すのであります！！！！
(Ｔ),えっ…そこ壁…
壁,とうとう見破られてしまったな
(;Ｔ),壁が喋ったーーーーーーーーーーーーーー！！！！！！！！！！！！
龍驤,誰が壁やーーーーーーーーーーーーーーー！！！！！！！！！！！！！！！
(;Ｔ),お前じゃねえすっこんでろーーーーーーーーーーー！！！！！！！！！！
龍驤,なんや、ウチちゃうんか、おっおっおっ
あきつ丸,地獄耳でありますな…
(;Ｔ),あ、あきつ丸！！ジムの壁が妖怪だって言うのかよ！！
あきつ丸,いかにも！！この壁の向こう側に強大な妖気…いや、妖力を感じるのであります！！
壁,フハハ、流石じゃなあきつ丸。幽霊退治一番の功労者は伊達では無いらしい
あきつ丸,無駄な口上は結構！！観念して姿を現すのであります！！貴様に逃げ場は無いのであります！！
壁,フン！！なら、ワシを壁から引きずり出してみよ！！
あきつ丸,ぐぬぬ…提督殿！！
