同性・異性を問わない,友達
加蓮,そういえば、なんか体育館暑くない？。ううん、物理的に暑い気が…………ねぇ。五十嵐と鷺沢、あんたたち暖房の温度上げたでしょ
鷺沢,いや、もう下げたぞ
加蓮,……どーせ女子にジャージ脱がせるつもりだったんじゃない？
卯月,ジャージを脱ぐとなにかあるんですか？
加蓮,透ける
卯月,透ける…………？
美穂,…………？…………っ！。…………さ……さ……！
卯月,さ？
加蓮,さ？
P,魚？
鷺沢,NASA？
美穂,さいっっっっってい！！
新田,……ほー、悪くないじゃないか。にしてもお前、盛大な告白だったな
P,いや、まぁいろいろあったんだよ。とりあえずあれは告白じゃない
新田,でも実際、小日向綺麗だよな。お前が羨ましいよ
P,草
新田,本人に聞かれたら怒られるぞ
卯月,はい、次は男子の番ですよー！
美穂,へへーんっ。Pくん、どうでしたか？。…………Pくん、エッチな事考えてる時の顔してますよ
P,ん、あぁごめん。鳥の胸肉って身体に良いんだよねって話だっけ？
美穂,きみが何処を見てたのか分かったのでもう十分ですっ！ふんだっ！
卯月,あ、そうでしたっ！みんなの出場する種目を決めようと思います！。じゃあ、まずは短距離走から――。次、二人三脚に出たい人ー
加蓮,あ、はーい私それ出る。ペアは鷺沢って書いといて
卯月,え、勝手に決めちゃっていいんですか？
加蓮,うん、あいつ今なんか居ないし、居ない方が悪くない？。美穂も二人三脚にしたら？
美穂,えっ、でもわたしまだ誰ともペアじゃないから……
加蓮,私に任せてって
卯月,それじゃ……障害物走の人ー
P,はーい
卯月,あ、それだと五十嵐君は二種目になっちゃいますけど大丈夫ですか？
P,もちろ……ん？
卯月,え？でも二人三脚のところに名前が……
P,ちょっと見せてもらっていい？。ん……ほんとだ。でもペアいなくない？
卯月,美穂ちゃんもペアが決まってないので、二人で組んだらどうですか？
美穂,えっ、Pくんとわたしがペアなんですかっ？が、がんばろねっ！
加蓮,あ、私が勝手に書いちゃった
P,おいおい、勝手にそんな事
加蓮,さっきの透けブラ狙ってた事クラスの女子全員に言っても
P,しといてくれてありがと！丁度二人三脚出たかったところなんだよね！！
美穂,わ、わたしは本当は乗り気じゃないですけど？Pくんがどーしてもっ、っていうならペアになってあげます！！
P,いや、別に
加蓮,透け
P,頼む小日向！僕と一緒に二人三脚頑張ってくれ！！
加蓮,よろしい
美穂,そ、そこまでいうならわたしも覚悟を決めます！頑張ろうね、Pくんっ！
P,ふぅ……帰るか
美穂,あ、Pくん。一緒に帰りませんか？
新田,お前らぁ！新郎新婦の退場だぞー！！
男子ｓ,ヒューヒュー！！
美穂,そ、そんな……新婚さんだなんて……えへへ……
P,普通にやめて欲しいよな、そういう冗談
美穂,…………
P,ん……なんか曇ってるな……
美穂,夕立が降るかもしれないですね……早く帰ろ？
P,今日は悪かったな、なんか男子が色々うるさくて
美穂,素敵なお友達だと思うよ？みんなやさしいもん
P,なにが新婚だよなぁ。勝手に僕らを人生の墓場に送り込まないで欲しいよ
美穂,……ふーんだ
P,悪かったって。ちゃんと明日変なことは言うなって言っとくから。あ、この後どうする？
美穂,Pくんの家でお勉強でもしようかな
P,いいけど、絶対勝手に人の引き出しとかを開こうとするなよ？
美穂,わ、分かってるもん！！。……ふふっ、今はちゃんと隠してるんでしょ？
P,もちろん。いつ響子や小日向に部屋を漁られても良いように、日雇いバイトやって金庫買ったんだよ。あ、今の全部嘘だから。クローゼットの奥に金庫なんてないからチェックしようとはするなよ。……ん、雨？
美穂,あ……降ってきちゃった。折り畳み持ってませんか？！
P,先週なら持ってた！！
美穂,先週は一回も雨降ってないよ！！
P,…………始まったか。そういえば小日向、お前いつも折り畳み持ち歩いてなかったっけ？
美穂,加蓮ちゃんに貸しちゃったんです……Pくんの家は近いから大丈夫かなー……なんて……
P,こないだ新田と折り畳みと普通の傘ってどっちの方が滞空時間伸びるか勝負してたら壊れちゃってさ
美穂,…………あ……
P,ん？どうした？
美穂,な、なんでもありませんっ！本当になんでもないのでこっちを見ないで下さい！。っくしゅん！
P,誰かに噂されたか？
美穂,……寒いですね
P,僕なんて現在進行形で前半身雨に打たれてる訳だけど。なんで入っちゃいけないんだ？
美穂,雨、早く止まないかなーって考えてたんです
P,文脈……高度なコミュニケーション能力が求められている……。ふーん。僕はもっと降ってて欲しいけどな。雨ってテンション上がるし。あとかつての戦いでの古傷が疼く気がしなくもない。それに、小日向と居るから楽しいし
美穂,…………えっ？
P,小さい頃、雨の中だろうが二人で遊びまわっただろ。二人で居る時に雨が降ると思い出すんだよな、あの頃
美穂,あっ、あの……えっと……ありがとうございます……。あ……ぁぅ……え、えへへ…………
P,で、いつになったら振り返っていいんだ？
美穂,ま、まだだめっ！。すー……はー……。はいっ、どうぞ！！。や、やっぱりまだっ
P,うっわ、お前制服びちゃびちゃじゃん！僕のジャージ着とけ！。げ、もう雨止みそうじゃん！降ってるうちに僕ちょっと前の道走ってくる！！
美穂,……着替えよ……
あくま美穂,……自分のジャージ着れば良かったんじゃないかな？。今からでも遅くないから、自分のに着替えよ？
てんし美穂,だめだめ、わたしっ！悪い自分に負けちゃだめですよ！
あくま美穂,えっ、こっちが悪なの？！
てんし美穂,折角Pくんの方から渡してくれたのに、その優しさを無碍にするつもりですか？。……におい、嗅いじゃいませんか？
あくま美穂,ちょっと、あの
てんし美穂,いつもは勝手にPくんのブレザー羽織ったりしてるけど、今は向こうから貸してくれたんですよ？
あくま美穂,だ、だめだよわたしっ！そんなへんたいさんみたいな事しちゃ！
てんし美穂,袖も、襟も、裾も……くんくんし放題ですよ？今なら誰も見てませんから
P,おーい小日向！来い！来い！！
美穂,ひゃっ！
あくま美穂,えぇぇ……
P,早く来いって！雨もう止んでるから！！
美穂,はーいっ！何かありましたか？
P,空空！ほら空見て！
美穂,空……？。わぁぁ…………っ！
P,虹なんて久々に見たわな……消える前に三回願いを呟くと叶うんだっけ？
美穂,難易度低過ぎませんか？
P,……虹色のブラってどんな付け心地なんだろ。……色によって変わるものなのか？
美穂,…………聞こえてるよ、Pくん
P,…………虹、綺麗だな
美穂,誤魔化せてないよ……。なんでいきなり下着の話なんて……
P,さっき小日向のが透け……やべ
美穂,…………見たんですか？
P,見てない！
美穂,本当に？！
P,あぁ！見てたとしても忘れられる！簡単に忘れられる！！はい忘れた！！
美穂,そんな簡単に忘れられちゃうんですかっ？！
P,じゃあ覚えてる！大人っぽくはない白！！
美穂,バッッカじゃないですか？！忘れてくださいっ！！
P,お前が振り返って良いって言ったから、着替えたもんだと思ったんだよ！
美穂,あぁぁもうっ！普段はもっと可愛いのなのに！！
P,すー……ふー……。……おっぱい。……さっむ
美穂,あ、あのー……失礼しまーす……
P,どうぞ？
美穂,…………すー…………ふー……失礼しまふっ！
P,あ、悪いな小日向。響子が居なくて、僕の服しか貸せなくてさ
美穂,えっ？あっ、むしろ別に何と言いますか……そ、そうです！わたしは怒ってます！。それで……ど、どうですか……？
P,子供っぽい
美穂,もう一度だけチャンスをあげますっ！
P,……若々しい
美穂,さっさとシャワー浴びて来たらどうですか？
P,んじゃ、適当にくつろいで
美穂,言われなくてもくつろいでまーす！ふんだっ！
P,おい小日向、脱いだ制服置きっぱだったぞ
美穂,あっ、ありがとうございます
P,まったく……いくら幼馴染だからって親しき仲にも礼儀ありという四字熟語があってだな
美穂,……あっ、ストップPくんっ！
P,え何？あ、悪いけどそこのハンガー取ってくれ
美穂,待って下さい！Pくん、理由は聞かずにその制服ワンセットを床に置いて部屋から出て行って下さい！！
P,こっわ爆弾かよ
美穂,強ち間違いじゃないです……
P,まぁいいや、制服乾かしといてやるから
美穂,あーもう！ダメって言ってるでしょPくん！！
P,……………………
美穂,……………………
P,……………………
美穂,……………………
P,…………ごめん、シャワー浴びてくる
美穂,…………もうお嫁に行けない……
P,大変申し訳ございませんでした
美穂,…………取り敢えず、入って来たらどうですか……
P,……ごめん
美穂,…………良いです……気にしてません……置いてきちゃったのはわたしだもん……
P,……なんで着けて無かったのさ
美穂,だって、替えの下着が置いてなかったから………………そういう事なのかなって……
P,下着も濡れてたのか？
美穂,ぬ、濡れてなんてませんっ！！
P,そ、そうか……そんな大声で主張しなくても……
美穂,Pくんにはもっと、こう……デリカシーを持った発言を！
P,雨強かったから……え、でも濡れてないなら着けろよ
美穂,…………あっ、雨…………っですよね！そ、そうですよね！雨だよね！
P,で、もう下着は着けたか？
美穂,もちろん、ちゃんと鞄に仕舞いました
P,……ま、同じの着けるのが嫌ならもうすぐ響子が帰って来ると思うからさ。そしたら頼んでみるよ
美穂,…………良いんですか？Pくんは……
P,え、何が？
美穂,……わたし、今下着つけてないんですよ……？
P,…………知ってるけど……
美穂,…………それを知って、どう思いましたか……？
P,下着を着けて欲しいなって思いました
美穂,…………ばか。どーせわたしは魅力ありませんよーだ……
P,あっ、ソシャゲの更新来てる
美穂,もう少しフォロー入れようとしてよっ！いや、小日向はとっても魅力的な女の子だよとか気の利いた事言うシーンだったと思うんだけど！！
P,小日向ってラーメンにニンニク入れる？
美穂,場合によるもんっ！
P,じゃあ今からインスタントラーメン作ってきてやるけど、何味ならニンニクいれていい？
美穂,Pくんと居る時は入れないもん！！
P,僕に消えろと？
美穂,わたしは別にニンニクジャンキーじゃありません！！
P,じゃあ逆に何ジャンキーなんだよ！！
美穂,会話が下手！わたし下着つけてないんですよっ？！
P,お前なぁ！こっちだってお互い意識しないように話逸らそうとしてやってるんだから一々アピールするなよ！！
美穂,…………えっ。あっ、ごめんなさい……。…………一応、意識はしてくれてたんですね
P,いや別に、というより意識したくない
美穂,そんな事言っちゃって、もー！ほんとはわたしに欲情しちゃったり
P,それだけは絶対に無い、神に誓える
美穂,…………もしもし、響子ちゃん？うん、あのね？Pくんに下着盗られちゃって今わたしノーブラノーパ
P,興奮するーーー！！！！！！！
美穂,Pくん、もう少し歩幅合わせて下さいっ！
P,小日向がもっと足長くなれば良いんじゃないかな
美穂,わたしが短足だって言いたいんですか？！
P,ほんとはバスケしたかったなぁ！
美穂,わ、わたしだってほんとはPくんなんかと二人三脚の練習なんてしたくなんて無かったなんて思ってなんてないもん！
加蓮,あんた達二人三脚で一位取らなかったら教壇でキスね。あ、そういえばちゃんと練習してる？してないでしょ？今からしてきたら？って言うかしてきて
新田,おいお前らー、全然息合ってねーぞ！
P,なんかクラスメイト全員の顔が見えるんだけど
美穂,走馬灯ですか？
P,いや別にまだ僕死んでないから。もっかいやるぞ、準備良いか？
美穂,……ふー……いけますっ！
P,せーのっ！
美穂,せーのーでっ！
P,……せーのっ、な？
美穂,Pくんがわたしに合わせて下さいっ！
P,……まぁ別に良いけどさ
P・美穂,せーのーでっ！
クラスメイト,いっちにっ！いっちにっ！
加蓮,もっとはやくーっ！
クラスメイト,いちにっ！いちにっ！いちにっ！
P,速い速い速い速い
美穂,わっ、あっ、ちょっと止まって下さいっ！
P,少しずつ遅くするぞ！
クラスメイト,いちにさん！しごろくっ！なな！いちにさん！
P,いって……大丈夫か？
美穂,大丈夫です……立ち上がりたいんだけど、先に立って貰っていい？
P,ん、あいよ
美穂,あ、そしたら……その……起こしてくれますか？
P,らじゃ
新田,あっ、手が滑ったぁ！！
美穂,…………あ、ぁの……えっと……
P,…………あ、ごめん。悪い、すぐどくから
美穂,えっ？も、勿体無いと思いませんかっ？！
P,えなんで？。立ち上がるから、今は動くなよ
加蓮,美穂ーっ！今！左足伸ばしてっ！！
美穂,えっ？あ、は、はいっ！
P,っうぉっ！
美穂,きゃっ！。……ぁ……Pくん……
