モバマスより佐久間まゆと小日向美穂,たぬき
まゆ,……よく一緒にお食事に行かれるんですかぁ？
楓,仕事終わりにチョコっと一杯、くらいですよ♪
まゆ,大人の飲みニュケーションということで、ひとまず納得しておきますねぇ……
楓,ああ、それともう一つ
まゆ,はい？
楓,とても不器用な人なんです
まゆ,不器用……
楓,だから、わかってあげてくださいね。どうなるにしても
まゆ,……ありがとうございます。覚えておきますねぇ
美穂,えぇとね。いつも一生懸命で、私達のことを一番に考えてくれて、いい匂いがして……。……って、ごめんね？私だけいっぱい喋っちゃってて……
まゆ,いいんですよぉ♪たくさん知れて、まゆ嬉しいです
美穂,えへへ、私もたくさんお世話になってる人だから……
まゆ,美穂ちゃんは、本当にプロデューサーさんを信頼してるんですねぇ。お話を聞いてると、よくわかります。……とっても、好きなんですねぇ？
美穂,好ッ！？あ、え、えと、あはっあはは、うん、とっても大切な人……だよ？
まゆ,うふふっ♪それなら、まゆと気が合いますねぇ。――なんとなく思ってたんですけど。美穂ちゃんって、なんだか不思議な雰囲気がありますよねぇ？
美穂,え？ふ、不思議な雰囲気ってどういうこと？
まゆ,いえ。普通の人とは違うというか、どこか浮世離れしてるというか……
美穂,あ……ああ、それはあの、あれだよ。私ほら、ちょっとぽけぽけしてるところがあるから！。すぐお昼寝したくなっちゃうし、多分そんなとこなんじゃないかな！？
まゆ,なるほど……そういうところなんでしょうかねぇ
美穂,あ、危ない危ない。ごまかせたかな……。最近気が抜けがちだから注意しなくちゃ。でも、まゆちゃんにもいつか言うべき……だよね……？
まゆ,………………。運命は……。運命は、やっぱりある。あるんです。そういう風にできてるんです。まゆには、赤い糸が繋がってます。たった一本だけ、薬指からあの人に……。そうでしょう？そうですよね……かみさま？
幸子,おはようございます！カワイイボクが事務所一番乗りですよ！。……って誰もいませんねぇ。プロデューサーさんもまだなんですか？。まったく、早起きは三文のカワイイってことわざを知らないんですかね…………おや？
繭,……
幸子,なんですか、この白くて大きい楕円形のものは……。はっ。ま、まさかまたプロデューサーさんが怪しいところで買った怪しいモノなんじゃ……
繭,……
幸子,……それにしても綺麗な質感ですねぇ。まるで上等なシルクみたいな……
繭,！
幸子,！！？。わっわっわっ！？か、カワイイボクになにやらカワイイ糸が！？。フギャーッ！またボクこういう役回りですかーッ！！？。の、呑み込まれ…………っ
まゆ,――あら？今なんだか、とってもカワイイものを取り込んじゃったような……。まあ気のせいでしょうねぇ。今行きますよぉプロデューサーさ～んっ♡
響子,――あれ？まゆちゃん、いないんですか？
芳乃,大切な用事があるとー、日の出と共に外出しましてー
響子,そうなんですか？今日は一緒にお料理の本を見に行こうって約束だったんだけど……
芳乃,なにやら思い詰めておられたご様子ー。ここは、そっとしておくがよいかとー――。――――
響子,芳乃ちゃん？
芳乃,……事務所の方角より、凶兆が見られまするー……
智絵里,うんしょ、うんしょ……お風呂のお掃除は、こんな感じでいいかなぁ
美穂,こっちも終わったよ！綺麗になったね！
智絵里,うんっ。たまのお休みだから、これくらいのお手伝いはしなくちゃ……
美穂,窓を開けて換気して、っと……うーんいい天気！見て見て智絵里ちゃん、窓の外にアジサイ――
楓,おはようございます
美穂,空から逆さまの楓さんがーーーーっ！！？
楓,あ、びっくりさせちゃいましたね。私、地に足がついてないってよく言われるんですよ
美穂,ぶ、物理的に浮いてるじゃないですかぁ！
智絵里,か、楓さん？何かあったんですか……？
楓,よっこいしょっと。お休みのところごめんなさいね
美穂,は、はぁ……あ、リビングでお茶でも淹れましょうか？
楓,お構いなく。それより、ちょっと良くないことになってしまってます
周子,二人とも！と、あれ？楓さんも来てたん？
楓,お邪魔してます。スマホを持って、何かあったのかしら
周子,ああうん、今ちひろさんから電話があったんだけど――
智絵里,事務所が大変なことになって……
美穂,プロデューサーさんが、行方不明！？。な……なにこれ……
ちひろ,私が来た頃には、こんな感じで……
周子,うーーわ、部屋中まっっしろ
紗枝,網か蜘蛛の巣でもぶちまけてもうたみたいな有様どすなぁ
楓,これは……絹糸ですね。それもかなり上等な
周子,糸って……ここにあるやつ全部？壁だの床だの天井だのにびっしり這い回ってんのが？
ちひろ,机も何もかもグルグル巻きだから、これじゃ仕事もできませんね。普通に出社してくるプロデューサーさんはエントランスで目撃されてたらしいんですが……
智絵里,糸って、でも誰がどうやって……
美嘉,みんなっ、外にコレ落ちてた……！
紗枝,プロデューサーはんのすまほ……。ああ、なんべん電話しても出られへんわけやねぇ
智絵里,これもぐるぐる巻き……。やっぱり巻き込まれたんだ……
楓,芳乃ちゃん。彼がどこに行ったかわかりますか？
芳乃,おまかせあれー。むー…………
美穂,芳乃ちゃん、お願いっ！
芳乃,……ふむー……？
美穂,芳乃ちゃん……？
芳乃,これはー……わたくしでは、読めませぬー
周子,芳乃ちゃんでもわかんないの！？
芳乃,ひどく曖昧でありー……切れそうな糸が、あるところで、ふっつりと途切れておりましてー。おそらくはー、ある種の結界の中にいるものかとー
周子,結界て、そんな大仰な！
紗枝,そないなことのできるもんが、一体どこにおらはったのやら……。…………まさか、なぁ
智絵里,わ、私、外を探してきますっ！
ちひろ,社の人に聞き込みをしてみます。何か目撃証言があるかもしれません
美穂,外を探すグループ、プロデューサーさんの自宅を訪ねるグループ、事務所を調べるグループに分かれ……。私、美嘉ちゃん、智絵里ちゃんは外を探していたのですが……
美嘉,はぁ……はぁ……いた？
智絵里,い、いえ、どこにも……
美穂,思いつくとこは、これで全部だけど……
美嘉,これは、いよいよ警察に通報しなきゃかもね
美穂,プロデューサーさん……一体何があったんだろう……。あれ、メッセージ？……これって……！？
小首をかしげて微笑むと同時に、その背からもふっとした白い翅,はね
ちひろ,――ふぅぅ～～～……っ。とにかく、みんな無事で良かったです
まゆ,……ごめんなさい、みなさん。まゆ、ひどいことを……
芳乃,悩みて迷い、或いは盲動に走ることも時にはありましょう。お怪我が無くて何よりでしてー
幸子,まあたまにはああなることもあるでしょう。犬も歩けばボクはカワイイとも言いますしねっ！
紗枝,言葉の意味はようわからへんけど、とにかくえらい自信どすなぁ
周子,器が違うわ
美穂,私も気にしてないよっ。それよりまゆちゃん、その……
美嘉,プロデューサーとの話は……？
まゆ,ええ……そうですねぇ。改めて、ちゃんとお話をして……。まゆ、振られちゃいました
美穂,――まゆちゃんっ！凄いステージだったよ！
まゆ,うふふっ、ありがとうございます♪
美嘉,ホントにヤバかった！プロデューサーも感動して……あれ？プロデューサーは？
周子,ああ、そこでスケキヨみたいになってる人のこと？
美穂,プロデューサーさーーーーーーんっ！！？
Ｐ,ぷはっ！！はぁ、はぁ……気にするな、ちょっとした話し合いの結果だ
美穂,何のですか！？
まゆ,……ひょっとして、まゆのモデル時代のマネージャーさん達とですかぁ？
周子,あ、大丈夫だよあたしと向こうのモデルさん立ち合いのもとで話はついたから。もうお互い恨みっこなし。こんなんなったのもプロデューサーさんのケジメの付け方だからさ
まゆ,そうですか……。あの人は、考えすぎるところがありますから……
Ｐ,あ、やっぱあの人あのノリがデフォだったのね……
まゆ,……今、類は友を呼ぶって思いませんでしたかぁ？
Ｐ,思った思ってないよ
美嘉,もうっ！ほんとにいきなりムチャするんだから！！
まゆ,うふ、ふふふ
美穂,ダンボールだから良かったものの、湖だったらほんとにスケキヨでしたよ！？
まゆ,ふふふふふふ……っ
周子,……まゆちゃん？
まゆ,まゆの為にそこまでしてくれて……プロデューサーさん、だーいすきっ♡♡
美穂,！！
美嘉,！？
まゆ,うふふふっ、やっぱり運命の人なんですねぇ♡まゆの為にここまでしてくれるなんて、これは愛の力ですっ♡。好き好きっ大好きっ♡愛してますよぉっ♡♡
美嘉,ちょちょちょっ、まゆちゃん！！？
美穂,それ以上はそのなんていうか、やりすぎじゃないかな！？
Ｐ,
周子,犬神家の次は首縊りの家やな
紗枝,はてぇ、これは異なことどすなぁ
周子,おっ出たな狐
まゆ,あら、紗枝ちゃん♪
紗枝,こんこ～ん♪ともあれ、まゆはんはプロデューサーはんに袖にされてもうたんちゃいます？。せやのにこのあぷろーち、前よりも熱烈になってへんやろか～？
まゆ,まあ！そんなドライなこと言わないでくださいよぉ。そもそも、たった一回お断りされたからって、諦めなきゃいけないってことにはなりませんよねぇ？。なんでも世の中には、なんと１０１回ものプロポーズで意中の人を射止めた殿方もいるとか……
周子,あ、知ってるそれ。僕は死にましぇーんって奴でしょ
まゆ,うふふっ。プロデューサーさんの為なら、まゆはダンプカーだって止めてみせますよぉ♡
美穂,ほんとにできそう……
まゆ,ということで、まゆは引き続きアプローチを続けますよぉ
P,
周子,……もしもーし。生きてるー？
P,ｼﾆｿｳ
周子,ああ元気そうやね。まあせいぜい頑張りやー、あたしもサポートはするからさー
P,ｳｽ
美嘉,……ていうか流石にくっつきすぎでしょ！それってやりすぎだからね！？
美穂,そ、そうだよっ！それ以上のすきんしっぷはアウトなんだよっ！？今考えた
まゆ,あらぁ、それじゃ二人もプロデューサーさんにくっつけばいいんじゃないですかぁ？
美嘉,ぇあ……っ///
美穂,そ、それは……っ///
まゆ,うふふっ。プロデューサーさぁん？いつでも振り向いてくれていいんですからねぇ♡
美穂,まゆちゃんは、正面からプロデューサーさんにぶつかって……それで自分の答えを見つけた。それじゃあ、私は？。私は、どうすればいいのかな……
