薄い本,やあ
P,と、とにかく！俺は拓海を！心の底から愛しているんだよ！他の男なんかに指一本触れさせるものか！もしそんなことするカス野郎がいたら送り付けられたビデオレターを証拠に裁判起こして尻の毛までむしり取った後に徹底的に物理的にもボコボコにしたるわ！！！
拓海,プロデューサー…///
P,よし！これで一件落着だな
美優,……あの、待ってください
P,はい？なんでしょうか美優さん
美優,拓海ちゃんを愛しているとおっしゃいましたが、あの…私のことも愛してるって昨日の夜…
P,あっ
拓海,…………おい、アンタまさか浮気…
P,ちゃうねん
拓海,頭に血がのぼっててスルーしてたが、ちょくちょく浮気してるっぽいことを言ったり言われたりしてたなぁ？オイ
文香,……でしたら、ついでに私も。何度も何度も囁いてくれたとろけるようなあの言葉は、躰目的の嘘だったと解釈してよろしいですよね…？
P,いや、嘘じゃないんです。あれだ、三刀流ってやつで
拓海,なぁぁあああるほどぉぉぉおおお………アンタはこの本に出てくる男の側の人間だったということだな……
美優,…わかるように説明してください…
文香,……
P,文香、笑顔で分厚い本を上段で構えるのはやめてお願い美優さんハサミを渡すときは持つところをって聞いてますか拓海そんなゴツイメリケンサックをどこから
三人,……
P,……ちゃうねん
拓海,なんて男だアイツは……。アタシ…なんで好きになっちゃったんだろ…。…………んっ…あっ、はぁ…。あ、手が…。洗わないと…。……馬鹿かアタシは。もう寝よう…
文香,谷崎潤一郎の鍵……もう一度読み返してみましょうか
美優,私のこと、本当に、本当に好きなんですよね？
P,好きです…本当に本当に大好きです愛してます…だからもう許して…
美優,まだ六回しかシてないじゃないですか…信用できません
P,あひ、あひ
美優,……週に一度、週に一度だけだったら、他の子と遊んでもいいですよ？
P,
美優,…そうして、また私の元へ戻ってきてくださいね…？プロデューサーさん…
