白菊ほたる,では、時間になりましたので、会議を始めさせていただきます
智絵里,た、タイムっ！それはズルいよっ！
ほたる,プレゼン途中の質疑は認めません
ありす,どちらも自分本位なオチをやめませんか
ほたる,私からは以上です。いかがでしたか？
智絵里,最高だったよ……
ほたる,感謝いたします
ありす,結局仲良しなの、頭が混乱しますね
ほたる,ありすちゃんはどうでしたか？
ありす,強いて言うなら事務所外でこういう会話したら不審者でしかないですよ
ほたる,ありがとうございます
ありす,耳ついてます？
ほたる,うーん……どちらも良かったですね……
智絵里,さすがほたるちゃん……
ほたる,いえ、智絵里さんもお見事でした
智絵里,こうなったら……
ほたる,はい……
ありす,……はい？
智絵里,ありすちゃんに……
ありす,待ってください、正直私はどっちが優れた妄想だったかとか、興味ありませんから
ほたる,プレゼンをしてもらうしか……
ありす,ですから、私はおふたりに優劣をつける気は……って、え？
智絵里,ではありすちゃんっ！
ほたる,どうぞ……！
ありす,はい！？そ、そんな、急に呼ばれたんですからプレゼンなんてあるわけがないでしょう！？
智絵里,ありすちゃんの朋さん愛はそんなものなの……？
ありす,別に愛とかないですけど！？
ほたる,では朋さんに伝えておきますありすちゃんは朋さんのことが嫌いらしいと
ありす,追い詰め方が性格悪い！
智絵里,大丈夫だよ？”酔っぱらった朋さんがこんな感じならいいな”って、妄想だもんっ
ほたる,そうです。ありすちゃんの理想を聞かせてください
ありす,酔った朋さん……理想……
～その③：超ザル,ありすプレゼン
ありす,ある日、私はお仕事を終えて事務所に帰ってきました。するとそこでは、酒飲みアイドル達が飲み会をして、大騒ぎしていたんです
智絵里,体験談かな……？
ありす,私は戸惑います。見たからにはどうにか家まで帰さないといけませんが、話を聞いてくれるようにも思えません、どうすればいいのか……！
ほたる,体験談ですね……
智絵里,タイムです。どうしてありすちゃんから抱きついてるのかな？
ありす,質疑は認めないはずです
ほたる,強くなりましたね……！
智絵里,頼もしいね……！
ありす,誰なんですか？。……とまあ、こうなってくだされば有難いことです
ほたる,……
智絵里,……
ありす,な、なんですか！？わ、私は言われた通りに……！も、ももも文句があるんですか！
ほたる,素晴らしかったです……！
智絵里,うん……！あまり期待してなかったけど、最高だったよ……！
ありす,……はい？
ほたる,惨状を放っておけない責任感！
智絵里,それを打破する大酒飲み朋さん！
ほたる,いつか飲む約束もしつつ、スマートに去る！
智絵里,と思ったら年下を1人では帰さない！
ほたる,私たちのプレゼンに劣らず、良かったですよ
ありす,……あ、ありがとうござます
智絵里,これなら次回も呼んで平気そうだねっ
ほたる,はい
ありす,やってしまった！！！！！
智絵里,というわけで、会議室の使用時間が迫ってきちゃいました……
ほたる,ありすちゃん、どうでしたか？
ありす,少し楽しんでしまったのは事実ですが、二度と呼ばないでほしいというスタンスは変わりません
智絵里,ふふっ……ツンデレさんですねっ
ありす,単純に疑問なんですがどうしてそんなにポジティブに受け止められるんですか？
朋,あ！いたいた！2人とも、そろそろレッスンよ？
ほたる,！
智絵里,！
ありす,と、朋さん！
朋,あら、ありすちゃんもいたの？……またふたりに変なことされてない……？
ありす,こ、今回は大丈夫です！
智絵里,そうですよっ！
朋,ならいいけど……
智絵里,あっ！スクリーンにお酒が映しっぱなしになってる……！
ほたる,！！！マズいですね……！
ありす,な、なんで消しておかないんですか！
智絵里,ありすちゃん、ちょっと朋さんの気を引いてて！
ありす,ええ！？
朋,どうかした？それにしても、何の話をしてたの？
ありす,あー！！！！！
朋,わ！？何！？
ありす,わ、私、今日髪型が崩れてる気がするんですが！直してくださいますか！？
朋,え？いや、いつも通りに見えるけど……
ありす,そ、そんなことないです
ほたる,まだ消えないんですか……！
智絵里,も、もうちょっと……ほたるちゃんも気を引いて！
ほたる,仕方がありませんね……
朋,別に変なところなんてないけど……
ありす,え、ええと……
ほたる,朋さん。こっちを見てください
朋,どうかした？ほたるちゃん
ほたる,ここになんの変哲もないスタンガンがあります
朋,どうしてなんの変哲もないスタンガンがカバンから！？
ほたる,今からこれを最大出力でこめかみに当てても意識を失わないというマジックをします
朋,それマジックって呼ばなくない！？
ほたる,いきます
朋,話を聞いて！！！
ほたる,あばばばばばばば
朋,ほたるちゃん！！！！！。真似できるか！！！！！
ほたる,少し肩が軽くなりましたね
朋,ええ……
ありす,ええ……
智絵里,ちなみにわたしもお揃いのスタンガンを買ったんですっ
ほたる,ばばばばばばばばば
ありす,なぜ追撃を！？！？
朋,ほたるちゃん！！！！！！！
