※このSSは公式アンケート、オリジナルユニットの項目にあった,いちにのさん(志希・飛鳥・紗南)
紗南,え？何？アタシにどんな試練が降りかかるの？
飛鳥,紗南には未踏の地へ踏み入れる義務が発生するのさ……
紗南,なになに？冒険？ロケの話？
志希,未踏の地って言い方ひどくなーい？普通にいっつも来るじゃん？
Ｐ,まぁ寝坊してる志希を起こしにいくだけなんだがな？
紗南,あれ？普通じゃない？基本クエストなら余裕でしょ？。と、思ってたのに！なにこれ！？
飛鳥,未踏の地、だろう？
紗南,足の踏み場がない……しかも転がってるのが服に紛れて毒効果とか麻痺とかつけてきそうなんだけど！？
Ｐ,志希ー！お前起きろオラー！って寝てるなー。レッスンどーすんだよ
飛鳥,進むしかないだろう？さて……どれが軽傷で済むかな
紗南,ダメージ前提なの？試験管とかガラスだし危ないよね
Ｐ,ま、志希のことだしその辺に転がってるのは基本的に無害だけどな。服とか溶かすくらいだ
紗南,割と致命的じゃない！？
飛鳥,冗談さ。まぁ本当に危険なのは大事に保管してあるから……さすがに化学者だしね
Ｐ,んじゃ、行くか……おっと……ネズミのケージが……
飛鳥,エサはちゃんとやってるみたいだね、よしよしネズ23号
紗南,RPGの行進っぽいけど……なんか違うなぁ。あ、ネズミかわいい
P,おら！起きろ志希！
志希,……おはよ。朝ごはん食べてくー？
紗南,おはよう志希さん！初めてラボにお邪魔しちゃったけどよかったかな？
志希,モーマンタイかなー。あ！ちょっと待って！
飛鳥,着けば起きるんだけど……来ないといつまでも起きないんだよ
紗南,寝起き、すごいセクシーだったよね！
志希,にゃははー、いい感じに出来てるー！プロデューサー、はいコーヒー
P,おう、で？
志希,効いた？
P,効かないな
志希,そっかー……紗南ちゃん飲む？
紗南,効いた？って聞いたあとに飲まないよ？というかPさんはなんなの？
飛鳥,彼は志希がアイドルになったときから慣れ親しんでいるからね……向こう側へ足を踏み入れているのさ
紗南,状態異常無効とか強いねPさん！
P,俺をなんだと思って……普通に麻酔は効くぞ？
志希,あれそーなの？なら今度はその方向でいこうかなー？
P,やめろよ？つーか早くいくぞ。レッスンがあるんだからな
志希,せっかくだしブレックファーストと洒落込まない？パン焼けたよ？
紗南,そういえば朝食食べてなかったかも……
飛鳥,健康な体は朝の食事からだよ、紗南。……まぁボクも今日は食べれてないけど
志希,じゃあ決まりー！二人とも適当な椅子に座ってー！ジャム持ってくるから
P,……ちょい電話してくるわ。レッスンは延期かなぁ……
紗南,うわ、そう考えるとマズくない？急いで戻る？
P,いいよいいよ。志希に合わせるなら午後からのレッスンにするべきだったわ
飛鳥,志希は別のお仕事もあるからね。結構スケジュールはカツカツなはずなんだけど
志希,えー？しきちゃん縛られるのいやだしー？はい、ジャム
飛鳥,まぁ今回はラボにいただけマシ、かな？
紗南,明らかにジャムじゃないマーブルカラーのが混じってるけど？
志希,食べてからのお楽しみー？
飛鳥,紗南、普通にするといいよ？
紗南,い、いや！ここはせっかくの初ラボだし、志希さんに近づくって意味でトライ！
志希,おー！紗南ちゃんいける口だねー。しきちゃん嬉しい！
紗南,…………あ、普通に美味しい、ちょっと不思議な味だけど
志希,でしょー？海外で買ってきたんだけどさ？結構いけるでしょ？
紗南,うん！なんだろうこの……HPよりMPが回復しそうな感じ！
飛鳥,わかりそうでわかりづらい例えだね……そう言われると気になるかな
P,終わったぞー。って何やってんのお前ら
飛鳥,この国では得られない新世界の探求……かな？
紗南,志希ちゃんオススメの海外の食べ物！真っ青だったり真っ赤だったりで結構楽しいよ！
志希,紗南ちゃんが乗り気だしいいかなーってプロデューサーも食べるー？
P,いや、事務所に行くぞ？ちひろさん待ってるし、○鉄つけて
紗南,待ってるってそっちなんだ……というかちひろさん独走だったよね？ランドまで取ってたよね？
飛鳥,権力者の蹂躙を受けるボクら……いや逆転のしようがないと思うんだけど
P,まぁちひろさんも最初からっていうかもしれないから
志希,事務所とうちゃーく！で、何するのー？寝てていい？
P,まぁレッスンは後回しにしたから自由っちゃ自由だけど……
紗南,アタシはちひろさんの相手してこようかな！ほら、みんながいないなら別ゲーできるかもだし？
飛鳥,ボクは……そうだな。この前借りた本でも読もうかな
志希,んじゃー紗南ちゃんのやってるゲームでも見てるかにゃー
紗南,やらないの？協力プレイもできるよ？
志希,そこはほら、しきちゃん別のお仕事あるし？
P,嘘つけ。まぁ適当にやってろ。俺は仕事あるから
ちひろ,紗南ちゃん遅いですよー！私もお仕事入っちゃったじゃないですか！
飛鳥,いや、朝というか午前中からゲームしようとしてるちひろさんに驚きを隠せないよ
ちひろ,空き時間から問題ないんですよー。みんなで初めからやりましょうって思ってたのに
紗南,あれそうなの？てっきり全国制覇までやりたいのかと思ってたよ？
ちひろ,長いですから
志希,そりゃそうだねー
紗南,ならRPGでもやってようかなー！志希さん、手伝って？
志希,えー？私ゲームは今日はパスかなー
紗南,これなんだけどさー、調合的にどうかな？
志希,んー、ゲームは専門外だけど……なんで？
紗南,いや、このゲーム、調合システムが結構ガチでさ。錬金術師な志希ちゃんのパワーにあやかりたいかなーって
志希,ふーん。調合パターンとかある？
紗南,えっとねー……これなんだけどさ
飛鳥,……ネットで調べればいいんじゃないのかい？
紗南,ダメだって！攻略wikiとかは最後の手段なの！そういうのってつまらなくなる原因なんだよ！
飛鳥,詰まらなくなるならいいんじゃないのかい？
紗南,まぁ飛鳥ちゃんはストーリー重視なとこありそうだし、先進みたいのもわかるけどさー
志希,紗南ちゃーん、ちょっと操作していい？
紗南,オッケー！……あれ？リストにないよね？志希さん？
志希,ふっふふー……まぁまぁ見てなー。志希ちゃんのちょっかーん！
紗南,す、すごいね！隠しレシピだよこれ！さすが志希さん！
志希,なーんか見たことある名前だったんだよねー。だから……たぶんこれとこれと……
紗南,わわっ、ちょっと待って！メモメモ！
飛鳥,名前？……あぁよくよく見たら原子記号みたいだね。これは
紗南,え？えっと……すいへーりーべ？
志希,にゃははー、化学の知識が足りてないねー？
飛鳥,基礎的な知識が身を助けることもある、ということだよ。紗南
紗南,返す言葉もないなあ……志希さんに教えてもらおうかなぁ
志希,えー？教えるのって苦手なんだけどなー？
飛鳥,まぁ志希は天才肌だからね。……どこがわからないのかわからないタイプだから
紗南,……すでに教わろうとしてたんだ……
飛鳥,あれは苦痛だった……自習よりもタチが悪かったよ。思わずはぁぁぁん！？と声を荒げてしまったよ
紗南,なんかすごい嫌なヴァンパイアだね……。よっし……ボス撃破ー！
飛鳥,敵の信念も悪くない、悪らしい悪もいいものだね
紗南,アタシは実はいい人でした！って展開も嫌いじゃないけどね。仲間にできそうだし？
志希,やっぱ危険な化学者って悪役になっちゃうかなー？しきちゃん共感できるかも
飛鳥,……危険物作ってるのかい？
志希,化学に犠牲はツキモノっていうし？ほら、ね？
紗南,あ、でも志希さんはどっちのポジションもいける口だよね！
飛鳥,確かに。パンデミックを起こす強力な薬物を開発した悪の化学者……か
志希,ふははー！人類をみな臭い好きにしてやるのだー！
紗南,蔓延した奇病を直すために新薬を開発する天才美少女化学者とか！
志希,救って見せる……世界を！みんなを！、みたいな？
飛鳥,ホントに似合うね……少し羨ましいな
紗南,十分飛鳥ちゃんも個性あるけどね……
飛鳥,そうかい。ボクは確かにちょっとイタイやつだけど……実に平凡な中学生だけどね
紗南,そうかな？あれだよね、このゲームの主人公も飛鳥ちゃんできそうだよね？
飛鳥,……錬金術……それは人の願いを合成して希望や絶望を生み出すものさ……
紗南,おー！蘭子ちゃんとはまた別なノリだからこっちの方が似合うね！
飛鳥,紗南の場合は正統派な主人公が似合いそうだね。明朗快活だし
紗南,んー……みんな行くよ！アタシたちの冒険はこれからだ！
志希,似合ってる似合ってるよー！というわけで二人とも飲む？一之瀬博士のお薬
飛鳥,プロデューサーに飲ませたらどうだい？
志希,プロデューサー効かないから効力がわかりづらいんだよねー
紗南,…………
飛鳥,紗南？
紗南,飲む！
飛鳥,飲むのかい？……どうなっても知らないよ？
志希,……飛鳥ちゃんのアタシへの認識を再確認する必要があるねー
紗南,志希さんの薬、興味あったし？ほら！パワーアップアイテムみたいな！
志希,よくぞ言ったー！さぁさぁ、苦くないし飲みやすいからねー？
紗南,ありがと、…………あれ？
飛鳥,どうしたんだい？何かしたかい？
紗南,いや、あのね？マズイどころか美味しいし、別になんともないんだけど……。なんだろう……なんというか……
飛鳥,煮え切らないね。紗南らしくもない。体の調子は？
紗南,凄いいいよ？うん、スタミナと……コストが全回復した……みたい……な
飛鳥,……志希？
志希,なにー？
飛鳥,まずいだろう！？それは作ったらダメなやつだろう！？
志希,知的好奇心は抑えられないよー？ほら、大丈夫！
飛鳥,全く大丈夫じゃないだろう？ハイブリッドなドリンクを創造るなんて……
志希,まだ分離できてないし、それぞれの生成には踏み切れてないん
ちひろ,紗南ちゃーん？ちょっといいですかー？
紗南,どうしたの？お仕事なにかあったっけ？
飛鳥,ち、ちひろさん！紗南はちょっと今手が離せないんだ。申し訳ないけど後にできないかな？
ちひろ,え？大丈夫ですけど？
飛鳥,そう、ユニットの重要な機密……シークレットオペレーション！
紗南,あっそれさっきのゲームのやつだね！
飛鳥,……なら、ボクら3人の未来を決める大いなる決断、アナザーアンサーを見つけるためさ
紗南,それこの前発売された新作のノベルゲーのセリフだよね！飛鳥ちゃんやってたんだ！
飛鳥,……紗南。零からの束縛から逃れん為の光の術式の構築……
紗南,知ってる！有名RPGの名台詞だよね！蘭子ちゃんっぽいけど！
飛鳥,…………ミーティング中なんだ、ちひろさん
ちひろ,そ、そうですか……
志希,紗南ちゃんナイスネタ潰しだねー
飛鳥,ネ、ネタじゃない。現状を表そうと紗南に合わせてみただけさ
紗南,ご、ごめん！飛鳥ちゃん合わせてくれたのに
P,………で？
紗南,電脳！
志希,ケミカル！
飛鳥,ファンタジー！
志希,3つの個性を混ぜ混ぜて？
飛鳥,新たなセカイを見せてあげよう
紗南,ファンと一緒にレベルアップ！
志希,我らー……いち！
飛鳥,にの
紗南,さん！
P,お前らそんなキャラだったっけ……？
ちひろ,なんだか変な化学反応が出来ちゃってますね……
