棟方愛海,っていうユニットを考えたんだけど
Ｐ,あれ、俺の感想きいてた？
愛海,じゃあプロデューサー、社長に新ユニットの許可とってきて！
Ｐ,そんなホイホイ決められるかよ
愛海,昨日のよりは全然まともでしょ？
Ｐ,まぁそうなんだけど…なんかひっかかるっつーか
李衣菜,私からもお願いしますよー、プロデューサー！
Ｐ,…。俺の愛海がこんなまともなユニット名をつけるわけがない
愛海,！？
Ｐ,因みにこのユニット名の名付け親は？
愛海,ぎく
李衣菜,愛海ちゃんですね！
Ｐ,え？李衣菜じゃないの？
李衣菜,はい、愛海ちゃんが誘ってくれたんです。ロックときいて私がユニット組まないわけにはいかないじゃないですかー
Ｐ,ほほう
愛海,う…うん…
Ｐ,まさかロックって言葉を使って李衣菜を誘いよからぬことを企んでたわけじゃあるまいな
愛海,そ…そんなわけないじゃん。やだなープロデューサーったら人聞きの悪い
李衣菜,そーですよー！
Ｐ,でもさっき愛海ぎくって言ったよね？
愛海,ぎくうっ。まぁまぁ、とにかくっ、やってみようって。あたしと李衣菜さんでロックなユニット目指そうよ！
李衣菜,うっひょー！燃えてきたー！
Ｐ,あやしい
愛海,だから怪しくないって！そんなものロックなユニットにはいらないもん！
Ｐ,その、愛海のキャラじゃないロックって言葉を多用し始めたところとかとくにあやしい
愛海,うっ
李衣菜,わかってないなープロデューサーさん、愛海ちゃんはロックに目覚めてくれたんだよ！
Ｐ,確かに愛海の生き様はある種ロックだがこれ以上ロックなアイドルはいらん
愛海,そこをなんとか！
Ｐ,うーん…。何か…何かあるはずだ…ここに愛海の不埒な思惑が…
李衣菜,ところでプロデューサーが持ってるそれってなんですか？
Ｐ,え？これは愛海からもらった…はっ
李衣菜,？
Ｐ,これだ！
愛海,ともかく、やましいことなんて何もないから、李衣菜さんとユニット組ませてよ！
Ｐ,それは違うよ！
愛海,なっ！
Ｐ,これは先程愛海からもらった今回のユニットの計画書だ
愛海,え？
Ｐ,今から読み上げる
愛海,…あっ
Ｐ,ユニット名ロッククライマーズ
愛海,しまったあああ！つい計画書の方にあたしの抑えきれなかったリビドーを無意識に書き記していた！
Ｐ,つまり、ロックなユニット活動を目指していたのではなく、ただの個人的な私欲を満たすためだとしか…考えられないんだよ。違うかな、棟方さん
愛海,ぐぐっ！
李衣菜,愛海ちゃん…それ、ほんとなの？
Ｐ,ゲームセットだ。観念するんだな、棟方愛海
愛海,…フ
李衣菜,え？
愛海,ねえ、李衣菜さんはロックってなんだと思う？
李衣菜,え…ええ？
Ｐ,急にどうした
李衣菜,そうだなぁ…、やっぱり、ロックを追い続けることが、ロック、ってやつかな？
愛海,そう。その気持ちはあたしも同じ
Ｐ,いったい何が同じだというのか
愛海,ことにロッククライミングにおいても、同じことが言える
李衣菜,ロック…クライミング…？
愛海,あたしもひとりの、山を追い求め続ける身…。この前ハワイで幾度となく目にしてきた大小さまざまな美しき山々の数…この手で挑み、掴みたい。でも掴めたのはココナッツの実だけ…無残に散っていったあのツアーライブの日々
李衣菜,お…おぉ…あんまりよくわかってないけどなんだかすごいロックだね！
Ｐ,いったいどのあたりがロックだというのか
愛海,かの有名な登山家ジョージ・マロリーは、なぜ山に登るのか？という問いにそこに山があるからと答えている。そう…そこに山がある限り、どれだけ断崖絶壁が立ちはだかろうとも、私はこの両手を武器に、登りつめる…！。そう…数ある山々を自らの手で這い上がり、登頂を目指し、その先にある高みを目指して…！
Ｐ,全然違うが、まるで追い詰められた犯人が最後に独白する自供のようだ。全然違うが
愛海,それは、日本の山とて、同じこと。そう、ロッククライミングにおいて二種に分かれる、より安全なフリークライミングよりも…
李衣菜,……？
愛海,落ちたら最後、生死隣り合わせのアルパイン・クライミングを！というわけで李衣菜さん、いただきまーす！
李衣菜,へ？ひゃあっ！///
Ｐ,おま！！
愛海,ふむ…これは…やはり見かけとは裏腹にかなりのものをお持ちで…
李衣菜,ちょ…愛海ちゃん…何を…うぅ～…///
Ｐ,やめろォ！
愛海,この感じ…李衣菜さんロック！いいよ！これ！すごいロックだよ！
李衣菜,そ、そっか…私…ロックしてるかな…あはは…あぅっ///
Ｐ,まんざらでもない感じになるな！俺もまｚ…いや、止まれェ！
愛海,うひひひ…この感触…これこそがＮＹＵＴＨＥＲＯＣＫ！
Ｐ,違うだろ！いい加減にしろ！
愛海,がふっ
Ｐ,まったく油断もすきもない
李衣菜,び…びっくりした…
新ユニット,ロッククライマーズ
愛海,また新しいユニットを考えてきたよ
Ｐ,お前も懲りないやっちゃな
愛海,まあまあまあ。あ、これ計画書ね
Ｐ,……
愛海,ちょっとぐらい読んでくれても！
Ｐ,なんかもう同じ結末しか見えないし…
愛海,これが最後のチャンスってことで！
Ｐ,じゃあ話だけはきくよ
愛海,さすがプロデューサー、話が分かる！
Ｐ,それで、ユニットのメンバーは？
愛海,えっとね、あたしと鷹富士茄子さんのユニットでね…
Ｐ,…ユニット名は？
愛海,富士登山
Ｐ,……
愛海,ああ、あたしの世界遺産が！世界に一つだけの世界遺産ユニットがー！。プロデューサー、おはよー…
Ｐ,どうしたクライマー愛海。元気がないじゃないか
愛海,だってプロデューサー私の意見全部却下するんだもん
Ｐ,実はそのことなんだが、最初に愛海が提案したユニットに関して、社長からＯＫもらえたぞ
愛海,ほんとっ！！
Ｐ,あれから考え直したんだが、せっかく提案してくれた愛海の案を全却下するのも悪いなと思って手回ししておいた
愛海,プロデューサーありがとー！一生肩もんであげる！
Ｐ,ははは。ただ、三船さんはエッチ枠はいろいろと問題がありそうなので残念ながらそこはメンバーチェンジしておいた。あとユニット名も
愛海,そ、そんな～！
Ｐ,大丈夫だ！三船さんとメンバーチェンジしたアイドルも体系はかなりエッチだ！
愛海,よし、許すッ！
成宮由愛,あの…成宮由愛です。今日から…よ、よろしくね…
愛海,うん！よろしくね由愛ちゃん！同じ山好きどうしがんばってこうね！
由愛,や…やま…？
愛海,なんでもない！忘れて！
由愛,あ、もしかして絵の話…？それなら私も…風景で描くの…好きだよ
愛海,そうそう！よければ今度描いてほしいなーなんて…
由愛,うん…もちろんいいよ
愛海,やった！ありがとね！。計画通り。にへへ…プロデューサーはハレンチ行為禁止っていってたけど…。その件に関しては全く問題なし！だって、これスキンシップだから！ユニット間のスキンシップだから！ハレンチ行為じゃないから！。由愛ちゃんが絵を描いてるところを後ろからやさしくささやくように手を回せば…ぐへへへ…今から楽しみ～。そして由愛ちゃんともうひとり、まだ見ぬもうひとりのナイスバディ…はやくふれあいたいなぁ～うひひひひ…
木場真奈美,おや、話にきいていた通り、私とユニットを組むのは君たちだね？
愛海,なんてこった
由愛,あの、成宮…由愛です。よろしく…お願いします
真奈美,うむ、よろしく。お嬢ちゃんは…ハワイ以来だね。よろしく頼むよ
愛海,あ、あはは～…よろしくお願いします…
真奈美,ただ、私がいるうちは軽率な行動は慎むようにね
愛海,ふぁい…。なんてこった
真奈美,では、ただ今から私がこのユニットの指揮を勤めさせてもらう！二人とも、足手まといにならないようにな
由愛,は…はい！
真奈美,なんて、そんなに気を張らなくていい。フフ…３人ひとつで私達の力を見せつけてあげようじゃないか！
愛海,あたしの夢は…ここで終わってしまうのか。でも、あたしはまだ諦めない。そう、目の前に山が立ちはだかる限り、絶対に負けない。だってあたしはようやくのぼりはじめたばかりだからだ…この果てしなく遠い山道を…！
