”,なに！？俺が守れだと！？やれやれ、勝手なことを言ってくれる！。いや、だから私はクリスティーナでも助手でもないといっとろう――……え？。これがシュタインズ・ゲートの選択だよ
ダル,へ？今なにか
紅莉栖,HENTAIも過ぎると通報するわよって言ったの。ほれ橋田、ちょっとメイクイーン付き合いなさい
ダル,うえ？なんでメイクイーン？牧瀬氏好きだっけ？
紅莉栖,うるさいわね、ごちゃごちゃ言わない。いいから行くの。私の筋を曲げさせた礼をしなさい
ダル,えぇー、い、今持ち合わせが……
紅莉栖,じゃあそれ全部使って。はーおなか空いたー何食べようかしら
ダル,横暴だお～……
紅莉栖,ほーら、行くわよ！
ダル,え、ちょ。牧瀬氏、手……
紅莉栖,橋田ー、そのエロゲ何？
ダル,へ、え？何って抜きゲだけど
紅莉栖,抜きゲって……たしか、男の人のソレに使う用、よね？
ダル,ソレって何？牧瀬氏牧瀬氏ソレって何？
紅莉栖,ソ、ソレはソレよ！ソレでしかない！ていうか抜きゲをラボでやるな！。……分かってたまるかこのドHENTAIが！！。橋田は何味が好きなの？
ダル,僕はやっぱトンコツかなー
紅莉栖,共食い乙
ダル,う、うっせーお。コッテリ旨いじゃん
紅莉栖,そんなだからぷよぷよなのよー
ダル,おわっ！？
紅莉栖,……あ
ダル,ちょ、ま、牧瀬氏……？申し訳ないけど脈絡のないボディタッチはNG約束
紅莉栖,な、なんの段階だHENTAI！へ、HENTAI……
ダル,そ、そっちからやってきた癖にそっちがしおらしくなるのはズルいお！僕もうお嫁に行けない！牧瀬氏、責任とって！
紅莉栖,と、とるかバカ！。はぁー……スゴいわ。あんたの電子工作の腕はやっぱり特一級ね……
ダル,ふひひ、お褒めに与り光栄だお。興味あることにはトコトンが僕、ってね
紅莉栖,興味あることにはトコトン……か。私と同じね
ダル,言われてみればたしかに。あ、でも僕は論破厨だったり暴き厨だったりしないんでそこんとこは混同しないでください
紅莉栖,悪かったな！ていうかこっちでは暴き厨じゃないでしょうが！
ダル,なんか最近僕に色々聞いてくるじゃ～ん。あれも暴きの本領発揮じゃないの？
紅莉栖,え……橋田、いや、だった？
ダル,はえ？別にいやじゃないけど？
紅莉栖,そ、そう。それなら良かった、うん……
ダル,ん……ん？なに牧瀬氏、僕なんかマズいこと言った？あ、もしかして混同がコンドームに聞こえたとか
紅莉栖,死ねHENTAI！！！！。またエロゲ？……って、その、子
ダル,……
紅莉栖,わ、わ、私にそっくりじゃない！何考えてんのよアンタ！
ダル,その反応を見たいと考えてますた！
紅莉栖,ドHENTAIが！！即刻プレイを終了してデータを消去しなさい！
ダル,だが断る！
紅莉栖,断る権利があると思うな！こんの、とりあえず洋書で再起不能にして
ダル,ちょ、ときに落ち着け！な、なんだよ牧瀬氏。牧瀬氏に似てるからってプレイしちゃいけないん？
紅莉栖,いけないに決まってんでしょ！
ダル,な、なんでさ。僕この子お気に入りだから絶対攻略したいんだお！
紅莉栖,お、お気に入りって……
ダル,こ、こ、この子は、その、ま、ま……
紅莉栖,……な、なに。…………
ダル,……あれ、急に悪寒が。やけに肌寒いな。牧瀬氏、その洋書を下ろそう。両手でプルプルしながら持ってるその洋書を下ろそう
紅莉栖,……えぇ、下ろすわよ……。アンタの頭の上に、ねッ！！。あれ橋田、まだ残ってやってるんだ。精が出るわね
ダル,あ、牧瀬氏。うん、コイツをイジり終えてから帰ろかなって。あと今の精が出るわねってのを
紅莉栖,黙れ。メドは着いてるの？そろそろ終電じゃない？
ダル,まー……終わんなかったら泊まるし。牧瀬氏こそそろそろ帰れお。夜は危ない
紅莉栖,あ、ありがと。言われなくとももう帰るわ。でもちょっと時間あるから、コーヒー作ってあげる
ダル,牧瀬氏エキスたっぷりのコーシーktkr！いろいろ捗る！
紅莉栖,お疲れさまー
ダル,ちょ、待！冗談です！作ってください！
紅莉栖,HENTAIを挟まないと会話できないのか己は……はいどうぞ
ダル,ひゃっほう！牧瀬氏エキ(ry
紅莉栖,頭から飲むか？
ダル,口から飲ませてくださいお……
紅莉栖,ん。もう夜遅いんだから、ポテチとか間食は控えなさいね
ダル,……牧瀬氏、母さんみたいだお
紅莉栖,は！？か、か、母さんってなんで私がアンタの奥さんになんなきゃいけないのよ！？ばばば馬鹿なの！？死ぬの！？
ダル,えっ
紅莉栖,……えっ？
ダル,……母さんって、文字通り僕の母親みたい、って意味だったんだけど……
紅莉栖,あ……な、あ……
ダル,な、なんつー連想してんだお、牧瀬氏……
紅莉栖,わ、分かり辛いこと言うアンタが悪いんじゃない……
ダル,……
紅莉栖,……
ダル,な、なんでこんな時に黙ってんだお僕、何やってんだ、いつもの押せ押せはどうしたんだよ、うぅ……！。ま、牧瀬氏！！
紅莉栖,は、はい！！
ダル,……終電、大丈夫かお
紅莉栖,へ？……あ、あああッ！！マズい時間ない急がなきゃ橋田あと頑張ってねお疲れー！
ダル,お、乙ー……。終電大丈夫か、だって。はぁ……
紅莉栖,……
ダル,牧瀬氏、スプーンなんか見つめてどしたん？
紅莉栖,あっ……いや、なんでもないわよ……
ダル,そのなんでもありそうなリアクションはさっさと改めるべき。で、スプーンが？
紅莉栖,う……ね、ねぇ橋田
ダル,ん？
紅莉栖,あんたって……その、マ、マイフォークとか、いたことは……
ダル,マイフォーク？マイ箸的な？いや持ってないけど……ん、いたってなんぞ？
紅莉栖,……ッ！
ダル,マイフォークがいた？なんかの隠語かお？なに、なぞなぞかなんか？
紅莉栖,あっ、やっ、なんでもない！なんでもないから！あんたの聞き間違いよ！これ以上の追求は禁止！
ダル,そんなこと言われたら追求したくなっちゃうって……いたってことは、たぶん人物だよな
紅莉栖,……っ……。ッ違う！ぜーんぜん的外れ！ひ、一人で何突っ走ってんのよ橋田！。そ、そんなばかな……！
ダル,あ……まき、せし？つ、つかぬ事をお伺いするけど、そのー、マイフォークってのはまさかー……。……また、自分で……。え、え？
紅莉栖,えーじゃない！恋人！居るの！居ないの！
ダル,そ、そりゃー！もちろんいるおー！
紅莉栖,え……あ、そう、なんだ
ダル,う、うん！ね、ねねちゃんだろ、しおりちゃんだろー、ほのかちゃんだろー
紅莉栖,そ、そんなに……？
ダル,りんこちゃんにー、かいちょうにー、フラウにー
紅莉栖,……かいちょう？ふらう？……アンタまさか
ダル,そ、そう！二次元に嫁が居るっていつも言ってるっしょー！みーんな僕の嫁だおー！
紅莉栖,……
ダル,ひっ……ま、牧瀬氏？どうして洋書を手に持ったんだお……？
紅莉栖,別に。手に持っただけよ
ダル,どどどどうしてこっちに近付いてくるんだお！？
紅莉栖,別に！近付いてるだけよ！！
フェイリス,おーまたーせニャーンニャーン！どうぞダルニャン、オムライスニャー！
ダル,世界がヤバイキターーーーーーーーー！！フェイリスたんの丸文字に反して僕の僕がとがりそうです！！
紅莉栖,自重しろHENTAI！！
フェイリス,クーニャンにはアイスコーヒーになりますニャ。ブラックでよかったかニャ？
紅莉栖,えぇ。でも目を見て混ぜ混ぜはお願いするわ
ダル,ブラックで混ぜ混ぜ！そういうのもあるのか！
フェイリス,かしこりましたニャン！では失礼して……ニャ～ンニャ～ン……。……ニャ？……クーニャン睨んでニャい？フェイリスのこと睨んでニャい？
紅莉栖,………………
ダル,ちょ、牧瀬氏裏山！こんな長い間フェイリスたんに目を見て混ぜ混ぜしてもらえるなんて……！※か！ただし美人に限るのか！
紅莉栖,………………
フェイリス,ひ、人の気も知らニャいで！目を離したら取って喰われそうニャァ～！
るか,あ……橋田さんに牧瀬さん！こんにちは、お二人がうちに来られるなんて珍しいですね
ダル,オカリンに修行を見てこいとかイミフなこと言われてね、散歩がてら来たんだお。で、牧瀬氏はるか氏に会いに来たと
紅莉栖,岡部は今ラボで課題に追われてるわ。ガジェット製作にばかりかかずらって、学生の本分を疎かにするなんて言語道断よね
ダル,僕も共通科目は散々だってことは黙っｔ
紅莉栖,共通科目は散々などこかのピザにも重々気を付けてもらわないと。そう思わない、るか？
るか,あ、あはは……
ダル,委細承知ですかそうですか……
紅莉栖,どう？修行(笑)はどんな調子？
るか,はっ、はい！毎日欠かさず鍛錬してるおかげで、最近は30回は出来るようになりました！
ダル,ほえー、先月は一桁ばっかだったよな？30回ってかなりの進歩じゃね？僕が今そんなやったら二の腕ブルブルしちまうお
紅莉栖,脂肪でね。この調子ならいつか師匠(笑)を越えられるんじゃない？
るか,ぼ、僕が岡……凶真さんをですかっ！？む、無理ですよ！そんな畏れ多い！
ダル,お、畏れ多い？？オカリンに最も似合わない形容詞の一つだお……
紅莉栖,むしろ岡部がるかに対して畏れ多いわよね……
萌郁,橋田君……牧瀬さん……
綯,あ、ダルおじさんと助手のおねえちゃん！こんにちは！
紅莉栖,綯？
綯,……く、紅莉栖おねえちゃんこんにちは……
ダル,いつも通りの閑古鳥すなー。こんなんで大丈夫なん？
萌郁,……店頭販売は、おまけみたいなものだから……裕吾さんの、出張買い取りとか、業者への売買が、主な収入源……
紅莉栖,なるほど、需要もあるところにはあるのね。橋田も売上げに貢献してあげたら？
ダル,だが断る。僕にはREGZAたんが居ますんで
紅莉栖,宣伝乙。どう綯、ラボは楽しい？
綯,はい！ガジェットのお手伝いはまだ出来ないけど、回路作るのとかすっごく楽しいよ！
ダル,綯たん結構飲み込み早くて教えがいがあるんだよ。牧瀬氏も専門のこと教えたげたら？スルスル覚えると思うお
紅莉栖,……
ダル,……牧瀬氏？
紅莉栖,ギ、ギブ。もうギブ。橋田あとお願い
ダル,牧瀬氏の睡液がトッピングされた究極の牛丼ktkr！海原雄山も失禁コピペするレヴェル！
紅莉栖,あんた飲食店でそういうこｔうぐぅ……HENTAI台詞にツッコむ気力もないわ……胃が破裂する……
ダル,つかどうして僕と同じサイズなんか頼んだん？牧瀬氏そんな食べないのにさ
紅莉栖,……同じのが食べてみたかったの
ダル,味は同じなのに？ふぅん
紅莉栖,い、いいから食べてよ。視界に入ってるだけでもうキツい
ダル,オーキードーキー！牧瀬氏牛丼なら何杯でもいけちゃうお！
紅莉栖,……
ダル,……あの、牧瀬氏？
紅莉栖,へ？
ダル,そ、そうまじまじ見られると気になると言いますか……
紅莉栖,え、あっ！ご、ごめんね……
ダル,……いや、うん……。……牧瀬氏？ちょ、どしたん？
紅莉栖,……
ダル,牧瀬氏ってば。……おい、牧瀬氏！
紅莉栖,はッ！？あ、は、橋田……
ダル,どうしたんだお。なんかスゴい顔してニュース見てたけど
紅莉栖,な、なんでもないわ。大丈夫よ
ダル,大丈夫なわけあるか。まだ顔ひきつってるお
紅莉栖,大丈夫……
ダル,んな言い聞かせるように言わんでも……。今のニュースの人が知り合いだったとｋ
紅莉栖,大丈夫だって言ってるでしょ！
ダル,っ！
紅莉栖,あ……
ダル,ご、ごめんお……
紅莉栖,は、橋田は何も悪くないわ。ごめん……。ごめん……ごめんなさい橋田。あんたに当たったって仕方がないことなのに
ダル,ふ、ふひひ、気にすんなお。牧瀬氏の罵倒なんてどの業界でもご褒美ですしおすし
紅莉栖,……何言ってんだか。ありがとHENTAI
ダル,どういたしましてー
紅莉栖,……
ダル,……
紅莉栖,……今は、ごめん。言いたくない
ダル,……ん
紅莉栖,いつか、もう少し整理が付いたらあんたにも話すわ。……話したい
ダル,分かった。……それまで待つお
紅莉栖,うん……
ダル,……
ダルクリ,……あれ、何この空気
紅莉栖,ア、アアアンタいつまで人の手引っ掴んでんのよ！いいかげん離せHENTAI！
ダル,あっ、ご、ごめんお！い、いやぁー牧瀬氏の手があんまりプリチーだったもんで、ついつい握っちゃいましてー
紅莉栖,お、女の子の手を気軽に握るんじゃない！直接的なHENTAI行為はしないヤツだと思ってたのに！
ダル,そ、それはその、あれだお、ま、真っ赤に燃えて光って唸った僕の手が牧瀬氏の手を掴めと轟き叫ん(ry
紅莉栖,ワ、ワケわからんわこのHENTAI！謝罪と賠償を要求する！
ダル,ふ、震えてたもんだからあっためなきゃって思って！とっさに握っちゃったんだお！ごめん！
紅莉栖,ッ……
ダル,……な、何を僕は自分から誤爆してんだお……！？
紅莉栖,あ、あああ、あっためなきゃとか、は、橋田何言って……！
ダルクリ,……。き、気まずい……！誰か早く来ｔ
まゆり,トゥットゥルー♪まゆしぃでーす☆
紅莉栖,まゆりぃぃぃぃぃいいいいいいいッッ！！
ダル,まゆ氏ぃぃぃぃぃいいいいいいいッッ！！
まゆり,わわわ～！？ど、ど～したの～2人とも～。紅莉栖ちゃん～……寂しいよ～……
紅莉栖,私も寂しい……。でも、こんな長い期間こっちに居られただけでも僥倖だったのよ。年末にはまた来るから、泣かないでまゆり
ダル,ｷﾏｼﾀﾜｰ……
紅莉栖,聞こえてるわよ橋田！
フェイリス,ニャ～……クーニャン、あっちでも猫耳メイドの素晴らしさを伝えてくれニャ！
紅莉栖,だが断る、私ゃメイクイーンの広告塔か。日本に面白いお店があったことくらいは伝えてあげるわよ。元気でね、留未穂
るか,ふ、冬コミこそコスプレしましょうね牧瀬さん。お待ちしております！
紅莉栖,そこはお待ちしなくていい。あんたのコスだけ見に来るわよ。それまでバイバイ、るか
萌郁,……
紅莉栖,そこ！勝手に撮らない！肖像権の侵害よ！
萌郁,……今さら……
紅莉栖,たしかに今さらだけど！開き直るな！次来るまでにデータ消しといてよ萌郁さん！
綯,紅莉栖おねえちゃん……行っちゃうの……？
紅莉栖,あーあー泣かない泣かない。12月にはまた戻ってくるから。笑顔で送ってほしいな、綯には
店長,んじゃあな、紅莉栖嬢。また一段と別嬪さんになって帰ってくるだろうあんたを待ってるぜ。家賃が5000円アップしそうな気配がするなぁ岡部。どうしてだろうなぁ、なぁ？
岡部,ブラウン管工房あっての我らが未ガ研なのだ、不敬があってはならないぞ！いいなラボメン諸君！フゥーハハハハハ！
まゆり,オカリン変わり身早いね～♪
岡部,柔軟と言えまゆり！
フェイリス,こすいニャ、キョーマ
萌郁,……節操なし……
岡部,柔軟なの！！柔軟って言え！！
ダル,……みんながオカリンに注目してる。今、この瞬間しかない。もう牧瀬氏は行ってしまう……。ずっとずっと言えなかった……これが、最後のチャンスだ……！。……ま、牧瀬氏
紅莉栖,ん？なに橋田
ダル,……ぼ、僕、僕……
紅莉栖,？うん……
ダル,キ、キミのことが、牧瀬氏のことが……！。……す、好き……です！大好きです……！
紅莉栖,橋
岡部,うおい紅莉栖！発車時間は大丈夫なのか？臀部に蒙古斑が無いと言うなら、大人らしく時間くらいちゃんと守れ！
紅莉栖,田…………
まゆり,く、紅莉栖ちゃん！？発車４分前だよぉ～！
紅莉栖,…………、え、４分前！？
店長,おいおい紅莉栖嬢、時間はもっと余裕見て作んな。コイツらと名残惜しいのは分かるがよ
紅莉栖,は、はいすみません！間に合え私～ッ！
ダル,あ……
紅莉栖,また後でメールする。私も好き、橋田
ダル,……え
紅莉栖,じゃあねみんな！また12月に！
岡部,ではなクリスティーナよ！貴様の身柄は未ガ研が確保していることを忘れるな～！
まゆり,またね～紅莉栖ちゃ～ん！トゥットゥル～☆
ダル,まき……せし……。…………
綯,あの……ダルおじさん
ダル,…………
綯,あの、ダルおじさん？ねぇっ、ダルおじさんてば
ダル,……え、あ、綯たん。どしたん？
綯,さっき、紅莉栖おねえちゃんと何話してたんですか？
ダル,……綯たん、見てたんだ
綯,はい。なんか２人とも変な感じだったから、気になったんです
ダル,変な感じ、か……はは、そうだったかも
綯,？
ダル,……綯たん、誰にも言わないって約束してくれる？
綯,あ、嘘ついたら針千本飲ます奴ですか？いいですよ！
ダル,うん……あっ
紅莉栖,……。もう押さえてられないよ、橋田、橋田……ッ。は、橋田ッ！。あははっ、ちょっと落ち着きなさいよ。橋田大好き、愛してる！よっし私の勝ち！。私だって大好き！橋田が好き！。うん！私もする！大好きな橋田にいっぱいするから！。きゃぁっ！？い、いきなり大声で叫ぶんじゃないわよ！ばかーーーーーーー！！橋田、愛してるーーーーーーーー！！。あっはははははは……はは……ぐすっ……。あ、あんただって……男のくせに、情けない……。ゴシュッ！。あはははっ！やーっぱり泣いてるんじゃない。男泣きって奴？。え、えぇー！？ちゃんと充電しときなさいよー！。う、うん！またね橋田！愛してる！
岡部,……結局、俺はこの１ヶ月をふいにしたな。紅莉栖とは何も進展はなかった。もたもたしているうちに彼女はアメリカへ帰ってしまい……次の機会は、12月。とりあえずメールは出しておいたんだが。……。……返信、ないな
綯,あっ……オカリンおじさん
岡部,おぉ、小動物か。ベンチを借りているぞ
綯,い、いえ、構いません。メール……待ってるんですか？
岡部,ん？あぁ、よく分かったな。紅莉栖からのメール待ちだ
綯,紅莉栖おねえちゃん……。さっき来る途中の喫茶店で、嬉しそうに電話してるダルおじさんを見かけたけど……たぶん相手は紅莉栖おねえちゃんだよね？。ダルおじさんとの連絡に夢中になって、紅莉栖おねえちゃんメールに気付いてないんじゃ……オカリンおじさんに伝えた方がいいのかな。ううん、駄目だ。言ったら針千本飲まされちゃう。ダルおじさんの口から直接聞いた訳じゃないけど、分かっちゃったんだから。言っちゃ駄目よ、私。メ、メールならすぐお返事来ますよ
岡部,いや、すぐ来ないから困ってるんだが
綯,ぁぅ
