事務所の皆さんもとても良い人たちばかりです。この前お母さんが,皆さんと食べてね
ちひろ,そういうことです。…お邪魔虫したいなら止めませんけど？
凛,流石にやめておくよ
未央,おお、３４６の蒼いノーブレーキことしぶりんがアッサり引いたね
卯月,蒼くて暴走するとかＥＸＡＭシステムみたいですね！
凛,人のことを一体何だと…私だってそれぐらいの分別はあるよ
卯月,命も惜しいですしね！
未央,前回のまゆちゃんみたいに下手に邪魔しようとしてもとんでもない目に合うだろうしね
凛,偶然工事現場のクレーンに引っかかって偶然誤作動が起こって上空１５メートルまで釣り上げられて偶然操縦不能になってそのまま半日宙吊りだったんだっけ？
卯月,その時の光景を偶然通行人が撮影してたそうです！はい、映像がこちら！。いまだに再生回数が増え続けています！
未央,投稿者名がガンバしまむら
凛,と、言う訳でまゆの二の舞もご免だし、ここは素直に引いておくよ
未央,おー、意外と冷静。しぶりんてばもうちょい野性的かと思ったのに
凛,それにほたるは私の中の３４６ランキング
未央,何そのランキング初耳なんだけど
卯月,マーズ・ランキングみたいなものですね！
凛,ちなみに未央は６位だから
未央,えっ？膝丸レベル！？
Ｐ,さてとほたる。何処か行きたいところとかあるか？
ほたる,そうですね…なるべく、危険なものが無くて人の少ない場所…でしょうか
Ｐ,難易度高いなあ。無人島かＤＡＳＨ村ぐらいしか思い当たらないんだが。まぁいいや。まずはどこかで昼飯にしようか。食べながら色々考えればいいだろ
ほたる,そ、そうですね…
Ｐ,ほたるは何か食べたいもののリクエストとかあるか？
ほたる,えっ？き、急に言われても…
Ｐ,んじゃ、それも歩きながら考えるか
ほたる,は、はい……って、ぷ、プロデューサー危ない！
Ｐ,えっ？
ほたる,ぷ、プロデューサー！！。プロデューサー！プロデューサー！！
Ｐ,いててて……ん、どうしたほたる
ほたる,
Ｐ,あービックリした…あ、やっべ。裾破けちまった……私服で良かった
ほたる,
Ｐ,ほたる？おーい、ほたるー？
ほたる,…はっ！。プロデューサー！だ、大丈夫なんですか…！？
Ｐ,え、何が？
ほたる,だ、だって今…車に思い切りぶつかって……！
Ｐ,うん、ちょっと痛かった。けどほら、きらりブリーカーとか茜タックルとか島村インフェルノに比べたら
ほたる,け、怪我は…？
Ｐ,お気に入りだった上着が軽傷ですな
ほたる,ええーーー……
Ｐ,ちょっと服が汚れただけなのにこんなに大金貰ってしまった…
ほたる,治療費と言ってましたけど確実に口止め料入ってますね
Ｐ,運転手さんも怪我無くて良かったよな。めっちゃ青ざめてたけど
ほたる,それは…あのスピードで撥ねた相手が血の一滴も出さずに服の汚れを気にしてたら…。プロデューサーって凄い…
Ｐ,何だよ藪から棒に。俺なんて何の変哲もない平々凡々としたオッサンではないか
ほたる,…すみません。それだけはいくら私でも自信をもって絶対違うと断言します
Ｐ,ほたるは意外とツッコミ鋭いなぁ。まあいいや。気を取り直してご飯いこうか。俺もお腹空いてきたよ
ほたる,は、はい…。…って、プロデューサー！上っ、上！！
Ｐ,んあ？
ほたる,ぷ、プロデューサー！！。プロデューサー！プロデューサー！！
Ｐ,あー、ビックリした……ん、どうしたほたる
ほたる,
Ｐ,ほたる？おーい、ほたるー？
ほたる,…はっ！。プロデューサー！だ、大丈夫なんですか…！？
Ｐ,え、何が？
ほたる,だ、だって…こんな大量の鉄骨が真上から降ってきて…！
Ｐ,うん、全部避けた。ほら、茜のタックルのスピードとか森久保がデスクの下に潜り込む素早さに比べたら…止まって見えるわ
ほたる,け、怪我は…？
Ｐ,髪が乱れちまいましたわ
ほたる,ええーーーー……
Ｐ,適当なファミレスに入っちまったけど良かったのか？
ほたる,は、はい…。十分です。あまり外にいるとまた事故とか起きてしまいそうですし…
Ｐ,さて、何にしようかな…あ、ほらメニュー
ほたる,あ、ありがとうございます
Ｐ,おっ？ほらほら見てみろよ。今ぴにゃこランチとかやってるぞ。抽選で等身大ぴにゃ着ぐるみが当たるんだとさ
ほたる,それ、喜ぶのはうちの事務所で２人ぐらいしか思い当たらないんですけど…
Ｐ,じゃあ、俺このランチにするわ。ほたるは？
ほたる,き、決めるの早いですね…えっと、私は、私は…
Ｐ,いや、ゆっくり選びなさいな
ほたる,す、すみません…
店員,注文は決まったか
Ｐ,あ、いやまだこっちの娘が…
ほたる,あわわ…えっと、えっと…！
Ｐ,おーい落ち着けー。ゆっくり決めていいってのー
ほたる,じ、じゃあこの…ぴにゃこランチをお願いします！
Ｐ,…あー、じゃあそれ２つで
店員,ぴにゃこランチ２つ。了解した
Ｐ,…ゆっくり選びなさいって言ったのに
ほたる,で、ですけど…店員さんが来てしまったので…
Ｐ,もうちょっと待って下さいって言えばいいだろ
ほたる,うう…で、ですが、何か悪い気がして…
Ｐ,まあ、気持ちはわからなくもないけどさ
ほたる,すみません…
Ｐ,謝らなくてもいいって
店員,待たせたな。ぴにゃこランチ２つだ
Ｐ,早ぇ！！
店員,客を待たせないのが店員のルールだろう
Ｐ,おー…普通に美味そうだな
ほたる,わっ、見てください。チキンライスがぴにゃこら太の形です
Ｐ,流石に色は緑じゃないかぁ…
ほたる,み、緑色は難しいんじゃないですか…？
Ｐ,ほうれん草とか練りこめばきっとイケる。…うん、味もイケるな
ほたる,本当ですね…ミニハンバーグも美味しいです
Ｐ,ウィンナーにエビフライにコーンサラダ…。…なぁ、これってもしかしてお子様ランチだったんじゃあ…
ほたる,～♪
Ｐ,…ま、いいか
ほたる,あ、私飲み物持ってきますね
Ｐ,はいよ
ほたる,プロデューサーも何かいりますか？
Ｐ,コーラにガムシロマシマシペプシは否で
ほたる,え、えっと…行ってきますね
Ｐ,…うん、ほたるも楽しそうだ。今回は割と早めに収まりそう、かな…？。いや、まだ油断するのは早い。前回のまゆの犠牲を忘れてはならない…
ほたる,お待たせしました…えっと、ペプシしか無かったのでチェリーコークです…すみません
Ｐ,何でそれがあってコカが無いんだよ
ほたる,プロデューサーのグラス、ここに置きますね
Ｐ,うん、ありがとう
ほたる,あっ！
Ｐ,うおっ
ほたる,す、すみません！すみませんっ！。ああ…プロデューサーさんもテーブルの上もビショビショに…うぅ…
Ｐ,あらら…
芳乃,そいやっ
ほたる,…え？
芳乃,はいぱーくろっぷあっぷ、でしてぇー。そして時は動き出す、のですー
Ｐ,ありがとうな、ほたる
ほたる,…あれ？
Ｐ,ん、どした？
ほたる,あれ…えっ？い、今私…ジュースを思いきり溢した様な…
Ｐ,いや、普通に持ってきてくれたやん
ほたる,？？？
Ｐ,まあいいや。食べたらどうする？何処か行きたいところとかあるか？
ほたる,えっ、は、はい。そう、ですね……
Ｐ,まあ、急ぐ事もないし、ゆっくり考えようか。このまましばらく喋ってるのも構わないし。あ、ランチについてた旗いる？
ほたる,…そこまでお子様じゃないですっ
Ｐ,さて、んじゃ行くか
ほたる,ほ、本当にいいんですか…？
Ｐ,もちろん構わんよ。幸いこの近くにあるみたいだし。今日は１日ほたるの好きなように付き合うって言ったろ？
ほたる,プロデューサー…。…って、プロデューサーまた危ないっ！
Ｐ,え？
ほたる,ぷ、プロデューサー！！。プロデューサー！プロデューサー！？
Ｐ,あちち……あー、ビックリした。寿命縮むかと思ったわ
ほたる,。プロデューサー！プロデューサー！！
Ｐ,何だろ、不発弾かな……ん、どうしたほたる
ほたる,
Ｐ,ほたる？おーい、ほたるー？
ほたる,…はっ！。プロデューサー！だ、大丈夫なんですか…！？
Ｐ,え、何が？
ほたる,だ、だって…こんな大爆発に巻き込まれて…！
Ｐ,大丈夫。あれは残像だ。いやあ、日頃から人間の許容範囲軽く超えてる仕事量押し付けられてるせいか人知を超えたスピードが身についたみたいでな
ほたる,け、怪我は…？
Ｐ,指毛がお亡くなりになりましたな
ほたる,ええーーーーー……。わぁ……！
Ｐ,おー珍しい。ほたるの目がめっさ輝いてる
ほたる,プロデューサー見てください！ほらほら、ウサギがいっぱいです！
Ｐ,ウサカフェだから当然っちゃ当然だけどね
ほたる,わあ…うわあ……。可愛いですっ！
Ｐ,お前さんもね。あ、６０分コース２人で。えっ、フリードリンク制？おーいほたるー、お前飲み物何がいいー？
ほたる,わぁ…うわわわ……
Ｐ,駄目だ聞いちゃいねぇ。…あ、すいません。じゃあ取りあえずミルクティー２つで。ほれほたる。毛がつくからエプロンしときな
ほたる,プロデューサープロデューサー！見て下さいほらほら！みんな凄く大人しいですっ
Ｐ,ほんとな。しかもめっちゃ人懐っこいな…人間＝エサくれるモノって覚えこんでるんだろうな
ほたる,わわっ！ひ、膝に乗ってきましたよ？
Ｐ,ハハッ、ほたる好かれてるなぁ。ちなみに俺も早速頭に乗られてますがな
ほたる,わぁ…みんなフワッフワです…アッキーみたい
Ｐ,本当だ。どいつもこいつもモフモフしやがって。レノア使ってる？
ウサギ,使うてへんよ
Ｐ,天然のモフモフかぁ…
ほたる,お鼻が小刻みにすぴすぴしてます。耳がピクピク動いてますっ…可愛いっ
Ｐ,うん、どっちも可愛い
ウサギ,せやね
Ｐ,小松菜食べる？
ウサギ,貰うで
Ｐ,ほたる、ウサギを抱くときはちゃんとお尻を持ってちゃんと安定させるんだ、ほら、こんな風に
ほたる,こ、こうですか？
Ｐ,そうそう。片手でしっかり抱えてあげて、もう片方の手で思うさまモフモフするといい
ウサギ,おぉ、ええ感じや…
ほたる,ひゃっ！も、もう１匹乗ってきちゃいました…
Ｐ,ははっ、ほたるはウサギまでファンにしちまうんだなぁ
ほたる,そ、そんな事は……って、プロデューサーのほうがもっと凄い事になってますよ！？
Ｐ,はっはっはっ、さっきから前が全然見えねぇ
ほたる,プロデューサーが埋め尽くされちゃってます…
Ｐ,何なんだろ…俺って実は体からニンジン臭でも出てる？
ほたる,わ、わかりませんけど…
Ｐ,ちなみに知ってるか？ウサギは寂しいと死ぬってのは思い切りデマなんだぞ。むしろ構いすぎると死ぬぐらいだ
ほたる,そ、そうなんですか？
ウサギ,せやで
Ｐ,逆に狼は一匹だと生きていけないんだ。群れで生活するもんだからな。だから一匹狼ってのも意味合いとしては間違ってるんだぞ
ほたる,そうなんですね…勉強になります
ウサギ,ほんまにな
Ｐ,更に言えばウサギの口元って下から覗き込むと常時若干半開きになってるからちょっと間抜けで面白いぞ。ほら
ほたる,あ…本当です。可愛い
ウサギ,間抜けとは失礼やな
ほたる,ほわぁぁぁぁ…
Ｐ,アニマルに癒されてるほたるを見ているだけで癒される…
ウサギ,ウチらも撫で撫でされて癒されとるで
Ｐ,何この永久機関
ウサギ,フフフ…インフィニティシリンダー…
Ｐ,やめなさい
ほたる,…あの、プロデューサー…。本当に今日はありがとうございます
Ｐ,どうした、いきなり改まっちゃってからに
ほたる,３４６プロに来てから私、良い事ばっかりで…。皆さん優しいし、お仕事も順調ですし…それだけでも十分すぎるほど幸せなのに。こうして、わざわざ私なんかのために時間を作って付き合って貰って…
Ｐ,何だ、そんな事か。別に気にしないでいいっての。俺だって堂々と仕事休んでこうしてのんびり出来る事だし
ほたる,で、でも…
ウサギ,私なんか、なんて言うもんやないでお嬢ちゃん。この兄ちゃんかてお嬢ちゃんのこと大事に思うとるんや。そう自分を卑下するもんやない
Ｐ,だってさ
ほたる,す、すみません…私ウサギの言葉は…。ムイムイ鳴いてるのは分かるんですけど…
Ｐ,そりゃ残念。折角良い事言ってたのに
ウサギ,こっ恥ずかしいわぁ
ほたる,…むしろ、どうしてプロデューサーは動物の言葉がわかるんだろう…ソロモン王？
Ｐ,ほたるはすぐにネガティブな思考に走っちゃうのがいかんよなぁ。もうちょっとポジティブに物事考えてみれば？
ほたる,そ、そうですか…？
Ｐ,世の中割と気の持ちようって大事なもんなんだよ。何事も前向きに考えるほうが健康的だしな
ほたる,プロデューサー…
Ｐ,今日だってお互いこうして仕事もレッスンも休んで遊べてる訳だし、俺もほたるみたいな可愛い娘とデート出来てるんだからな
ほたる,か、かわっ…！？
店員,すいませーん。そろそろお時間になりまーす。延長なさいますかっ？
Ｐ,おや、もう時間か。モフモフは時を忘れるな……ほたる、どうする？
ほたる,かわ、かわ…か、かわ…
Ｐ,…いかんショートしとる。すいません、じゃあ退店します
店員,はーい。それではお会計いたしますねーっ☆
Ｐ,ふぃー、めっちゃモフモフ成分補充出来たわ…
ほたる,かわ…かわ、かわ、カワ…
Ｐ,おーいほたるー、そろそろ戻ってきてくれー
ほたる,カワ…カワ……カワウソ？
Ｐ,えっ、今度はカワウソカフェ？
ほたる,…あれ？いつの間に外に？
Ｐ,おかえりほたるん
ほたる,す、すみません…私ボーッとしていたみたいで…
Ｐ,ほたるも満喫してたもんなぁ。…どう？今回はもう大丈夫そうか？
ほたる,ど、どうでしょう…。自分ではよくわからないので…
Ｐ,しかし最初は驚いたよ。ウチに来てからほたるが今まで言ってたような変なトラブルとかパッタリ無くなったかと思ったら、数か月に一度ぐらいに一度にドバーッと不幸な事が起こる日が出来たなんてな
ほたる,す、すみません、すみません…本当に…
Ｐ,いやいや、別にほたるに責任は無いだろ。それに１日に一度に来るほうが対処しやすいし
ほたる,でも…今はプロデューサーがこうして付き合って下さってますけど…
Ｐ,あー…以前は他のアイドルに任せちゃってたもんな…。みくがネコ耳カジキに貫かれたり加蓮がマンホールに落ちたり留美さんの婚姻届けが受理されなかったり…
ほたる,すみません、すみません…
Ｐ,だからほたるのせいじゃないっての。別にほたるが不幸を運んでくる訳じゃないだろ
ほたる,いえ…どう考えても私のせいだとしか…
Ｐ,だったら何でほたる自身には何も起こらないんだ？
ほたる,…え？
Ｐ,ほたるが怪我したり酷い目に合うほうが俺はずっと不幸だけどな。多分事務所の他の娘達もそう言うだろうよ。ほたるは人よりちょっとだけ運が悪くなる日があるってだけだ。お前は絶対不幸を呼ぶような娘じゃないよ
ほたる,で、でも…私、今まで所属した事務所がいくつも倒産して…
Ｐ,偶然だろ
ほたる,そ、それに…仕事中に機材が倒れてきたり照明が落ちたりなんて事も何度も…
Ｐ,何度もそんなトラブルあったのに怪我してないのはむしろ運が良いんじゃね？
ほたる,……そ、そうです。私毎日黒猫に横切られて…
Ｐ,毎日野良猫に遭遇するとか羨ましいわ
ほたる,…
Ｐ,…
ほたる,…私、不幸ではないんですか？
Ｐ,話を聞く限り、むしろ幸せな人生だと思います。今だって人気アイドルとして売れっ子だし
ほたる,そ、そうなんでしょうか…。ど、どうしましょう…私薄幸娘ってキャラで売り出されてしまっているのに…
Ｐ,売れてる時点で薄幸では無いよな。ウサミンが何度も１７歳の誕生日迎えてるぐらい矛盾してるわ。ほたる自身はどう思ってるんだ？今の自分を不幸だと思うか？
ほたる,……いえ、そんな事は…
Ｐ,それなら良いんじゃないか？まあ、そのうちこういうほたるの日
ほたる,そ、その言い方はちょっと…
Ｐ,そのうち日本国中の祝日になればいいのに
ほたる,国家スケール！？
Ｐ,まあ、それは半分の半分冗談だとして
ほたる,７５％本気なんですか
Ｐ,どうする？何かもう今日は落ち着いたみたいだし。そろそろ戻るか？
ほたる,えっ？。…えっと、その…。も、もうちょっとだけ…
Ｐ,えっ、何だって？
ほたる,で、ですから……って、プロデューサー危ないっ！
Ｐ,えっ？
ほたる,大変ですっ！突然東城会と近江連合の抗争が！
Ｐ,あだだだだだっ
ほたる,突然空から巨大な隕石がッ！！
Ｐ,ＩＴＥっ
ほたる,足元からいきなり間欠泉がっ！
Ｐ,あちちちっ
ほたる,サーカスから脱走したライオンが！
Ｐ,うっわ、モフりがいがあるな
ライオン,おおぅ…ええ感じや
ほたる,ヘレンさんがっ！
ヘレン,ヘーイ
Ｐ,ヘーイ
ＤＩＯ,ロードローラーだ！！
Ｐ,オラァ！！
ほたる,って誰ですか今の
Ｐ,さぁ…何か９６１プロの社長みたいな声してたけど
ほたる,…
Ｐ,…
ほたる,……すみません…
Ｐ,いや、俺もちょっと油断してた
ほたる,…今日はまだかかりそうですね…
Ｐ,せやね
ほたる,すみません…もう少しだけお願いします…
Ｐ,構わんよ
ほたる,本当にすみません…
Ｐ,気にしないでいいっての。お腹も空いてきたしどこかで夕食にしようか
ほたる,は、はいっ
Ｐ,んじゃ行こうか。ほたるは何食べたい？
ほたる,えっと……それじゃあ、焼き肉で…
Ｐ,意外とガッツリいくのな
凛,あれ、プロデューサーは？
ちひろ,今日もお休みですよ
未央,えー今日も？休みすぎじゃない？
卯月,プロデューサーさんが連休なんて地球が滅ぶんですかね！
凛,ちひろさん、プロデューサー今日は何で休みなの？…まさか、昨日のほたるの日
ちひろ,いえ、何かあったと言うより…
未央,言うより？
ちひろ,終わってないんですよ、ほたるの日
ほたる,す、すみませんすみません…まさか連日立て続けになんて…
Ｐ,いやいや、今までにないパターンだけど仕方ないさ。俺も連休なんて何年ぶりだし
ほたる,本当にすみませ……って、プロデューサー危ないっ！
Ｐ,えっ？
ほたる,すみません、すみませんプロデューサー…やっぱり私のせいで不幸が…。……でも…。この不幸のお陰で、私は今幸せですよ？
オフ潰されまくったストレスを息子,ハムスター
