モバP(以下Pにゃあ),アハハハハッ！おもしれー！
加蓮,説明したらしたで凛は知らずにとは言えそういう言葉を連呼したっていうのがあるからさ…
P,あー……かなり凛に恥ずかしい思いさせるな…
奈緒,かといって私達が説明しなくても事務所のアイドル達に聞きそうじゃないか？
加蓮,下手すれば年少組も気になってかなり大きな話になりそうだし…
P,……つまり…
凛みりあ薫雪美晴仁奈千佳桃華ありすこずえ舞,プロデューサー(せんせぇ)！イチモツってなーに(なんですか)？
P,みたいな感じになるってか…
加蓮,千枝が抜けてるのに悪意感じるね……
P,人の脳内覗くな。これだとあの子達にも悪影響になりそうだな…
奈緒,なんとかしないと……
凛,みんな帰ってこない…
卯月,戻りましたー
未央,たっだいまー！……ってあれ？しぶりんだけ？
凛,ううん。プロデューサーと加蓮と奈緒がみんなどっかに行っちゃったんだ
未央,どうして？
凛,ただ気になった事聞いただけなのに…
卯月,気になったって何がですか？
凛,イチモツって何？って聞いただけ
卯月未央,
未央,えーと……渋谷さん？突然何を仰られますの？
卯月,未央ちゃん言葉遣いおかしいよ…？
凛,？ただ気になって聞いただけだよ？
未央,まぁ……そのしぶりん、あまりそういう言葉は言わない方が…
凛,なんで？プロデューサーそれで笑ってたよ？
卯月,ぷ、プロデューサーがぁ！？
未央,プロデューサーその程度で笑うんだ……
凛,だから気になったんだ？どういう意味なんだろうって
未央,あ、そうだ！次仕事あるからまた今度ねー！しまむー行くよ！
卯月,えぇー！？待ってください未央ちゃん！というより次の仕事は……
凛,行っちゃった……なんだったんだろう……
美嘉,たっだいまー☆
凛,あ、おかえり美嘉
美嘉,そういえばさ、さっき未央と卯月がダッシュで事務所から出てったけど何かあったの？
凛,ううん。何もないよ
美嘉,本当に？
凛,うん
美嘉,……ならそれ以上は踏み込まないけど…何かあったらアタシでもいいから言ってね。力になるからさ
凛,ありがとう美嘉。じゃあちょっと分からないことがあるんだけど…
美嘉,何？
凛,イチモツって何？
美嘉,い、い、い、い、いちも、いちも！？///
凛,？美嘉どうしたの？顔赤いよ？
美嘉,い、いやーナンデモナイデスヨ？
凛,熱でもあるの？風邪？
美嘉,だ、大丈夫大丈夫！
凛,そういえばイチモツは病気に効くらしいね。薬じゃないらしいけど
美嘉,効かないよ！あと風邪とかの時にそんな事したら駄目ー！///
凛,そんな事？イチモツって何かの行為なの？
美嘉,いやそのあの行為というか…
凛,美嘉知ってるの？
美嘉,その……。………。////
凛,ねぇ美嘉教えてよ。イチモツって何？
加蓮,ーー！今凛は美嘉にアレの事について聞いてるよ！
奈緒,本当か加蓮！てかなんでわかるんだよ！
P,やっぱり美嘉に行き着くか。あいつウブ過ぎるから今顔赤面であたふたしてるな…
奈緒,やっぱり話した方がいいんじゃないか？
P,………仕方がない。俺が話す
加蓮,プロデューサー？大丈夫なの？
P,元はと言えば俺が原因だしね。担当がそんなの状態なのを放っておけるかよ。俺は凛のプロデューサーだからな
加蓮,……めちゃくちゃカッコいい事言ってるけどただ下ネタについて話すだけなのに大袈裟だね…
P,凛！
凛,プロデューサー？タバコ吸い終わったの？
P,凛……決心したんだ……今から話すよ…
凛,何を？
P,ナニってイチモツについてだよ
凛,やっと話してくれるんだ
P,あぁ…だけどここじゃ話せないからついて来なさい
凛,うん。わかった
美嘉,二人とも行ったんだ…ってちょっとあの部屋仮眠室じゃない！？
凛,ねぇプロデューサー？なんで仮眠室で話すの？
P,凛、今からイチモツについて話す
凛,うん
P,ただ話すより実物見せた方が早いから実物を見せる
凛,本当？実物が見れるんだね。なんだか嬉しいな
P,なんで？
凛,気になるものが目の前で見れるってなんだか嬉しくない？見たいなイチモツ
P,そうか凛……そんなに見たいか……なら……。イチモツ、見たけりゃ見せてやるよ
美嘉,一体仮眠室で何してるんだろ？。
早苗,ただいまー……って美嘉ちゃん？どうしたのボーゼンとして？
美嘉,
早苗,ん？仮眠室？。未成年淫行やんけ！確保よー！
