ちょっとウザいモバＰ(以降Ｐ表記),ペース上げるぞ芳乃！
芳乃,とてもとても甘いのでー
乃々,甘いんですけどっ！甘いんですけど口当たりが良くていくらでもいけそうなんですけどっ！
まゆ,なんでしょう、ほんのりと酸味を感じますね…Ｐさぁん、また何か仕掛けたんですかぁ？
Ｐ,人聞きの悪い…隠し味をちょっと入れただけだよ
芳乃,ほー、ほふーっ、んにゅううー
Ｐ,餡子を煮る時にマーマレードをスプーン大さじ１杯程入れたんだ。柑橘系の酸味と風味で口当たりが軽くなるしスッキリとした甘みが加わるから割りとオススメだぞ
乃々,反則なんですけど、絶対太るんですけどこれ…お餅をわざわざ一口サイズに切ってるのもタチ悪いんですけど…
Ｐ,そう言いながら頬っぺたパツパツになるまで頬張ってる森久保さんマジシマリス
芳乃,んにゅぅー、お餅がー、切れないのでふぅー
まゆ,この、上に散らされてる黄色い粉みたいなのは何なんですかぁ？
Ｐ,ああ、それは卸し金で削った柚子の皮だよ。レモンとかオレンジでも良いんだけどな
乃々,うぅ…お汁粉なのにスルスルとお腹に入るんですけど…もりくぼはもう明日からもちくぼです…もちくぼののです…
芳乃,ふにゅにゅにゅにゅ……うぅー、そなたぁー、そなたぁー、お餅切れませんー、切－れーまーせーんー
まゆ,まゆ、もうこのままＰさんとお餅の海に溺れたいです…
Ｐ,全身大火傷しますよ、その海
乃々,太るんですけど…デスクの下に入らなくなっちゃうんですけど・・・あ、でも…むぅーりぃー…
芳乃,にゅにゅにゅにゅにゅ……！んーっ…！ぷはぁっ！…切れましたー
Ｐ,３人とも満腹だって言いながらしっかり食べてるじゃないか。俺の分が無くなるぐらいに。いやあ、昨日は餅三昧だったな
芳乃,ですがー、結局あの後ちひろ殿に怒られましたー
Ｐ,仕方ない。普通事務所で杵振りかざして臼を殴打したりはしないもんな。でもその後ちひろさんも他のみんなも大喜びで餅食べてたよな…あれ、怒られたの理不尽じゃね？
芳乃,それはそれー、これはこれー、というものですー
Ｐ,ま、いいけど。みんなたらふく食べてたもんな。新年早々全員三村るな、こりゃ
芳乃,楽しそうに言う事なのでー？。それはそれとて、そなたー？この臼はどうしましょうー
Ｐ,うーん…１回使っただけでまた倉庫まで運ぶのも面倒だし…今日もしばらく事務所に人は来ないし…。…やっちまうか
芳乃,怒られたばかりですー。ですがやりましょうー
Ｐ,よーし、んじゃ早速もち米蒸かしてくるわ
芳乃,はいー
輝子,…ん…？ね、寝ちゃってたのか……？。年末、忙しくて様子を見てやれてなかったマイフレンド達の世話をしてたらいつの間にか…も、もうこんな時間か…。そ、そろそろ誰か来る頃かな…？し、親友……新年の、挨拶しないと…
Ｐ,芳乃っ！もっと激しくするぞ！
芳乃,そなたっ、そなたっ！も、もう少し優しくしてください…！
輝子,フヒィッ！？
