プロデューサー,以下P
昴,そうだな。育が定期公演に出られないときは、みんなでスケジュールを調整し合ってカバーしようぜ！
のり子,もちろんアタシらも、何かの仕事で須五井プロの子と一緒になるときにはしっかりアピールしたいよね
恵美,そんでもってレッスンと仕事以外の時間はしっかりリラックスしよ。気を張ってばかりいてもしょうがないもんね
のり子,育があんなに頑張ってるんだもの。落ち込んでなんかいられないよ。ね、桃子！
桃子,えっ…うん、そうだね。一大事だと思ったけど、誰も落ち込んでないし、むしろ一体感が強くなったみたいで良かった。それにしてもお姉ちゃん、須五井プロ劇場のこと知ってて黙ってたなんて……
テレビ局員,765プロダクションさんですね。その節は大変お世話になりました
P,いえ。改めて本日はよろしくお願いいたします
テレビ局員,こちらこそ。早速ですが、資料を拝見させていただきました。中谷育ちゃん、快活そうな可愛らしい子ですね
P,ありがとうございます。こちらも台本を確認の上検討し、中谷が最も適任と考え推薦させていただきました
テレビ局員,殺人犯として疑われた女性の心の拠り所となる存在、という役どころですね。確かに役のイメージにぴったりではあるんですが…。765さん、申し訳ないんですがこの役、周防桃子ちゃんに引き受けてもらえませんでしょうかね
P,え？ええ。スケジュールさえこちらで調整すれば可能ですが……差し出がましいようですが、何か周防をご指名いただく理由があるのでしょうか？
テレビ局員,いえね、765さんにお声掛けしているとスポンサーに伝えたところ、ならぜひ周防桃子ちゃんを起用して欲しいとの意見が出ましてね
P,なるほど、そうでしたか
テレビ局員,屋根裏の道化師私も拝見させてもらいましたよ。いやあ彼女の演技は実に見事でした。さすが子役としてキャリアを積んでいただけはある。クールな印象の子ですがあの演技力ならこういう明るい役もしっかり演じきってくれることでしょう。いかがですか？引き受けてくださいますか？
P,どうやら先方の意思は堅そうだ。これ以上強引に育を推す理由もないし、指名のオファーを逃す手もない。ここは受け入れよう。かしこまりました。それでは周防桃子をそちらの二時間ドラマに起用させていただくということで、よろしくお願いいたします
テレビ局員,ありがとうございます！いやあ良かった。オーディションの手間が一枠省けるとなると、スタッフも大助かりですよ
P,刑事ドラマの主な客層は主婦と高齢者……トゥインクルリズムの客層と合致しない。宣伝材料としては乏しかったか。とはいえ最近の桃子の評判は目覚ましいな。うちに来るまでは業界でも悪名高かったなんて嘘みたい。後で何かご褒美をあげなくちゃ。社長か――もしもし、お疲れ様です
高木,やあ君、営業は順調かね？
P,はい。先ほど一つ新しい仕事が決まりました。詳細は追ってご報告します。――ところで、ご用件は？
高木,そうそう。先日から始まった大神環くんの教育番組、当然君も観ているよね？
P,ええ。昆虫マニアで知られる俳優さんがMCとして熱く語る姿が話題ですよね
高木,そう！その俳優さんから直々のオファーがあってね、今度自身が主演するドラマにぜひ環くんをゲストとして起用したいそうなんだ
P,本当ですか！？願ってもみない大チャンスじゃないですか。本人もきっと喜びますよ。私も大歓迎です
高木,君ならそう言ってくれると思ったよ。それじゃあ先方には承諾の方向で私の方から連絡を入れておくよ
P,ありがとうございます。お手数をおかけしますが…
高木,これくらい構わないよ。いやあ、39プロジェクト、実に順調で何よりだ
P,あの名優にすっかり気に入られちゃうなんて、さすが環ね。この調子で、育にも早く良い報告ができれば…
高木,それと、さっき音無くんから連絡があったよ。……須五井プロダクションの劇場の件、アイドル諸君の耳にも入ったそうだ
P,……そうですか
高木,何というか、これも因果というものなのだろうかね
P,どうあれ私は765プロのプロデューサーです。今後もすべきことを続けるまでです
高木,そうか……それでは、今後ともよろしく頼むよ
P,はい。お任せください。……。因果、か。それによってアイドルたちが傷つくようなことだけは、絶対に起こさないようにしないと
育,おはようございます！
P,おはよう育。早いのね
育,だって劇場でのレッスン久しぶりなんだもん――あっPさん、エプロンつけてる！もしかして、お料理するの？
P,どうしようか……育はこのところ毎日演技の個人レッスンばかりだったし、良い気分転換になるなら――。ちょうど良かった。これからホットケーキを焼くんだけど、手伝ってもらえる？
育,うん！今日のレッスン、久しぶりに桃子ちゃんといっしょなんだよね。もしかして、そのホットケーキって桃子ちゃんのために？
P,えっと……実はそれも理由の一つ。今日は春香がいないから、育に手伝ってもらえるなら心強いよ
育,まかせて。おかあさんと一緒に何度も作ったことあるから、Pさんが失敗しそうになったらわたしが教えてあげるね！
P,それじゃあ荷物を置いて制服を着替えたら台所に集合ね。育のエプロンだけど……このみさんのを借りようか。――よし。多めに作るからタネは二つのボウルに分けて混ぜよう。育はそっちのボウルをお願いね
育,はーい。材料は量らなくていいの？
P,ええ。パッケージの裏に書いてあるとおりに私が分けておいたから、卵と一緒にそのままボウルに入れちゃってね
育,わたしが着替えてくる前にもう分けちゃったの？わたしだってそれくらいできるのに…
P,でも混ぜ方のコツがよくわからないから、育に教えてもらえると助かるな
育,ホント？じゃあおかあさんがいつもやってる混ぜ方、Pさんにも教えてあげる！
P,じゃあ焼いてくよ。育はフライパンにバターを入れてくれる？
育,うん！。わぁ、とってもいい匂い。桃子ちゃん喜ぶだろうなぁ
P,……。気分転換になればと思って誘ってしまったけど、考えるまでもない。こんなのあんまりだ。元々は育にやってもらう予定だった仕事が桃子に決まって、その桃子のための激励のホットケーキを育に作らせるなんて。……ねぇ、育……あのさ
育,なぁに？Pさん
P,育がそんなこと気にしない子だとわかっていて甘えているのは私――私が育の立場だったら、絶対耐えられない…
育,あっPさん、早くひっくり返さないと！こげちゃうよ
P,あっヤバ――ギリギリセーフ、かな…？
育,もーう。ちょっとこげちゃってるよ。フライパンに火をつけたら、ちゃんと見てなきゃダメなんだからね
P,ゴメン！この1枚は私が責任を持って食べるから。次は……ちゃんとできると思う
育,しょうがないんだから。それでPさん、何を言おうとしてたの？
P,ううん、何でもないの。気を取り直して次の分を焼きましょう。そう、次こそは必ず……私ができることはそれしかない。ごめんなさい、育…
育,……
P,実際に撮影が進行中の現場のすぐそばの建物でオーディションするなんて、なかなかすごいな。スケジュールの都合だろうけど…
監督,カットォ！ダメだよ。そこはもっと激情を爆発させなきゃ。もう一回！
P,さすがに現場の声が漏れ聞こえてくる状況じゃ、育が緊張するのも無理ないな…。ねぇ育、ジュースいらない？私喉渇いちゃって。ついでだから育の分も買ってくるよ
育,え？うん……じゃあアップルジュース
P,わかった。すぐ買ってくるからここで待っててね。えっと、自販機は……建物の外か。次は自分のコーヒーを…
口先和瑠江,先輩――
P,なっ……！？
和瑠江,あら失礼。“元”先輩、でしたね
P,口先和瑠江……そうかこの子、この映画の出演者なのか
和瑠江,こんなところで会うなんて偶然ですね。まさかまだ役者を続けてたとか？そんなわけないわね。だって今日この建物は子役オーディションにしか使ってないもの
P,……っ
和瑠江,スーツ姿に地味なバッグ……その格好、まさか子役のマネージャーにでもなったとか？。アハハハ、傑作ね。須五井プロ黄金世代でただ一人練習生から昇格できなかった負け犬が、マネージャーに転身してまで業界にへばりつくとは。未練タラタラじゃない。モラトリアムも大概にした方がいいわ。あなたみたいな無能な女は、早く田舎に帰ってそこそこの男とくっついた方がよっぽど幸せになれるわよ。まあそれが嫌だっていうなら、私に止める権利なんてないけど……せいぜいこの大都会で野垂れ死なないよう気をつけて生きてくださいね。セ・ン・パ・イ
耳度志麻子,口先さん、撮影お疲れ様です。こちらにいらしたんですね。……あら、そちらの方はお知り合いですか？
和瑠江,あら志麻子ちゃん――いいえ。知り合いに似ていると思ったのだけれど、気のせいだったわ。じゃ、私はそろそろ休憩が終わるから失礼するわ
志麻子,はい。では後ほど。……ふう。どうやらうちの事務所の者が失礼を働いたようですね。申し訳ありません。謝罪させてください
P,えっ？えっと、あなたは確か――
志麻子,耳度志麻子といいます。本日はこちらのオーディションに出場するために参りました。どうぞよろしくお願いいたします
P,あ、こちらこそ…噂には聞いてたけど、めちゃくちゃ丁寧な応対をする子ね
志麻子,口先さんは大変素晴らしい女優さんなのですが、少々気弱な面がありまして、気持ちに余裕がないとああやって弱者に対してマウントを取ってしまうのです
P,ええ熟知してますとも――と、この様子だとどうやら会話の全てまでは把握してないみたいね
志麻子,ですから大手ではない事務所や制作会社のスタッフの方を傷つけるような真似を――
P,いえ、お気になさらず。あなたこそもうすぐオーディションでしょう？
志麻子,あっ、そうでした。おや？あなたの担当タレントの方はどちらに
P,あ、えーっとね――
育,あっPさんここにいたんだね。もう、遅いから心配して探しちゃったじゃない
P,ごめんごめん
志麻子,なるほど、こちらの方が……初めまして。私、耳度志麻子と申します
育,こんにちは。わたしは中谷育です！よろしくね
志麻子,ええ。本日はお互い悔いの残らないよう、全力を出し尽くしましょうね。……ではまた後ほど
育,きれいな子……あの子もオーディションを受けるんだよね
P,今回も主要キャストに須五井プロの俳優が複数いる。となればやはりライバル筆頭は彼女か。確かに魅力的な子かもしれないけど、育には育だけが出せる個性がある。他の子のことは気にせず、いつもどおりしっかり自分をアピールしよう
育,もちろんだよ。わたし、負けないからね！
百合子,この映画って確かこの間、育ちゃんがオーディションを受けたっていう…
亜利沙,ええ。映画出演効果もあって須五井プロ劇場はこけら落としから連日満員御礼の大盛況です。さすが実力者揃いだけあってパフォーマンスも至極のものでした
百合子,…亜利沙さんがこんなに沈んだ顔でアイドルのことを語る姿、初めて見たかもしれません
亜利沙,いくらライバルとはいえ、このありさが華々しい舞台の上で輝くアイドルちゃんを観てときめかないわけありません……ですがさすがに複雑ですよ
百合子,育ちゃんが定期公演をお休みしている分、私たちみんなで育ちゃんの分も頑張らないと！って張り切っていたものの――
亜利沙,その矢先にこのニュースですからね……昨晩の公演も一昨日よりお客さんが少なかったそうですし、みんなから不安の声があがっても不思議ではありません
百合子,育ちゃん、今日この後劇場に来る予定だってホワイトボードに書いてありました。久しぶりに会いたいけど…
亜利沙,ありさメモによると、まつりさんと同じ時間にレッスンですね。ありさたちはその時間、撮影所に出発してしまうので残念ながら会えませんね…
百合子,まさかこんなに早く亜利沙さんとまたドラマで共演できるなんて思いませんでした。しかも深夜ドラマのゲスト怪人役だなんて
亜利沙,トゥインクルリズムのスタッフさんが多く関わっている番組というご縁も手伝いましたからね
百合子,それなら育ちゃんも一緒に出られたら良かったのに――って考えちゃうのは、欲張りなのかな
亜利沙,Pさんのことですから、きっと育ちゃんも出演できるよう交渉したかもしれません。とはいえ、まるっきりキャストが被ってしまうのも不自然ですし
百合子,考えても仕方ないですよね。それよりまずは自分の仕事に集中しないと。765プロ劇場の正念場だもの
亜利沙,ええ。頑張りましょう百合子ちゃん！
育,えっと、まずはお母さんと公園で遊ぶシーンから――
まつり,ほ？育ちゃん、まだ予定の40分前なのですよ
育,まつりさん…。うん、ダンスレッスンの前に、明日のオーディションの台本を確認しておきたかったから
まつり,育ちゃんは勉強熱心で感心なのです。姫も見習わないとなのです
育,えへへ。これくらい当然だよ
まつり,でも姫はかよわいので、頑張ってばかりだと疲れてしまうのです。育ちゃんは疲れていないのです？
育,平気だよ。いつもおかあさんや先生、それに劇場のみんなが一緒にいてくれて、いろんなことを教えてくれるから…。だって一人じゃ解決できないときは、だれかをたよっていいんだよね？
まつり,もちろんなのです。一人で頑張るのは大変でも、誰かと一緒ならとびきりわんだほー！なのです
育,うん！まつりさんやみんなと一緒なら、わたしなんでもできちゃいそうな気がするよ。でもね、最近いろんなオーディションを受けてみて、思ったことがあるんだ。どんなにみんなが力をくれても、一人のアイドル、一人の役者さんとして審査されるときは、わたしは一人のわたしなんだって
まつり,ふむふむ……もう少し詳しく聞いてもいいのです？
育,えっと……わたしね、この劇場のアイドルみんなのいいところ、たくさん知ってるよ。大好きなみんなのいいところを、わたしも見習いたいって思う。だけどわたしはわたしだから。オーディションの審査員さんは、わたしがどういう役者さんなのかを見てる。Pさんも、いつもどおりの育らしさを見せようって言うもん。…まつりさんは、美奈子さんのお友達が39プロジェクトのオーディションを受けに来ていたって話、知ってる？
まつり,確かお友達みんなでオーディションを受けて、最終的に受かったのは美奈子ちゃんだけだったのですよね
育,うん。たぶんそれと同じなんだって思うの。一人だけ受かったって知ったとき、美奈子さんはショックで合格の返事ができなかったんだって
まつり,美奈子ちゃんは友達思いの優しい子ですからね
育,だけど……たとえ一人でもそれが美奈子さん自身の夢だから、美奈子さんはアイドルになる道をえらんだんでしょ。だからわたしも、何度不合格になったとしても、一人のわたしとして真剣にオーディションに向き合いたい。映画に出てみたい、大人っぽい役がしたいっていう気持ちはずっと変わらないよ。そのためならわたし、これからだっていっぱいがんばれる！。でもわたしをそういう役で使うかどうかは、審査員さんが決めることだから
まつり,育ちゃんは本当に立派なのです。なら少し元気がないように見えたのは、きっと姫の思い過ごしだったのですね？
育,ううん、気になることならあるよ。……Pさんのこと
まつり,ほ？
