藤居朋,あたしのカード達、今日もありがと！
留美,欲しいことは伝えておくけれど、期待しないで
朋,留美さん、物質と霊質を繋ぐためには
留美,自らが認めたものが多く必要、前にも聞いてるわ
朋,覚えてくれるなんて、さすが！よっ、敏腕！
留美,今すぐは出来ないから、我慢なさい
朋,ねぇ、留美さぁん♪おねがぁい☆
留美,私に媚びても、そんな権利ないのよ
朋,え～。それなら、ネコミミもつけて、なんなら踊るわよ！
留美,何言ってるのよ。篠原さんでも見習って、地道にがんばりなさい
朋,礼さんを？
留美,ええ、丁度いいと思うけれど
朋,うーん、タイプが違う気がするわ
留美,違う所がわかれば、もっと良い占い師になるヒントになるわ
朋,留美さん、ビジネスマンみたいなこと言うのね
留美,ビジネスマンだもの
朋,礼さんとの違い……はっ、まさか！
留美,わかったなら良いわ
朋,ズバリ、おっぱいね！
留美,……ハァ
朋,確かに礼さんなら満足度高いのもわかるわ。ちょっと、盛大にため息つかないでよ
留美,少しは期待してるんだから、落胆させないで欲しいわ
朋,留美さん、期待してくれてるの？
留美,業績があがれば私も嬉しいもの。お疲れ様、また明日
朋,お疲れ様でした！さて、帰ろうかしら。あたしの雪菜ちゃん、ちょっと来て。ごめんごめん。それだけじゃないのは、わかってるわ。うん。今日のご飯は何がいいかしら？。いいわね。そう言えば、コラーゲン鍋ってどうなのかしら？。ポン酢も余ってるし、水煮ね。もちろん。さ、着替えてスーパーに寄って帰りましょ。あたしのカード達、ちょっと休憩しててね
篠原礼,朋ちゃん、こんにちは
朋,礼さん、こんにちは！
礼,調子はいかがかしら？
朋,バッチリよ。礼さんは？
礼,私は問題ないわ、でもトラブルに巻き込まれる星の日なの
朋,へー、なにかあったら言ってね？
礼,ありがとう。中抜け時間が長いけど、申し訳ないわね
朋,こっちが部屋を貸してもらってるんだもの、全然問題ないわ。今日は予約のお客さんだけ？
礼,ええ
朋,さて、出て行かないと
礼,まだ時間があるから、急がなくていいわ
朋,そう？そういえば、礼さん衣装変えたの？
礼,そうよ。どうかしら
朋,すっごい良いわ！紫って雰囲気あるわよね！
礼,ふふ……少し細身にしてみたの
朋,礼さん、スタイル良くていいなぁ。ねぇ、やっぱり男の人って目線下がるの？
礼,下がるわよ
朋,ふーん、やっぱり武器じゃない
礼,下がってる人は問題ないのよ
朋,問題ない？
礼,そんな余裕もない人だったら、どう思うかしら
朋,なるほど。やりがいがありそうね
礼,男女問わずに不躾に指摘するのも危険な兆候よ
朋,ふむふむ
礼,星や心の声はどこに現れているかはわからない
朋,占い師はサインを逃さすべからず、ね
礼,良く出来ました
朋,留美さんに言われたの、礼さんを参考にしてみたらって
礼,そう、参考になるかしら？
朋,勉強になるわ。そうだ、お昼は何を食べたらいいかしら？
礼,昨日の夜は何を食べたの？
朋,鶏肉と水菜の水煮よ
礼,朝ご飯は
朋,水煮の出汁でお雑炊
礼,それじゃあ……少し顔を見せて
朋,はーい
礼,良い子ね……朋ちゃんは肌がキレイね
朋,礼さん、顔近いわよね
礼,これくらい普通よ……
朋,そうとは思えないわ
礼,はい、おしまい
朋,どう？
礼,活力があって好相。ただし、足元が疎かになっての失敗に注意すること。基本に立ち返るのがいいわ
朋,うんうん、それで？
礼,ランチは冒険しない方がいいわね。慣れたお店でいつものメニューを。仕事場には早めに戻ること
朋,なら、いつものカフェのランチセットにするわ
礼,あなたに幸運がありますように
朋,礼さん、ありがと。またね。衣装？。あたしは気に入ってるけど、既製品だし確かにオリジナリティがないわね。あたしが？海ちゃんが作ってよ。あたしの海ちゃんがうんとは言わないわよね。海ちゃんに相談してみようかしら
留美,藤居さん、ちょうど良かった
朋,留美さん、どうしたの？
留美,時間前だけど、お客様をご案内してもいいかしら。待合室にいるのだけれど、誰も応対できる人がいなくて
朋,うん。ラッキーね、礼さんの言う通り早めに戻ってきて良かったわ
留美,着替えは終わってるわね
朋,でも、部屋に入ってないからお清めができてないわ。どんな人なの？
留美,会社員さんよ。これが事前アンケート
朋,ありがと。三船美優さん、２月２５日生まれの魚座ね
留美,ご案内は待ってもらうかしら
朋,占いは初めて、何かご希望はあったの？
留美,特にないみたい。藤居さんにお任せするわ
朋,声をかけられたから、寄ってもらったのね。それじゃあ、すぐに案内してもらっていいわ
留美,わかったわ
朋,お清めの儀式から説明した方が面白いわよね。オッケー、礼さんの部屋でいい？
留美,ええ。藤居さんが入ったら、部屋にご案内するのでいいかしら？
朋,行ってきます
留美,お願いね
朋,藤居朋です、こんにちは
三船美優,三船美優と申します……今日はお願いします
朋,……あたしの雪菜ちゃん、ちょっとアドバイスちょうだい
美優,何かおっしゃいましたか……？
朋,ううん、こっちの話。三船さん、希望の占いはありますか？
美優,いいえ、特には……占いなんて受けるのも初めてで……
朋,勧誘しつこくて断れなかった？
美優,そういうわけでは……今日は少しだけ気になって、看板を眺めていたので……丁度良いかと
朋,お時間は大丈夫ですか？
美優,はい……待ち合わせの時間には余裕がありますから
朋,待ち合わせですか？
美優,ええ。友達と映画を見て、お夕飯を食べる約束をしていまして
朋,それじゃあ、遅れないようにしますね。占ってもらいたいことはありますか？恋愛とか仕事とか
美優,これと言っては……細かく指定していいものなんでしょうか？
朋,それじゃあ、全体運にしましょうか。お姉さんの恋人との相性を占いますよ！
美優,恋人はいないんです……その、寂しくはないですけれど
朋,あらら、ごめんなさい。恋愛運は将来の運勢にしますね
美優,お願いします……あの、仕事運とかは
朋,もちろん！お姉さんはお仕事に何かお悩みでも？
美優,いえ……これからもっと上手くいけばいいな、と思っていて
朋,うんうん。お姉さん、占いの方法は何がいい？
美優,詳しくないので……
朋,例えば、手相、人相、良く街にいる易占いとか、棒持ってる人ね、トランプ、サイコロ、血液型、動物占い、あっちむいてほいとかあるわ
美優,あっちむいてほい……ですか？
朋,要するに霊とか心の声を聞く手段としては色々あるってこと。ねぇ、精霊さんは日本語喋れると思う？
美優,考えてみれば……話せないのかもしれませんね
朋,そうそう、ロマンがあるでしょ？
美優,はい……その通りですね
朋,じゃあ、何で意思疎通するか、なの
美優,あっちむいてほい、でもいいと……？
朋,いいけど、難しいわね。せっかく、来てもらったからタロットカードにしましょう
美優,タロットカード……
朋,お姉さん、タロットカードは知ってる？
美優,いえ……ほとんど知りません
朋,それじゃ、ちょっと説明しながらやるわ。何でも聞いてね
美優,はい……お願いします
朋,まずはお清めね。お寺と同じよ
美優,それは……お香ですか？
朋,そうよ。これで地のお清め
美優,私、アロマテラピーが好きなので……独特なお香ですね
朋,占い師の先輩がくれたの。残念だけれど、あげられないわ
美優,そうですね……ちょっと神秘的過ぎる気がします
朋,次は火のお清め。キャンドルに火をつけるわ
美優,綺麗なキャンドルですね
朋,火で雑念とかを一時的に燃やすのよ。じっと眺めてみて
美優,はい……
朋,はい、おしまい。次は風のお清め。自分に入ってる風をキレイにするのよ
美優,どうやって……ですか？
朋,深呼吸。はい、せーの、すー……
美優,すー……
朋,はー……
美優,はー……
朋,はい。次は水のお清め。そのボウルに入ってる水で手を洗ってね
美優,はい
朋,しまった、お客様用タオルを忘れたわ
美優,ハンカチがありますので……大丈夫です
朋,あたしも手を洗って、と。オシャレなハンカチね
美優,貰い物ですが……
朋,自分の色と同じ小物は運勢アップよ。送り主は良いセンスをしてるわ
美優,これから会うので……お礼を言っておきますね
朋,はい、あたしのお清めもおしまい。それじゃあ、あたしのカード達お待たせ！
美優,あたしのカードということは……他の誰にも使わせないんですか？
朋,ええ。人の世界に寄り過ぎるといけないの。今回の占いは、サイコロジースプレッドよ！
美優,サイコロジー……スプレッド？
朋,タロットカードは、大きく分けて３種類あるのよ。それぞれを一枚ずつ引いて、お姉さんについて占うわ
美優,３種類あるのですか？魔法使いとか死神が書いてあるのを見たことはありますけど……
朋,良く知られている大アルカナね。今からチューニングのために一枚一枚触れていくわ
美優,華やかですね……
朋,色や背景にも意味があるの。１の魔術師から２１の世界、そして０の愚者で２２枚が大アルカナよ
美優,前に正方向と逆方向で意味が違うと聞いたのですが……
朋,その通り。チューニングにも時間がかかるから、お話しましょう
美優,はい
朋,お姉さんから見て、正しい方向に見えたら正方向、逆だったら逆方向ね。例えば、３は女帝。母性や豊かさの象徴ね、これが逆になると
美優,えっと……
朋,イヤな女だったり虚栄の象徴になるの
美優,なるほど……
朋,正方向が悪い意味だから、逆方向が良い意味なカードもあるの。それは、出てから話すわ。オッケー、よろしくね、カード達！
美優,あと２種類あるのですよね
朋,そうよ。こっちはトランプに似てるわね
美優,トランプ……ですか？
朋,スートと呼ばれる杖、聖杯、剣、金貨っていう４種類にカードがわかれてるの。それぞれ１から１０まであって、数札と呼ぶわ
美優,残りは……
朋,４種類のスート毎に、ペイジ、ナイト、クイーン、キングね。これを宮廷札と呼ぶの
美優,なるほど……
朋,さて、チューニングしていくわ。お姉さん、お仕事は何してるの？
美優,会社員を……事務とかいろいろです
朋,そうなんだー、何年目になるの？
美優,もう５年ですね……最近やっと何をすればいいかわかってきました
朋,５年って短かった？
美優,そうですね……何もしなければあっという間です
朋,あたしもがんばらないとね
美優,でも……驚きました
朋,何が？
美優,若い占い師さんで、びっくりしました。当たる人らしいので、もっとご年配かと……
朋,実務歴は短いけど、友達とか学校では評判だったのよ。もちろん、神業じみた達人もいっぱいいるわ。あたしも日々勉強中よ
美優,占い師さんも勉強するのですか……？
朋,勉強も工夫も幾らでもすることがあるのよね。スピリチュアルな力だけじゃ、占い師としては失格ね
美優,そう思えるなら……仕事は楽しいですよね
朋,それもだけれど、お客さんと話すのも楽しいわ
美優,占い師さんが立派な理由がわかった気がします……
朋,まだまだだけど、今出来ることで信頼に応えてみせるわ。はい、カードの準備は完了よ。さて、始めるわよ！。数札、宮廷札、大アルカナのそれぞれをシャッフルして、３つの束に揃えたわ。一番上のカードがお姉さんの占いの結果を示すわ。心の準備はいい？
美優,はい……お願いします
朋,最初に数札よ。顕在意識、つまり今を指し示すカードね
美優,……
朋,オープン。剣の８、正位置よ
美優,えっと、女性が……捉えられてるように見えます
朋,うん。お姉さんにはどう見える？
美優,えっと……悪いカード、じゃないような……
朋,やっぱり、そう見えるのね。占いの結果は全部出てからね
美優,そういう作法なのですね……お邪魔でしたか
朋,ううん。次は宮廷札よ。無意識、つまりお姉さんの性格を示すカードよ
美優,性格……
朋,オープン。金貨のクイーン、正位置
美優,これは良いカードみたいですね……
朋,お姉さんにぴったりなカードだと思うわ。最後の一枚に行くわよ
美優,はい
朋,最後の一枚が一番重要よ。大アルカナは潜在意識、本質や運命を指し示すもの
美優,……
朋,オープン
美優,逆位置……
朋,大アルカナは月の逆位置。良かったわね
美優,良いのですか……？
朋,正位置ならば月は不安や悩みを象徴するわ、足を止めてしまうほどの
美優,逆位置だと……
朋,不安や悩みを抱えながらも進むこと。その道を照らしてくれるのが月ね
美優,……そうなのですね
朋,剣の８、正位置。金貨のクイーン、正位置。そして、月の逆位置。一枚ずつ説明していくわね
美優,お願いします
朋,剣の８はカードに書かれた通りに、束縛とかを指し示すわ。お姉さん、最近我慢してることある？
美優,大きくはないと思いますが……
朋,でも、そんな我慢を受け入れる力があるのね。お姉さん、恋人はいないのよね？
美優,はい……最近は男性との接点もあまり……
朋,今は我慢の時期ね。月が指し示す通りに、会社とかで自由に動けるわけじゃないのかな
美優,そうかもしれませんね……私はただの社員ですから……
朋,だけど、耐える力も変える力もお姉さんにはあるの。次のカードは金貨のクイーン
美優,このカードは……
朋,豊かな植物と動物に囲まれた女王様。仲間に恵まれた優しい女性よ
美優,私が、ですか……？
朋,カードはそう示してるわ
美優,ありがとうございます……皆には助けてもらってばっかりだから……
朋,そして、月ね
美優,月……
朋,不安や悩みの逆は、動物となり忘れることも意味するの
美優,感情に流されたりするとか……？
朋,その通り。でも、お姉さんなら大丈夫。自分の強さと仲間を信じれば、迷いながらでも進んでいけるわ
美優,……
朋,あたしにはお姉さんが何をがんばってるかはわからないけれど、きっと大丈夫
美優,……はい
朋,すぐには解決しないかもしれないけれど、迷いながらゆっくりと進めばいい。月はその道を照らしてくれるはずよ
美優,……
朋,他に聞きたいことはある？
美優,占いなんて……と思っていましたけど
朋,どうだった？
美優,心のつかえがとれた気がします……明日からもがんばれそうです
朋,うんうん
美優,偶然ですけれど……来て良かったです
朋,そう言ってもらえると嬉しいわ
美優,その、ありがとうございました
朋,どういたしまして。占いは時間的にこれで終わりかしら。聞きたいことある？
美優,前々から気になっていたのですけど……
朋,うん
美優,今すぐにやれば、占いは同じ結果が出るたりするのですか……？
朋,最初に話したようにカードを通じて話して貰ってるの。同じことを同じように話してもらう必要はないわ
美優,ごめんなさい……失礼なことを
朋,まっ、答えとしては同じ結果は出るわよ
美優,そうなのですか……？
朋,だけど、どうせだったら違う結果がみたいでしょ？条件があるの
美優,条件……
朋,また、来てね♪
美優,そういうことですか……ふふ
朋,状況が変わったり、悩んだりしたら来たりするのがいいわ
美優,小さなことでも？
朋,例えば旅行の方角とかでもいいわよ。そもそも、占いと旅はきってもきれない関係だから、得意分野ね
美優,もっと気軽に考えてもいいのですね……
朋,明日の事でもいいわよ。お姉さん、明日の予定は？
美優,ゆっくりお家でお休みするつもりです……いいでしょうか
朋,占い師に行動を変える力はないわ。自分の意思が何よりも大切
美優,わかりました、私の意思でゆっくりします……ちょっとおかしな言い方ですね
朋,占いはお金と相談ね。あたしが人気になる前に来ておくとお得なはずよ
美優,ふふ、ラッキーだったのかもしれませんね……
朋,それじゃあ、今日は終わり。映画と食事、楽しんできて
美優,そうだ、時間……大丈夫みたいです
朋,またね。割引券は貰っていくといいわよ
美優,はい……ありがとうございました
朋,んー……あたしの雪菜ちゃん、ちょっと聞いてー。気になることがあるのよ。わかってるわ。お昼後のお姉さんのことなんだけどね。ちょっと間違ったかも。うーん、でも違うような気がするのよ。お手上げかー。そうするわ。確認してみるわ。せっかくの日曜日なんだから、お仕事したいわね。……そうね。あたしの雪菜ちゃんなんか偏ってるわ、最近会ってないからよね……。うん、今日は早めに寝るわ。またね、あたしの雪菜ちゃん
留美,お客さんに連絡？
朋,うん、しても大丈夫なのかしら？
留美,誓約上、問題はないけれど
朋,ここ以外でお金を取るようなこともしないわ。しつこい勧誘もなし
留美,心配はしていないけれど、気をつけてちょうだい
朋,留美さん、ありがと！名前と電話番号と念のため住所を控えさせてね
留美,でも、なんでかしら？気になることでも？
朋,えっと、それは……
留美,それは？
朋,スピリチュアル直感よ
留美,……そういうことにしておくわ
朋,信じてないわね！
留美,信じてないわ。だって、あなたは違うじゃない
朋,なにが？
留美,直感で未来が見えるなら、水晶占いでもしてるでしょう
朋,まだパワーが足りないだけよ！直感を信じてもいいでしょ？
留美,否定はしないわ
朋,連絡してみるわ。ところで、留美さん
留美,なにかしら？
朋,日曜日は休みじゃないの？
留美,別に仕事してもいいじゃない
朋,不安なら、占おうか？
留美,余計なお世話よ。それに、占い師だったら私の方がよく知ってるわよ
朋,つまり、あたしよりも適役がいるのね
留美,恋愛相談に関してはね。選びたくなるくらいにがんばってちょうだい
朋,あたしが選ばれる前に留美さんは結婚するから、それはないわね
留美,ほへっ？
朋,じゃあ、行ってくるわ。留美さんも体に気をつけるのよ！
留美,い、行ってらっしゃい……。……。結婚の話、本当かしら……
朋,うーん、出ないわね。あたしの海ちゃん、それは違うと思うわ。家にいると思うけどねぇ。よし。訪ねてみることにするわ。あたしの海ちゃん、何がいいと思う？。アロマを選ぶのは難しいわね。一人で食べきれる量のお菓子にするわ。採用。たぶん冷え性だから、好きなはずよ。思ったより質素なアパートね。朋ですら、は余計。２０５号室は、ここね。はい、ピンポーン。……。もう一度押してみるわ。いないのかしら。まさか……本当に開いてるじゃない。不在ということはないでしょうね。三船さーん、いますかー？。お邪魔します、三船さん……あっ！。三船さん、大丈夫！？。三船さん！聞こえる！？。あたしの海ちゃん、どうしよう！？救急車、警察？。わかったわ。すー、はー。確かに。アロマを焚いてたのかしら。あたしの海ちゃんじゃ解決できなそうね……となると、あたしの留美さんとか。いや、自分で嫌味を言ってる場合じゃないわ！リアル留美さんでいいじゃない！ケータイ取り出しポパピプペ！。……
留美,藤居さん、お疲れ様
朋,留美さん、その、トラブル持ち込んでごめんなさい
留美,非常時なんだから、気にしないで
朋,あれ？怒られるかと
留美,怒ったりしないわよ。大変だったわね。警察の聴取は終わったのかしら
朋,見つけた時の状況は説明したけど、別の刑事さんが来るから待ってるわ
留美,そう……
朋,三船さんは……？
留美,残念だけど……亡くなってから１時間から２時間経っているそうよ
朋,もしかしたら、間に合ったかも
留美,殺人犯と鉢合わせなんて、うちの職員にさせられないわ
朋,……殺人なの？
留美,……わからないわ
朋,頭を怪我してたものね……そうかもしれないわ
留美,……
朋,昨日まで元気だった人が死ぬなんて、信じられないわ
留美,あなたも落ち込むのね
朋,留美さん、まるであたしを能天気みたいに
留美,落ち込んでいない方があなたらしくていいわよ
朋,むぅー、それも限度があるわ
留美,後は警察とかがやってくれるそうよ
朋,……
留美,何か、心配なごとがありそうね
朋,あたし、三船さんの親戚とかに怒られないかしら
留美,早めに見つけてくれたあなたを、褒めこそしても責めはしないと思うけれど
朋,そうよね……お葬式の日くらい教えてもらうわ
留美,それでいいと思うわ
朋,留美さん、対応してくれてありがとう
留美,どういたしまして
朋,留美さんは冷静ね
留美,藤居さんがあんなに慌ててたら、冷静にならざるをえないでしょう
朋,そんなに慌ててた？
留美,ええ。仕事では出さないように
朋,はーい
留美,藤居さん、明日は
朋,出勤日ね、大丈夫よ
留美,出たいようだけど、休みなさい
朋,えー
留美,不満を言わないの。絶対に占いは鈍るでしょう
朋,でも
留美,諸々はこちらで対応しておくから。甘えるのも大事なスキルよ
朋,そうね……お客様にも失礼だし、休むわ
留美,ええ、ゆっくり休んで
朋,うん
留美,私はこれで
朋,ありがとう、留美さん
留美,どういたしまして
朋,ねぇ、あたしの海ちゃん。自問自答で慰められるわけないわね……ハァ
藤原肇,こんにちは。藤居朋さんですか？
朋,こんにちは。その通りだけど
肇,申し遅れました。こういうものです
朋,藤原肇……刑事さんね
肇,はい。お待たせしたでしょうか
朋,そうでもないわ。刑事さん、良い名前ね
肇,祖父から頂いた自慢の名前です。今時ではありませんが
朋,努力家、頭脳明晰、独創性に恵まれ落ち着いた雰囲気を携える字画
肇,ご職業は占い師と聞いています
朋,でも、内側にため込むタイプね。ストレス、激情、野望とか
肇,……肝に銘じます
朋,ごめん、姓名診断は駆け出しだから２割だけ信じて
肇,２割は信じていいのですか
朋,あんたの方に心当たりがあるみたいだから
肇,……場所を用意しています。事件のお話を聞かせてください
服部瞳子,いらっしゃいませ
肇,こんにちは
瞳子,刑事さん、奥の席を用意しました。こちらへどうぞ
肇,ありがとうございます
朋,ふーん。雰囲気があるお店だわ、メニューが書かれた紙を壁に貼ってあるのがいいわね
肇,東郷さん、お連れしました
東郷あい,ご足労感謝する。席はそちらを
朋,よいしょ
瞳子,ご用がありましたらお呼びください
あい,ああ。肇くんも座りたまえ
肇,失礼します
あい,昼食はとったかい？
朋,ええ。フードコートでうどんを食べたわ
あい,では、飲み物をご馳走しよう
朋,そう？んー、何にしようかしら
あい,肇くんも頼みたまえ
肇,ありがとうございます。ホットコーヒーを頂きます
あい,ドリップコーヒーは評判の一品らしいな
朋,ふーん……決めたわ
あい,君、注文をいいかい？
瞳子,はい、ただいま
あい,ホットコーヒーを二つ。君は
朋,あたしはクリームソーダを
瞳子,かしこまりました。お待ちください
あい,コーヒーは嫌いか？
朋,好きよ。でも、ここのお店だったら断然クリームソーダね
あい,それは何故だ？
朋,あたしが好きだからに決まってるわ
あい,占いか？
朋,さぁ？
あい,そうか。どうやら、また厄介事が私達に回ってきたようだ
肇,私は好きです
あい,同感だ
朋,何言ってんの？あたしが言えたことじゃないけど
あい,こっちの話だ。飲み物が来たら、本題に入るとしよう
肇,……美味しい
朋,うーん、良い！アイスもソーダも美味しい！
瞳子,そう言ってくれると喜びますよ。バニラアイスもソーダシロップも特製ですから
朋,そうなのね、いいチョイスだったわ
瞳子,それでは、ごゆっくり
朋,ありがと！
あい,……
朋,それで、刑事さんが聞きたいことは何かしら
あい,肇くん
肇,はい。時系列で確認させていただいてもよろしいでしょうか
朋,大丈夫だけど、もうほとんど話したわ
肇,確認も兼ねています
あい,まずは職業から
肇,お名前とご職業、職場を教えてください
朋,名前は藤居朋。職業は占い師。職場はゴールデンドーンっていう占い館ね。まぁ、占い館を運営する会社の社員だから、面倒な時は会社員と名乗ってるわ
あい,事前情報通りだ。ありがとう
肇,続いて、昨日のことをお聞かせください
朋,わかったわ
肇,昨日、いつ職場に戻られましたか？
朋,え？そんなことから聞くの？
肇,はい。聞かれたくありませんか？
朋,そういうわけじゃないわ。夕方の勤務が始まる３０分くらい前よ
あい,被害者の三船美優はその後に入店しているようだな
肇,何故、戻ってきたのですか？
朋,なんでって、早めにお昼休みを切り上げたからよ
肇,何か目的はありましたか？
朋,そうそう、同僚の礼さんっていうエロい占い師さんがいるんだけど、早く戻った方が良いと占われたから戻ったのよ
あい,ふむ。彼女のフルネームを教えてくれ
朋,篠原礼。留美さんには会ったの？
あい,対応してくれたからな
肇,先ほどのお二人との間柄は？
朋,篠原礼さんは先輩の占い師、和久井留美さんは社員ね
あい,結果として、そのおかげで三船美優を占うことになった
朋,歩合の分もあるし、お客を見るのも経験だからラッキーだったわ
肇,三船美優さんについてお聞きします
朋,どうぞ、といってもあんまり知らないけど
肇,昨日が初対面ですか？
朋,うん。それどころか、占い館に来たのも初めてだって
あい,それを証明できるのものは
朋,え？そんなものないわよ
あい,当然だな
肇,昨日の占いはどれくらいでしたか？
朋,お店の規定で標準時間くらいだったわ
肇,録音や録画等はしていますか？
朋,プライベートなことを話す場所だから、ないはずよ
あい,何を話したかがわかるのは
朋,あたしと三船さんだけ。三船さんが占いの話を誰かにしたなら別だけど
肇,どのような内容でしたか？
朋,話さなくてもいい？
あい,詳細を聞きたいわけじゃない
肇,被害者は何かに悩んでいましたか？
朋,悩んでいた内容なんて知らないわ
肇,そうなのですか？
朋,占いとお悩み相談は違うわ。お悩み相談なんて、あたしみたいな若い占い師に話してもしかたないでしょ？
あい,一理あるな
肇,つまり、あなたは悩みについては知らないのですね
朋,そういうこと
あい,ならば、逆だ
肇,はい。交友関係や異性関係のトラブルを抱えていましたか？
朋,それはない、って言ってた
肇,三船さんがですか？
朋,うん。本当のことはあたしにはわからない
肇,具体的に教えてください
朋,具体的と言ってもねぇ……
あい,彼女が言ってたことをそのまま伝えてくれ
朋,友人とか職場の人には恵まれてるらしいわ、あたしの占いでもそう
肇,他には
朋,恋人はいないみたい。最近は出会いもないとか
あい,ふむ……新情報だな
朋,恋人が今すぐ欲しいわけでもなかったから、占ってもいないわ
肇,占いはどのような占いを？
朋,タロットカードね
肇,姓名診断は
朋,さっきも謝ったじゃない、あれは勉強中
あい,いくつか出来るのか？
朋,得意なのはタロットカードと手相よ
あい,面白い。簡単に占ってもらえるか？
朋,占い館に来て、予約するとスムーズよ
肇,外では占いをしないのですか？
朋,可能な限りしたくないかな。ほら、場所の力って大切だから
あい,私にはわからない概念だ
朋,それに、刑事さんは占いを必要としてる？
あい,言っていいのか
朋,別に良いわ
あい,不要だ
朋,要らないなら、それはそれで良いことだと思うわ
肇,次の質問に行ってもよろしいでしょうか
朋,あなたは冷静ね。どうぞ
肇,占いの後の、三船さんの足取りはわかりますか？
朋,友達と映画に行って、夕ご飯を食べるとか言ってたわ
あい,後で確認しよう
肇,退社された時刻は
朋,正確な時間は会社に確認して
肇,わかりました。昨日の話については以上です
あい,次は、今日についてだ
肇,午前中は何をしていましたか
朋,お仕事よ。日曜日だから、本当は午後とかも働きたいんだけどね
あい,なぜ、そうできないのかな
朋,個室がないから、自由に選べないの。さっきも言った礼さんに間借りしてる感じね
あい,なるほど
肇,三船さんは、本日遠出はしていないようです
朋,聞いたわ
あい,どこでだ？
朋,占いの時に。日曜日はお部屋でゆっくりするって
あい,ふむ
肇,あなたの足取りに戻ります。仕事後に職場でどうされましたか？
朋,三船さんの住所と電話番号を聞いて、部屋を訪ねたわ
肇,訪ねた時の様子を教えてください
朋,電話にも出ないし、インターフォンにも出なかった。けど、玄関のカギが開いていた
肇,はい
朋,それで……死体を見つけたわ
肇,それからは
朋,まずは留美さんに連絡したわ
あい,警察と救急への連絡は彼女からだな
朋,あと、大家さんにも来てもらった
あい,それで
朋,それから、すぐに警察が来て、今に至る、ってところね
肇,ありがとうございます
朋,これで大丈夫かしら
あい,聞いていた情報と差異はないな
肇,昨日会ったご友人についてはこちらで調べます
あい,それでは
朋,では？
あい,肇くん、準備はいいかな
肇,いつでも大丈夫です
あい,本題に入ろう
朋,本題があるの？
肇,何故、三船美優さんのアパートを訪ねたのですか？
朋,なんで？
肇,はい。どうして、あなたが三船さんを訪ねるのかお聞きしています
朋,なんで、って言われても
あい,昨日初対面の占い師が、何故会いに行く？
朋,ねぇ、あんた達あたしを疑ってる？
肇,疑問点は解決しておくべきです
あい,捜査の基本だ
肇,だから、教えてください
朋,そんなこと言われても、明確な理由なんてないわよ？
あい,本当か？
朋,もちろん
あい,質問を変えよう
肇,あなたの午前中のアリバイを教えてください
朋,仕事だったわ
肇,証明できる人は
朋,お客さんがいたわ。いない時間も少しはあったけど
あい,次だ。電話について
肇,三船さんにはいつどこで電話を掛けましたか？
朋,お昼にショッピングモールで
あい,昼食前か後か
朋,前ね。出ないから、お土産を買ってご飯を食べたわ
肇,ご飯を食べたことを証明できる人は
朋,……なんだか、イヤになってきたわ
あい,申し訳ない。無礼なのは承知の上だ
朋,答えないと帰れなそうだし、いいけど
肇,お答えください
朋,一人だったから、ショッピングモールのフードコートの店員さんなら
肇,電話で済ませずに、会いに行った理由は？
朋,理由、なんでかしら？
あい,……
朋,占い師の勘よ、勘ね
あい,肇くん
肇,はい。あなたが被害者を殺害していないことを証明できますか？
朋,へ？
あい,君は君を犯人でないと証明できるか？
