モバP,あれ、おかしいな。リモコンが壊れているのかな
凛,いや、そんなことないよ。むしろ、しぶりんってファンの人からも呼ばれるし、未央から呼ばれるのもすごくうれしいんだ。私、あだ名にいい思い出がなかったけど、未央にしぶりんって呼ばれた時、はじめてあだ名っていいなって思った
卯月,凛ちゃん……
凛,だから、これからもしぶりんって呼んで、未央
未央,ありがとう、しぶりん
ちひろ,はい、こちら……はい、そうです。わかりました。少々お待ちください。プロデューサーさん、凛ちゃんにテレビ出演のお仕事の依頼です
卯月,すごい！
P,念願のテレビ出演だ。頑張れよ
凛,うん……！
未央,頑張ろう、しぶりん！
凛,うん！
P,はい、変わりました……渋谷凛のテレビ出演の仕事についてとのお話と伺いました。……はい、仕事内容についてお聞きしたいと……はい、え。NHKさんの情報番組で、渋谷109と東海漬物のキューちゃんの特集ですか……出演者は……高橋尚子さんと牛久市観光協会のマスコットキャラクター、キューちゃんですか？
