頭皮が気になる年頃のモバP(以後P表記),只今戻りました
志希,後で放送をチェックしないと…
P,ほう、その高いプロ意識。そしてスタッフにも気付かれない演技力…
志希？,っ！？
P,懸念していた通り、やはり既に入れ替わっていたか…。泰葉
志希(泰葉),ぷ、プロデューサーさんっ？どうして私の楽屋に…。って言うか何故テーブルの下に？
P,きの子の気持ちになるでごぜーますよ！
時子(芳乃),ごぜーますでしてー
志希(泰葉),
P,まあ、２割冗談だ。あ、パンツ見えるぞ岡崎先輩
志希(泰葉),っ！！
P,ふう…流石に良い歳こいた神奈川県民がﾃｰﾌﾞﾙの下に潜ると狭いな
時子(芳乃),そなたー、つっかえたのでしてー
P,はっはっは、テーブルの下に詰まる時子とか珍百景レベルだな
時子(芳乃),そなたぁー、ねーねー
志希(泰葉),なんだこれ。あ、あのプロデューサーさん？
P,おう、どうしたやすにゃん
志希(泰葉),やすにゃ…。いえ、色々聞きたいことがあるんですが…
P,アイドル中身入れ替わり事件の事か？。それともコレの事か？
時子(芳乃〕,ほー？
志希(泰葉),両方ですね
P,時子ボディに芳乃ソウルがインストールされた。犯人はおそらくハスハス星のシッキーだと決め付けてここに来たら先輩が生放送でカメラの前で志希ってた。と、言う訳だ
志希(泰葉),相変わらず身も蓋も無いですね…
P,で、にゃはは笑いを上げているであろう岡崎先輩ボディは今どこだ？
志希(泰葉),やめてください…想像しちゃうじゃないですか
P,まあ、そういう泰葉も見てみたい気がするから捕まえたら元に戻す前に１時間ほど鑑賞するか。…冗談だって。だから黒目に光を戻そう。結局志希の中身の行方は泰葉も知らないみたいだな…どうするよ、八方塞りじゃねえか
時子(芳乃),そなたー、落ち込まないでくださいましー
P,時子に頭撫でられるとか胃がキリキリするな。中身は芳乃なんだけどさ
時子(芳乃),ほー？
P,スタジオでも大変だったもんな。顔見知りのスタッフさんと挨拶する度にこの時子を二度見され。挙句時子の姿のままにこやかに小首を傾げていかがしましてー
時子(芳乃),逃げるようにスタジオから出てきてしまいましたのでー
P,そうだね、本人に自覚が無いまま被害が広がり続けてるよ。ヘルヘイムの森も真っ青だよ。ここが動物の森だったらよかったのにな
時子(芳乃),そなたーそなたー、落ち着いたまま錯乱しないでくださいましー
P,そうだ、落ち着け俺…川越市民はうろたえない。こんな時は素数を数えると良いってクラリスが言ってたな。よーし1、2、4、8、16、32、64…
時子(芳乃),そなたー、そなたー？
P,3.14159265358979323846264338327…ん、どうした時乃
時子(芳乃),お電話が鳴っていましてー
P,おお、いかんいかん電話に気付かないとは社会人失格だよな。…って、珍しい相手からの電話だな。Pでごぜーますよ。いきなりご挨拶ですね聖(せい)さん。どうしました。武内君が爆笑でもしましたか？。…相変わらず押しの強い人だなぁ…俺、押されるより押し倒したい派なんだが
時子(芳乃),ほー？
P,ああ、気にしないでくれ。ケダモノの妄言だから。…さてと、宛もない事だし、とりあえず顔を出してみますか
時子(芳乃),邪な気を感じるのでしてー
P,よーし、一端戻るぞ。ヘイッタクシー。346プロまで。クロックアップでお願いします。あ、領収書お願いします。346の緑の悪魔で。さて、一体どんな事になってることやら･･･ワクワクさん半分ドキドキ半分ってところだな
時子(芳乃),もとにもどらねば、お仕事に差し支えてしまいますゆえー
P,芳乃は真面目だなぁ。…よし行くぞ。覚悟はいいか？俺は出来ている
？,にょわーっ☆
時子(芳乃),そなたー？
P,落ち着け自分落ち着け自分落ち着け自分落ち着け自分、完璧だぞ…よし！
雪美,にょわーっ☆
P,よりにもよって！よりにもよって！
雪美？,Pちゃんどうしたにぃ？ドア閉めちゃったりして
Ｐ,ああ、ごめんきらり。心の鳩尾に木場さんパンチを食らったような気分になってな
雪美(きらり),うーん？よくわかんないけどＰちゃんお疲れかにぃ？ハピハピすぅ？
Ｐ,今の姿でハピハピされると絵面的に早苗さんあたりに物理ハピハピされそうだなぁ…
雪美,にょわーっ☆
Ｐ,言ってる側から
時子(芳乃),微笑ましき光景でしてー
Ｐ,通報されても文句言えない光景でもありましてー
雪美(きらり),にょわー？…うきゃーっ☆きらりんぱわーが出ないにぃ？
Ｐ,そりゃ雪美ボディじゃなぁ
Ｐ(荒木には,控え室でアレクサンダー・ガーレンにやられた柴千春みたいな光景っスね
雪美(きらり),きらりんふるぱわぁあ～っ…！
ベテトレ,…到着早々幼女と戯れているとは、良い度胸だ
Ｐ,中身がきらりなのでギリギリセーフかと
雪美(きらり),にょわぁぁぁぁ～…
ベテトレ,…まあいい。とにかくこの有様を見てくれ
Ｐ,はいはい。…ごめんなきらりー。怖いお姉ちゃんが呼んでるねん
雪美(きらり),うきゃー☆抱えられちゃったにぃ♪
時子(芳乃),あー、そなたーそなたー、わたくしもーわたくしもぉー
Ｐ,時子芳乃は流石に無理だよ。あれ、そう言えば他のトレーナーズは？
ベテトレ,…それもレッスンルームの有様を見ればわかる
雪美(きらり),高ーい！ヤバいにぃー☆
時子(芳乃),そなたーだっこー、だっこでしてー
ベテトレ,…こっちもこっちで大概だな
Ｐ,Exactly(そのとおりでございます)。どれどれ…
きらり？,…
ルキトレ、トレ、ベテトレ,
Ｐ,oh…
きらり？,…P…？
P,おう、ちょっと見ないうちに随分成長したな雪美
きらり(雪美),…P…、ちゃんと…私が…わかる…
P,そりゃあな
きらり(雪美),ふふ…Pと私…やっぱり…繋がってるから…
P,できれば自分の心と体を繋げておいてほしかったな。なあ雪美。今日やけにテンションの高い泰葉を見たりしなかったか？
きらり(雪美),…？
P,まあ、やっぱりここに来る訳無いか…。しかし…何と言うか
留美？,ふぇぇ…ぷろでゅーしゃー…ぐすっ
のあ？,あーっ、せんせぇー！
飛鳥？,はぁ～いプロデューサー♪どうした、目ぇ死んでるぞ☆
P,うわぁ…うわぁ…
時子(芳乃),なんともまぁー
雪美(きらり),うきゃーっ☆Pちゃん白目むいちゃったにぃ
P,…はっ！あやうく気絶するところだった
飛鳥？,いやいや数秒気絶してたろ☆
P,その別方向に痛々しくなった姿は…シュガーハート２６歳か
飛鳥(心),おい何で歳まで言った☆
P,そして…
のあ？,どうしたの、せんせぇ
P,分かりやすいな…、薫か
のあ(薫),えへへ、そうだよー薫だよー？
P,…で、猫を抱いた後みたいな顔になっちゃってるのは…くるみか
留美(くるみ),ぐすっ…ぷろでゅーしゃぁ～…
ベテトレ,ちなみにこの３人もそうだが、入れ替わっても何とか仕事をこなせそうなメンバーは既に仕事に向かっている
P,みんなプロ意識高くて有難いよ
心(飛鳥),す、スゥィーティー…
くるみ(留美),く、くるみ…がんばりましゅ…
薫(のあ),やっほー！かおるだよーっ！！
まゆ？,はぁ…凄い事になったよねぇ、これじゃあまともに仕事出来ないよ。休みにしよう？
菜々？,駄目にゃー！何とか仕事できる人はしてるんだから、せめてレッスンぐらいはするにゃあ！
P,お前らまで…特にまゆは酷いなこれ
菜々(前川),杏ちゃんの体になったまゆちゃんも流石にこんな自分の姿を見ていられなくなってお仕事行ったにゃあ
まゆ(杏),ねぇプロデューサー。まゆの体でレッスンしても杏には何のメリットもないじゃん。休んでいいよね？
P,まゆはお前の体で一生懸命働いてるんだろうが。あとスカートなんだから足閉じろ。頭を掻くな、転がるな
まゆ(杏),まゆだっていつも頑張ってるんだから体だけでも休ませてあげようよ
P,飴ちゃんやるから、只でさえ大混乱してるんだからこれ以上引っ掻き回すな
まゆ(杏),…仕方ないなぁ…最近仕事増えすぎなんだから、ちゃんと休ませてよねー？週8ぐらいで
P,まったく…ブレない奴め
菜々(前川),Pチャン、ちょっと甘やかしすぎじゃないかにゃあ
P,そうか？
菜々(前川),そうにゃ。今だって杏ちゃんのワガママに飴ちゃん上げて…
P,ああ、サルミアッキだけどな、あれ
菜々(前川),え、ひどくない？
P,死にはしないから大丈夫だろ。杏だし
菜々(前川),Pチャンて時々底知れないにゃあ…
P,で、みくはどうした？安部さんとキャラ被ってるしお前も仕事いけそうだろ
菜々(前川),被ってないにゃあ！…行こうとはしたのにゃ。…でも…。肩が上がらないし膝も曲げ辛くて思うように動けないのにゃ。菜々さん何か病気だったりするのかにゃ…？
P,病気じゃないから安心しろ、ソレは将来お前も通る道だから
菜々(前川),こんなに体が重いのに…？
P,それ以上はいけない。菜々さんボディになってしまったからと言ってウサミンの闇に触れてはいけない。例え衣装の下が湿布にまみれていようが、四十肩だろうが腰痛持ちだろうがゲームと言えばPCエンジン世代だろうが、あえて黙っていてあげる優しさというのも時には大事なんだ、わかるな？
菜々(前川),Pチャンのほうがよっぽど酷い言い草なのは分かったにゃ
P,人聞きの悪い事を言いなさんな。人生の大先輩だぞ。ちゃんと尊敬している
菜々(前川),本人の前で言ったらギルティされるにゃ、その発言
P,それはともかく、ハスハス泰葉を見なかったか？ネコミン星人
菜々(前川),見たにゃ
P,そうか見たか…ってノコノコ事務所に来たんかい。で、何処行った？
菜々(前川),Pチャンに怒られるから逃げるって
P,やはりアイツの仕業か一ノ瀬ぇぇぇぇぇえ！！。毎度毎度騒動引き起こす珍発明しやがって阿笠博士かアイツは！
菜々(前川),自業自得だからフォローの言葉が見付からないにゃ…
P,畜生、犯人は追跡を察して既に逃亡済みか…どうすりゃいいんだ
菜々(前川),Pチャン、みく達も今の状況で出来る限りの事はするつもりにゃ。だからPちゃんも諦めないでほしいにゃ
P,…そうだな、ありがとうみく。お前が信じてくれている限り俺は二度と折れないぞ。見直しました、前川さんのファンやめます
菜々(前川),え、この流れで？
P,よーし本気出していくぞー。みく、お礼に今度魚介食べ歩き番組のロケいれてるからなー
菜々(前川),Pチャンはみくが嫌いなのかにゃっ！？嫌いなのかにゃ！？
P,さてと。次はどこを探すか…
時子(芳乃),手がかりもありませんのでー
P,とりあえず情報収集してみるか…。さてと、目撃情報を待つ間何していようかね
時子(芳乃),そなたー、そなたー
P,ん？
時子(芳乃),お腹がすきましてー
P,そうだな、ドタバタしてたしあちこち歩き回って俺もちょっと小腹が空いたわ。カフェで何か軽く食べるか
時子(芳乃),はいー
？,ふっふ～♪
P,我が職場ながらここまで本格的なカフェがあるなんて変な会社だよなぁ…
時子(芳乃),品揃えも豊富でしてー。よきかなよきかなー。そなたー？
P(,しろあん
時子(芳乃),そなたー、遠い目をして如何しましてー？
P,ん、ああ。大丈夫だよこしあん
時子(芳乃),ほー？
？,おやぁ？随分珍しい組み合わせですなぁ。あ、本当ですね。…
P,…そっちこそ、随分珍しい…と言うか異様な組み合わせだな
智絵里？,そう？私達って大体いつも３人一緒だよねぇ。何たってチームだし
拓海？,そうですよ。私達仲良しトリオですから。ねぇ？
ブリッツェン,ブモッ…
智絵里？,ふっふっふ～、さてはプロデューサー。私達が誰なのか判ってないなぁ？
拓海？,仕方ないですよ、こんなの誰だってビックリしますし。私達だって最初は大パニックだったじゃないですか
ブリッツェン？,ブモ…
智絵里？,さあてプロデューサーにクイズです。私は一体誰でしょう？
P,天使
智絵里？,それは外見、ボディの話！私が聞いてるのは中身だよ中身。ハードじゃなくてソフトだよ！
拓海？,あ、じゃあ私はわかりますか？
P,ちょろすぎ３号
拓海？,えーっと…それも、この体の持ち主さんの事、ですよね？
悪魔(ありす),クシュンッ！ん～…今プロデューサーさんに求婚されたような気が…
智絵里？,プロデューサー、本当はもう分かっててボケてるでしょ
P,人聞きの悪い…そんなことする訳あるだろ
拓海？,わぁ、素直です
智絵里？,じゃあも一回聞くよ？さあ、私は一体誰でしょう？
P,もうアイドルやめ子
智絵里？,。その節は大変失礼致しました。関係者各位に多大なご迷惑をお掛けした事は重々反省しております。何卒、何卒…
P,すまん、ただのジークだ、346ジョーク。みんなもう気にしてないよ
智絵里？,…本当ですか？
P,キャラ誰だよ。愛故のいじりって奴じゃないか。みくとか前川がよくやられてる奴だよ
拓海？,そうだよ未央ちゃん。みんなあの時の事は責めたりしませんよ？だからほら、ハイライト戻して、ね？
智絵里(未央),グスン…うん、私強く生きる…
ブリッツェン？,ブモッ…
P,入れ替わっても元気だなぁ、お前ら。まぁ元凶は判明してるし、すぐに解決するからもうしばらく我慢しててくれ
智絵里(未央),ってプロデューサー。こっちの２人(？)に対してツッコミないの？お前は誰なんだー、とかさぁ
P,平然とブルマ姿で事務所の中ウロウロ出来る胆力の持ち主は島村さん以外にいるのか？
智絵里(未央),そうだね、愚問だったね
拓海(卯月),え、えっ？
P,346プロが誇るベストブルマニストだもんな
智絵里(未央),765の四条、３４６の島村と言えばアイドル業界では有名だもんね
拓海(卯月),私、どっちも初耳ですよっ！？
ブリッツェン？,ブモ…
拓海(卯月),あれ、味方がいない！？
P,…で。コレについても俺は触れなければならないのだろうか？
ブリッツェン？,ブモッ、ブモッ
智絵里(未央),あっはっはっ…ね、ねぇプロデューサー？…もうわかってるんだよね？
P,何のことかな
拓海(卯月),それ、絶対わかってる人のセリフですよ？
P,そう言えばNGが１人足りないよなぁ。花屋の娘の渋谷凛ナントカちゃんの姿が見えないんだが
拓海(卯月),ナントカが完全に余計ですよ
智絵里(未央),絶対判っててトボけてるよ、タチ悪いなぁ～。ほらプロデューサー、３代目だよ３代目っ！
P,346組３代目？
智絵里(未央),巴ちゃん家や萩原さんトコじゃないんだから！
ブリッツェン？,ブモッ…
P,あだだだ…何だか急にハリケーンミキサーし始めたんだが
智絵里(未央),プロデューサーが自分をほったらかして私たちとイチャついてるからヤキモチ焼いてるんだよ、きっと
P,え、これイチャついてるの？いたたた、痛い、痛いって
ブリッツェン？,ブモッ、ブモッ！
P,冗談だっての。…お前がどんな姿になろうが、俺が気づかない訳ないだろ？
ブリッツェン？,ブモ…
P,お前は、デビューの時からずっと一緒にやってきた大事なパートナーだろ、違うか？
ブリッツェン？,ブモォ…
P,すぐにみんな元に戻してやるからな、もう少しだけ辛抱してくれよ。しぶりっツェン
智絵里(未央),ﾌﾞﾌｫｯww
拓海(卯月),ぶっww
P,言いたかったんじゃ、どうしても言いたかったんじゃ！
智絵里(未央),私だって我慢してたのに…
拓海(卯月),だ、ダメですよぉ…凛ちゃんに悪っ…ﾌﾞﾌｯ
しぶりッツェン,
P,三代目シンデレラガールおめでとうございます。今の気持ちをお聞かせください
智絵里(未央),ブモッ
拓海(卯月),ちょっw
しぶりッツェン,ブモーッ！！
P,ハリケーン・ギガブラスターっ！？
しぶりっツェン,ブモッ…！
智絵里(未央),調子に乗りすぎました
拓海(卯月),反省しました。みくちゃんのファンやめます
菜々(前川),え、ひどくない？
P,よしのんヒーリングが時子ボディでも使えて助かったわ
時子(芳乃),すきんしっぷの一環とは言えー、あまり年頃の娘をからかわないことでしてー
P,年頃のトナカイだったけど
時子(芳乃),そなたー？
P,めんご。…ん？足元が生暖かい…って、何じゃこりゃ
時子(芳乃),白くてほわほわでしてー
P,自立稼動する白いポンポンなんて俺はこの事務所で１つしか心当たりがないぞ。相変わらずホワンホワンだな。レノア使ってる？
？,ああ、いたいた。…あ、プロデューサーさんこんにちは。随分大変な事になってますね
P,ああ、もう大分慣れたけどな
？,プロデューサーさんに抱きかかえられて大喜びですね、優さん
P,…これ優？。…じゃあ君は？
優？,え？嫌だなぁ決まってるじゃないですか
優(アッキー),アッキーですよ
P,飼い主よりまともじゃねぇか。と言うか、さっきのしぶりッツェンと言い動物とも入れ替わるのかよ地味に凄ぇなハスハスクオリティ
優(アッキー),いつも抱きかかえられてばっかりですから、新鮮で楽しいですよ？。ご主人もこの姿じゃあ何も出来ませんし、まあいつもと変わらないですね
P,すまん優ッキー、嫌な予感がするから他の娘達の様子も見てくる
優(アッキー),相変わらず忙しそうな人だなぁ…。ふふ、元に戻ったらまたいっぱい撫でてもらえるよね…？
小春？,こんにちはプロデューサーさん。…？小春ちゃんですか？嫌だなぁ、目の前にいるじゃないですか。これはヒョウくんだろって…、あはは、そうですよ。小春ちゃんと入れ替わっちゃったんです
小春(ヒョウくん),最初はビックリしましたけど、よく考えたら別に普段と変わらないかなぁ、って。…それはそうと、ペロペロしてもいいですか？
聖來？,あーっ！プロデューサーさんプロデューサーさんっ。こんにちは久しぶりですねっ…え？ああ違いますよ、わんこです、わんこ
聖來(わんこ),ご主人なら今は藍子さんになった伊吹さんと中庭で走り回ってますよ。お陰で置き去りにされちゃって暇なんですよぉ…ちょっと遊んでくれません？。…ほら、今の体なら、プロデューサーさんの事思い切り楽しませてあげられると思いますよ…
P,…。幼女にペロペロされたりナイスバディな２３歳に野生のままに押し倒されたり。俺が埼玉県民じゃなかったら一線越えてたね
時子(芳乃),お顔がベタベタでしてー
P,磨り減るんじゃないかってぐらい舐め回されたからな。早苗さんにしこたま怒られちまったし
時子(芳乃),仁奈殿のお体になっていましたがー
P,仁奈ボディじゃシメられまい、と油断したのが敗因だった…。まさか片足を取ってドラゴンスクリューを決めてくるとは…。まあ、幼女に馬乗りになられてお説教されるとか、ある業界ではただのご褒美なんだけどな
時子(芳乃),そなたの闇はとことん深いのでしてー？
P,さて、小腹も満たされたところでどうしたものか…。マキノ、泉、晶葉の346の科学力は世界一ィィィトリオ。それぞれ志乃さん、礼子さん、友紀と入れ替わっていたとは、なんたる不運
時子(芳乃),皆々様、ふつかよい、だそうでしてー
P,貴重な体験だよな、酒も飲めない未成年のうちから二日酔いの地獄を体験出来るとか。って言うか飲酒アイドル勢は後日マジでお説教だな。他に宛てになりそうなのは…。…駄目元で呼んでみるか
？,お呼びですかっ？。ぎゃんっ！？。ﾆﾝｯ!?んっ、う～…！ふ、不覚っ…！
P,お前ももれなく入れ替わり被害者か。このツナギも見覚えあるな…
？,P殿っ？申し訳ありません。…む、胸が閊えて…
P,よりによってそのボディで天井裏に潜むなよ…忍者スキル完封されてるじゃねぇか
？,あだだだだっ！P殿っ、引っ張らないでくだされっ胸が、胸が千切れあだだだだっ！
P,我慢しろ。このまま事務所の愉快なオブジェでいたくはないだろ？
？,い゛だだだだだだだだっ！！
P,よかったな、無事出られて
？,うぅ…本気でちぎれるかと思いましたぞ…うぅ、ヒリヒリする…
雫(あやめ),？
P,ところで牛忍あやめ、キャラが崩壊している泰葉を見なかったか？
雫(あやめ),その呼称は甚だ心外なのですが…。いえ、わたくしは見かけておりませぬ。何せ先程まで事務所の屋根裏に潜んでおりました故
P,やだこの忍者、役に立たない
雫(あやめ),なんたるお言葉っ！？
P,閃乱○グラといい、D○Aといい、女忍者って巨乳じゃないとアカンてルールでもあるのかね
雫(あやめ),そんな定義は聞いた事がありませぬが…ハッ、だとすると今の姿がくの一として理想の姿…？
P,そこ認めると本来の自分のアイデンティティ全面否定になるぞ。まあ、くの一と言えばお色気だからなぁ。その点あやめに色気は…
雫(あやめ),押し黙らないで下さいっ！一思いにハッキリと、ハッキリと仰ってくだされ！
P,色気云々以前にアホさが先立ってなぁ
雫(あやめ),
P,ほら、裕子が良い例だろ。歳の割りに出るトコ出てるし色気路線で十分売れるスタイルなのに。そんな要素を見事に台無しにするアホキャラぶり
雫(あやめ),あ、アホキャラ…
P,ちなみに同じタイプに某ブリュンヒルデさんやキャラぶれ猫娘がいます
雫(あやめ),
P,キャラクターというか個性が強すぎて隠れた長所が隠され続けてしまってるパターンだな。かと言って売り出したキャラの路線がブレるとグダグダになる。業界用語でそういうのをだりーな現象
？,なんですとーっ！
P,！？
雫(あやめ),きゃいんっ！？
P,いきなりギターで殴りかかってくるとは危ないじゃないか
雫(あやめ),そ、その危ないことにわたくしを躊躇無く盾になさらないでくださいっ！
P,あやめの忍タリティを信頼してこそだよ。実際見事に魔乳白羽取りでガードしたじゃないか。で、そっちの中身は誰だ？
紗枝？,プロデューサーさんを見かけたら挨拶しようとしたら良いタイミングだったみたいですねぇ。どーも、巷で評判のだりーな現象
紗枝(李衣菜),って言うかみんなして裏で私のことアホだと思ってたんですかっ！？
P,それは誤解だ
紗枝(李衣菜),本当ですかぁ…？
P,裏どころか表立ってアホだなアイツって言ってるよ
雫(あやめ),そう言いながらまたわたくしを盾にしないでくだされP殿っ！
P,落ち着け李衣菜。ロック気取ってるくせに本格的な知識は全く無いにわかぶりがお前の持ち味だろっ？
紗枝(李衣菜),にわかじゃないですーっ！ほらっ、こうやってギターを叩き壊すのもロックじゃないですかぁ！？
P,お前それよく見たら柑奈のアコギじゃねぇか。それ壊したらラブ＆ピースのアイツもデス＆ヘルになるぞ？
雫(あやめ),ですからっ、わたくしを盾にするのはおやめくだされP殿っ！
P,にわかじゃない李衣菜なんて李衣菜じゃないだろ！アスタリスクのにわか担当エセロック。それが多田李衣菜というアイドルではないのかっ！？
紗枝(李衣菜),おちょくってるのか貶しているのかどっちなんですかプロデューサーのバカァ！
P,両方でごぜーますよ！
雫(あやめ),ひゃあああっ！
紗枝(李衣菜),べにゃっ！
P,着物の裾踏んでコケやがった。これがロックか
紗枝(李衣菜),うぐっ…えぐ、ぐすっ…うぅぅぅ～…！。うわぁぁあんっ！！なつきちー、なつきちぃーっ！！この際みくでもいいーーっ！！
雫(あやめ),泣かしたですなー
時子(芳乃),泣かせたのでしてー
Ｐ,ちゃんとフォローしておくって。…ドジこいて泣きながら逃げるってロックだよな、と…
雫(あやめ),お戯れの一環なのでしょうが、P殿は時々意地悪がすぎますぞ？
Ｐ,そうやって、戯れだってちゃんと理解してくれてるんだな、流石あやめ
雫(あやめ),わ、わたくしは今Ｐ殿にご忠告を…あっ、あっ…
時子(芳乃),あっという間にお顔がふにゃんふにゃんになりましてー
Ｐ,さて、あやめが蕩けたので次にいくか
時子(芳乃),そなたはやるだけやって後片付けをしないのでしてー
Ｐ,ﾊﾊｯ(裏声)。そうだ、そろそろ目撃情報が来てるかチェックしてみるか。おお、レス来てるじゃないか、どれどれ。…半分以上がなにそれ怖い
時子(芳乃),文明の利器でも、ままならぬものでしてー
Ｐ,うーむ、どうしたものか…。おや、あそこにいるのは…
？,あ、プロデューサーさん。プロデューサー♪。ふわぁ～…
Ｐ,ジーザス…
時子(芳乃),そう言いつつ、すまほのかめらを構えるのは何ゆえにー？
？,良かった…プロデューサーはプロデューサーのままなんですね。本当だよねー、安心したよ！。ふわぁ…
Ｐ,段々神経衰弱みたいな気分になってきたぞ
時子(芳乃),言いえて妙でしてー
Ｐ,とりあえず…まずは一番分かりやすいところから…みりあか？
美波(みりあ),そうだよー☆美波さんになっちゃっても分かってくれるんだねー、嬉しいなぁ♪
