喜多見柚,ねぇねぇPサン
柚,うわぁ、すっごいフリフリでカワイイ系だね
まゆ,柚ちゃんは、こういうのあまり着ませんか？
柚,うん、アタシは割と飾りっ気のない服が多いカナ。普段はパーカーばっかり着てるしね
まゆ,折角ですから、柚ちゃんもこういう服、着てみませんか？
柚,えぇ！？いやいや、アタシにはそんな似合わないカナーって
まゆ,そんなことないですよ。柚ちゃんだって可愛いんだから、きっと似合います
柚,そう言われちゃったら、断りづらいなー……
まゆ,あまり着なさそうな服だったら……こういうワンピースなんか、どうですか？
柚,うわ、すっごいフリルとかリボンとか付いてる……
まゆ,試着してみましょうか♪それじゃ、試着室に
柚,ちょ、ちょっと待って、まだ心の準備が～
まゆ,着替え終わりましたか？
柚,うぅ……アイドル衣装より恥ずかしいかも……
まゆ,肌の露出だったら、衣装なんかより全然少ないじゃないですか
柚,それはそうなんだけど、すっごいフリフリしてるのがなんか落ち着かなくて……
まゆ,とっても似合ってますよ。自信持ってください
柚,そ、そうカナ……？えへへ……
まゆ,それじゃ、このまま着ていきましょうか
柚,そ、それはムリー！
まゆ,うふふ、冗談ですよぉ
柚,色々やってるね。チョイスはお任せしちゃおうかな
まゆ,まゆが選んでもいいですか？それじゃあ、この映画を……
柚,やっぱり恋愛モノかぁ
まゆ,嫌でしたか？
柚,いや、イメージ通りだなって
まゆ,逆に柚ちゃんは、アクション映画とか好きそうですね
柚,当たりー♪とにかくド派手で、ズバーン！ドババーン！みたいなやつが好きなんだー
まゆ,ふふっ、柚ちゃんらしいですね。ちょっとずつ柚ちゃんのこと、分かってきたかも。……♡
柚,……まゆチャン、すっごい真剣に見てるなあ。カラオケの時もほとんどラブソングだったし……やっぱりこういうの好きなんだなあ。見たり歌ったりしながら、自分に重ねたりしてるのかな……だとしたら、やっぱり相手は……。映画、よかったねー
まゆ,はい……まゆ、すっごく感動しました。特に最後の、被ってたお面を外して告白するシーンで、泣きそうになっちゃいました
柚,うんうん、アタシもキュンキュンきちゃったよ
まゆ,本当に素敵な映画でした……ああいう恋、憧れちゃうなぁ……
柚,そうだねー。でもまあ、実際には難しいかな……アタシ達、アイドルだし
まゆ,あ……
柚,？
まゆ,……そ、そう、ですね。まゆ達、アイドルですからね……
柚,あ、まずったカナ
まゆ,……
柚,……
まゆ,……
柚,……あ、あの
まゆ,柚ちゃん
柚,え？
まゆ,柚ちゃんは、運命って、信じますか？
柚,……？
まゆ,まゆは……まゆがアイドルになったのは、運命だって思うんです。モデルをやっていたまゆが、たまたまPさんと出会って……あの出会いがなければ、まゆはアイドルにはならなかったんです
柚,……
まゆ,Pさんと出会ったその瞬間に感じたんです。まゆとPさんは、運命の糸で繋がってるんだって。馬鹿馬鹿しく聞こえるかもしれませんけど……まゆは、そう信じてるんです。今のまゆとPさんは、アイドルとプロデューサーという関係ですけど……でも、それだけじゃない。Pさんはまゆにとって、すごく大切な存在なんです
柚,……そっか。そうなんだね
まゆ,……ごめんなさい、急にこんな話しちゃって
柚,ううん、全然大丈夫だよ。まゆチャンの気持ち、アタシもちょっと分かるから
まゆ,……分かるんですか？
柚,うん。……運命の出会いっていうのは、アタシもそうだと思ってて。アタシがアイドルになったのって、街をブラブラ歩いてたときに、Pサンに声をかけられたのがキッカケなんだ
まゆ,そうなんですね……
柚,その時はただ面白そうっていう気持ちだけだったけど……。今にして思えば、運命だったんじゃないかなって思ったりもするんだ。アイドルとしていっぱい楽しいことをさせてもらって、いろんな人や、仲間に会えて……Pサンとの出会いがなかったら、それは全部なかったかもしれないって。アタシにとってのPサンと、まゆチャンにとってのPサンは、ちょっと違うかもしれないけど……。でも、Pサンとの出会いを特別に感じてるっていうのは、もしかしたら同じかもしれないって。まゆチャンのお話聞いてて、勝手に思っちゃった
まゆ,そう……かもしれませんね。ふふっ、意外なところで共通点、見つかりましたね
柚,そうだねっ。アタシ達、案外似たもの同士なのかも？
まゆ,かもしれませんね
柚,あ、やっぱり今のナシ。あのヒラヒラだらけの服はやっぱりアタシにはまだ早いカナ……
まゆ,もう、柚ちゃんったら。ふふっ♪
柚,あははっ。……そうだ、最後に行きたいところがあるんだけど、いいカナ？。缶バッチとか、バッグに付ける小物とか、よくここで買ってるんだー
まゆ,ちょっと雑多な感じもするけど、オシャレな雰囲気ですね
柚,普段もよく来るんだけど……いいコトがあった日はここに寄って、何かひとつ買うようにしてるんだ。記念っていうか、思い出、みたいな？
まゆ,そうなんですね……素敵ですね
柚,今日は、まゆチャンと楽しく過ごせたから。その記念ってことで！
まゆ,うふふ、まゆも楽しかったですよ。折角ですし、まゆも缶バッチ、買いましょうか
柚,どうせなら、お揃いのやつを買おっか！
まゆ,そうですね……あっ、これ可愛いかも
柚,いいね！しかも赤と黄色の色違いがあるよ。アタシとまゆチャンのイメージカラーだし、ピッタリじゃない？
まゆ,そうですね……あっ、いいこと思いつきました♪
柚,なになに？
まゆ,ふふっ。まゆが赤、柚ちゃんが黄色のバッジを買ってそれをお互いプレゼントする、っていうのはどうでしょう？
柚,なるほど！お互いの色の缶バッチを交換するんだ！
まゆ,はい。今日一日の思い出になるかなって……。一日一緒に過ごして、柚ちゃんのこと、いっぱい知れましたから。今日のことを、思い出せるように。お互いへのプレゼントにしましょう
柚,名案だね！そうしよっか！
まゆ,それじゃあ、まゆは寮なので、ここでサヨナラですね
柚,うん。まゆチャン、今日はありがとう！おかげで今日、すっごく楽しかったよ
まゆ,こちらこそ。まゆも柚ちゃんと過ごせて、すっごく楽しかったです。だから、そんな柚ちゃんに、まゆからのプレゼントです。はいっ
柚,ありがとう、それじゃアタシからも
まゆ,ありがとう。大切にしますね
柚,また予定が合ったら、一緒に遊ぼうねっ
まゆ,はい。そのうちお仕事でも、一緒になれる事があるといいですね♪
柚,うんっ♪それじゃあ、またね！バイバーイっ
まゆ,さようならーっ
柚,……あんなこと言ってたら、まさかすぐに一緒の仕事が来ちゃうなんてね
まゆ,はい、本当にびっくりしました。偶然ってあるものなんですね
柚,もしかしたらさ、これも運命だったのかも♪
まゆ,うふふ、そうかもしれませんね♪
カメラマン,はーい、それじゃ撮りまーす
柚,はーい！
まゆ,！
柚,……へへっ♪
まゆ,……うふふっ♪
カメラマン,そこの二人、仲良くていいねー！それじゃいきますよー
柚,もし、この出会いが運命だったのなら……
まゆ,そんな運命も、悪くないですね♪
2人を含む9名で歌う表題曲ほか2曲が収録されたCD,恋が咲く季節
