鷹富士茄子,ーーという企画があるんですけど、どうでしょう？
智絵里,ほたるちゃん、それはそれとして、もう一回お姉ちゃんって言ってもらってもいいかな……？
朋,気に入ったの？
茄子,はい！ではここでお昼ごはんですよ～
朋,やったー！
智絵里,かわいい
ほたる,食事のメニューも、何か開運に関わるものなんですか？
茄子,よくぞ聞いてくれました！こちらのお店は、鯛のお茶漬けが有名なんです♪
朋,おお！鯛といえば、おめでたい食材の代表じゃない！
智絵里,楽しみですねっ
茄子,そう言ってもらえれば、選んだ甲斐がありますね～
ほたる,でも、お高いんでしょう……？
朋,ほたるちゃん、そういう番組じゃないから
茄子,なんと、送料はカコネットが全負担！
朋,乗っからないで茄子さん！。楽しみね！
茄子,ふふっ、朋ちゃん、今日はいつにも増して元気ですね
朋,だって、今まで1人だったのに、今はみんなでこうしてパワースポットを巡れるのよ？それだけであたしは幸せなのよ～
茄子,あらあら
智絵里,あのカワイイ人、わたしのリーダーなんですよ
ほたる,私のリーダーですよ？
智絵里,は？
ほたる,？
朋,気を抜くとすぐ煽る！！！
茄子,ありがとうございます～
ほたる,わぁ……美味しそう……
智絵里,本当ですね……！
朋,ね！ね！食べよ！
茄子,はいはい
4人,いただきます！
茄子,最初はお茶を入れず、お刺身を味わうのがいいみたいですよ
朋,ん！！！美味しい！！！
ほたる,と、朋さん、一応食レポみたいなことをした方が……
朋,あ、ごめんごめん、つい夢中に
智絵里,お任せくださいっ
朋,ち、智絵里ちゃん？そんなに食レポに自信が！？
智絵里,おいしいです
朋,ド下手
ほたる,でも、本当に美味しいですね。臭みが全然なくて、わさび醤油の風味が鯛の旨みを引き出しています
朋,……13歳が誰よりもマトモに食レポしてる。ごめんね
茄子,美味しいですね～
朋,……
茄子,どうかしましたか～？
朋,なんでもないわ
茄子,ではお待ちかねの、ダシをかけてお茶漬けにしましょう
ほたる,いただきます。……！これはご飯が進みますね。スルスルと入ってしまいます。ダシをかけても食べやすいようにちゃんと考えた厚さになってるんですね。また、薬味もマイルドになって食欲をそそります。ついつい食べ過ぎてしまいそうですね。みなさんも是非、食べてみてはいかがでしょうか？
朋,おおー
茄子,おおー
智絵里,もうわたしたちは食べるだけでいいですねっ
朋,智絵里ちゃ……ごめん、あたしも人のこと言えない！でも美味しい！！！
4人,ごちそうさまでした！
朋,美味しかった～！
ほたる,はい、
智絵里,そういえば、こういう番組にありがちな"ルーレットで当たった人だけ食べられない"とかはないんですね
朋,あー、実はあたしもちょっと警戒してた
茄子,そんなにほたるちゃんをいじめたいんですかっ！？
朋,言ってないわよ！？
茄子,実はここに、朋ちゃん、智絵里ちゃん、私とほたるちゃんという3つに分けたルーレットがあるんですけど……
朋,わ！ホントだ！……え、回したらどうなるのかすごい気になる！
智絵里,ほたるちゃん、回してみて？
ほたる,は、はい。えいっ
智絵里,因果律とかなんやらが狂って爆発しました！
朋,ほたるちゃん！！！
智絵里,オチにはまだ早いよ！！！
朋,そういうことじゃなくて！！！
ほたる,これは、採用しなくて正解ですね
朋,当然のように無傷……
智絵里,じゃあ、次の現場へ行きましょうか
朋,興味なさすぎじゃないかな！？
茄子,ちなみにこれ、私が回したら止まらなくなるんですよ～
朋,それはそれですごいわね！？
茄子,はい！私たちは、動物園に来ています！
朋,ど、動物園……？
ほたる,ここにパワースポットが……？
茄子,ふふふ……と言うより、パワーアニマルでしょうか？
智絵里,ゴリラですか？
朋,多分そういうパワーじゃない。あ！わかった！フクロウね？
茄子,さすが朋ちゃん、勘がいいですね
智絵里,フクロウ……？
朋,うん、昔からフクロウは、"不苦労"って呼ばれて、縁起がいいの！
ほたる,不苦労……
智絵里,不苦労……
朋,どうかした？
ほたる智絵里,ちょっと難しいかと……
朋,ええ！？
茄子,視聴者のみなさんも同じ気持ちでしょうね～
朋,いた！フクロウ！
ほたる,大きいですね……
智絵里,確か、夜行性なんですよね？
朋,うんうん、かわいいわねー！
智絵里,朋さんの方がかわいいですけどね
ほたる,本当ですね
茄子,ふふふ……
朋,？
茄子,あのフクロウさんの胴体、よーく見てみてください
智絵里,……？
ほたる,……あ！
朋,ハート型の模様がある！
茄子,そうなんです。あのフクロウさんは、出会いも運んできてくれるって有名なんですよ？
朋,へぇ～！あたしもいつか運命の人に……拝んどこっと
智絵里,そ、そんなどこの馬の骨ともわからない人に朋さんは渡せません！
朋,気が早くない！？
ほたる,植木鉢程度で倒れる人に朋さんは任せられません……
朋,2人はあたしのなんなの！？
茄子,では、せっかくなので他の動物も見ていきましょうか？
智絵里,そうですね……あ！うさぎさんです！
ほたる,ふれあいコーナーみたいですね、かわいい……
智絵里,本当だね……
朋,うさぎと遊ぶ智絵里ちゃんとほたるちゃん……
茄子,ずっと見てても飽きないですね……
朋,幸せ……
茄子,あっちの方にはライオンのコーナーがあるみたいですね～
ほたる,ライオン……
智絵里,どうかしたの？
ほたる,いえ、もし檻とかが壊れたらと思うと……
朋,大丈夫よ！茄子さんもついてるし！
茄子,そうですよ～。それに、ここのライオンのコーナーは低い位置に作られていて、上から丸いくぼみを見下ろすみたいな形になってるんです
朋,なるほど、それなら万が一柵がなくなっても、ライオンはこっちには来れないってわけね
ほたる,でも、例えば柵に寄りかかってそのまま中に落ちたら……
朋,か、考えすぎだって！
4人,！？
朋,え……？え？
智絵里,ど、どうしましょう……？
茄子,わ、私が下に降りて
ほたる,っ！！！
朋,ほたるちゃん！！！！！
ほたる,
朋,着地がヘタ！！！
ほたる,大丈夫ですか……？
男の子,……
ほたる,ここでじっとしていてください
朋,ほ、ほたるちゃん、周りにライオンが……！
智絵里,ま、まさか、あの技を使うつもりなんじゃ……！？
朋,ええ！？なにそれ知らない！。なんなのよ今の！！！！！！！！！！
茄子,すごかったですね～
朋,もう……！なんというか……！なんなの！！！！！
智絵里,お、落ち着いてくださいっ
朋,植木鉢に峰打ちとかないでしょ！！！！！。ってか"卍解"って！！！！！。男の子も逆に引いてたでしょ！！！！！。あと途中でなんか実験の説明してたの誰！？！？！？。そもそもどこから降ってきてるの！！！！！！！！
茄子,どうどう～
朋,はぁ……はぁ……
ほたる,のど飴、舐めますか……？
朋,わぁ！？ほたるちゃん！？
ほたる,あまり騒ぎになるのはアレですから、次の目的地に行きましょうか？
茄子,もう十分な騒ぎですけどね～
智絵里,あの技は破れないんですよね……
朋,挑んだことあるの
智絵里,あの技を破らないとほたるちゃんに勝てませんが、ほたるちゃんを倒さないとあの技は止まりません
朋,強っ！！！
茄子,はい！朋ちゃんも落ち着いたところで、私たちは最後の目的地である温泉に来ています～
朋,むしろこんな短時間で落ち着いている自分が怖いわよ……
茄子,まあまあ、温泉に入って、今日の疲れを癒しちゃいましょう～
智絵里,では、行為室……じゃないですね、更衣室へ行きましょうっ
朋,不穏な言い間違いが聞こえたわね？。ま、やっぱり温泉はタオルじゃないとね～、視聴者のみんなにも、サービスショット！みたいな？。待ってなんかセリフの後ろに付いてる気がするんだけど
智絵里,気のせいですよっ
ほたる,私なんて……何の価値もないとは思いますが……
朋,そんなことないわよ～！かわいいんだから！
茄子,お待たせしました～
智絵里,解散
朋,……
ほたる,……
茄子,ええ！？
朋,はぁ～。こうもまざまざと見せつけられると……
智絵里,わたしたち、運に欠けるだけじゃなくて胸も欠けてますね……
ほたる,世知辛いですね……
茄子,ほ、ほらみなさん！温泉！入りましょ！
朋,ふぅ～
智絵里,気持ちいいですね……
ほたる,疲れが溶けていきます……
茄子,この温泉も、幸せを招くと言われてるんですよ～
朋,わかるわ～、今、ちょー幸せだもーん……
ほたる,朋さん、一応テレビ……
智絵里,ほたるちゃん、録画して見返すんだから、こういうシーンが多い方がいいでしょっ
ほたる,はっ！
朋,いや、"はっ！"じゃなくて
茄子,さて、そろそろ……
朋,そうね……
智絵里,はい……
茄子,実はこの温泉、絶景の露天風呂もあるんですよ♪
ほたる,わぁ……そうなんですか？行ってみたいです……
朋,いいわね～、じゃあ、あたしたちが先に行って、安全を確かめてくるね！
ほたる,え？
智絵里,外は危ないですからねっ
ほたる,わ、私も……
茄子,まあまあ、ほたるちゃんは待っててください、私たちが大丈夫だって判断したら呼びますから～
ほたる,は、はい……？。……。寂しい……。なんだか……急に……世界に私だけになった気分……。私は……幸せ……なのかな……？。こんなに……楽しくて……。いいのかな……。！。い、今行きます……！。お邪魔しま
朋智絵里茄子,ほたるちゃん、お誕生日おめでとう！！！
ほたる,……っ！？！？
朋,どう？どう？ビックリした？
智絵里,温泉でクラッカーなんて初めてですっ
茄子,スタッフさんに用意してもらってたんですよ～
朋,あ、温泉上がったらケーキもあるわよ！
ほたる,……。……ううう
朋,ほ、ほたるちゃん！？
智絵里,！。朋さんっ。出番ですよっ
茄子,そうですよ～
朋,え？ちょ……ええ？。ほ、ほたるちゃん！開運ツアーなんだから、笑顔笑顔！ね？
ほたる,こ、こんなの……ズルいです……！
朋,わっ！も、もう……あまえんぼうさんね
智絵里,……
茄子,いいんですか～？取られちゃいますよ～？
智絵里,今日は特別に見逃してあげますっ
茄子,あらあら♪
智絵里,日付が変わった時がほたるちゃんの最期だからね
朋,またそういうこと言う！
ほたる,私を倒せるんですか？エイプリルフールはとっくに終わってますよ？
朋,ほたるちゃんも挑発しないの！！！
ほたる,でもこの露天風呂、本当に景色がいいですね……
朋,そうよね！いいことづくめだったわ～
智絵里,まあ、楽しかったですよっ
茄子,ふふふ～それはそれは♪
ほたる,きっと、このツアーがなくても、私は……最初から……
朋,あ……
ほたる,どうかしたんですか？
朋,いや、さっきのさ？ライオン倒したアレなんだけど……、アレには副作用とかないのかなーって
ほたる,ありますよ？
朋,あ、あるの！？えっと、どんなことが？
ほたる,全身の痺れ、動悸、息切れ、呼吸困難などですね
朋,そんな毒キノコのような症状が！？だ、大丈夫なの？
ほたる,それが、いつ来るかわかんないんですよね……
智絵里,けっこう突然来るんだよねっ
ほたる,そうなんです、さっきまで平気だったのにいきなり……ってことが多くて
朋,そうなんだ……
智絵里,こんな温泉とかでなったら死んじゃうね……
ほたる,ガボゴボガボゴボガボボゴガボ
朋,そんなこと言わな……
ほたる,ガボゴボガボゴボガボボゴガボ
朋,
茄子,
智絵里,
ほたる,ガボゴボガボゴボガボボゴガボ
朋,ほたるちゃん！！！！！
