昔々、ヴァルハラという国があった。ヴァルハラは魔王,グラサン
サターニャ,フン、下等生物は私に恐れ戦いているわよ♪
ガヴリール,ないわ……。
グラサン,白羽も、まぁ四天王として上手くやっているしな！
ラフィエル,うふふっ♪
グラサン,とりあえず、各自それぞれの領土に戻れ！また、何かある時は招集をかけるからな！！
ヴィーネ,はい。
ガヴリール,はぁー、やっと終わったかぁ…
ラフィエル,やっと、と言ってもまだ集まってから30分しか経ってませんよ、ガヴちゃん！
ガヴリール,私にとっては、30分でも長い方なんだよ！
サターニャ,やれやれね…。
グラサン,あっ、胡桃沢は俺の部屋に来い！
サターニャ,フン。せいぜい良い物をよこしなさいよ
ヴィーネ,サターニャ…もし死ぬような事になったら骨だけはちゃんと拾ってあげるからね。
ガヴリール,…………ご愁傷様
ラフィエル,面白そうです♩千里眼で覗いてみましょう！
ガヴリール,くっそたれぇーー、なんでゲームができないんだよ！！！
民A,ぎゃあああーーーー！？
ガヴリール,鬱憤晴らしにお前らの家を破壊してやる！！！
民B,逃げろーー！ガヴドロ四天王の一人、ガヴリールだ！？
ガヴリール,ついでにグラサンに納める物も頂いていくか！
民C,ひええぇぇーー、村の食料や金があぁーー！！？
ヴィーネ,こんにちは
民A,あぁー、ヴィーネさんだ！！皆ー、ヴィーネさんが来たよ！
民B,ヴィーネさん、いつも相談に乗ってくれてありがとうね！おかげで助かりましたよ
ヴィーネ,いえいえ、別に大したことはっ！？///
民C,これはお礼だ。ぜひ、受け取ってくれ？
ヴィーネ,わぁっ、食料やお金をこんなにっ！！？わ、悪いですよ！？
民A,いやいや、遠慮することはありませんよ！ぜひ、持っていて下さい！
ヴィーネ,は、はぁ、では。貰った物を自分で食べたり、使うのもアレだし…魔王様に納める物として持っていこうかしら！
サターニャ,下等生物共、魔王直属ガヴドロ四天王の一人にして大悪魔の胡桃沢＝サタニキア＝マクドウェル様のご登場よ！！ひれ伏しなさい♪
民A,なんだ、サターニャか。大悪魔だか何だか知らないけど、ガヴドロ四天王にしては迫力に欠けてるんだよね
サターニャ,っ！？ちょっとどういう意味よ！！
民B,そのままの意味ですよ。最初は怖いかと思ったけど、態度がでかくて尊大なだけの小悪魔だったって事だよ！
サターニャ,な、なんですってぇ！？
民C,まぁ、一応、四天王の一人だし、ほら。ちょっとだけど、食料と金だ…持っていきな！！
サターニャ,ほほぉ、この大悪魔に恐れをなして物を差し出すとは、いい心掛けじゃないの！魔王に納める物にでもしようかしらね。
民C,ただの同情なんだけど…
ラフィエル,はぁ～い、今日も犬みたく地べたに這いずり回って下さい♪
民A,な、なんでこんな事に…
ラフィエル,そこ、犬でしたらワンワン
民A,ヒィッ……ワンワン！？
ラフィエル,よろしい♪
民B,ちくしょ…。パッと見、優しそうなのに、実際はこんなにも恐ろしい本性を秘めていたとは……。
民C,あのガヴドロ四天王の一人だから、大人しく従うしかありませんね…。
民B,にしても、あの笑顔から溢れ出るオーラ……いつ見ても恐ろしいなぁ！
ラフィエル,♪。そうそう。食料やお金などがありましたら、素直に出してくださいね？素直に出さなかった場合……
民B・C,場合は！？
ラフィエル,鞭で叩いての再教育です♪
民A,ヒィィィッ！！？だ、出します！！？
ラフィエル,素直でよろしい…流石は私の犬です♪
