モバP(以下P),なぁ紗南？
紗南,まぁ、みんなでゲームしてるんだよ。アタシが操作してるんだけど
美嘉,へー、卯月ちゃん達はハマるってことは相当面白いの？私もやりたいかも！
紗南,えっ！？別にいいけど……同じやつ？
フレデリカ,何々ー？何の話ー？
志希,ナニナニー？面白そうな話？混ぜて混ぜてー！
美嘉,うわっ！？紗南ちゃんにゲームを借りてみようかなって話してたの、今度寮に行くからみんなでやる？。……
奏,フフッ情熱的ね……
フレデリカ,うわーお、だいたーん！ちょっとテレテレかもー？
周子,ほんまやねぇ……
紗南,志希さん、アタシの首嗅ぐのやめて！？やりづらい！。とまぁアタシが寮の色んなとこに出向いてたんだけどさ、そうなるとアタシがいないとできなくなるでしょ？
P,まぁ……というか紗南がゲームできなくなるしな。そこはみんなわかってくれるだろ
紗南,まぁ……一時期それで積みゲーできちゃってねー……乙女ゲーの
P,まぁ他に合わせてたら終わらないよな、あぁいう類のものって
紗南,うん、それで結局、みんながプレイしてたからってこの際みんなでやろうってなってさ
P,なるなよ、どういうことだよ……
紗南,んで、最初は寮のテレビに繋いでおいておいたんだけどさ、そうなると……寮にいない子ができないじゃん？
卯月,うぅ……私も双子くんのセリフ聞きたいです……
凛,べ、別にゲームがしたいわけじゃないけど……仲間外れは嫌かな。まだメガネくんのルート、終わってないじゃん
未央,なんだよー、みんな水臭いなぁ！未央ちゃんは幼馴染くんの話気になってたんだけど？
紗南,まぁまぁ……みんな寮に遊びにくればできるんだし……セーブデータ残してるしさ？
卯月,でも寮のみんなでクリアしちゃうんですよね？
紗南,まぁ……誰からやるかは知らないし、たぶん最初からになるけど
凛,それはなんか悔しいかな、事務所においたりはできないの？
紗南,さすがに事務所はね……アタシの一存でパソコンとかゲーム機とか持ち込めないし……
未央,なるほどー？それなら許可があればいいってことだね？
紗南,というわけで寮じゃない組がちひろさんに許可取ってきたの
P,マジかよ
紗南,そこからまた色々あったんだよ。最初はセーブデータ分けれたから各自でやってたんだけどね？
P,なんつーか乙女ゲーってそんなさも簡単に流行るもんだっけ……？
紗南,まぁそこはみんな普段ゲームなんてやってなかっただろうしね……ほら、操作は簡単じゃない？
P,まぁそうだけどよ……まぁ紗南のおかげというか紗南のせいというか
紗南,まぁその辺はみんなに言われたよ……
響子,沙紀ちゃん沙紀ちゃん！お願いします！是非！アレを！
沙紀,えーっと………早く俺のものになれよ
響子,沙紀ちゃん……か、完璧です！
卯月,きゃー！素敵ですぅー！
美穂,こ、今度は私に……！
沙紀,マジっすか……
比奈,どーするんスか紗南ちゃん、なんか事務所まで蔓延してるっスよ
由里子,オタ趣味を説明するのはいいけどパンデミックはよくないと思うじぇ
紗南,し、しょうがないじゃん！アタシだってこんなに感染拡大すると思ってなかったし！
比奈,まぁ普段ゲームやらない人って結構ハマることあるっスからねぇ
紗南,なんというか……普通に楽しんでくれてるから嬉しいけど複雑だよね……
由里子,なんか別の扉開きそうな人も結構いるじぇ……
琴歌,か、壁ドン……壁ドンですわ！どうしましょう皆さん？
星花,わ、私はどちらかと言えば顎クイのほうがやってもらいたいです……
雪乃,私も……ちょっと乱暴に股ドンとか……
琴歌,この前の白虎くんみたいな不良系ですわね？
雪乃,いえ、青竜くんみたいな俺様系に……
星花,あぁ！いいですわよね……
比奈,どうするっスか。お嬢様のみなさんがソフトMに目覚めそうになってるっス
由里子,まぁ影響受けやすそうだから？
紗南,ま、まぁお嬢様に俺様系ってありがちな組み合わせだよね……
早苗,ほーら、みんなの要望に答えてあげる！
あい,そうは言うけどね……
加蓮,おねがーい、あいさん！ちょーっとだけでいいからさ！
あい,捕まえたよ御嬢さん、全く……傍を離れるんじゃない
加蓮,うっわー……威力高いなー……
早苗,あいちゃんノリノリじゃない！
あい,正直乗り気ではないよ。そのゲームもそこまで私はやっていないしね？
瑞樹,あら、それならちょうどいいわ！今度寮で大人のみんなでやろうって話になってるのよ！
あい,なんだって？
早苗,なんか少女マンガみたいで面白くて！あいちゃんもどーお？お酒、用意してるわよ？
比奈,酒の肴にされてるっスけど。まぁ自分も誘われたというか半ば強制参加なんスけどね……
紗南,ご、ごめん比奈さん……アタシはさすがにお酒の席は出れないし……
比奈,いいんスよ。大人がストッパーになるかと思ったらそんなことなかったっス……
由里子,実際ギャルゲーも乙女ゲーも漫画みたいなもんだじぇ
比奈,由里子ちゃん、BLゲーを混ぜるのは無しっスよ？
由里子,な、なんのことやらー？
紗南,さ、さすがにBLゲーはちょっと……
比奈,紗南ちゃんもギャルゲー入れようとしてたっスよね？
P,中々に凄いな
紗南,いや、今の今まで気づいてなかったPさんの方がすごいよ……
P,最近出張やらなんやらで忙しかったからなぁ。なんか日菜子の妄想がいつにも増してるなとは思ってたけど
紗南,王子様系すごい攻略してたもんなぁ……日菜子ちゃん、軽く乙女ゲーマスターになってたよ
P,まぁ日菜子はハマりそうだよなぁ。むしろなんでやってなかったのかってレベルだわ
紗南,後、アレだったんだよね、一部ホントにドハマりする人がいてさ……
マキノ,………どういうことなの……
奈緒,あれ。マキノさんどうしたのか？浮かない顔して？
マキノ,あら、奈緒ちゃん、ちょうどよかった、ちょっと困ったことがあって
奈緒,どうかしたのか？アタシが協力できることなら相談に乗るけど？
マキノ,そうね……ちょっと聞きたいんだけど。どうしてマキオくんの秘密にたどり着けないのかしら……
奈緒,は？
マキノ,彼の好感度は間違いなく上がってるはず……なのに秘密を打ち明けてくれるところまで行かないのよ
奈緒,あぁうん……えっと……あれは……
マキノ,待って！答えは言わないで奈緒ちゃん。私にも意地がある、しっかり自分の手で調査してみせるわ
奈緒,そうか？一応そのゲームは凛達と少しやったけど……
マキノ,そう……彼とはシンパシーを感じたのだけど、方向がわからないのよ。……マキオルートをなんとしても攻略してみせる、奈緒ちゃんありがとう
奈緒,いや、アタシなんも言ってないんだけど……というかマキノさん目にクマが……
文香,あのルートのシナリオは素晴らしかったですね……
頼子,えぇ、読ませる文章というものがわかっていますし、CGのイラストも綺麗で……
泰葉,声優さんの演技も素晴らしかったですね！私も学ばないと……
文香,真に迫る演技……シナリオ……イラスト……それが一体になって紡がれる物語……
風香,設定もすごい参考になりましたー……
泰葉,そうですね、他のルートもぜひ見てみたいです！
頼子,はい、しかし……事務所のゲームは学園ストーリーのゲームですよね
泰葉,紗南ちゃんがオススメでおいてるということはそっちもいい内容かもしれませんね？
風香,なるほど……そうですね！今度皆さんで見に行きましょう！
紗南,そこのみんなには江戸時代物の乙女ゲー貸してみたんだ。ストーリー重視のノベルゲー
奈緒,あー新撰組モチーフのやつとかアニメになってたなぁ。事務所に置いてるやつと違うのか？
紗南,みんな読み物として見てるから攻略がすごい早くて……個別に貸しちゃってるんだ
奈緒,あー……オタクってのめり込むと凄いからなぁ
紗南,リフレクトしてるけど大丈夫奈緒さん？あとたぶん文香さんくらいだよ、のめり込み型
奈緒,いや、泰葉も頼子さんもきっかけさえあれば燃えるタイプだと思うんだよ……理解ある方だろ？
紗南,風香ちゃんも小説書いてるしね……話を楽しめるならアリなのかな？
蘭子,大いなる深淵に手を伸ばすことで、栄光への扉は開かれるのよ！
飛鳥,確かに、深淵の虚無、アンダーナイトメアを超える以外に選択肢はなさそうだ
蘭子,うむ、大いなる試練を超えた時！物語の美姫は大きなる祝福を得るはず！
飛鳥,セカイの改変……なるほど、ボクにその攻略に届くのか。実に楽しみだ
蘭子,電脳の世界であれど、世の理は同じ。そう！
飛鳥,ボクらならこのセカイ、救うことができそうだ
比奈,あの二人には見事に厨二系ファンタジーがぶっ刺さってるっスね……
由里子,まぁ仕方ないじぇ……乙女ゲーよりギャルゲーの方が多そうなジャンルだけど
比奈,……某聖杯的なアレに手を出さないように見張ってないとダメっスね
由里子,全年齢版もあるじぇ？
比奈,飛鳥ちゃんあたりそのままR18の方まで突っ走りそうなんスよ……
P,……この事務所もうダメじゃないか？
紗南,大丈夫、Pさんの事務所だよ！
P,そんな全く信用できない攻略本みたいに言うなよ……
紗南,まぁそんなこんなで、見ての通り、事務所でやる乙女ゲーは攻略ルートをみんなで決めてからやってるわけ
P,別に適当に置いておけばいいんじゃないのか？
紗南,それが……ほら、みんなそこまで詳しくないじゃない？というか知識ゼロじゃん？
P,まぁそうだわな
紗南,その時いる人がなんとなくで進めちゃってどのルートにもいかないで終わるってのがザラにあってさー
P,あー……
紗南,あとは各自でセーブデータを作って進めよう！って話にもなったんだけど……ほら、今度は寮に持っていけないし？また問題が
未央,みかねーみかねー！
美嘉,どうしたのみーお？なんかテンション高いねー？
未央,いやー。流行ってますなぁ。なんだっけ……乙女ゲーム?
美嘉,なーにー？未央だってやってなかった？あ、アタシはほら、前にみんなとやったしもう十分っていうか……
未央,……みかねーって子供系好きだったんだね
美嘉,なっなっななっ！
未央,いや、さっきセーブデータ見ようとしたら間違ってみかねーのデータ選んじゃって……
美嘉,み、見たの！？
未央,……本名でやるのはよくないと思う
美嘉,みーおー！アンタねー！
未央,悪かったってー！……本名でやるとすごいの？
美嘉,……読み上げ機能あるとすごい
卯月,読み上げしてもらうと耳元がキュンキュンしますよねぇ……えへへ……
琴歌,確かに……ドキドキしてしまいますわ
響子,ヘッドフォンを借りてやったんですけど……破壊力抜群でした……
由里子,そんなあなたにいいものがあるじぇ！
琴歌,由里子さん？これは……っ！
由里子,俺様幼馴染に乱暴に起こされるCD……でございますじぇ
響子,ゆ、由里子さん！えっと……
由里子,イケメン執事の子守歌で夜も眠れないCDとか……どうだじぇ？
響子,由里子さん！
由里子,卯月ちゃんにはイケメンに囲まれて聖徳太子になるしかない！をプレゼントするじぇ……
卯月,が、頑張ってなります！……うへへ……
P,大西ぃ！
由里子,別にBL進めてるわけじゃないじぇ？
P,まぁ……そうだけど……
紗南,というか何時の間に来たの？ステルス？
由里子,まぁ紗南ちゃんが説明してたからつい……
P,しかし、持ち歩いてるんだな……
由里子,まぁ流行ってるからねぇ。保奈美ちゃんがCD借りに来たのは嬉しかったじぇ……
紗南,来たんだ……前断られてたもんね。で、まぁ最終的に誰かがクリアしてその週はセーブデータをみんなで見る形に収まった結果が
比奈,あの張り紙っス
由里子,まぁみんな読み物として見てる節があるじぇ、一部ガチな皆様もいるけど
P,…………どうしよう、どうしようこの事務所
紗南,ガチトーン！？だ、大丈夫だって！一過性だって！多分！
文香,このゲーム、この前のゲームと脚本が同じらしいです……
泰葉,あ、それあの声優さんが出てましたよね！楽しみです！
頼子,ふふ、またみんなでやりましょうか……
紗南,……
比奈,………
P,駄目だ……このままイケメン声優にハマって脚本からエロゲーにも流れて、イラストレーターからエロにまで到達するんだ……
由里子,さすがに突飛過ぎだじぇ、きっと18禁は踏みとどまるはずでしょ？
P,文香は文学なら性的表現も普通に受け入れそうで怖い……
比奈,否定できないっス……
紗南,ま、まぁさすがにそのルートに入ったらみんなでストップさせるよ、ね？
由里子,まぁさすがに……
比奈,寮も事務所もカオスになりそうっスからねぇ……
ちひろ,とりあえずアイドルの皆さんには乙女ゲームの話はブログなどに書かないようには言ってますから
比奈,まぁ何が起こったって感じでスもんね
ちひろ,というか紗南ちゃんへ送られたゲームですからね。紗南ちゃんに書いてもらわないと
紗南,うえっ！？そっち！？レ、レビューとか書かないよ？配信もしないし！
ちひろ,でもプレイしましたよー、と簡単な感想くらいは書いてくださいね。やってないって思われたら……
紗南,わかってるって！結構積んでるけどノーコンテニューでクリアするよ！
由里子,基本セーブ＆ロードな気がするじぇ
紗南,突っ込みはノーセンキュー！
日菜子,むふ……どうしました？
沙紀,その……乙女ゲームって事務所で流行ったじゃないすか
あい,私たちは男性役ばかりだったものでね。ちょっと気になったんだ
日菜子,それなら紗南ちゃんのところへ行けばいいんじゃないですかぁ？でも日菜子のところに王子様が二人もくるなんて……むふふ
沙紀,あー……紗南ちゃんの部屋積みゲー消化中って書いてて入れないんすよ
日菜子,なるほど。それで日菜子のところへ……確かに紗南ちゃんから借りたゲームが残ってますけど……
沙紀,なんというか日菜子ちゃんは持ってる気がしたっす……
日菜子,むふふ、入ってください……日菜子が手取り足取り教えてあげます……
沙紀,これは……遊びにきたんすよね？
あい,確かにそうだな。そうなると……やはり。……なるほど、彼のことを考慮すべきだったか……
沙紀,確かに絵をかいてる最中に邪魔されるのはちょっと面倒に感じるっす……
あい,日菜子ちゃん、ここはどうするんだったかな？
沙紀,ロードっすかね？それとも進めた方いいっすか？
日菜子,えっとですねぇ……この後の展開を考えて決めるのがいいと思いますよぉ……むふふ
沙紀,確かに、一度通しでやってみるのもいいかもしれないっすね
あい,ゲーム自体さほどやらないからね。確かにその方が良さそうだ。これは誘われているな……
沙紀,成績優秀で頑張ってるっすからね……乗るべきっすかね？
あい,しかし美術部の彼と下校の約束をしている……どうしたものか
日菜子,どちらかに絞るべきですよねぇ
あい,なら教えてくれ、この紳士的だがどこかSを感じる彼にすべきか
沙紀,自分の世界を愛して、優しく接してくれる美術部の彼か！
日菜子,ひ、日菜子には……二人の王子様からなんて選べません……むふふ……
沙紀,日菜子ちゃん？
日菜子,王子様が日菜子を巡って……むふふふふ……
あい,あぁ……これは失念していたな……しょうがない、進めるとしよう
沙紀,そ、そっすね……。中々楽しめたっすね
あい,確かに、流行るだけのことはあるということか……
日菜子,むふふ……楽しんでくれて何よりです……
沙紀,なんというか……あぁいう風にするべきなんすかね？
あい,彼女たちのニーズという意味では間違いないのだろうけどね？
日菜子,やめてください(真顔
沙紀,えっ
日菜子,吉岡くんの王子性とあのヒーローは一致しませんので。あっ、あいさんも自分のアイデンティティを捨てないでくださいね？
あい,あ、あぁ……すまない
沙紀,目がガチだったっす
あい,まぁ……彼女にも譲れないものがあるんだろう……
紗南,よっしゃー！積みゲー終わりー！よーしっ……って朝じゃん！。久々に徹夜したなぁ……眠いけど朝ごはん食べてからにしよう……。服、ふく……これでいいか……
あずき,あ、おはよう紗南ちゃん！早起き大作戦？
紗南,あぁ……おはよう子猫ちゃん
あずき,ふえっ！？ど、どうしたの紗南ちゃん！？
紗南,一緒に朝食を食べない？あずきちゃんの隣で、食べたいんだ
あずき,ド、ドキドキ大作戦とかずるいかも！もー！でも一緒に食べよ。あずきが作ったげる！
紗南,ありがとう、子猫ちゃんの手作りなんて……幸せだよ
比奈,紗南ちゃんすごいことになってるっスね
紗南,おはよう先生、いい朝だね？
あずき,へへっ美味しい？あずきのご飯で満腹大作戦だよ？
紗南,ありがとう……おかげでいい一日になりそうだよ
あずき,作戦大成功！ありがとう紗南ちゃん！
比奈,乙女ゲーのやり過ぎでなんで攻略相手の気持ちになってるんスか……
紗南,相手の気持ちになれば……攻略が楽になるかと……
比奈,なんで学ランなんスか……？
紗南,え？あぁ……うん？貰えたんだよね、これ。ファンから
比奈,紗南ちゃんのファンってコスプレ衣装まで送ってくるんスか……
紗南,少し……眠い……あずきちゃんも一緒にどう？
あずき,そっそれはさすがに作戦外かもー！
