モバP(以下、P),みんなー。今日は新しいアイドルを紹介する。佐藤心さんだ
未央,やったよ～。やっと三人で大きな仕事が出来るよ～
卯月,よしよし
P,不遇時代はもう終わったんだ。凛に卯月に未央。俺が入社して初めて企画したユニットのプラン。社長のOKが出るまで随分と時間がかかってしまったがやっと動き出すことが出来る
菜々,どうして今日はオフのはずのナナも連れて来られたんですか？
P,先方が突然、菜々さんも連れて来てって言ったからな。お詫びに今度、アニメ関係の仕事回すよ
菜々,そういうのはお詫び云々じゃなくても優先的に回してください！
P,わ、分かったよ。まぁ、この仕事は奈緒や千佳じゃ無理だからな。あと色々と近い。あっ、すみません。お怪我はないですか？
？？,なんて素敵な人……じゃなくて。大丈夫よ……って、菜々ちゃん？
菜々,
？？,菜々ちゃんよね？私よ。川島瑞樹よ
菜々,
瑞樹,目を背けるなんて…もしかして、まだあのことを怒ってるの？
卯月,あの人ニュース番組で見たことある
P,ああ。女子アナの川島瑞樹さんだ。地方局のアナウンサーだけど、最近全国で出るようになったんだよ
凛,やけに詳しいね
P,女子アナ引退したらウチの事務所に引き込むつもりだからな
菜々,み、瑞樹ちゃん。あのことは別に気にしてないですよ。実際、当時ナナも声優になれるかどうか分からなかったんですし…
瑞樹,だけど、私が菜々ちゃんとの約束を反故にしたことは…
菜々,ほ、本当だから。ナナは全然怒っていませんよ～。プロデューサー！ヘルプ！ヘルプ！
P,あの～
瑞樹,何か？
P,御二方ってお知り合いなのですか？
菜々,積極的にナナの地雷原にダイブしないでください！
瑞樹,ああ。ごめんなさい。私は関西の○○テレビでアナウンサーをしている川島瑞樹です
P,私はCGプロでプロデューサーをしているモバPといいます。あ、これ名刺です。いやぁ、まさかウチの安部とお知り合いだったとは
瑞樹,ええ。大学時代に同じボイストレーニング教室に通っていたんです
P,へぇ～そうだったんですか
瑞樹,元々、関西弁が強くて言葉遣いは自力で矯正出来たんです。しかし、イントネーションまではどうしても自力では直らなかったので
P,そこで菜々さんと一緒に指導を受けていたんですね
瑞樹,はい。会わなくてもう6年になりますが、全く変わってなくて驚きました。アンチエイジング…羨ましいっ
P,あの……何か？
瑞樹,ああ。ごめんなさい。何も
P,あの、夢がどうこうって言ってたのって何かあったんですか？
瑞樹,ええ。まぁ……。ボイトレ教室に通ってた頃、菜々ちゃん、私が声優を目指してると勘違いしていた時期がありまして、その時に声優になって一緒にアフレコしようって約束してしまったんです。誤解を解く前に私がアナウンサーになったことで一方的に反故にしてしまったんです
菜々,だからそのことはもう良いんです。そもそもあの時、2人とも酔ってましたし
凛,今、物凄く聞いちゃいけないこと聞いてしまったような気がする
卯月,クールらしくスルーだよ。凛ちゃん
凛,卯月…直接脳内に…！
卯月,ニュージェネの友情があればテレパシーぐらい余裕だよ！だよね？未央ちゃん
未央,ん？2人ともどうかしたの？
卯月・凛,全然伝わってねえ！ニュージェネの友情どこいった！
P,あの～その夢、私が叶えましょうか？
菜々・瑞樹,え？
P,川島さん。近々、アナウンサーを引退なさると聞きました
菜々,え？そうなんですか？
瑞樹,その……やっぱり美を売る仕事ですからね。どうしても若い子に席を奪われてしまうんです。私ももう28ですし、そろそろ潮時かなと……
P,辞めた後のご予定は？
瑞樹,それはまだ…
P,では、ウチの事務所に来ませんか？
瑞樹,え？でもCGプロってアイドル事務所だと聞いていますが……
P,別に20代後半のアイドルなんて珍しくないですよ。ウチには川島さんと同い年や31歳もいますし、他にも年齢不詳のアイドルだって目の前にいるんですから。他所の事務所だと一時的とはいえ人妻子持ちのアイドルや女装して性別を偽っていたアイドルだっています。川島さんの美貌を前にすれば、年齢なんて枷になりません。むしろ大人の色気を醸し出すための武器になります。ウチはアイドル事務所ですが、やってることがほぼ女優やタレントの人もいれば、アーティスト路線やダンサー路線の人もいます。果てには趣味に没頭しすぎて歌って踊るが副業になってしまった人も…。だから若さとか経歴とか関係ないですし、菜々さんと一緒に声優をやることも夢ではありません。年齢も地球人もウサミン星人も関係ない。私は貴方というシンデレラを待っているんです
瑞樹,ふふっ…。そんな歯の浮くようなセリフ、真顔で言う人なんて初めてね
P,……
瑞樹,良いわよ。引退したら真っ先に君の事務所に駆け込むわ
P,よっしゃあ！新しいアイドルゲットだぜ！
瑞樹,ところで彼のスカウトって、だいたいこんな感じなの？
凛,シンデレラ云々は言ってないけど、だいたいそんな感じだった
卯月,気がついたらもう契約書にサインしてて…
未央,今思うと詐欺師かペテン師の手口だよね
P,いやぁ～。今日も新しいアイドルをスカウト出来て良かった。あ、寮の部屋とか空いてるかな？またアイドル拾って来たんですか！ウチじゃもう飼えませんってちひろさんに怒られたらどうしよう
ニュージェネ＋菜々,……
P,ど、どうしたんだ？
ニュージェネ＋菜々,いえ、何でもありませんよ。ブリーダーさん
卯月,びっくりした～
P,あれは765プロの高木社長と961プロの黒井社長だな
卯月,いつもあんなに仲が悪いんですか？
P,あの二人の確執はここ30年のアイドル業界の歴史に刻まれるぐらいにな
菜々,もう！2人とも喧嘩しちゃダメです！
高木・黒井,な、菜々さん！
高木,こ、これはお見苦しいところを
黒井,来られるのでしたらヘリの一機や二機迎えに行かせましたのに…
P,なんかもう…隠す気ないな
凛,自分から地雷を踏みに行ってるよね
卯月,ツッコミすら放棄してるよね
未央,こうも立て続けに起きるとね…
菜々,いつまでも2人の仲が悪かったら、音無ちゃんが悲しむじゃないですか！。もう仲違いして何十年経つんですか！いい加減にしないとナナだって怒りますよ！
高木・黒井,……
高木,菜々さん。いくら貴方の頼みであっても、どうしても譲れないものがあるんです
黒井,そうだな。高木。これまで失ってしまったら、我々は我々でいられなくなる
？？,お２人さん。今日のところは菜々さんの顔を立ててやってくれないか
高木,あ、貴方は！？
黒井,まさか、こんなところでお会いするとは…
P,智美丸子友蔵先生！
凛,え？そんなに凄い人なの？
未央,演歌界の生ける神話だよ。あと時代劇とかにもよく出てる
凛,詳しいんだね
未央,暇だから事務所でずっとテレビ見てた……時代劇の再放送とか……あれ？どうしてだろう？涙が……
うづりん,
黒井,友蔵先生までそう仰られるのであれば…
高木,そうだな。周囲の目もある。今日はもうやめよう
友蔵,お久しぶりです。菜々さん
菜々,え？あのー…
友蔵,私です。水瀬会館で貴方の前座を務めていた友蔵です。私をお忘れですか？ああ、無理もない。最後にお会いしたのは戦前の――――。ぎゃあああああああ！
菜々,友蔵ちゃーん！！
宇宙人A,我々はタートル星人。野蛮で未開なこの惑星を侵略しに来た
宇宙人B,猿共よ。我々に跪け
P,うぎゃあああああ！
宇宙人A,貴様ら下等生物にこの星の資源は手に余る。我々が有効活用してやろう
宇宙人B,これで俺たちも立派な惑星オーナーだぜ
卯月,おかしいなぁ……。今日ってC級映画のエキストラの仕事だっけ？
凛,卯月。私の頬をつねって
卯月,うん
凛,痛い……うん。夢じゃない
未央,う、宇宙人……ははは……そうだよね。これ夢だよね……そうに決まってるよ……。だって……私がしぶりんやしまむーと同じ舞台に……立てるわけないじゃん涙
卯月,夢を夢で終わらせない！
凛,目を覚まして！
未央,い、痛い…けど、目が覚めたよ…
拓海,目を覚ましやがれ！
きらり,にょわー！
茜,トラーイッ！
未央,いや、大丈夫だから。もう大丈夫だから
みちる,景気づけにパンでもどうぞ
法子,ドーナツもいかがですかー？
春菜,よく分からないけど、眼鏡どうぞ
未央,メガネ装備
蘭子,夢幻に囚われし太陽の姫君よ。閃光の刻が来た。覚醒せよ！夢に囚われないでください、未央さん。今は輝くチャンスなんです。目を覚ましてください！
飛鳥,現実逃避は悪いことじゃない。けど、舞踏会(ステージ)から逃げる弱者シンデレラ
ヘレン,貴方が世界から目を背けても世界は貴方を見逃さない。立ち向かいなさい。それがこの世界で生きるということよ
未央,うん。これやっぱり夢だよ
菜々,コラーッ！
宇宙人A,なんだ？貴様！服装からするにウサミン星人か！？。ろ、老師！
宇宙人B,げっ！やべぇ！
凛,なんかまた新しいUFOが来た
老師,どうりで姿を見かけないと思ったら、こんな辺境の星で何をしておる！
宇宙人A,俺たちの伝統に則って、星を手に入れようとしているだけさ！
老師,貴様らにはプラクシスを与えたじゃろうが！
宇宙人A,だって、あそこ衛星じゃん！
宇宙人B,しかもクリンゴン人めっちゃ恐いし！
菜々,あ、あのー
老師,あっ…貴方は…ははぁっ！
宇宙人A,ろ、老師！？何を！？
老師,頭を下げろぉ！この方をどなたと心得る！破壊と殺戮による混沌を極めた宇宙に平和と秩序をもたらした大宇宙統一会議の初代最高評議会議長！ナナ・アベール・ラ・ウサミン様なるぞ！
宇宙人A,は、ははぁ！
宇宙人B,やべぇよ…。俺、あの人に銃口向けちゃったよ…不敬罪で…処刑…されるのかな？。嫌だ！死にたくねえ！まだ死にたくねえよおおおおおお！
菜々,ああっ！落ち着いてください！この星で不敬罪は適用されませんから！
凜,卯月。もう一回、頬を叩いて
未央,しまむー。私もお願い
卯月,うん
凜・未央,やっぱり夢じゃない。ついでに卯月しまむー
卯月,うん……痛い。あと夢じゃない
菜々,そもそも知的生命体がいる惑星への侵略行為は禁止ってちゃんと言ったじゃないですか！重罪ですよ！
老師,申し訳ありません。私めの教育が足りないばかりに…。ですが、どうか！どうか我が母星であるタートル星への文明破壊兵器“ハージェス・デ・メギドラス＝ナナ”による制裁はどうか…
菜々,侵略は未遂ですが、友蔵ちゃんとプロデューサーを傷つけた罰は受けてもらいますからね！
老師&宇宙人AB,ははぁ！その罰、謹んでお受けいたします！
菜々,というより、まだ残ってたんですね。“ナナちゃんぷんぷん丸キャノン”
卯月,老師さん。そのハージェス・デ・メギドラス＝ナナを受けた星はどうなるの？
凛,凄くナチュラルに宇宙人に話しかけてる……
老師,その星のあらゆる文明は破壊され、そこに住むあらゆる知的生命体の宗教・倫理・哲学・思想…ありとあらゆる概念が銀河統一会議の支配下に置かれる。これを見るのじゃ。この映像の星は統一会議直轄領GFW2004M。かつてX星と呼ばれた星じゃ。この星は黄金の三つ首竜を使って金星の文明を滅ぼした。その報いを受けたじゃ
卯月凛未央,…………
老師,可哀想なことに、この者達は普段は惑星をあげてグッズの製作・販売およびナナ様の宣伝に勤しんでおる。年に一度のライブのためだけに四六時中振り付けの練習をする者までおる。この惑星の全てがナナ様のアイドル活動への支援という概念に支配されたのじゃ。今はまだナナ様は自らの実力でこの星のアイドルの頂点に立とうとしておる。しかし、もし理不尽な形でその夢が破れてしまったら…この星も…
卯月凛未央,
菜々,今回は厳重注意で済ませてあげますからね！次やったらウサミンパワーですからね！
宇宙人A・B,か、寛大な処置に感謝致します！
菜々,とりあえず、回の一件に関する記憶を消去したら自分達の星に帰ってくださいね
P,約束通り、アニメ特番の仕事持ってきたぞ
菜々,わーい！
P,世代別対決！昭和アニメｖｓ平成アニメ！だ。お前は昭和枠。奈緒と千佳は平成枠だ
菜々,
