本田未央,おはよっ！
未央,これ以上加蓮に対して罪を重ねるのはやめない？
凛,確かに
未央,"確かに"以外の返答パターンないの！？
凛,次……は……
未央,？
凛,……
未央,ど、どうしたの？
凛,……ない
未央,え？
凛,普段から関わってる人が……もう……いない……
未央,ええええええ！？！？
凛,そうだ……どうせ私なんて……
未央,急にどうしたの！？しぶりん、普通にいろんな娘と話してるじゃん！！！
凛,でも、向こうは私の事を友達とは思ってないかも……
未央,めんどくさいな！！！。っていうか、そこを一歩抜け出すためのあだ名でしょ！？
凛,な、なるほど……
未央,しぶりんが"仲良くしたいな"って思ってる相手から発表していけばいいじゃん！
凛,うん……うん！そうだね……！ありがとう未央！
未央,まったくもう……。しぶりんがそんなんだと調子が狂っちゃうよ……
凛,じゃあ、次は乃々を……
未央,仲良くしたい一番手、乃々ちゃんなんだね。いいよ、聞いてあげるから
凛,ラブリーマイエンジェルぼののたん
未央,露骨な贔屓。待って！そもそもそれ、艦〇れのあ〇ぼのちゃんのあだ名でしょ！？モロパクりじゃん！
凛,向こうは"ぼのたん"だから
未央,把握した上でかよ！悪質だな！！！
凛,それに、界隈が違えばバレないって
未央,その考え方が悪質なんだってば！！！
凛,それに、元ネタはまた別のところだし、誰が私を責めるだろうか、いや責めない
未央,なぜ言い訳に反語を用いた！？
凛,とはいえ、2レス以上引っ張るのはよくないね。次に行こうか
未央,そういうのやめてよ
凛,次は……ありすかな
未央,へー……！意外かも
凛,ありすには伸びしろがあるからね。これからきっと、私の後継者にふさわしい、クールなアイドルになるよ
未央,ありすちゃんはしぶりんみたいには絶対になりたくないと思ってるよ
凛,そう……"アリス・オブ・ピロティ"ならね……！！！
未央,今日イチで酷いあだ名が出てきた！！！！。どこから怒ればいいかわかんないけども！まず長い！！！
凛,そこは認めるよ
未央,そんでまた元ネタがあるよねコレ！？
凛,認めざるをえないね
未央,そんでよりによってピロティ！！！なんで！？ありすちゃんの家や学校にピロティがあるかもわかんないし！！！いやそういう問題じゃねえよ！！！
凛,ちょっと未央、落ち着いてよ。ボケとツッコミが未央だけで完結してるよ？
未央,私がありすちゃんならタブレットで殴打してるよ！殴打！
凛,ダメかな……
未央,私だって擁護しようと頑張ってるんだからね！？
凛,次、ありすときたら、フレデリカかな
未央,ありすちゃん的には不本意な連想ゲームだと思うよ……
凛,フレデリカといえば、やっぱりフランス人って部分が重要だと思うんだ
未央,正確にはハーフだけどね？どっちの国籍を取るのかはまだわかんないし
凛,それを踏まえて
未央,踏まえるの早くない？もっとフレちゃん要素、たくさんあるよ？
凛,"フランス人"
未央,ほらもう悪口みたいだもん！！！。浅いんだよ！発想も結論も！
凛,でも、わかりやすくない？
未央,しぶりんの感覚じゃなくて、フレちゃんの気持ちを考えなきゃダメでしょ！？
凛,？
未央,だーかーらー！！！あ、フランス人、おはよとかいう相手と仲良くしたいと思う！？
凛,そんな酷い奴がいたら私が一発お見舞いしてあげるよ……！！！
未央,お前だよ！！！！！
凛,もう……、文句ばっかりだね
未央,逆に付き合ってあげてることに感謝してほしいよ！
凛,つ、付き合ってるだなんて……まだはやいって……//////
未央,どんだけ都合のいい鼓膜してんだ！！！あと早いってなんだよ！！！
凛,じゃあしょうがないから、こっからはテンポよく発表させてもらうよ
未央,まだあるんだ……
凛,きっと、何個も挙げれば一個くらいは未央の琴線に触れるものもあるだろうし
未央,どちらかというと怒りに触れない方に気を遣ってね
凛,覚悟はいい？
未央,そもそも覚悟が必要なのがおかしいんだからね！？
凛,ほたる："(植木)バチ当たり"
未央,ほたるんのこと嫌いなの？
凛,あいくるしい
未央,歪んでる
凛,杏："ヌヌ"
未央,語感キモっ
凛,あいくるしい
未央,感情表現が下手かよ
凛,幸子："ポジ水"
未央,もう下手なアンチよりも厄介だよ
凛,あ、ポジティブ輿水の略ね
未央,別に解説いらないし！
凛,かな子："みむらむら"
未央,村が入ってれば全部そこに行きつくの！？
凛,智絵里："奥歯オガタガタ言わせたろか"
未央,文章じゃん！！！ってかちえりんは言う側！？言われる側！？
凛,……
未央,……
凛,続きまして
未央,答えてよ！！！
凛,雪美："佐城さん"
未央,急に距離が！？！？。ストップだよストップ！！！
凛,えぇ……
未央,どれも呼べたもんじゃないじゃん！
凛,雪美については冗談だよ？
未央,それ以外も冗談であってよ！仲良くなる気あるの！？
凛,し、失礼な！
島村卯月,卯っ卯ー！"むらむら"こと、島村卯月です！
未央,それを把握してるってことは最初から聞いてたんだよね！？
卯月,凛ちゃんならこう言うかなって！
凛,しましま……
未央,呼称ブレっブレだな！！！
凛,卯月は基本的に、みんなにちゃん付けだよね
未央,そうだね、で、大人組にはさん付けかな？
卯月,その人の器の大きさ次第ですね！
未央,また波乱を呼びそうな基準を
凛,例えば？例えば？？？
未央,また波乱を呼びそうな食いつき方を
卯月,例えばですね、その人の貯金額が……
未央,どこを基準に見てんのさ！？！？！？
卯月,えへへ……媚びるは恥でも役に立つんです！
未央,そんな打算を人間関係に持ち込まないでよ！！！
卯月,ところで、ニックネームの話ですよね？
凛,あだ名ね
未央,張り合わないでいいよ
卯月,渋谷さんはどんな案を出してるんですか？
未央,今の今まで"凛ちゃん"だったのに！？さっそく器が狭いって判断されてるよしぶりん！！！
凛,ご……ごめん……なさい……う…づぎ……さん……
未央,ガチ泣きだ！！！
卯月,り、凛ちゃん！じ、冗談ですから
未央,こっちもガチで狼狽えてる！
凛,……しぶりん
未央,え？
凛,しぶりんって……呼んで……
卯月,……！！！。しぶりんちゃーん！！！
未央,い、今のは私も危なかった……！！！
卯月,と、いうわけで、なんだかんだハッピーエンドです！
未央,スレスレだったけどね！？
凛,未央、あまり感情的になるのはよくないよ？
未央,どの口が言うんだ！！！
卯月,結局、あだ名はどうするんですか？ネーミングライターの資格ならありますよ？
未央,しまむーが持っててもねえ……
凛,ううん、大丈夫。そんな上っ面だけ変えても、本当の仲良しにはなれないからね
未央,よくもまあそんないい感じに締めるものだよね。好き勝手やっといて
卯月,平気ですよ凛ちゃん。凛ちゃんと仲良くしない娘には、ちょっと"話し合い"をさせてもらいますからっ
未央,いちいち解決手段が不穏なんだよ！
凛,勝った
未央,プライドはないのか！！！
