俺はその女,志希
加蓮,あっ戻った！？
凛,……え、じゃあこれどうするの？
奏,仕方ないわね……志希、こっちへ
ロリ志希,おねーさんだれー。ママは？パパはー？
奏,桃華ちゃんに連絡してこの子は財団に連れて行くわ。あそこの設備とスタッフなら志希の穴を埋められる筈よ
奈緒,お、おぉ……謎の財団頼りになるなぁ
奏,ただ、すぐにとはいかないと思う。その間は彼の方は……
ショタＰ,……警戒
美穂,よしよーし……こ、怖くないですよー？
美嘉,ちょっと待って、確かここに……あったキャラメル。ほらほらおいでー。キャラメルおいしいよ～……？
ショタＰ,…………
美嘉,はい、どうぞ
ショタＰ,………………
美穂,ど、どうかな？おいしい？
ショタＰ,おいしい……
美嘉,そ？良かった！もういっこあるけど、食べる？
ショタＰ,う……
美嘉,遠慮しないでいーから★ほら、お姉さん達怖くないでしょ？
ショタＰ,……う、うん
美穂,美嘉ちゃん凄い！さすがお姉さん……！
美嘉,大したことないって。莉嘉よりよっぽど扱いやすいじゃん★
ショタＰ,……お姉さんのキャラメル、おいしいです
美嘉,ぅンッッ。ちっちゃいプロデューサーがアタシのことお姉さんってお姉さんってお姉さんってやだうそ何これキャラメル食べてる可愛いなんかムズムズしてきた
美穂,……み、美嘉ちゃん？
美嘉,はッ！？な、なんでもないし！！？
奏,……任せるしかなさそうね。そうだ、アーニャとフレデリカにも電話しておきましょう
ロリ志希,んーやー。おうちかえるー
ショタＰ,に、２０１８年？平成が終わる？僕は大人……！？
凛,うんそう。で、私達はＰの担当アイドル
ショタＰ,……お、おぉお……？
奈緒,名担当って言いつつ、あっさり体も頭脳も子供になっちゃったな……
美穂,混乱するのも無理はないと思うけど、でも本当なんですっ！
ショタＰ,わ、あ、えっとうん
美穂,距離を取られた！？えっきっ嫌われた！？
加蓮,違う違う、照れてるんだよアレ
ショタＰ,…………
美穂,照れてる？そ、そうなのかなぁ
加蓮,無理もないよねー、いきなり年上のお姉さんに囲まれてるんだもん。年上のお姉さんかぁ……ふふっ♪。ねえねえＰ君、お姉さん達の名前知らないでしょ？私、北条加蓮っていうの。ほら呼んでみて？
美穂,自然に君付けしてる！
ショタＰ,北条、加蓮……お姉さん
加蓮,うんうん、偉い偉い♪加蓮お姉さんだよー♪
凛,その手が
奈緒,どの手だよ！？
凛,私、渋谷凛っていうんだけど。凛でいいよ
ショタＰ,凛、お姉さん
凛,……いいねこれ
奈緒,……お前今のプロデューサーさんのことハナコと同じカテゴリに入れてないか？
美嘉,じゃあじゃあアタシは？あ、名前は城ヶ崎美嘉ねっ
ショタＰ,美嘉お姉さん
美嘉,わは、な、なんか莉嘉とも違うカンジ……ちょ、ちょっとヤバいかもこれ……
美穂,あ、あの、私小日向美穂！ええと……よ、よろしくお願いします！
ショタＰ,美穂お姉さん
美穂,ふわわわわ、ど、どうしよう、なんだか顔が熱くなってきたよぅ……！
奈緒,な、なんだよぉみんなして……。……ま、まあ自己紹介はしとかなきゃな。あたし神谷奈緒ってんだ。す、好きに呼んでくれていいぞっ？
ショタＰ,奈緒
奈緒,なんであたしだけ呼び捨てなんだよっ！？
凛,わかる
加蓮,奈緒はそんな感じ
奈緒,そんな感じって何だーっ！
凛,……はっ。ねえ、ちょっと遊びすぎじゃない？
奈緒,動画まで撮っといて言うことかそれ
ショタＰ,…………あの、ここって未来なんだよね？ちょっと聞きたいことが……
加蓮,ん、なになに？なんでも聞いていいよ～？
ショタＰ,セガはどうなってるの？
一同,
ショタＰ,ドリームキャストは？ドリキャスはプレステに勝ったの？
凛,…………ごめんちょっと待ってて。セガって何！？
加蓮,確かゲーセンにそういうのが
美穂,あの、なんか、ロボピッチャとか作ってた！
美嘉,奈緒はなんか知らないの！？
奈緒,えっとセガセガ。確かゲームの会社だった筈だけど……！。あ出た。へー、ハードも出してたんだここ。アケゲー専門かと思ってた
凛,…………なんかどれも悲惨な結果じゃない？
ショタＰ,ﾜｸﾜｸﾃｶﾃｶ
美穂,あ、あのねＰ君。ドリームキャストは今は……
ショタＰ,
奈緒,楳図かずお漫画みたいな顔した！？
美嘉,そんなにショックだったの！？ね、ねえＰくん……？
ショタＰ,…………そだ…………
美穂,え……
ショタＰ,うっ嘘だッ！セガは大成功するんだ！２０１８年ともなれば浦安に東京セガランドが立ち、ソニックやアレックスキッドやペパルーチョの着ぐるみがキッズに大人気な筈なんだーッ！！
美穂,わああっ、おっ落ち着いてＰ君！セガ自体はまだ元気だから！ねっ！？
奈緒,むしろ迷走期より安定してるまであるぞ！だから安心しろって、な！？
ショタＰ,ドリキャスは迷走の産物なんかじゃないわーーーーーーーい！！！！
美穂,逆効果ーっ！？
加蓮,この歳で拗らせすぎじゃないの！？
美嘉,ヤバっ、パニックになってる……！Ｐ君ちょっとこっち来て！
ショタＰ,！？ふむぐっ！
美嘉,よしよし、大丈夫大丈夫……。みんなわかってるから、ね？
ショタＰ,…………う……。うっ、うぅっ……セガのゲームは世界いちぃ……
凛,泣いてる……
奈緒,多分セガの没落が人生最初の挫折だったんだな……
美穂,すごいね、美嘉ちゃん……
美嘉,あはは、莉嘉がちっちゃい頃はよくこうしててさ……落ち着いた？
ショタＰ,…………うん…………
美嘉,そっか、良かっ――。あれ？アタシよく考えたらとんでもないことしてない……？
一同,
美嘉,Ｐ君を、ていうか小さいプロデューサーを抱きしめて、あ、なんか意識したら変な、あったかい、泣いてる、かわい、ヤバ……
加蓮,顔おっぱいに埋めちゃってますけどー
美嘉,～～～～～～～～～～～～～～～～っ！！。ちっ違っこれはそういうんじゃなくてっ緊急の！緊急の奴だからっそんなヘンなアレじゃないからっ！！ねっＰ君そうだよね！？
ショタＰ,アイエエェェ……
奈緒,わあ美嘉！？息、息出来てないって！
凛,おっぱいプレス……
桃華,あらあらあらあら、まぁまぁまぁまぁ！
ロリ志希,うにゃー
桃華,志希さん、ずいぶん幼くなってしまわれて……！不謹慎かもしれませんが、なんだか新鮮ですわっ
アーニャ,ダー！とてもかわいらしいです♪
奏,一応ここに来るまでに事の経緯は説明しておいたわ
フレデリカ,もしもしシキちゃーん？アタシのことわかるかなぁ
ロリ志希,んー…………だいたい。つまりあたしは未来でもギフテッドで、いろんなおくすりをつくってるわけだね
フレデリカ,そうそう～。そしてこれはシキちゃんのフェイバリットスメル！
ロリ志希,なになに……ｸｧｯフレーメン反応
奏,いきなり濃縮プロデューサースメルはやりすぎじゃない？
フレデリカ,まあまあ♪
ロリ志希,なにこれすごい！！へんなの！！こんなニオイのヒトいる！？ぼうとくてき！！
桃華,冒涜的
ロリ志希,なんかぴーんときた！おしごとする！あ、その前にゆきだるま作りたーい！
桃華,まあっ楽しそう！あ、でも雪が降ってませんわね……
アーニャ,スニェーク……雪でしたら、ここにありますよ♪
ロリ志希,わぁい！
フレデリカ,わぁい！
桃華,わぁいですわ！
奏,……一仕事の前にひとしきり遊ぶことになりそうね。やれやれだわ
奈緒,家に帰すってのもなぁ
凛,生活できないと思うよ。何もわからない子供なんだし
美穂,誰かがおうちで預かるのがいいのかな……？
美嘉,……もしもしママ？今日ね、そっちに男の子連れてくかも……うん知り合いの子で……
加蓮,せんせー城ヶ崎さんが抜け駆けしようとしてまーす
美嘉,ぬぬぬ抜け駆けじゃないし！？
加蓮,まあほんとに美嘉んちでもいいかもだけど。莉嘉ちゃん喜びそうだし
凛,ハナコと並べて写真撮りたい
加蓮,ちなみに私んちもアリだよ？お母さんＰさんのこと気に入ってるっぽいから
凛,ハナコと並べて写真撮りたい
奈緒,あ、あたしはど、どうだろ……いや説明すればいけるかもしんないけどさぁ
凛,ハナコなら仲良くなれると思う
奈緒,いやハナコ推しすぎだろ！！どんだけお持ち帰りしたいんだよ！？
美穂,えと、いつまで子供なのかにもよるよね
奈緒,そこはなんか、財団？を信じるしかないよなぁ。何日もこのままだったらどうしよ
ちひろ,まったくですよ！
奈緒,わぁちひろさん！？いつからいたんだ！？
ちひろ,最初から事務所で書類整理してました。まったくこの人は芸術的確率でトラブルに遭遇するんだから……
ショタＰ,！？……！？
美嘉,ああＰ君、大丈夫だから……！この人はえっと、事務所のアシスタントさんで
ちひろ,千川ちひろです♪あ、渡しそびれてましたけどログボです。どうぞ
ショタＰ,おそろしいけはいを感じる……
ちひろ,なんだとこのやろう
美穂,お、抑えて抑えて！
ちひろ,はぁ……なっちゃったものは仕方ないとして、すぐ事務所まで来られる距離が望ましいですね。あと連絡しやすさ
美嘉,うっ、ウチ埼玉……
ちひろ,とりあえず病欠ということで処理はしておきますけど、早く戻って貰わないと困ります。聞いてますかー私の同僚さーん
ショタＰ,むぎぎぎぎ
奈緒,連絡がつきやすくて……すぐ事務所に戻れる距離の場所、か
凛,私んち
加蓮,女子寮じゃない？
凛,ねえ私んち。渋谷の渋谷家
奈緒,お前ハナコと一緒に撮影会するだろ！電話スルーするかもだからダメだ！
凛,ぐぬぬ
美穂,女子寮かぁ……。えっ、じょ、女子寮！？私達と一緒に暮らすのっ！？
凛,……ねえ、ジャンケンで決めない？
加蓮,往生際が悪いっ
周子,あいあい。んーでもなー、大丈夫かねぇ。いや、いくらプロデューサーさんっつってもさ、いたいけな男の子を女の園でお世話するわけでしょ？性癖歪まん？。枯れたとか言うてやらんとって。それもそっか。うん、せやな
みく,その謎の信頼なんなん？
周子,おっみくちゃん。リビングどう？
みく,どうもこうも、大騒ぎにゃっ
美玲,ホントにちっちゃくなっちゃってるぞッ！？
輝子,し、親友が、まるでビョウタケのようなサイズに……！
小梅,んぇへへ……私より背が低い……♪
由愛,子供の頃のプロデューサーさんって、こんなお顔だったんですね……！
蘭子,逆行する刻の迷彩夜！
こずえ,あかごー……
智絵里,わぁ……可愛い……♪
イヴ,ほんとですねぇ～。これはプレゼントの渡し甲斐がありますぅ！
ブリッツェン,ブモーッフ！！
ショタＰ,
芳乃,これこれー。あまり囲むと怯えさせてしまいますよー
菜帆,怖くありませんよ～。おいでおいで～
ショタＰ,うぅ、は、はい
美穂,もう、みんな！Ｐ君は大人の時のこと覚えてないんだからっ
紗枝,こん！
ショタＰ,うわぁ天井から知らないお姉さんが！？
紗枝,うちはあんたはんのことよう知ってます♪それにしても、こないにちんまくなってもうて……かいらしなぁ?
ショタＰ,や、やめっ
紗枝,あやや、お気に召さへん？せやねぇ、そないなったかて男の子やもんなぁ?殿方をからかうんは不躾やったわ?堪忍え?
ショタＰ,うぅぅ……
紗枝,大人の時はあないに男らしゅうしてくれはったのになぁ?ぎゃっぷいうんかなぁ？うち仰天してもうたわぁ?はぁ、かいらしかいらし～??
周子,こらこら狐
紗枝,こんっ♪
周子,なーにを甘々ボイスで翻弄しとるか。性癖歪むっつーの
響子,あ、Ｐくーん！何か食べられないものあるかな？
ショタＰ,え。えっと……にんじんとブロッコリー、とか
響子,にんじんとブロッコリーねっ。ほんとは食べなきゃダメだけど、今日だけオマケしてあげるねっ♪
みく,響子チャン、普っ通～にお姉ちゃんしてるにゃ……
周子,経験値が違いすぎる
みく,……ところでまゆチャンは大丈夫なの？
まゆ,
美玲,プロデューサー見た瞬間フリーズしちゃったんだぞコイツ
まゆ,
ショタＰ,ねえ……その人病気とかなの？
周子,あーごめんごめん気にしないで、多分想定外の事態にキャパオーバーしとるだけやから
まゆ,あ、あ、あ、
周子,再起動した！
ショタＰ,大丈夫？
まゆ,かわいい
ショタＰ,えっ
まゆ,あ、ごめんなさい、なんでもないんですよぉかわいい。この姿だとはじめましてでしたねぇかわいい。佐久間まゆですかわいい、かわいいよろしくお願いかわいいしますねぇかわいい
ショタＰ,こ、この人バグってる！ほんとに大丈夫なの！？
芳乃,錯乱しておられますー
智絵里,で、でも、幸せそうです……
まゆ,はっ……ごめんなさい、つい気が動転してしまって。おほんっ。改めまして、ま、まゆは……まゆは……。あなたの婚約者です
美穂,まゆちゃん！！？
まゆ,いけない、つい願望が漏れて……あの違うんですよぉもともと親同士で決めた許嫁なんですけど二人触れ合っていくうちにやがて本当の愛に目覚め始めて
みく,まゆチャン制御不能！回収、回収にゃあーっ！
イヴ,あらほらさっさ～！
ブリッツェン,ブモーッ！
まゆ,ああっ！？せめて指輪だけでもぉ～っ！
芳乃,とても賑やかなのでしてー
ショタＰ,……あのさ、僕やっぱり出てった方がいいんじゃ
美玲,……行くトコ無いんだろッ。一人でやってけるのか？
ショタＰ,それは……わかんないけど
美玲,じゃココにいろよ。まったく、オマエもオマエだッ。普段しっかりしてないからこうなるんだぞ！
ショタＰ,……ごめんなさい
美玲,なんで謝るんだよ！とにかく、オマエだって群れの一人なんだッ！ウチらが守ってやるからそれでいいだろッ！
ショタＰ,わ、わかった。その……ありがとう
美玲,……んッ
由愛,美玲さん……！
小梅,やるぅ……
輝子,フヒ……リーダーの器……
美玲,な、なんだよ！ヘンな目で見んなー！！
響子,みんなーっ、ご飯できましたよーっ！……あれ？まゆちゃんは？。Ｐ君、響子お姉ちゃんのご飯どうだった？
ショタＰ,おいしかった……！
響子,わぁ、良かったぁ♪たくさん食べてくれてたもんねっ
菜帆,響子ちゃん本当のお姉ちゃんみたいですねぇ～
みく,あの子はもう踏んだ場数が違うにゃ……。にしても、Ｐチャンちょっと意外だったかも
美穂,なんだか、控えめな感じなんだね。私もちょっとびっくりしちゃった
由愛,緊張するのも、無理ないと思います。私より年下になっちゃってるくらいだから……
智絵里,お風呂沸きましたっ
蘭子,治癒の泉は傷付いた翼を待つわ！いつでも入れます！
響子,あ、当番ありがとう！えっとそれじゃあ何人かに分かれて――
一同,………………お風呂？
美穂,どどどどうしよう……！
みく,ど、どうもこうも、Ｐチャンだけ別々に入ってもらうしか……！
紗枝,目隠しさせてええんやったらうちが洗ってあげられますえ～？
周子,だから性癖改造やめーや！
イヴ,私は平気ですよぉ！既に裸を見られてますから～！
美穂,誤解を招く言い方っ！？
芳乃,そなたー。お着換えはちゃんとお持ちでしてー？
ショタＰ,うん……財布にお金があったから、駅前のお店で買ったんだ
芳乃,それはよきことですー。さ、わたくしの手をー
美穂,待って待って待って芳乃ちゃん待って！？
芳乃,はてー？
周子,一緒に入んの！？
芳乃,はいー。おひとりではなにかと不便かとー
美玲,そ、それはヤバいぞ！うまく言えないけどきっとヤバいッ！
みく,芳乃チャンの距離感が完全に祖母にゃあ！！
芳乃,ふむー？
響子,――結局、Ｐ君はブリッツェンちゃんと一緒に入ることになりました
イヴ,ブリッツェンもお風呂好きですから～。使い方もバッチリですよぅ♪
周子,くそー、一番風呂譲っちゃったなー
智絵里,で、でもあの、後に入ってもらうのはその、ちょっと恥ずかしい……
紗枝,出汁がたくさん出てもうた後やからなぁ～
美穂,表現！
ショタＰ,…………これは一体どういう生き物なんだろう？
ブリッツェン,ビバブモンモ～♪
周子,ふいーさっぱりさっぱり
ショタＰ,その……ありがとう。お風呂まで入らせてくれて
美穂,ううんっ、いいの！困ってるＰ君をほっとけないからっ
紗枝,いつもたいそうお世話になっとりますさかい、これくらいはなぁ
由愛,ん……ふぁ……お風呂に入ったら、眠く……
菜帆,そろそろいい時間ですねぇ～。寝ましょうか～
一同,…………………………寝る？
美穂,どどどどどどどどどどどどどどどどどどどうしよう！？
みく,落ち着くにゃ美穂チャン！ジョジョの効果音みたくなってる！
周子,リビングで寝てもらうとかかねぇ
響子,だめですっ。もう冬なんだから、広いリビングで寝たら風邪引いちゃいますよ！
みく,でも、どこのベッドも一人用だし……
芳乃,わたくしはお布団ですゆえー、同衾するもやぶさかではありませぬがー
響子,私も弟と一緒に寝てたりしてたから、ベッドが狭いくらいは全然平気ですよ？
みく,この二人の近さは逆にデンジャーな気がするにゃ！却下却下！
芳乃,ほー？
周子,あっそうだ、動物モードになれる子が一緒に寝たらええんちゃう？
智絵里,一緒に……ぷっ、ぷろ、プロデューサーと一緒に寝、はうぅ……
紗枝,あらぁ～、そないなことしてもうてええんどすか？
周子,ごめんやっぱナシで
美穂,わ、私も恥ずかしくて眠れないよぅ……
菜帆,私も寝ぼけてぎゅ～って抱きしめちゃうかも～
輝子,…………あの…………私の部屋、いいぞ
美穂,輝子ちゃん？
輝子,ベッドじゃなくて、床にごろ寝するスタイルだし……。みんなが使ってないお布団も貸してくれれば……
美穂,そっか、それにキノコクッションも沢山あるし！でもいいの？
輝子,うん……親友だからな……。……なんだったら、夜通しキノコトークとかにも付き合うぞ……
ショタＰ,キノコはよくわからないけど、セガの話なら……ドリキャスとか……
輝子,ドリキャス……
美穂,あっ、しょ、輝子ちゃん、その話は……！
輝子,……戦国ＴＵＲＢは……誰がなんと言おうと、名作だ……
ショタＰ,！！？
輝子,移植版のスポーンも、いいゲームだった……ＢＧＭが、ごきげんなんだ……
小梅,ゾンビリベンジ……ハウスオブザデッド……イルブリード……
ショタＰ,！！！！。このお姉さんの部屋に泊まる
輝子,フヒ……歓迎するぞ……
周子,一瞬で決まってもうた
美玲,……なあミホ、どりきゃすってなんだ？
美穂,ごめん、私にもよくわかんないの……
小梅,…………デスクリムゾン２…………
輝子,や、やめておけぇ……！
ショタＰ,その話は僕らを破滅へとみちビク……ッ！！
ロリ志希,にゃっはは！だいせいこ～！！
アーニャ,雪ダルマが立ちましたっ♪
桃華,なんてことですの！？とうとう自律稼働まで！！
フレデリカ,セントルイス田吾作アレクサンドルｍｋⅢと名付けよう～！！
晶葉,ワハハ！この天才にかかればこれしき朝飯前だっ！！
奏,……どうして助っ人の晶葉ちゃんまで雪だるまゴーレムの建造に勤しんでいるのかしら？
五人,あっ
？？？？,おはよう、朝だよ
美穂,……んぅ～……？
？？？？,朝ごはんできてるよ。もうみんな起きてるから
美穂,ふぁ……ぅ～……もうちょっとぉ……
？？？？,もう……ほら早く起きてよ、美穂お姉さん！
美穂,やぁ～ぁ……あとごふ……じゅっぷんだけぇ…………。…………みほおねぇさん？
ショタＰ,あ、起きた
周子,ん、起きた起きた。響子ちゃーん美穂ちゃんもうすぐ降りてくるー
響子,はーいっ。お味噌汁つぎますねー
智絵里,す、すごくびっくりしてますね……
芳乃,お寝坊さんなのでしてー
ショタＰ,耳がまだキーンとする……
美穂,ご、ごめんねＰ君、私すっかり忘れちゃってて……
ショタＰ,いいよこのくらい。……あ、味噌汁おいしい
周子,なーんか随分落ち着いちゃったねぇ
ショタＰ,うん、一晩経ってゆっくり考えたら……。みんなすごく親切だし。輝子お姉さんと小梅お姉さんとはみっちりトークできたし
輝子,フヒ……
小梅,ふぇへへ……
美玲,すっかり打ち解けてるな……
紗枝,Ｐくんはんがオロオロしてはるの、かいらしかったんやけどなぁ
まゆ,復活のまゆですよぉ
ショタＰ,あっ病気の人だ
みく,やめたげてその言い方
まゆ,いいんです、みくちゃん。確かにまゆは病を患った身……そう、恋という不治の病に……
蘭子,猛る本能ココロ
まゆ,ええ♪考えてみれば、どんな姿でもＰさんはＰさん……。いくつでも変わらない、まゆの愛する人ですから?
菜帆,あ、わりといつも通りですね～
まゆ,ところでまゆがＰさんの子供を産んだらちょうどこんなお顔になるんですかねぇ？つまり彼は、息子……？
周子,いや冷静にトチ狂っとるのやばない？
美穂,じゃあＰ君、私達は学校に行かなきゃだからっ
ショタＰ,行ってらっしゃい
美穂,はうっ
まゆ,もう一回言ってくれますかぁ……？
ショタＰ,？行ってらっしゃい、まゆお姉さん……？
美穂,へぁあっ
まゆ,はぁぁ……っ?
美玲,ほら早く出なきゃチコクするだろッ！
まゆ,あぁあ、あと十回ぃ～……
芳乃,そなたー、よい子で待っているのですよー
響子,お昼ご飯は冷蔵庫に入れてあるから、チンして食べてね！
ショタＰ,……みんな行っちゃった
周子,いやぁ留守番になっちゃったねぇ
ショタＰ,周子お姉さんは学校無いの？
周子,ないない、あたし高卒やし。んで今日の仕事はお昼から。ここに入寮してるのはほとんど中高生やから、平日昼は寂しくなるんよねー。イヴちゃんはこの時期ケーキ売るバイトだしさ
こずえ,んー……
周子,あとこずえちゃんはなんかずっとここにいる
こずえ,ぬくぬくー……
ショタＰ,抜け出せない……
周子,ま、今のうちにゆっくりしときー。これも休暇だと思ってさ
ショタＰ,何見てるの？
周子,これ？今度出るバラエティの台本。しゅーこちゃんだってこういうののチェックはするのさ
ショタＰ,……
周子,意外だった？って、意外もへったくれもないか。普段のあたしら知らないんだもんね。……むしろ、あたしこそ不思議な気分だわ。プロデューサーさんって子供の頃はそうだったんやね
ショタ,……そんなに意外かな
周子,大人の姿を知ってるだけにね。もっとヤンチャ者なのかと思ってた。どっちかっていうと家で本とか読んでるタイプっぽい？
ショタＰ,む……僕だって遊んだりするよ。川でかっこいい石拾ったりとか
周子,いや例の出し方！野生児か！
ショタＰ,むむむ……
周子,ごーめんごめん、ちょっとからかいたくなっただけ。こうして見ると肝の据わり方は本人っぽいしね
こずえ,ぷろでゅーさーはー……ぷろでゅーさーだよー……？
周子,ほら、こずえちゃんのお墨付きも出たことだし
こずえ,だからー……にどねしよー……
ショタＰ,ぬぬぬ意外と力が強い
周子,マイペースな子やなぁ。にしても二度寝なんて言葉どこで
こずえ,しゅうこー……
周子,アッハイあたしのせいでした
ロリ志希,んお！？なになに？
晶葉,警報……収容違反か！？こんな時に！
桃華,いけませんわ、皆さま急いでシェルターへ！最悪このラボの放棄も考えねば……！
フレデリカ,およよ、そんなにタイヘンなのー？
アーニャ,アー……お手伝い、必要ですか？
奏,ありがとう。でも大丈夫よ。ここは私が向かうから、あなた達は――
？？？,その必要は無い！
桃華,この声は……
ロリ志希,？？
真奈美,やれやれ。ようやく内勤にありつけたかと思えば……
奏,真奈美さん！いつから日本に？
真奈美,つい一昨日さ。それにしてもティーブレイクすら許してくれないとは、わがままな居候もいたものだ
桃華,あら真奈美さん、お紅茶の立ち飲みはお行儀が悪くってよ？
真奈美,ははは、耳が痛い……だがまだ淹れたばかりで一口も飲んでないんだ。流石に置いておくのは勿体なくてね。さて、こいつが冷める前に済ませてくる。君達はここにいてくれて大丈夫だよ
奏,任せていいのね？
真奈美,無論だ。では失敬
ロリ志希,きえた！
フレデリカ,ワオ！マジック？
アーニャ,ダーティシトー！マナミは妖精フェーヤ
晶葉,……いやあれは単にものすごく速いだけだ
奏,……真っ先に科学的解明をすべき相手はすぐ傍にいるんじゃないかしら？
晶葉,鍛えているだけだと本人は言っている。まったく人体の神秘だな
ロリ志希,おおー
桃華,真奈美さんが出た以上は安全ですわ。では、作業を続けましょう！
卯月,わぁあぁっ。本当に小さくなっちゃってますっ！
未央,プロデューサーの子供の頃ってこんななんだぁ！あははっ、うちの弟より小さい♪
卯月,あのあのプロデューサーさん、抱っこしてみていいですか？あとあと君付けで呼んでみたりっ！
ショタＰ,ええと、お、お手柔らかに……
卯月,はいっ！島村卯月、がんばってやわらか抱っこしますっ
ショタＰ,やわらかってそういう意味じゃむぐぐぐ
未央,おおー！？Ｐ君思わぬ役得だー！
美穂,わわわわ、卯月ちゃん大胆すぎだよぉ……！
卯月,えへへっ♪弟が欲しいなーって小さいころ思ってたんです♪
莉嘉,ねーねーＰくん後でお買い物行こうよー！今のＰくんに似合う服選んであげるー☆
茜,ランニングにも行きましょうかっ！！寒い日だからこそ運動ですよっ！！
未央,茜ちんはブレないね！？
ショタＰ,
幸子,……ゴクリ……！
美穂,ええと、なんで幸子ちゃんは緊張してるのかな……？
幸子,一般に人が最もカワイイと呼ばれる時期は、男女問わずだいたい３歳から７歳までの間と言われています……※幸子調べ。その時期に自ら逆行するとは！さすがはカワイイボクのプロデューサーさん、カワイさの探求に余念がありませんね！
美穂,ええと、時期のことはよくわかんないけど、幸子ちゃんも今でも十分可愛いよ？
