ががんしゃ道,顔射道
杏,一番似合うのは…………。近藤妙子ちゃん！
妙子,ええ～～っ…………
杏,勝因は、リボンの武者での表情がいちばんえろかったから
妙子,うっ……
桃,ちなみに、次点は河西忍。コマのすみっこで目立たないが、あの微妙な顔が入賞？
忍,不名誉です！
杏,みんなもリボンの武者を揃えて、その目で確かめてみよう！
近藤妙子：評価特Ａ,備考：やはり公式でやられると強い
杏,正直、このチームの射長は即決だった。いっさい迷わなかったね
みほ,それがいいことなのかどうか……
カエサル,幼馴染という絶好の相手がいるという意味で、私だろうな……
エルヴィン,グデーリアンとの絡みから、私か……？帽子にかけるのは勘弁してほしいが……
おりょう,自分で言うのもなんだが、スタイルの良さから私ぜよ……？
佐衛門佐,まあ、私ではないだろうな……特にこれといったものはないし
杏,カバさんチームは…………。佐衛門佐こと、杉山清美ちゃん！
佐衛門佐,！？
エルヴィン,何故です！？
杏,いやー、だっておでこ出してるし、目もつむってるし。これってもう存在が顔にかけてくれと言ってるようなもんじゃん
みほ,発想が鬼畜！！
カエサル,外道！！
おりょう,ミヤフジ！佐衛門佐サーニャ
エルヴィン,落ち着けおりょう。前世の記憶？
佐衛門佐,そ、そんなことないぞ……
杏,ま、本当に似合うかどうかは実践あるのみ
佐衛門佐,うぐうっ！……うう……。こ、この屈辱……耐えぬいてみせる……！！
エルヴィン,お、おおう……
カエサル,女騎士ならぬ、女武将といったところか……
おりょう,日本の夜明け？
杏,ホラね？こーいう口調も加わって、絶妙にマッチしてるでしょ？
佐衛門佐,私は認めないからな！！！
佐衛門佐：評価ＡＡ,備考：くっ、殺せ！
杏,そど子ちゃ～ん
そど子,その名前で呼ばないでください！あたしは園みどり子ですっ！
杏,そど子ちゃんたち、あたしが留守にしてた間、相当グレてたんだって？
ゴモヨ,うっ……！
パゾ美,その話は忘れてください……
桃,余計な仕事を増やしてくれたな
杏,河嶋がケンカの仲裁に飛び込んだほどだって聞いたけど
そど子,…………ハイ。そのとおりです……
杏,自らが乱した風紀の償いを、まだしてないんじゃない～？
そど子,う゛っ……！
ゴモヨ,う゛え゛え゛……
パゾ美,な゛に゛ごれ゛……
柚子,こ、これは……
桃,会長、３人まとめてやるとは豪快な……
麻子,お、お前たち……すごいことになってるぞ……
そど子,れ、冷泉さん……！？
ゴモヨ,お願い……見ないで……
パゾ美,ゆ゛る゛じでっ……ゆ゛る゛じでえ゛っ…………
杏,うう～～ん……風紀委員という立場上、逆におしおき的なシチュエーションが似合うっていうのは予想どおりだね。特にそど子ちゃん、あたし142㎝
みほ,会長のテンションおかしくなってませんか？
杏,問答無用。なんかイメージがわかなかったから、とりあえず全員にかけてから決めようと思って
みほ,雑！！！
ねこにゃー,な、謎の白い液体……
ぴよたん,いいえ、ケフィアです……
ももがー,どう見てもカルピスです。本当にありがとうございました……
杏,う～ん……似合うといえば似合うし、似合わないと言われればそう思えるし……
みほ,似合わないならそれに越したことはないんじゃ……
杏,いや、でも各チームの射長を決めないと……
みほ,その使命感なんなんですかっ！
ねこにゃー,しょうがないにゃあ……ﾌﾌ……
みほ,ねこにゃーさん？
ねこにゃー,ボ、ボクがなってあげる……それこそ車長だし……。唯一のボクッ娘だし、人見知りで、オドオドしてるし……。メガネで前髪も長いから、かけやすいと思う……
みほ,なんでちょっとノリ気なんですか！？
杏,いやー助かるわー猫田ちゃん
ねこにゃー：評価Ａ？,悪くはないけど、やや消去法めいた決め方
杏,……この４人はもう悩みぬいたね～
みほ,そうですか……
杏,まず、戦車を走りながらのまま修理したナカジマちゃん
ナカジマ,へっ？
杏,あのときはいは～い大丈夫でちゅよ～って赤ちゃん言葉であやしたことがきっかけで、甘やかされたい願望がすごいんだよね……
ナカジマ,何の話！？
杏,それから、いちばん大胆な格好してるホシノちゃん。タンクトップ1丁！この無防備な感じ！！たまんないね～
ホシノ,うっ……！だって暑いし……
杏,それからツチヤちゃん
ツチヤ,なーにー？
杏,いつもニコニコしてるその顔にぶちまけたら、どんな表情になるのか……もう考えるだけでゾクゾクして……
ツチヤ,えっ戦慄
みほ,趣味がゲスすぎます！！
杏,そんな中、レオポンさんチームの射長はスズキちゃんに決定
スズキ,！？
みほ,な、なんで……
杏,うちで唯一の貴重な褐色娘だもん。かけずにいられないよ
スズキ,そんな目で見ないでよっ！色黒なのはちょっぴり気にしてるんだからっ！
杏,なにせ背も高い168㎝。そして、その上で顔にね……
スズキ,うええっ！！ううっ、うう……
杏,あっ
みほ,？
杏,ヤバい。褐色肌にコレの組み合わせはヤバいよ……フヒヒ……。もう１発いっちゃおっかな～ウヘヘ……
スズキ,や、やめてよう……
みほ,会長、暴走しすぎです！
スズキ：評価,満点
杏,大野あやちゃん
みほ,早っ！
杏,だってメガネかけてるし、ツインテールだし。プロフィール欄の個性的な趣味っていうのがもう……
あや,うええーーっ！？イヤですようー！！
優季,でも、似合ってると思うよ？
あや,よりによって優季に言われたー！言っとくけど、優季だってそーいうの得意に見えるんだからね！
優季,なによう！どういう意味？
杏,まあまあ２人とも。それより、すっごく気になることがあるんだけど
あや,なんですか？
杏,実はウサギさんチームで知りたいのは、誰が一番似合うかどうかじゃなくて、丸山紗希ちゃんの反応なんだよね～
紗希,……！？
杏,無反応なのか、恥じらうのか、それとも……
紗希,首を横に振る
杏,だいじょ～ぶ。こわくないよ～フヒヒ……
紗紀,必死で首を振る
紗希,……ッ！
杏,わくわく
紗希,…………。…………た
杏,ん？
紗希,…………たすけて……
杏,
紗希,…………ﾋｯﾋｯｸ………
杏,
あゆみ,ああーーッ！紗希が泣いてる！！
梓,一体どうしたの！？あの紗希が……
桂利奈,何このドロドロ！？よっぽどひどいことされたんだ！許さない！！
優季,それがね、会長が……
あや,あたしにもひどいこと言ったんだよー！
杏,あ、ああ…………
妙子,これは、会長が悪いですね
佐衛門佐,因果応報
そど子,風紀的に見過ごせないわ
ねこにゃー,ば、罰ゲーム……
スズキ,メンテナンス意味深
杏,み、みんな……
桃,会長、いままでやりすぎでしたよ……
柚子,申し訳ありませんが、かばいきれません……。さすがに諦めてください……
みほ,それでは、ぶっかけ作戦を開始します
杏,西住ちゃんまで……アハハ……嘘でしょ……
みほ,各射長は、会長の顔面に発射してください
杏,。ひッ、ひぃぃ……。むぐウッ！！？。あッ……！口の中はやめッ……！おぶぇっ！……息が……。うッ！うェッ！！ｹﾞﾎｹﾞﾎｯ……。ﾊｧ……ﾊｧ……苦し……ｳｴｴｯ……。ご、ごめ゛ん゛な゛ざい゛……
柚子,これは……
桃,か、会長、申し訳ありません……すごく興奮します……
優花里,思えば、小柄な体型
麻子,広いおでこ……
沙織,ツインテール……
華,気が強そうな性格……
みほ,そして、生徒会長という役職……。会長自身が、そういう属性の塊。最も似合う人だったんですね……
紗希,…………
杏,…………？
紗希,…………
杏,ありがと……丸山ちゃん……ごめんね、ごめんね…………
紗希,…………ううん
柚子,会長。あとでお風呂に入りましょうね
杏,うん……
丸山紗希：評価なし,備考：とっても心のやさしい子
角谷杏：評価優勝,備考：お前がナンバーワンだ
ダージリン,こんな言葉を知っている？ちゃんと目を見てしゃせいしてね♪
オレンジペコ,声優の能登麻美子ですね。とあるラジオ番組で、うっかり口を滑らせたものです。あ、ちなみに美術の話でしたから、写生のことですよ？
ミカ,……それを私に言う必要があるのかな？
