怠惰とはすなわち,情熱の欠如、欝屈、憂鬱
泰葉,はい、先程。さっき起きたばかりで、お昼ご飯になっちゃいましたけど
P,……で、出てくれ！つーか出ろ、晶葉ぁ！！。インターホンにそんな物騒な改造を施すんじゃない！。……それだよ、晶葉。何故今、自分がものすごく億劫なのか……疑問に、思わないのか？。原因は解決しなくていい。ただ、その疑問は解消してみないか？科学者として。……今の俺には、晶葉が必要なんだよ。頼む
泰葉,い、今のって……
美優,大丈夫よ。あれは、皆に言って回ってる台詞だから……
泰葉,本当ですかそれ？
P,……ちょっと黙っててくれませんかね、二人とも。あぁ。それじゃ、入らせてもらうぞ。予想はしてたが、お前もか晶葉
晶葉,何がだ？
P,目のやり場に困るその格好の事だよ
晶葉,自分の部屋にいて、この暑さだ。できるだけラフな格好でいるのは当然だろう？。だが下着のみとあっても、白衣は欠かせない。これは私の矜持でね
P,……矜持はともかく、汗臭いぞ。ちゃんと風呂には入ってるのか？
晶葉,いや、ここ数日はこの格好のままだが？何しろ面倒臭くてな
P,せめて下着は着替えてくれ……
晶葉,後でな。それよりもプロデューサー、疑問を一つ解消したぞ
P,早いな！？
晶葉,あぁ。これは……オーラ力の影響だ
P,お、オーラ力？
晶葉,オーラカ、ではないぞ。オーラ力(ちから)だ
P,いやいやいや、ちょっと待ってくれ！オーラ力って……
晶葉,もしくは、オーガニック的な何か。あるいはサイコウェーブ、毒電波……あぁ、まったく非科学的だな。一個人から発せられる気……まさにオーラと表現した方が正しいかな。どうやらこの寮全体が広範囲に発せられたソレに、私を含めたアイドル達が否応なく同調……。つまり、気を当てられた、としか言いようがない
P,何じゃそりゃ……
晶葉,別に珍しくも無いだろ？LIVEバトルなどでは、よく見られる現象じゃないか
P,え？そうなのか？
晶葉,バトルの相手がこちらの威勢で、体調を崩したり……。同じユニットメンバーからの応援で、本来の能力以上にアイドルが実力を発揮出来たりするだろう？
P,あ、あぁ！あれか……
晶葉,と言う訳で、元凶と呼ぶべきは恐らく、ウチのアイドルの誰かだ。発信源はこの寮から動いていない。この規模から察するに……歌わずとも踊らずとも、人を惹きつけ、心を動かす“何か”。誰が与えたか、天賦の才。カリスマの類だ
P,カリスマだと？
晶葉,まさにチートだな。かつてSランクアイドルも持っていたと言われる、類稀なる能力だよ
P,(……そんなすごいアイドル、ウチにいたか？)
晶葉,今回の場合、どうやらそれが暴走している。いわゆるハイパー化だな
P,ハイパー化！？
晶葉,感情の爆発等、何かの拍子で抑制が効かなくなり、無差別にそれを発揮しているようだ。その効果は……超強力な五月病、と言ったところか。実にネガティブで特徴的じゃないか
P,感心してる場合じゃないだろう！？これがこのまま続いたら……！
晶葉,そうだな。不本意だが、私達のストで機能しなくなったプロダクションは、いずれ破綻する。確実に
P,わ、笑えねぇ……
晶葉,さて……あとは君の仕事だ。ここまで説明するのは非常に億劫だったが、君の頼みだ。まぁ悪くはなかったよ。私はここで、この異変の解決でも祈るとしよう
P,これだけでも十分だよ。ありがとう、晶葉。……つーかちゃんと着替えとけよ、マジで。臭うし、汚いからな
晶葉,……フッ
P,フッ、じゃねーから！絶対風呂にも入るんだぞ！いいな！？
泰葉,あ、プロデューサーが出てきました
P,……何となくだが、誰が原因かは分かった気がする
美優,？……何の原因ですか？
P,詳しくはまた後で話します。二人にちょっと聞きたいことがあるんですが
泰葉,？
P,杏の部屋、どの部屋か分かりますか？
泰葉,彼女とはあまり親しくはしてませんけど……確か、この部屋ですね
P,……杏を最後に寮で見たのは？
美優,連休明けの初日に見かけましたけど……それ以降は、ちょっと
P,マズいな。最悪、このオフの間は部屋から一歩も出ていない事もあり得る。そもそも生きてるのかすら怪しく……いやいや、杏に限って逆にそんな
泰葉,生きてるみたいですよ？ほら、メーター回ってますし
P,……って事は、中にいるのか。おい、杏！いたら返事しろ！おーい！！。当然の如く鍵をかけてやがる……泰葉、寮のマスターキーを取って来てくれ！
泰葉,嫌ですよ面倒臭い。私はプロデューサーの人形じゃありませんから
P,ぐっ……なら、俺が直接取りに。！？。杏……！。ふ、ふざけるんじゃない！今すぐここを開けて、出てくるんだ！！。あぁ、もちろんだとも！。……今の俺には、杏が必要なんだよ。頼む！
泰葉,本当に誰彼構わず言ってるんですね、あのコピペ
美優,でも言われると、悪い気はしないから……私も時々、コロッといっちゃいそうになるの
P,杏……！。な、何故だ！……何故なんだ、杏！？。ぐっ……。な、何？。しねーよ！誰が欲情なんてするか！！。？……おい、杏？。はぁ？。ま、待ってくれ！一体何が何だか。……連休終わりに、杏に言ったこと……？。いやー、今日もグラビア撮影、お疲れ様でした
ヘレン,私の魅せたところ、きっちり撮ってもらえたかしら？
P,もちろんですよ、バッチリです
レナ,プロデューサーさん、ちょっと
P,はいはい、何でしょうレナさん
レナ,あの水着なんだけど、胸元が少しキツかったかな……
P,マジですか？
杏,………。……ね、ね、プロデューサー
P,じゃあ今度、また採寸し直……どうした？杏
杏,あ、あのさ。ほんのちょっっっっっぴりだけ、興味が沸いたんだけどね。私もさぁ……グラビア、やってみたい、かなーって。……ね、どうよ？
ヘレン,じゃ、また明日ね
P,お疲れっしたー！
杏,って、聞けよ！
P,は？グラビア？
杏,うん
P,誰が？
杏,杏が
P,杏が？
杏,そうだよ
P,かぼちゃパンツでなく？
杏,かぼちゃパンツでなく
P,……え、杏が？
杏,だからそうだって
P,………杏が？
杏,何回聞き返すつもり？
P,HAHAHAHAHAHAHA
杏,えっ？
P,ないない、それはない
杏,……は？
P,いや、だってお前……その体型で、グラビアだろ？際どい所まで撮れってんだろ？。完全に犯罪じゃねーか。俺だって流石に捕まりたくはないぞ
杏,………
P,大体杏を見て欲情する奴って、どんな変態だよハハハ
杏,……私帰る
P,おう、またな～。……すまん、覚えてない
泰葉,……えぇー
美優,ぷ、プロデューサーさん……
P,こ、この所打ち上げやら接待やらで忙しすぎて、その……記憶が
杏あれだけ丁寧に再現シーン流させておいて,覚えてない
P,す、すまん……。いや、そういう訳ではなくてだな。それはいつも宣言してるだろうが！。……杏の言い分はまぁ、分かるよ。多分、俺が悪いんだろうが……。だがそれで杏が俺に、こんな罰を与えるなどと……！。エゴだよそれはっ！
泰葉,でもアレはちょっと酷いってレベルではないですよね……
美優,……少なくとも、女の子にかける言葉じゃないと思うわ
P,うぐっ……。こ、こうなったらライフライン……電気や水を断って、無理やりにでも！。なんだとっ！？……こ、ここに2ヶ月も引き籠られたら、ウチの事務所は……！
泰葉,んっ……
美優,？……どうしたの、泰葉ちゃん？
泰葉,少し、催してきたみたいで……ペットボトルか何か、容器は持ってます？
美優,えぇ。ちょっと飲み残してるけど、私のでよければ
P,えっ？……ちょ、まっ……す、ストップゥゥゥゥゥ！！
泰葉,？……何か？
P,君達は俺の横で何とんでもないことやろうとしてんの！？
泰葉,だってトイレまで行くの、面倒臭いですし。廊下を汚すよりは……
美優,ふぅ……全部飲み干したわ。泰葉ちゃん、もう準備OKよ
P,だからペットボトルは携帯トイレじゃ……ああぁ、ちょっと！ダメですってば！！。…………わ、分かった！分かったよ、ちゃんと謝る！謝るから！！。俺が悪かった！酷い事言っちまって悪かったよ！全面的に俺が悪かったんだ！！。だ、だからもう、許してくれ！頼む！……お願いだ、杏ぅ！！。反省しました。はい。証拠？。……俺に何をやれと？。………。………。………。………。いのちをだいじにっ！！
杏,いやー、ホントにやるとは思わなかった。すごいね、プロデューサー
P,あ、杏……
杏,うん、許してあげる。ついでに杏のグラビアもちゃんと用意しなさい
P,すまなかった、杏……
杏,……も、もうやんなくていいから。うん
P,俺を、許してくれるのか……！？
杏,だからもういいってば！わざとやってるでしょ！？
泰葉,……あ、れ……？
美優,……っ！？
P,……ふ、二人とも、もう大丈夫か？
泰葉,…………×☆▽くぁすぇｄｒｆｔｇｙふじこｌｐ；～～～～～～～～～～ッ！！！
美優,……えっ？……なん、で……こ、この格好って……ふぇぇっ！？
P,……ね、ネグリジェ似合ってますよ、美優さん
美優,(´；ω；｀)
P,美優さん！？
菲菲,ちょと待つネ、レナ！また勝ち逃げカー！？
レナ,あぁぁもうダメダメダメダメ……時間忘れて、ここまでのめり込むなんて……！
ヘレン,……そうよ、まだ余裕よ。世界レベルを自負するなら、余裕が大事……。少しシエスタしただけじゃない、大丈夫……まだ慌てるような時間じゃないわ
千秋,ああああああああどうしようどうしようどうしようどうしよう……！。何が楽してズルしてのんびりよ……何言ってるの私、ホント何言ってるの私！？。しかもプロデューサーにあんな事まで言って……あぁもう、どうすれば……
P,千秋！
千秋,！……プロデューサー！？
P,まだ間に合う！着替えは車の中でやれ！。すぐに荷物まとめて、駐車場まで来るんだ！
千秋,は、はい！
美優,……痴女よ、こんなの……絶対私のこと、痴女だって……
杏,そ、そんな事ないって、大丈夫だよきっと……多分。……ワイシャツ一枚姿を撮るだなんて、ホント変態だよね。プロデューサー
P,ビキニの方が良かったか？
杏,アレはズレるからあんまり好きじゃない
P,なら我慢しろ
杏,……ね、プロデューサー
P,なんだ
杏,グラビアはもう十分分かったからさ。疲れてきたし、そろそろ休み……
P,何言ってるんだ？もう引き返せないぞ
杏,えっ？
P,結構、と言うかすごい評判いいんだよ。杏の
杏,マジでか
P,17歳とは思えないギリギリアウトな体型がとても絶賛されてる
杏,うわぁ……マジでか
P,言わば、金鉱を掘りあてたってわけだ。これからも大体は撮影に追われるぞ
杏,い、いやだ！もう働かないぞ！杏はとっくの昔に飽き……
P,ん？最初にグラビアをやりたいと言い出したのは、どこのどいつだ？
杏,ぐ、ぐぬぬ……
P,少なくともこないだの損失分は、きっちり稼いでもらうからな
杏,た、確かに杏も責任は感じるけどさぁ、でもあれは
P,黙らっしゃい
杏,むむむ……
P,何がむむむだ。(……杏にカリスマ、か。確かに持ってるのかもしれないが)
杏,？
P,(この性格じゃなぁ。天は二物を与えずって事か)
杏,……今失礼なこと考えてなかった？
P,い、いや？全然
泰葉,………。………。………。皆、寝静まってる……出歩くなら、今の内……。ふあぁ……この開放感、たまらない……！。体が軽い……こんなにも幸せを感じられるなんて……！。真夜中だから空気もヒンヤリしてて……風が、私を吹きぬけていく！。ほぼ下着姿で寮内を出歩くなんて、今までしようと思ったことすらなかったけど……。……でも、でも……！。こんなの、知ってしまったら……どうしようも……！
美優,……泰葉、ちゃん……？
泰葉,
美優,あっ……
泰葉,み、みみ、み三船さん！？どうしてこんな時間に……と言うか、その格好……
美優,え、えっと……こんな恥ずかしい姿で、出歩いて……。誰かに見られたらって思うと……何だか……
泰葉,あ、分かります……背徳感、ありますよね
美優,え、えぇ。でも……。……それが……すごく、たまらなくて。私……どうか、しちゃってるわよね……？
泰葉,三船さんも、なんですか……！？
美優,えっ？……も、もしかして、泰葉ちゃんも？
晶葉,この事件の後、女子寮七不思議の一つ深夜徘徊する二人組の亡霊の噂が立つのだが……。噂が広まるにつれ、何故かパッタリと目撃されなくなったらしい。所詮は人の噂だな。亡霊などと……あれはプラズマだよ。大槻教授もそう言っていた。私もこの通り、ちゃんと風呂に入って下着も洗濯、消毒を施した。めでたしめでたしだよ。……そう。めでたしめでたし、だ。………。……………。……もう臭わない、だろうか？
