Target8.佐藤心,しゅがーはーと
P,そういうこと。友紀はアイドルとしてファンの人たちに笑顔を届けている分、プラスが溜まってるんだよ
ユッキ,でも、マイナスはあるわけなんでしょ？それじゃあ誰かが迷惑になってるのかもしれないじゃん
P,そこだ
ユッキ,どこ？
P,そのマイナス分はプロデューサーの俺に押し付ければいい。そうすればファンの人たちにマイナス分のしわ寄せがいかなくなる
ユッキ,…
P,だから迷惑はかけてもいいが、全部俺の方に回せ。いいな？
ユッキ,…
P,…腑に落ちなかったか？
ユッキ,…う、ううん！全然！すごいよくわかった！
P,わかったら飲みに行くぞ。宅飲みしたら大家さんに迷惑がかかるかもしれないだろ
ユッキ,ねぇ。プロデューサー
P,うん？
ユッキ,ありがとね
P,気にするな
ユッキ,えへへぇ…♪。～♪。あっはっは♪このつくね美味しい～♪野球ボールみたいな味がするよね～♪。プッハー♪おーいーしーい～♪
P,いい飲みっぷりやね
ユッキ,んふふ～♪今日はプロデューサーに迷惑かけるんだ～♪えへへぇ…♪
P,…。タガが外れすぎだろ…
ユッキ,今日はたっくさん飲んじゃうよ～♪気持ちいいこと♪思いついたらナウオンターーーーイム♪
P,持ち歌なのに音程ズレてるし…。…この状態でアマエタクナールを飲ませたらちょっとは大人しくなる方向に働くかな…？。とりあえず試してみるか…ビールに噴射…っと
ユッキ,さぁ、まだまだ飲むよ～♪
P,さてどうなるかね
ユッキ,おんぶ♪おんぶ～♪
P,ぐえっ！
ユッキ,えへへぇー、プロデューサーの背中は安心するなー♪
P,お、おっぱいがやべぇ…！いつもと違って押し付けてくるからおっぱいがやべぇ…！
ユッキ,えへへ…今日は着くまで起きてるからね…♪背中で応援してるよ…♪
P,お、おう！。なんか耳元に生暖かい息がかかるし…気を抜くと下半身が反応しかねんぞ…！！。ビールとニンニクの香りが混じってるからギリギリ理性が保ててるわ…
ユッキ,ていうかさー、もっと構って、構って～♪
P,ちょいちょい！暴れんな！
ユッキ,しゅっぱーつ！しんこぉー！目指すは神宮球場～♪
P,家だろ！この野球お馬鹿！。くっ…！胸が背中でバウンドしてやがる…！。持ってくれ…俺の理性！
ユッキ,右に左に後ろに前に～♪
P,背中であばれんなっ！めっ！ただでさえ疲れるんだからっ！
ユッキ,むぅ～、なんか子供が叱られてるみたいだな～
P,いや、キミ、中身はちびっ子とほぼ変わらんですし
ユッキ,…むっ
P,もうすぐ着くから大人しくしててーーー
ユッキ,あっれー？これ、鳥の皮かな～♪
P,ひょぇっ！
ユッキ,ん～、柔らかいけど…これは皮じゃないな～…♪
P,そ、それ、耳たぶ！耳たぶ！友紀さん！ストップ！！ストォーップ！！
ユッキ,んふ？そうなの？♪
P,や、やめてくれ！甘噛みして舐めてくるのはやめてくれ！！
ユッキ,ん～、ふふふ♪ふぅ～…♪
P,ひょっ…！。耳に息を吹きかけるのは…あかん
ユッキ,うわぉ！
P,ぐふ！
ユッキ,んふふ～…プロデューサーって耳弱いんだ～♪
P,ち、ちょい。タンマ。起き上がるから背中から降りていただける？
ユッキ,どうしょっかな～♪
P,あ、あの。密着しながら耳元でささやくのはやめていただけますか？友紀さん？
ユッキ,あっれ～？プロデューサーもしかして変な気分になってる～？♪
P,…。やべぇ…カリスマギャルより10倍くらいエロい誘惑してきてるぞ…。アマエタクナールがやばいのか…ユッキの天性のものなのか…
ユッキ,ねぇ～ねぇ～…♪
P,さて…ここからどうしたものか…まさか手を出すわけにはいかんし…大人しくしてもらわないと帰れないし…。こうなったら美優さんあたりに電話してヘルプをーーー
ユッキ,Zzz…
P,…って、あん？
ユッキ,Zzz…
P,…この状態で寝やがった
ユッキ,えへへぇ…プロデューサー大好きだよー…♪
P,…。下半身があかんことになった。あー…仕事しなきゃな…。デスクワークはだるいな…。はぁー…終わりっ！
まゆ,お疲れ様です♪
P,わーお…。おはよう。まゆ
まゆ,おはようございます♪お茶とお菓子。用意してありますよ
P,朝から机の下にずっといたのか？
まゆ,ええ、今日は火曜日ですから
P,…曜日によって潜ってる日が決まってるのね
まゆ,ちなみに明日のシフトはまゆと輝子ちゃんですよぉ♪
P,コンビニのアルバイトかよ
まゆ,はいどうぞ♪プロデューサーさん♪。疲れた時は甘いもの。吉兆庵の粋甘粛と知覧という品種のお茶です♪
P,コレ干し柿のお菓子？
まゆ,はい♪最近、プロデューサーさんが和菓子にハマっていると聞いたものですから
P,ほほう。これは嬉しいな。イタダキマス。あー…うまい…。デリシャス
まゆ,うふふ…♪プロデューサーさんの喜んでる顔…♪ずっと眺めてたいな…♪
P,まゆは食べないのか？
まゆ,まゆは来週グラビアがあるので、甘いものは控えているんです
P,そっか。なんか悪いな。俺1人だけ食べちゃって
まゆ,いいんですよ。気にしないでください♪
P,あー…めっちゃいい子だ…
まゆ,プロデューサーさんと2人きり…♪2人きり…♪。ところで…机の下にいる間、プロデューサーさんのカバンの中を整理してたんですけど…
P,ありがとう。ごちゃごちゃしてたろ
まゆ,…それはいいんですけど、この香水は何ですかぁ…？
注:この香水,アマエタクナール
P,…。ああ、ソレは志希に借りた香水だよ。身だしなみを整えようと思ってな
まゆ,へぇ…
P,俺っぽい匂いがすると思う。よかったら使ってみるか？
まゆ,いいんですか…？
P,ああ。特別だぞ？
まゆ,うふふ…♪ありがとうございます♪。特別…♪プロデューサーの香り…♪
P,生命の危機に何度も瀕したゆえか、嘘がうまくなってしまったな…
まゆ,…♪
P,…
まゆ,プロデューサーさん。お茶のおかわりはどうですか♪
P,いただこう
まゆ,どうぞ♪
P,お、おう。ありがとう。おかしい…アマエタクナールを嗅いだはずだが、まゆに変化が見られんぞ…。ユッキも佐藤も速攻で効果が出たのに…どういうことだ…？。まさか…効いていない？
まゆ,…
P,ってことはなさそうだな…。まゆ。なんだかソワソワしてないか？
まゆ,え？い、いえ。そんなことはありませんよ
P,ふーん…。…あ、そうか。アマエタクナールはスナオニナールと違って、素直さは引き出されないのか。だとしたら…まゆは今めっちゃ甘えたい気持ちになってはいるが、どういうわけか、その気持ちを行動には移せずにいるわけだ。まゆのことだ。おそらくPに迷惑をかけてしまうかもしれないとでも悩んでいるんだろう。一応、確かめてみるか…。まゆ
まゆ,は、はい？
P,なんだか様子がおかしいな？もしかして体調が悪いのか？
まゆ,い、いえ。体調が悪いわけでは…
P,うん。本当に体調が悪いって可能性もなくなったな。そうか。まあ、ところで話は変わるが、この前、テレビで結婚特集をやっていたんだ
まゆ,…プロデューサーさん。誰かと結婚する予定でもあるんですかぁ…？
P,いや。ないけどな、その時、夫婦の関係は甘える側と甘えられる側どっちがいいかみたいなことを放送していたわけだ。それを見てて俺は将来、誰かに甘えたいなぁって思ったんだけど、まゆはどっち派なんだ？
まゆ,！。ま、まゆは…
P,甘えられる人がいいんだよなぁ…俺
まゆ,！！。…。まゆはプロデューサーさんに喜んでもらいたい…だから甘えさせる人って答えるべきなんですよね…。けど…今はプロデューサーさんに甘えたい…抱きついて甘えたい…すごく甘えたい…。でも、ここで甘えたいって答えたら…性格の不一致になっちゃう…そうなったらプロデューサーは甘えられないまゆを見放しちゃうかも…。それでも、甘えたい…甘えたいんです…でも嫌われたく…。うっ…うっ…
P,ん？
まゆ,…
P,ちょっ！？どうした！？
まゆ,ふぅーん…うっ…うっ…
P,た、たんま、たんま！。よしよし。落ち着いたか？
まゆ,し、心配をかけてしまってすみません…
P,いやいや。普段のまゆは隙がないくらいだからな。たまにはこういうところを見せてくれても構わないよ。ほら、こっちに寄りかかってきていいぞ。具合が悪そうだしな。楽にしておけ。本当は具合が悪いわけじゃないんだろうけどな
まゆ,…！ぷ、プロデューサーさん…！
P,ん？なんだ？
まゆ,そ、そ、その。こんなに密着してたら…！！
P,大丈夫だよ。ほら、今日くらいは甘えてこい
まゆ,…。…はい♪
P,おおう…だいぶがっちり抱きついてきたな…
まゆ,うふふ…♪プロデューサーさんの匂い…感触…♪プロデューサーさん…♪プロデューサーさん…♪
P,よしよし。やっぱ、我を忘れなければまゆは可愛いんだよな…そして身体がもちもちしててすんごい柔らかいぞ…。まゆの香りも相まって破壊力がやばいな…素晴らしいぞ…
まゆ,～♪
ユッキ,おっはよー。プロデューサーいる？
P,おはよう。ユッキ
まゆ,～♪
ユッキ,…って、何してるの？
P,まゆが具合悪いみたいだから看病をしてるんだ
ユッキ,へー、そうなんだ。んー、じゃあさ。後でまた時間があったら甘えさせてくれる？ていうか、おんぶして？あれなんか癖になっちゃったんだよね～♪
P,いや、酔ってもないのにおんぶしたくないっての
ユッキ,ケチー！
P,ま。とりあえずレッスン行ってこい。時間ギリギリだぞ？
ユッキ,そうだった！それじゃ！また後でねー！
P,ユッキはいつでも元気だなあ
まゆ,…。ねぇ…プロデューサーさん。友紀さんに甘えさせたってどういうことですかぁ…？
P,ん？
まゆ,プロデューサーさんは甘えたい人なんですよねぇ…まさか、まゆに嘘付いたりしてませんよね…？。というより、どうしてまゆより先に友紀さんを甘えさせてあげたんですか…？まゆは特別じゃなかったんですね…？
P,ち、ちょい…まゆ？
まゆ,プロデューサーさん…
P,は、はい？
まゆ,全部。話してくださいね…隠し事は嫌ですよぉ…？
P,…ヒェッ
あずき,プロデューサーっ！とっておきの作戦思いついたよー！
P,おはよう。あずき
あずき,あ、うん。おはよう♪
P,今日、キミ休みと違うの？そして作戦って何よ？
あずき,細かいことはいいの～。ほら、聞いて、聞いて♪
P,うん。じゃあ聞かせてもらおうか
あずき,うんっ！それじゃあ発表しまーすっ！じゃかじゃか～♪じゃん！。名付けて！水着で和室大作戦っ！
P,ふぅ～、拍手～
あずき,えへへー。どうもどうも
P,名前でなんとなくわかるけど、一応聞いておこう。どんな作戦なんだ？
あずき,あずきがセクシーな水着を着て、畳のある部屋で写真撮影する！そういう企画の提案！
P,シンプルだな
あずき,でもねっ、絶対人気出るよ！ファンのみんなもあずきのセクシーさに悩殺だって♪
P,そうだな
あずき,でしょ、でしょ♪じゃあ、今度の仕事の予定に…
P,ごめん。おそらく無理
あずき,えー！
P,ごめんな。その仕事は無理なんです
あずき,早い！早いよっ！プロデューサー！推測から断定に移り変わるまでが早いよっ！
P,あずき。最近、英語の勉強でもしたのか？なんか文法的だぞ
あずき,どうでもいいっしょー！
P,こほん。では、どうして無理なのかの話をしてあげよう
あずき,むーっ
P,はい。あずきくん。先生の話は静かに聞こうね
あずき,はーい
P,これはとてもシンプルな話なのです。いまは初夏。しかも初夏が始まったばかりの初夏。初夏の初頭なわけだ
あずき,うん
P,つまりまだ水着の季節じゃない。水着撮影があるとしたら6月。早くて5月の終わり。しばらくお待ちください。…ついでに言うと、もうあずきの仕事はかなり入れてある。スケジュール的な意味でも実現できるかわからないな
あずき,ぶーぶー！
P,はいはい。頬を膨らませても可愛いだけだぞ
あずき,ぶぅー！
P,というかどういう風の吹き回しなんだ？
あずき,何がー？
P,なんで水着の仕事なわけ？
あずき,え？
P,いや、あずきって水着を着て大胆なセクシさをアピールってより服を色っぽく着てセクシーさをアピールだろ？
あずき,…う、うん。そうだね
P,なのにどうしてまた水着の撮影なんて言い出したんだ？それが気になったんだよな
あずき,んー…ホントにプロデューサーって細かいとこ気づくよね～
P,ちゃんと見てるからな
あずき,…。…そっか、ありがと♪
P,さて、まあ。座れ。そして、このお茶を飲んで落ち着け。それから話を聞こう
あずき,イタダキマス…
P,ん。よかったら話してくれるか？
あずき,…言ったら嫌われるかも
P,絶対嫌わない
あずき,…ホント？
P,たとえ、何を言ってもあずきの良いところがなくなるわけじゃないからな。良いところはちゃんと覚えてる。それに悪い面やダメな面も含めてあずきだろ。俺はいい子、いい子してる子が好きなんじゃなくて、桃井あずきが好きなんだよ
あずき,…。…ちょ、ちょい…そういうの照れるなぁ…真顔で言わないでよ…///
P,顔赤いぞ
あずき,う、うるさいなぁ…///
P,照れ顔を写真に撮ってフリスクのLINEにアップするか
あずき,ちょっ！たんま！それずるっ！
P,いい写真が撮れたなぁ
あずき,幻滅～っ！
P,はい。とりあえず消したから、話に戻るか
あずき,…ん。はい。では、話します
P,聞きます
あずき,…っとさ、この前のアイドル総選挙の中間発表は見た？
P,もちろん
あずき,じゃあ、柚ちゃんと忍ちゃんがランクインしたのも知ってるよね…
P,ああ
あずき,そのこと自体は、メンバーとして、友達として、嬉しいんだけどさ…うん。正直、自分が入ってないことがすごく悲しかったんだよね…
P,…
あずき,あはは…ちょっと今も泣きたくなるんだけどさ…っ…うん。あたしだって頑張ってきたんだよ…？い、一生懸命頑張ってきたのに…何もなかったんだよ…？。…でね…なんか自分がやってきたことが間違ってたんじゃないかってね…うっ…うっ…楽しかったのに、間違ってたんじゃないかって考えちゃってね…それでね…。うっ…うっ…
P,…
あずき,あ、あたじ…自分のやってることが…駄目なんじゃないか…って…ん…もう、わかんなくなっちゃっで…！。プロデューサー…っ…あずきは…どうしたらいいの…？
P,…
あずき,…っ…ご、ごめんね…突然泣いちゃっだりしてさ…あはは…♪
P,ん。ほら、ハンカチあるぞ
あずき,ありがとう…。…途中から言いたいことめちゃくちゃになってたねー。ごめんっ
P,ちゃんと伝わったよ
あずき,…ん
P,…確かに今回、柚と忍は選挙で順位が上がったな。それ自体は素直にすごいことだし、2人の努力が実った証拠だと思う
あずき,…
P,だが、あずき。順位それ自体とお前の努力の方向性の正しさは必ずしも関係しているわけじゃない。特に選挙ってのはタイミング次第で票の集まるアイドルが変わる。何かのきっかけで1位にさえなりうるのが選挙だ。選挙でランクインしなかったことは気にしなくてもいい
あずき,…プロデューサーの言いたいことはわかるよ？
P,ああ
あずき,でもさ、それって努力の方向性が間違っていないことも証明できないじゃん。もしかしたら、本当は間違っているかもしれないじゃん…。あずきさ…怖いんだよ…自分が間違っているって考えちゃうのがすごく怖い…。…うじうじしちゃうのは良くないっ、って思うんだけどね…もう、そのことばっかり頭の中をよぎっちゃうんだ…。これはいいのかな、あれはいいのかな、って悩んで…でも答えなんか出なくて…それですごく悲しくなってきてさ…うっ…。駄目な子だよね…あたじ…プロデューサー…
P,…あずきが自分のことをどう思っていても構わない。だけど、俺はあずきのことを駄目だとは思ってない。ひとかけらもな
あずき,…
P,あずきは最高のアイドルだ
あずき,…
P,あずきは自分に合ってる仕事がわからない、って言ってるけどな。少なくとも今までの仕事は楽しそうに見えた。その人に合う仕事が何なのかを測る基準は色々ある。お金がたくさんもらえる仕事だったり、難しい仕事だったり、自分の能力が最大限に活かせる仕事だったりな。そこは、まあ、陳腐な言い回しだけど、人によって違う。十人十色だ。…俺があずきに充てていた仕事は、あずきが楽しめるものだった。それがベストだと考えていたんだ
あずき,…
P,だから選挙で結果が出なかったのは俺の責任だ。俺のプロデュースのミスだ。もっと考えれば選挙の結果を出せて、あずきが楽しめる仕事をうまく探せたのかもしれないしな。あずきがそこまで苦しんでいたのは知らなかった。本当にすまないな
あずき,…。…プロデューサーのせいじゃないよ
P,責任を押し付け合うのはやめよう。まあーーーなんだ。あずきの気持ちが知れたことで、俺もやるべきことがはっきりしたよ
あずき,…どういうこと？。な、何！？この大量の書類の山は？
P,あずき専用のプロデュースプラン。今後は、あずきの新規ファンをたくさん増やすことを重視してアイドル活動をしてもらおうと思ってな。もちろん。あずきらしさ。あずきが楽しめることが第1に、だ
あずき,す、すご…。この資料作るのに相当時間かかったでしょ…
P,問題ない
あずき,ふぇ…
P,…それでだ。あずき
あずき,？
P,正直、お前にまったく辛い思いをさせない、ってことはできないと思う。だが、俺はあずきにアイドルの活動を楽しんでほしいーーーだから、あずきさえ良ければだけど、プロデュースを続けさせてくれないか？
あずき,…
P,さっきも言ったが、俺にとってあずきは最高のアイドルだ
あずき,…！
P,必ずシンデレラガールにしてみせる。そのためのサポートなら何でもすーーー
あずき,もういいよ。プロデューサー
P,…
あずき,もうこの話は終わりにしよう
P,…そうか
あずき,その代わりーーー1つだけお願いしたいことがあるんだ。いいかな？
P,なんだ？
あずき,…もうちょっとだけ、あたしをプロデュースしてくれるかな？ううん、プロデューサーにプロデュースしてほしい。お願いします…♪
今回の,甘える
両方が混じった,甘える
早耶,～♪おっはようございますぅ～♪プロデューサーさぁん♪
P,早耶。おはよう。どうした？なんだか上機嫌だな
早耶,うふふ♪さすがプロデューサーさんですねぇ♪わかっちゃいましたかぁ～♪。せっかくですし～、当ててみてくださぁい♪どうして早耶は上機嫌なんだと思いますかぁ♪
P,ほほう。クイズ王と呼ばれた俺に問題を出すとは片腹痛い。受けて立とう
早耶,ふふふ。お願いしまぁす☆
P,んー…道でお金を拾った？
早耶,ブッブー。違いますぅ！早耶は守銭奴じゃありません～
P,朝に淹れたお茶に茶柱が立った？
早耶,んも～…早耶はおばあちゃんでもありませんよぉ～…
P,では、正解を言います
早耶,えぇ？
P,早耶のブログが人気ランキングでトップ10に入ったから
早耶,…むぅ！もしかしてプロデューサーさん！最初から知ってたんですかぁ？
P,早耶のブログを毎朝見るのが日課だからな
早耶,…んもー！だったら回りくどいことしないで最初から褒めてくださいよぉ！！
P,すまぬ
早耶,でもぉ…プロデューサーさん。今でもちゃんとブログを見ててくれてたんですねぇ♪。仕方ないので許してあげますぅ♪
P,ありがとうございます？。元から怒られるような筋合いはなかった気もするけど…
早耶,うふふ♪これはラヴですね♪ラヴ♪
P,そうだな。ラブだよ。ラブ
早耶,～♪
P,ところでブログの人気があるのは結構だが
早耶,はぃ？
P,Pと2人きりでホテルで宿泊♪みたいな記事を書くのはやめてくれないか
早耶,事実じゃないですかぁ♪ロケの帰り。2人きり。ホテルで宿泊しましたよねぇ
P,したな。でも別々の部屋だろ…
早耶,いいんですぅー！大事なのは2人きりで泊まったことなんですぅー！
P,はいはい…まあなんだ。早耶のファンも悲しませかねないから、ブログに上げる記事はちゃんと検討してからな
早耶,むーっ！プロデューサーさぁん！説教とか欲しくないですぅ！褒めてくださいよぉ！甘やかしてくださいよぉ！
P,んー…じゃあ、ちょっと待ってろ
早耶,はい？。あ…出て行っちゃいましたぁ…。…プロデューサーさんにもっと褒めてもらいたかったですねぇ…。でもぉ…おねだりしすぎても鬱陶しがられるかもだしぃ…難しいですねぇ…。あー！プロデューサーさんの馬鹿ぁ～！もっと早耶を見て欲しいのにぃ！
P,ただいま
早耶,あ、お帰りなさぁい♪
P,なんかいま叫んでなかった？
早耶,いいえ？何も？
P,そうか。全部聞こえてたけどな。ほれ。そんなことよりご褒美じゃよ
早耶,…むぅ！これただのお茶じゃないですかぁ！
P,ただのお茶じゃなくて、アマエタクナール入りなんだよな。仕事帰りにご飯連れてってやるからさ。いまはこれで我慢しておくれ
早耶,…ん～、まあ、そういうことならいいですよぉ♪。えへへぇ…プロデューサーとご飯…♪。…
P,さて、どうなるかーーー
早耶,…！プロデューサーさぁん！
P,は、はい？
早耶,褒められたりないですぅ！！
P,ーーーうん？
早耶,だ～か～らぁ～、早耶をもっと、もーっと褒めてくださいよぉ～！
P,…。どストレートに来るパターンか…
早耶,ほらほらぁ…早耶のいいところを5つあげてください～♪
P,えぇ…突然のフリかよ…
早耶,はい、1個目は～？
P,唇がセクシー
早耶,うふふ♪毎日、手入れには気を使ってるんですよぉ～♪。あ、プロデューサーさん。よかったら、キスしてもいいですよぉ♪
P,検討しておこう。次に行こうか
早耶,え～♪誤魔化すのはずるぅい♪
P,２つ目のいいところは…髪がサラサラなところだな
早耶,わっ…♪プロデューサーさぁん…♪いきなりオンナノコの髪を触るなんてエッチぃ♪
P,止めようか？
早耶,んふふ～♪特別に許してあげますぅ♪
P,ショート似合ってるよな。小顔だからか？
早耶,うふふ…♪こだわりがあるんですよぉ…♪。ん～…ていうかぁ、プロデューサーさん。容姿しか褒めてないですぉ？次は早耶の内面を褒めてください～…♪
P,3つ目。実は体力がないのに頑張り屋
早耶,た、体力はちょっとずつ付いてきてるんですよぉ？
P,でも、まだ足りてないだろ？バテやすいし
早耶,…むぅ！
P,でも、体力がないからこそ、体力を付けようとしたり、他の人より頑張ってる。そこが早耶のすごいところだろ
早耶,…アイドルなのに体力ないのはダメなんじゃないですかぁ？
