戦闘力以外割とポンコツな主任,以後貴虎表記
貴虎,…気のせいか、あちこちで見かける店員だな。空腹とは言え、つい勢いで欲張ってしまったな。だがエビフライにメンチカツなど久しく食べていなかったしな…美味かったらまた光実に教えてやるとしよう。ふむ、安物のお茶だ。だが不思議とホッとするな…。まだ寒い日が続く中こういった暖かいお茶は実に心地良い。ここにあるのはトッピングの類か？これは…ソースか。フライ系がメインの店な訳だ、当然だな。これは七味か。いいな、後で豚汁に入れるとしよう。これは…ドレッシングか？匂いからしてゴマダレのようだが。そしてこの小さな壺には何が入っている？…ほぉ、これは漬物か。丁度定食は白米だ、これも後で是非試してみよう。店内に漂う揚げたての揚げ物の匂いやカレーの匂いが、否が応にも空腹の胃に響く…行儀が悪いとは思うが、待ちきれんな
店員,待たせたな。海老ヒレメンチカツ定食だ。冷めないうちに食べるのが客の使命ではないのか
貴虎,おお、すまないな。気のせいかもしれないが、君とは前にもどこかで会っていないか？
店員,俺はここのアルバイト。同時に時間帯責任者だ
貴虎,…まぁ、特に大した問題ではないな。では有り難く頂くことにしよう。いただきます
店員,タベテイーヨ
ハート,チェイス、単品でカツをもう１枚つけてくれ
紘汰,おっ？なぁアレ貴虎じゃないか？あいつもこういう所で飯食べるんだなぁ。行ってみようぜ！
戒斗,放っておいてやれ。モノを食べる時は誰にも邪魔されず独りで静かで豊かであるべきだ
紘汰,あだだだだっ！！わかった、わかったっての邪魔しねぇよ！なんでアームロックすんだよ！
貴虎,ヒレカツ１枚にエビフライが２本、これはメンチカツか…凄まじいボリュームだな。だがこの大量の千切りキャベツと野菜たっぷりの豚汁で栄養バランスも悪くない。さて、どれから行くか…。よし、まずは定番のヒレカツから挑むとしよう。…っ！。揚げ立ての衣のなんとサクサクとした事か！この小気味良い食感からの肉厚ヒレ肉のジューシーさ…素晴らしいな！。おっと、私としたことがソースをかけ忘れていたな。…おぉ、この少し辛口のソースによって益々肉と衣の味が際立つじゃないか。はふっ、ほふっ…しかし、揚げたては流石に熱いな…。丁度良い、口直しも兼ねてキャベツに行くか。…成程これは良いな。口の中の油がスッキリする。そうだ、このゴマダレをかけてサラダ代わりにするとしよう。……うむ、ゴマの風味と程よい酸味がキャベツに良く合う。どれ、ではヒレカツをもう１枚……そこからまたキャベツ…おぉ、これは止まらなくなるな！。おっと、カツばかりに気を取られていたな。他のものにも取り掛かるとしよう。よし、次はこのエビフライだ。ふふ、こんなものを食べるのは子供の頃以来か…。光実も好きだったな。こっちも衣がサクサクで良いな。…うん、中のエビも悪くない。チェーン店の安物の筈なのだろうが、全く気にならないぞ。この辺りで一旦白米にいくか。おっと、エビフライからソースが垂れそうだな、一度ご飯の上にワンバウンドさせて…。はふっ…美味いな。あっという間に１本食べてしまった。残り１本か…。尻尾は、流石に食べないでおこう。行儀が悪いな。む、さっきのソースが米にかかってしまったな。まぁ、構わんが……おお、ソースのついたご飯がまた、何とも堪らないな！。これは米が進むな…うん、キャベツを合間に挟むと米が全然足りなくなる。これはペースを考えなければならないようだ。…このゴマダレをカツにかけるのはどうだろうか？…おぉ、なかなか良いぞ。ちょっとした冒険だな
ジャベル,メンチカツ定食を頼む
店員,了解した
アラン,では私はたこ焼き定食を
店員,メニューを、よく、見ろ
貴虎,おっと、豚汁がまだ手付かずだったな。ネギにニンジン、大根、ジャガイモ…ふんだんな野菜に豚肉の旨味が味噌に溶け出している。身も心も温まる味だ。味噌汁ならいざ知らず、豚汁は中々口にする機会が無いものだな。体の芯から温まる心地だ…。そして、豚汁の余韻残るままに白米を…うむ、米と合わない筈がない！。よし、そろそろメンチカツに取り掛かろう。…ナイフとフォークは、流石に無いのか。仕方ない、マナーが悪い気もするが箸で割るとしよう。…っ！？。な、なんて事だ！皿の上に肉汁が溢れ出してしまった！。くっ…！どうして俺はこういつも肝心なところで油断してしまうんだ…！凌馬も俺のこういうところに愛想を尽かせたのかもしれんな…。…嘆いても仕方ない。零れてしまった肉汁はキャベツに絡ませて食べるとしよう。…怪我の功名というやつか。美味いな、これも。さて、ではメンチカツに取り掛かろう。断面から溢れる湯気、そこから香る芳醇な肉汁の匂い…これは不味い訳がないな。あふっ！はふ、はふふっ！。くっ…！予想以上の熱さだ、だが…やはり美味い！。これは特にソースとの相性が抜群だな。カツと違い肉の食感は味わえない分、肉汁がダイレクトに口の中に入ってくる。よし、一口サイズにして、こうしてご飯の上に置いて米と一緒に…。…これは、堪えられん…！。む？メンチカツも半分ほどしか無いのにまだこんなにキャベツが残ってしまっているな。食べ物を残してしまうのはノブレスオブリージュに反する。…よし。残りのキャベツの３分の１にゴマダレをかけ、もう３分の１にはソースを…。残りのメンチカツとエビフライにもソースをかけよう。ヒレカツにはキャベツ同様ソースとゴマダレをかけ…。ご飯の隅に漬物を添えれば完成だ。どんな食べ合わせ方にも即座に対応出来る完璧なこの布陣…まさに天下御免。よし、では本格的に攻めかかるとしよう。ああ、ソースをつけたカツとゴマダレをつけたカツ、濃厚とさっぱりを交互に食べると止まらないな…合間に漬物と同時に米を食べるのがまた、なんとも…。ヒレカツやメンチカツの濃厚な肉の味に舌が慣れたところに齧り付くエビフライ…最高だな！よし、キャベツと一緒に食べてみよう。やはりな！キャベツと一緒に食べるとまた違った味わいだ。よりすっきりと食べられる上にシャキシャキの食感がサクサクの衣の食感と相まって箸が進むぞ。…ふぅ、そしてこの時折挟む豚汁がまた、米を求めさせてくれる。この漬物も良いな。実に良い塩梅だ、下手をするとこの漬物だけでご飯が無くなってしまいそうだ
店員,ご飯のおかわりは１００円で出来るぞ
貴虎,いや、そこまでゆっくりと食事をしている訳にはいかなくてな。…。すまない、やはりおかわりを頼めるだろうか
店員,マッテローヨ
貴虎,この漬物は本当に良い仕事をしている…
店員,待たせたな。ご飯のおかわりだ
貴虎,おお、早いな
店員,漬物が気に入ったのならレジで販売している。気軽に注文するといい
貴虎,そうなのか？光実への良い土産になりそうだ、後で買わせてもらおう
店員,まいどあり
霧彦,ああ、やはりこの店は良い風が吹くな…
翔太朗,ただのエアコンだろ。ったく、家族の外食にハブられたからっていつまでもショボくれてんなよ。ほらエビフライ１本やっから
貴虎,…ああ、やはり間違うはずがない。ソースがたっぷり絡んだカツと白米を同時に口にする度に至福を感じる…これは是非ともソースカツ丼も試してみるべきだな。エビフライのサクサク、プリプリの食感の２重奏。メンチカツの重厚な肉汁のソロ。そしてそれらを決して飽きさせないキャベツと漬物。それらをしっかりと土台として支えるご飯と豚汁。まさに完全調和。パーフェクトハーモニーだ。そしてこのソースが絡まったご飯がまた美味い…それを頬張ってから豚汁を啜る。そしてまた揚げ物を齧る。この幸福な循環から抜け出せなくなるな…。たかがチェーン店、されどチェーン店…やはり本格的にユグドラシルも飲食業界に進出するか。…試験的に発売したユグドラ汁。ご馳走様。実に美味かった
店員,何よりだ。また来るといい
貴虎,ああ、是非また立ち寄らせてもらおう。今度はソースカツ丼も試してみたい。ふぅ…実に心地良い満腹感だ。腹も心も満たされた。おっと、これは失礼。……父さん！？
琉兵衛,確かに私は父さんだが、君の父さんでは無いな
貴虎,…それもそうだ。すみません、失礼しました
琉兵衛,はっはっはっ、構わんよ
若菜,お父様ー、置いていきますわよー？
冴子,早く帰ってあげないと。どうせ霧彦さんの事だから不貞腐れているでしょうけど
フィリップ,分かっているならどうして一緒に食事に誘ってあげないんだい
スミロドン,ほんとだよ
琉兵衛,こらこら来人。ミックを戻してあげなさい
貴虎,…仲の良い家族だ。さしずめ一家揃って外食の帰りといったところか。…。今度は光実と一緒に来るとしよう。私だ、呉島だ。…ああ、そうだ。…わかった、ではそのように手配しておく。さてと…、また少し時間が出来たな。朝食も取れなかった事だ、またどこかで軽く買っていくか。…いや、ここまで来た事だ、またあの店にいってみるとしよう。そう言えばここはテイクアウトも出来るのだったな。今日は持ち帰りにして家で光実と一緒に食べるとしよう。注文いいだろうか。テイクアウトを頼みたいのだが
店員,申し訳ない。今日は大量の注文が入ってカツが足りないのだ
貴虎,何？そんな事もあるのか…。まぁ、それならば仕方ないな
店員,お詫びに割引クーポンを渡すのが店員のルールだろう
貴虎,残念だな…まぁ、繁盛していて何よりだ。また来るとしよう
店員,すまないな
メディック,チェイスー。まだバイト終わりませんのー？
ハート,折角のカツが冷めてしまうぞ。ああ、この油の匂い…今から我慢ならないな！
ブレン,ちょっとハート！公衆の面前で超進化というのは幾らなんでも情緒もムードも需要もありませんよ！
店員チェイス,お前達、一体俺が誰の食費を稼いでいると
貴虎,お前が買い占めたのか！！
