青木鉄弘,３２
喪黒,子供のころの楽しかった趣味は……。その人にとっては一生涯、心の中に残り続けます
青木,それは言えていますよね。子供のころの趣味に再び夢中になれることにより……
喪黒,大人の人間として、何かと気を張り詰めて生活するのは……。一方でストレスがたまりますから……
青木,ええ、おっしゃる通りです。社会人としての生活は、いろいろ気苦労が多いですからね……
喪黒,そんな青木さんに、ぴったりのモノがあります
青木,何ですか、それは！？
喪黒,プチ四レーサーなら、絶対に気にいるはずの特別なモノですよ。私に着いて来てください。さあ、青木さん。ドアを開けて、中に入りましょう
青木,何かいびつな作りの建物ですね……
喪黒,ここです
青木,あーーーーーっ！！。こ、これは……。目の錯覚ですか……！？
喪黒,目の錯覚ではありません。私たちの身体は小さくなったんですよ。さっきの廊下を通っている時に……
青木,そ、そんなことあり得ない！科学の法則を完全に無視している！
喪黒,じゃあ……。今、目にしている光景は一体何ですかねぇ？青木さん
青木,くっ……！！
喪黒,子供のような無邪気な気持ちで、今の光景を受け入れましょうよ。そのために、ここへ来たのですから……
青木,……ということは。ま、まさか……
喪黒,そうです、青木さん。小さくなった身体で、プチ四駆に乗ってレースをしましょう！
青木,ゆ、夢の光景だ……。ほ、本当にエンジンがかかった……！
喪黒,さあ、スタートしますよ！青木さん！
青木,気持ちいい……
喪黒,どうです、青木さん？自らプチ四駆を運転した気分は？
青木,最高ですよ！
喪黒,青木さん。リモコンを使えば、自動操縦のプチ四駆と対戦することが可能です。このマシンは自動操縦で動きます。つまり、人が運転できるプチ四駆の対戦相手というわけです
青木,なかなか、手の込んだ作りになっていますね……。ここのサーキットは……
喪黒,じゃあ、試しに自動操縦のマシンとも対戦してみますか？
青木,まるで、本物のレーサーになったような気分だ……！！
喪黒,青木さん。この場所に来て良かったでしょ？
青木,え、ええ……！もちろんですよ！こんな夢のような体験ができて！
喪黒,大丈夫です。この部屋を出て再びあの空間を歩くと、私たちの身体は元の大きさに戻りますよ
青木,うーーーん……。科学の理論や法則を超えた作用ですね……
喪黒,科学の理論や法則を超えた夢の空間が、この部屋なのですよ
青木,面白いですね……。気にいりましたよ、この部屋……
喪黒,青木さんが喜んでいただけるのなら何より……
青木,また、この部屋に訪れていいんですね？
喪黒,もちろん。何度でも訪れていいですよ。しかし……。あなたには、私と約束していただきたいことがあります
青木,約束！？
喪黒,そうです。この部屋は、あなたの趣味のために私がプレゼントした空間です
青木,わ、分かりました……。喪黒さん
学生たち,青木先生、何かいいことでもあったのかな？
青木,今度、例の部屋に入ったら……。このマシンと一緒に対戦してみよう
一同,カンパーーイ！！
徳田,大学時代から現在まで交友が続いているとは、大したもんだな！俺たち！
テロップ,徳田宏之３２
越田,何しろ……。俺たちは大学のころに、オタク系サークルで知り合った仲だからな！
テロップ,越田肇３２
青木,そうそう！何よりも、サブカルの話ができるのが僕らの強みだよな！
四駆郎マスター,ところで、青木さんがここへ訪れたのは久しぶりですよね。仕事が忙しかったんですか？
青木,まあ、ちょっとね……
徳田,青木……。お前、何か秘密でもあるのか？水臭いぞ
青木,いや、その……
越田,俺たちは友達同士じゃないか。隠し事はよくないぞ、青木ぃ
青木,でも……。友達を入れるくらいなら、いいだろう。無理に断って、友達を失うような真似をしたくない……
徳田,変わった設計の建物だな……
越田,こ、これはすごい……
青木,じゃあ、試しに乗ってみようか！
徳田,おおっ、なかなか速いぞ！このスピード感がたまらないっ！
越田,本当に人間が乗れるなんて！こりゃあ、夢みたいだ！
喪黒,青木鉄弘さん……。あなた約束を破りましたね
青木,も……、喪黒さん！！
喪黒,私は、あなたに言ったはずですよ。この部屋には、青木さんや私以外の人を入れてはいけない……と
青木,す、すみません！どうしても断れる雰囲気じゃなかったので……！だって、ここにいる2人は僕の友人……
喪黒,弁解は無用です。青木さんはもう、この部屋を使用する資格がなくなりました
青木,そ、そんな……！
喪黒,約束を破った以上、あなたには罰を受けて貰うしかありません！！。ドーーーーーーーーーーーン！！！
青木・徳田・越田,ギャアアアアアアアアア！！！。こ、ここは……
青木,み、見ろ……！！これ……！！
徳田・越田,お、俺たち……。身体が小さくなったままだ……！！
喪黒,世の中を生きる多くの人間たちは……。誰もが何かしらの形で、自ら夢中になれる趣味を持っています
