宇崎月(以下宇崎母),んっ…ん、はぁ…
宇崎母,……桜井君？
桜井,……えっ…あっ、あぁはい分かりました、よろしくお願いします。はぁーっ…。シャワーお借りしました…入っても宜しいですか？
宇崎母,…ええ、どうぞ
桜井,失礼します…っ
宇崎母,…っ！。あの…こんな風に抱いてもらうのは、初めてなの…。何をしたら良いかなんて見当もつかないから…。貴方の好きにしてもらって、構わないわ…
桜井,……くくっ。…分かりました奥さん、それではじっくりと、慣らしていきましょう
宇崎母,は、はいっ…お手柔らかにお願いします
桜井,それじゃあ、始めましょう
宇崎母,あっ…
桜井,緊張されていますね、大丈夫ですよ…すぐに気持ち良くして上げます
宇崎母,は、はいっ
桜井,私の愛撫を受けると下品で申し訳ないのですが、色んな汁でビショ濡れになる、なんていうのも珍しくありません。なので、服を脱がせて頂きます、汚れてしまうので
宇崎母,…わ、わぁ。あ、あの…触っても良いかしら？
桜井,えっ！？あ、ど、どうぞ…
宇崎母,……
桜井,…奥さん？
宇崎母,…っ、や、やだっ私ったら…！
桜井,緊張も解れたようで何よりです…気になるのでしたら後でたっぷり触って頂いても良いですよ？(筋肉を)
宇崎母,…ぁ、は…はいぃ♡お…お願いします(ナニを)
桜井,それでは、最初にクリトリスを刺激して行きます
宇崎母,…っ！わ、分かりました…。きゃんっ！？。はっ…はっふーっ、ふーっ
桜井――,私の愛撫を受けると下品で申し訳ないのですが、色んな汁でビショ濡れになる、なんていうのも珍しくありません
宇崎母,はっはっはっ♡ふぅ、ふぅ♡
桜井,はいっ、ここで終わりにしましょう！。いやぁ、本当はもう少し続けたかったんですけど…。奥さんのせいで、指が滑ってしまって
宇崎母,っ！
桜井,どうです、他の所も気持ち良くして差し上げましょうか？
宇崎母,…お、お願いできるかしら
桜井,……
宇崎母,桜井君？
桜井,…分かりました、では次に行きましょう。…それでは次は、Gスポットです、ご存知ですか？
宇崎母,じぃ…？ごめんなさい、分からないわ
桜井,女性器の三大性感帯の内の一つです、きっとクリトリスと同じか、それ以上に気持ち良くなれますよ
宇崎母,そ、そうなんですか…楽しみですね
桜井,Gスポットは膣内にありますので、指を挿れさせて頂きますね
宇崎母,んっ♡
桜井,一般的には少し奥の膣前壁にあると言われていますので、そこを刺激していきます
宇崎母,ん、ふぅっ♡
桜井,ただ、すぐに感じる様になる部位では無いので、少し時間を掛けて刺激して行きますね
宇崎母,…っ♡っ！～～っ♡！。あっ…あっ♡
桜井,それじゃあ刺激に慣れて来た頃でしょうし、クリトリスも一緒に責めて行きますねー
宇崎母,ま、待って♡まっ…あっ、ぁ…♡
桜井,愛液で滑りますから、さっきより刺激が弱いですけど、もっと気持ち良くなれるはずですよ
宇崎母,――――――っ♡。っ♡～～っ！ぁ♡んぁ…はぁ♡あ―――。はっ、はっ、はっ♡はぁっ♡はぁっ♡はぁっ♡
桜井,…っと、こんな感じですかね
宇崎母,いゃ、やだぁ…いい加減……てぇ♡
桜井,それじゃあ、今日はこの辺で終わりにしますか
宇崎母,…………え？
宇崎母――,…お、お願いできるかしら
桜井――,…分かりました、では次に行きましょう
桜井,すみません、洗面所をお借り――
宇崎母,ま、待って…！
桜井,…？
宇崎母,…………。…ずっと、一人で身体を持て余していました。貴方に抱いて貰えると思ったら、お風呂の貴方を待っているだけでも…お、おまんこが濡れてしまいました。今ここで貴方に帰られてしまっては、私はおまんこが切なくておかしくなってしまいます。私のおっぱいも、おまんこも、桜井君の物です、好きな様にお使いいただいて構わないません。ですから、どうか桜井君のお、お…おちんちんをわたしのおまんこに挿れて下さい！
桜井,。じゃあ奥さん、俺の脚の間に座ってもらえますか
宇崎母,はいっ、失礼します…
桜井,これから胸に愛撫をして行きます、ブラを外してもらっても良いですね
宇崎母,…は、はいっ
桜井,…………
宇崎母,ごめんなさいね、こんな風に垂れたおばさんのおっぱいで…
桜井,自信を持ってください奥さん、すばらしいおっぱいです
宇崎母,あんっ♡
桜井,これだけ大きければ引力に引かれて形が多少崩れるのは当然です。奥さんの胸は大きさはもちろん、肌触りも揉み心地も最高に素晴らしいですよ
宇崎母,あんっ♡う、嬉しいわ…ありがとうねっ
桜井,奥さんはご存じないでしょうが、今から今からスペンス乳腺を刺激していきます。ここは乳房のGスポットと呼ばれるくらい、気持ち良くなれる乳房の性感帯です
宇崎母,そ、それは…本当なの？
桜井,誰もが気持ち良くなれる訳ではありませんが、ここも刺激して行きたいと思います。初めの内はくすっぐたさがあるかもしれませんが、気にしないで下さい
宇崎母,あっ、ん…んっ♡
桜井,どうでしょう、気落ち良くなってきましたか？
宇崎母,はぁ♡そうね…桜井君揉むの上手だし、それに…。脇とかおっぱいの下の方とか、最初はくすぐったかったのだけれど…んっ♡。今はそれだけじゃなくなって来てるの♡
桜井,良いですよ、少しずつ身体が慣れ始めていますね。それじゃあ、スペンス乳腺を重点的に刺激して行きますね
宇崎母,お、お願いするわ♡。はっ、はっ、はっ…♡。んん、んーっ♡。はっ、はぁっ、さ…桜井君♡。来るっ、来ちゃう♡今まで全然知らなかったの…来ちゃうぅ♡。あっ♡おぅ、おぉっ！？♡。ひんっ…ひ、ひっ♡。ひぃ♡ひっ、ひぅ…うぅぅ～～♡
桜井,うおっ！？
宇崎母,はあ♡あぁ…ふっ、ふうっ…♡
桜井,奥さん、どうですか？気持ち良いでしょう
宇崎母,いっイイ、イッてる♡イッてますっ♡胸のっGスポットっ、おっぱいっ♡おまんこにぃ、なってますぅ♡
桜井,それじゃあ胸で存分に気持ち良くなって下さい。遠慮はいりませんよ
宇崎母,せんたんっ♡ダメっ、すふぇ、スペンス…おぉ゛♡そこもっ触るのダメ、ダメぇー♡
桜井,…ふぅ、たっぷり気持ち良くなってもらえたようですね
宇崎母,はっ♡はっ♡はっ♡はぁっ♡はぁっ♡はっぅ…っはぁー♡。…………
桜井,奥さん、失礼ですがこれは…？
宇崎母,それは…よく肩が凝るのでマッサージの時に使っている物ですけど…？
桜井,それでは奥さん…このマッサージ機を使って、とっておきをして差し上げましょう。リラックスした体勢になってもらいますので、横になって下さいね
宇崎母,は、はい…♡
桜井,これから刺激していくのは子宮口…ポルチオと呼ばれる場所です
宇崎母,ぽるちお、子宮口…ですか、そんな所でも気持ち良くなれれるのですか？
桜井,感じるかどうかはやはり人によってまちまちです、ですがポルチオで感じやすい人は…。慣れて来ると、腰をくねらせて歩いたり、お尻を叩かれたりするだけで感じ入るようになる、と言われています
宇崎母,……
桜井,それでは、慣らす為にまた指を挿れて行きます、良いですね
宇崎母,は、はいぃ♡。んんっ♡
桜井,奥の方まで指を挿れて行きますね…
宇崎母,ふぅ、ふぅ…♡。ひんっ♡
桜井,奥さんどうです、気持ちいですか？
宇崎母,はひぃ♡はいっ、はいぃ♡
桜井,それではこの場所に外からマッサージ機で更に刺激して行きます
宇崎母,ひううぅぅっ!?
桜井,奥さん、Gスポットの快楽がマッサージ機に集まっていくのを想像してください
宇崎母,は、はいっ…んっ♡
桜井,気持ち良いのが集まったマッサージ機がどんどんお腹の上の方へと昇って行きます
宇崎母,はい、はいっ♡
桜井,今、マッサージ機に集まっていた快楽が奥さんのポルチオ子宮口へと降りて行っています。怖がらないで下さい。リラックスしてお腹の力を抜いて、気持ち良いのを受け入れて…
宇崎母,ふーっ、ふーっ…んんぅっ♡。んん、ん～～っ…あっ♡。さ、桜井君…今、ピリッって変な感じが
桜井,…奥さん、それはこの辺ですか？
宇崎母,ふっうぅ♡そこ、そこですっ♡ぽるちお、子宮口っ♡
桜井,奥さんの身体は、どうやら子宮口で感じる事が出来る様です。沢山気持ち良くして上げますので、是非満足して下さい
宇崎母,んっ、はぁ♡うう、ううぅぅ～～～…っ♡。っ…っ！っ♡ん、んん、んんっ♡―――あっ♡
桜井,うおぉっ！？
宇崎母,あ…ぁ？おっ、おぉ？…っ！あ…ヤダっ！ダメッ！なにこ…んん、ん！？ん～～～～っ♡。ひっ♡ひぃ！
桜井,良かったですね、奥さん気持ち良くなれて。もっともっと気持ち良くなって下さい
宇崎母,お、お♡おぉ？ふうっ、ふぐぅ♡う～～っ♡あーっ、あぁ～～…っ♡
桜井,…………
宇崎母,へっ♡へっ♡へっ♡へっ♡へっ♡……
桜井,…奥さん、大丈夫ですか？
宇崎母,…ん
桜井,…え？
宇崎母,ちんちん…おちんちん♡挿れてっ、挿れて下さいぃ♡お願いします♡。お願いっ、挿れてぇ…♡
桜井,んーそうしたいのはやまやま何ですけど、あいにく今日は避妊具を持ち合わせてなくて…
宇崎母,はぁ…はぁ…♡。いっ、良いですっ♡ひに…
桜井,なので…今から買ってきます
宇崎母,……え？
桜井,ここから一番近場の薬局で、コンドームを買ってきます。行って帰ってくるまでに…30分くらいでしょう。その間に、自分がどうするべきか…よく考えておいてください
宇崎母,そ、そんな…待って、待って下さいっ！
桜井,…奥さん、離してくれませんか？
宇崎母,…あっ、ご…ごめんなさい
桜井,玄関のカギは私が念の為に施錠しておきます、予備のカギはありますか？
宇崎母,は、はいっ…えと、玄関の前の鉢の下にあります
桜井,では申し訳ないのですが、そのカギを使わせてもらいます。戻ってきたら同じ場所に戻しておきますので、気になるなら置き場所を変えて下さい
宇崎母,…はい
桜井,それでは行ってきますので…よーく、考えておいてくださいね
宇崎母,……
桜井,……だ、脱出成功！。はぁーっ…つっかれたー…。んじゃ買って来るって言った訳だし、コンドーム買ってきて冷静になった奥さんと会話して終わりっ！。…ここから一番近い薬局ってどこだろ、まあ地図アプリで探しながら行けば良いか
宇崎母,……
桜井――,…奥さん、離してくれませんか？。その間に、自分がどうするべきか…よく考えておいてください。それでは行ってきますので…よーく、考えておいてくださいね
宇崎母,んっ♡。ふう、ぅ…はぁ♡
宇崎母――,ですから、どうか桜井君のお、お…おちんちんをっ、私のおまんこに挿れて下さい！
宇崎母,うっ…。ううっ…
桜井,…ふぅ。奥さん、奥さーん、失礼しますよー？。…………
宇崎母,お、おぉっ♡ほぉ゛♡んおぉ～～～っ゛♡。んんっ、ふむっ♡ちゅばっ♡ぢゅーっ♡。ぢゅー…っは♡んんっ、はぁー♡ぁむっ、ちゅるっ♡
桜井,はあ、はあ…
宇崎母,ふむんっ♡んんっ、んおっ♡おぉ♡お、おぉ゛～っ♡
桜井,はぁっ、はぁっ…！
宇崎母,…桜井君。桜井君…桜井君っ♡挿れてぇ♡おちんちん、おちんちんっ♡
桜井,ふーっ、ふーっ…！
宇崎母,！桜井君っ♡お帰りなさいっ♡
桜井,奥さん、何してるんですか？
宇崎母,最近♡オナニーをする事はあったけれど…ほぉ♡おちんちんは、ずっと挿れていないから…。しっかりと、解していました♡おまんこはもう桜井君の物だから♡自分で触ったらダメだからっ♡。教えてもらったっ♡ポルチオ、子宮口♡グリグリ外から虐めて♡たっぷり解していましたっ♡。…あっ、でもおっぱいも桜井君の物なのにっ♡いっぱい乳首しゃぶってしまいました♡ごめんなさい、ごめんなさいっ♡。…あっ、イクっ♡イキますっ♡貴方専用のおまんこ♡イっくううぅぅ～～っ♡
桜井,…………
宇崎母,…ぁ、あ、ああぁ…♡。はやく、早くぅ♡お願いします、挿れて下さいぃ♡
桜井,…………。…奥さん、申し訳ないですけど…コンドーム付けてくれませんか？
宇崎母,うぅ…ふうぅ…っ♡。…はいっ、これでいいかしら？
桜井,はい、ありがとうございます
宇崎母,…桜井君
桜井,はい？
宇崎母,もう、焦らさないで？私、本当に限界なの…♡
桜井,分かりました。それでは…挿れますよ
宇崎母,早く♡早くうっ♡。ひんっ♡
桜井,それ、じゃあ…ゆっくり、挿れて、いきますね？
宇崎母,はい、はいっ♡。ふぅ、ふぅっ…♡
桜井,もう少しで…お、奥まで…届きます、よ…？
宇崎母,ひぁんっ♡
桜井,奥さん…うおぉ！？
宇崎母,そこ、ポルチオっ♡ちょっと押されただけで、スゴいの来たのっ♡。シてぇ♡貴方が教えてくれた所、いっぱい突いてっ♡
桜井,焦らないで、ください…これでも、気持ち良く、なれるでしょう？
宇崎母,ふぐぅ！？あぁうっ♡んひっ、んぎぃ♡う、う、うぅ～～♡
桜井,…っ、ぐうぅ…！。奥さん…すみません…もう、出そうです…っ！
宇崎母,良い♡イイわ、出してっ、イってちょうだいっ♡
桜井,っぁ、あ、…あー…っはぁーっ…
宇崎母,…はぁ♡。…ふふっ♡
桜井,…ぐっ。射精てしまいましたので、ゴムを変ますね
宇崎母,あんっ♡。…それ、見せてもらって良いかしら？
桜井,え…はい、どうぞ
宇崎母,…っ、はぁ♡
桜井,奥さん、まだ続けたいですか？
宇崎母,…もう、貴方は本当に相手に言わせるのが好きね♡
桜井,…奥さん、今度は体位を変えましょう
宇崎母,ええ、分かったわ♡次も沢山気持ち良くしてねっ♡
桜井,今度は私の脚の間に座り込んだ時の感じで、挿れてみてください
宇崎母,んっ…結構難しいわね
桜井,ゆっくり腰を降ろしてくれれば、私が位置を微調整しますよ
宇崎母,んっ、入ったわ♡。きゃんっ、桜井君！？
桜井,今度は胸も弄って行きましょう、せっかく感じられる様になったんですから
宇崎母,ま、待ってっ♡感じるっ♡感じすぎちゃうからっあ、あぁ～…っ♡
桜井,今度はもっと気持ち良くして上げますから、遠慮しないで下さいっ
宇崎母,さ、桜井君っ♡だめ、らめっ♡おかしくなるぅ…なっちゃうぅ♡
桜井,いいですよっ、どんどん、感じて下さい…！。はぁ…はぁ…！
宇崎母,ずっと、ずっと、イっれるのほぉ♡ゆる、ゆるひれぇ♡
桜井,奥さん…また、射精ま、すっ…！
宇崎母,あ、あ…あぁ～～っ♡
桜井,はぁ…はぁ…ふぅーっ…
宇崎母,んっ、んんー♡はぁ、あ…♡
桜井,…ゴムを代えたいので、立ってもらっても良いですか？
宇崎母,え？…あ、やっ、やだ…ごめんなさいっ。…♡。おぅ♡おっ♡ほっ♡ほぉ゛っ♡
桜井,ふっ、ふっ、ふっ、ふっ…！
宇崎母,んぉ！？んお゛ぉ゛～っ♡。あぁ～！あ、ぁ…あーっ♡あぁー！
桜井,ふーっ…ふーっ…。これで、終わりです…満足して頂けましたか
宇崎母,は、ひぃ…はいぃ♡しゅごっ、すごかったですぅ♡
桜井,……っふうぃー…お疲れ様でした…。とんでもない脱童貞をしてしまった…
宇崎母,…………え？
桜井,ん？
宇崎母,桜井君、童貞なのに後輩の母親を狙っていたの？
桜井,…………え、どういう事でしょう？
宇崎母,え、えぇ…だ、だって…
桜井,……………………
宇崎母,……………………
桜井,すんっっっっんませんでしたあああぁぁぁぁ！！！！
宇崎母,さ、桜井君！？
桜井,まさかの勘違いで…こんな…こんな事！
宇崎母,桜井君落ち着いて、少し考えれば分かる事なのに最初に早とちりしたのは私の方よ？貴方は何も悪くないわ。それに…初めて、だったんでしょう？こんなおばさんが相手で、ごめんなさいね
桜井,いえ、そんな事無いですっ！奥さんすごい綺麗ですし、人生で最高に気持ち良かったですっ！
宇崎母,…なっ
桜井,…はっ！？。…い、今の発言は、忘れて頂けると…
宇崎母,…桜井君
桜井,はっ、はいぃ！
宇崎母,まずは、お風呂に入ってきたらどうかしら？
桜井,…え？
宇崎母,帰るにしても汗だくだし、他の人から臭いで不審がられるわよ。この部屋にあった衣服には…とりあえず私が消臭剤をしておくから、ね？
桜井,…分かりました
宇崎母,……はぁー。…ふぅ。…んっ。…はぁ♡
桜井,風呂には入って来たんですけど、どうですかね…？臭いは自分だと分からなくて
宇崎母,だ、大丈夫だと思うわ…はぁ♡。……さ、桜井君
桜井,はっはい！何でしょう？
宇崎母,あの、その、もしも…なのだけれど…。また、貴方を…家に…お、お招きしても良いかしら？
桜井,…え
宇崎母,…………
桜井,いえ、もう訪問させていただくのはこれで最後の方が良いと思います
宇崎母,…っ！そ、そうよね…迷惑だったわよね、ごめんなさい
桜井,…それでは、失礼しま――
宇崎母,…待ってっ！
桜井,…え？
宇崎母,…や、やだっ！私ったら何を…。ごめんなさい、今の私、ちょっとおかしくなってるだけだから…本当にごめんなさいっ！
桜井,……。……猫の
宇崎母,…え？
桜井,この家の猫を見に、時々お邪魔しても構いませんか？
宇崎母,…桜井君っ！。んっ、んちゅ♡んー…はぁ♡。…あの、桜井君…一つだけお願いがあるのだけど
桜井,はい、何でしょう
宇崎母,二人きりの時は、私の事…名前で呼んでもらっても、良いかしら？
桜井,…分かりました、良いですよ、月さん
宇崎月,…！ふふっ、ありがとうね桜井君♪
桜井,それじゃあ失礼します、お邪魔しました
宇崎月,気を付けてね…また来てね？
桜井,宇崎にだけは、バレねーよーにしないとな…
宇崎,私がどうしたっスか？
桜井,うおうおうおううおおおおおおっ、う、宇崎っ！？
宇崎,うわわっ、驚きすぎっすよ先輩！こっちがビックリするっス
桜井,タイミングが良すぎるんだよお前…マジで心臓止まるかと思ったぞ
宇崎,ここ私の家ですよ、私が帰って来るのなんて至極当然の事じゃないっスか。…と言うか先輩、随分長居したんですね。それにさっき、独り言で私がどうとか…怪しいっす
桜井,た、大したことじゃないぞ？ただな…
宇崎,何スか？
桜井,…割と早めに帰りはしたんだけど、忘れ物したのをついさっき思い出してな？取りに来た所なんだ
宇崎,……
桜井,お前にバレたらまた騒ぎ出して鬱陶しいから、バレないと良いなって…それだけだ
宇崎,…………。なーんだ、つまんないっスねー、別にそんなの騒ぎ立てたりしませんよ
桜井,…ほっ
宇崎,まあさっきの先輩の慌てっぷりは面白かったので、そっちはしばらくイジり倒しますけど
桜井,テメェ！…あ。おい宇崎、メシ奢ってやる一緒に来るか？
宇崎,マジっスか！？行くっス行くっス、ゴチになるっス！…でも何で突然？
桜井,お前に割と無理矢理訪問の約束取り付けてもらったらな、その礼だ。…それとさっきので弄るのは止めて頂けると助かると言う忖度
宇崎,へぇー、中々気前が良いっスね。一つ目に関してはありがたく受け取るとして、2つ目は応相談っスねー♪
桜井,何だ、どうすりゃ良い？
宇崎,最低ラインはリーズナブルなファミレスは除外っスかねー
桜井,大きく出やがったな…分かった付いて来い
宇崎,やったー！でどこっスか、バイキング？焼肉？
桜井,喫茶アジア
宇崎,バイト先じゃないっすか！
桜井,客として行くんだよ、飯美味いだろ、奢ってやる
宇崎,うがー！。先パーイ？歩きスマホはダメっスよー、早く来るっスー！
桜井,おう、今行く…お前点滅の信号渡りながら言うセリフかそれ！？
宇崎,へっへー♪さっさと来るっスよ先輩ー！
