モバＰ(以下Ｐ),ふたりともおつかれ様。今日のイベントはこれで終了だ
ありす,な、なんですかその含みのある言い方は？
飛鳥,甘口シリーズはどれも文字通り甘い。そのため甘味以外のメニューも注文した方が、寧ろ食べ進められるからね
ありす,なるほど……
飛鳥,それに、オムハンライスはワンコインの項目のメニューだから、量も常識的なので安心していいよ
Ｐ,まるで他は非常識な量とでも言いたげだな
飛鳥,まぁ、見ればわかるさ
店員,お待たせしました。甘口いちごスパとオムハンライスの赤です
ありす,こ、これが噂の！
Ｐ,見た目は前にありすが作ってくれたものに似てるな……
店員,あとこちらがホットコーヒーです。ごゆっくりどうぞ
Ｐ,ありがとうございます。オムハンライスは……普通のオムライスっぽいが、ハンバーグが見当たらないぞ？
飛鳥,ああ、ライスと薄焼き卵の間に挟まっている形だから、見た目だけならただのオムライスだよ
Ｐ,合点がいった、とりあえず食べよう。ほら、手を合わせて
ありす,もう、子供扱いしないでください。言われなくてもします
Ｐ,うん、それでいい。食への感謝は忘れずにな
飛鳥,この料理への感謝というのも、また複雑な心境だけどね……
Ｐ,まずはオムハンライスから……うん、普通に美味い
ありす,中はケチャップライスじゃなくて、ピラフなんですね
Ｐ,ハンバーグにはデミグラスソースがかかってるみたいだな。シンプルなコンソメ塩胡椒のピラフに、デミグラスとケチャップで味の変化が楽しい
ありす,飛鳥さんは常識的と言ってましたけど、それでも普通のお店のオムライスくらいには大きいです。これでワンコイン……
飛鳥,おっと、調子に乗って食べ進めてしまうと、これだけ完食してしまうよ。本来の目的を忘れていないだろうね？
Ｐ,そうだな、いちごパスタも食べよう……湯気が立つほどの温かさは作り立ての証明。酸味と甘さが鼻につく湯気だが……。いただきまーす……油っぽさと酸味と暴力的な甘さ……ありすの作った一皿を軽々と超えるレベルだと……
飛鳥,恐らく、いちごシロップでパスタを炒めているんだろうね……
Ｐ,そして冷たい生クリームが溶けてパスタによく絡み、さらなる味の混沌を生み出している……
ありす,う……強烈な味ですね……
飛鳥,おや、ありすは前にいちごパスタを作ったのだろう？自分で作ったモノとはそこまで違うのかい？
ありす,あの時は、味見してません。食べてもらう量も減らしたくなかったんで
Ｐ,つまり自分では食べてなかったのか
ありす,プ、プロデューサーも巴さんも美味しいと言ってたので、それで良かったんだって……実際はこんな味だったんですね……
Ｐ,ありすの作ったいちごパスタ、別に不味くなかったぞ。個性的な味付けだったのは確かだが
飛鳥,マウンテンのいちごパスタと比較したらいけないよ。ここは別格さ
Ｐ,だからそんなに気に病む必要はないぞ
ありす,すみません……
Ｐ,しょぼくれた顔するなって。残すのも失礼だから、いまはみんなで完食目指そう！
飛鳥,こうして挑戦するたび思うが、けして食べられない味ではない……のかな？
ありす,他のお客さんも似たようなパスタを頼んでるみたいですけど、ちゃんと食べてますね
Ｐ,正直、甘さよりも油ギッシュなのがキツい
ありす,あ、そういう時こそオムハンライスです！プロデューサー、はいっ
Ｐ,あーん……ん、ピラフと薄焼き卵に癒される。ありがとな
飛鳥,……ボクは極自然にあーんなんて行為をすることに驚きだよ
ありす,えっ、あ、無意識で……
Ｐ,俺も自然な流れすぎて普通に食べてしまった……ありす、もう1回だ
ありす,こ、こんな外であーんなんて、もうやりませんから！
Ｐ,時間が経つと生クリームが完全に溶けてきたな
ありす,何だかもうよくわからなくなってきました……
飛鳥,パスタはボクとプロデューサーが食べるから、添えられてる苺はありすが食べてくれるかい？
ありす,そうしたら、飛鳥さんもプロデューサーも大変じゃ……
Ｐ,味よりも単純に量の問題もあるからな、ありすは先にデザートにしてくれ。ほら、苺取り分けたぞ
ありす,ありがとうございます……ん、美味しいです。ちょっとあったかいですけど
Ｐ,飛鳥も無理しないでいいからな？
飛鳥,つれないね。ここまできたら一緒に登頂を目指そうじゃないか
ありす,登頂？
飛鳥,ここのメニューを完食することを、通称でそう呼ぶのさ
Ｐ,なるほど、マウンテンだからか。上手いこと言ったもんだ
飛鳥,ちなみに残してしまうことを途中下山、無理して体調不良に陥ることを遭難とも、そう呼ぶよ
Ｐ,そうはならないようにしよう……あと少しだから一気に登頂しちまうぞ！。無事に3人で登頂に成功したな。本当に山頂にたどり着いたような、妙な達成感がある
飛鳥,最後の方はプロデューサー任せになってしまったね。すまなかったよ
Ｐ,まぁ何とか食べれなくはない味だったからな。普通のメニューはそれこそ普通に美味しかったし
飛鳥,本当にただの色物メニューだけの店なら、ここまで人も来ないだろうしね
ありす,……
Ｐ,ありすは店を出てからずっとタブレットと睨めっこだけれど、どうかしたか？
ありす,あ、いえ、私のことは気にしないで運転に集中してください
Ｐ,ありすは厳しいなぁ
飛鳥,まぁそうだね。プロデューサーが一番食べたのは事実、時間差で気分が悪くなったりするとも限らないか
Ｐ,下山途中で遭難か、それは避けたいな……2人を無事に送り届けるためにも運転に集中させてもらうよ
ありす,……
飛鳥,タブレットに何か書き込んでいるようだけれど……ボクは助手席、ありすは後部座席だから内容までは確認できないな
ありす,――ということがあったんです。巴さんも、前に私の作ったいちごパスタを食べていたので、無理して美味しいと言ってくれたんじゃないかと思いまして
巴,わしは別に無理なんかしとらんぞ？普通に美味いと思ったがのぉ
ありす,良かった……そう言ってもらえて嬉しいです
Ｐ,……気を使ってるわけでも無さそう、だよなぁ
飛鳥,人の嗜好も十人十色さ。本心から美味しいと言っているなら、それでいいじゃないか
Ｐ,なら今度は巴を登山に連れて行きたくなるな
巴,ん？Ｐ、わしのこと呼んだか？
Ｐ,あーいや、巴もそのマウンテンに連れていって、いちごパスタを食べさせてやりたいなって
巴,おぉ、ほんまか！
Ｐ,ただ、しばらく巴に名古屋での仕事は予定がないんだよなぁ……
巴,そうなんか……しばらく先になるか、残念じゃのぉ
ありす,巴さん、大丈夫です！
巴,ありす？
ありす,喫茶マウンテンの甘口いちごパスタでの使用食材や、作り方の推測をまとめておきましたので、再現できますよ！
飛鳥,帰りの車内で熱心に打ち込んでいたのはそれだったのかい？
ありす,はい。本当は再現ではなくて、これを参考に今度こそみんなが美味しいと言ってもらえる新しい橘流イタリアンを作る予定だったんですけど
巴,そいじゃあ、その喫茶マウンテンとやらのいちごパスタを事務所で食べられる、ちゅうことか！
ありす,そうです。まだ不完全なので完璧な再現は難しいでしょうけど……なので、飛鳥さんとプロデューサーも、是非協力してください
Ｐ,えっ
飛鳥,協力、とは？
ありす,具体的には、試食ですね。この事務所で本家を食べたことのある人は私以外でお2人だけですし、作り手以外の客観的な意見も聞きたいので……駄目、ですか？
Ｐ,うっ……駄目なわけないだろう。俺にできることなら、もちろん協力するよ！
飛鳥,巴も食べたがってるようだしね、協力もやぶさかではないさ
ありす,わぁ、ありがとうございます！さっそく材料を買ってきますね
巴,おう、わしも付き合うぞ。荷物持ちでも何でも手伝うからのぉ！
ありす,じゃあ、行って来ますね！
飛鳥,キミも断れなかったようだね……
Ｐ,ありすのあんなきらきらした瞳でお願いされたらな……どれだけ食べることになるのやら
飛鳥,ちひろさんに、胃腸薬がないか聞いておくよ……
いえ、結構です,真顔
