モバＰ,俺が菜々を満足させる。
Ｐ,おやすみ、こずえ…
こずえ,おじさんが…いっぱいいるー…
美玲,LIVE…へへｯ､緊張してきた…
こずえ,うさぎのおふく…すきー…えへへー…
美玲,ウサギスタイルも悪くねえな、だがこの爪と眼帯は譲らねえけどな！
Ｐ,それが美玲のウリだからな。
菜々,みんな似合ってます！
Ｐ,よし、楽しんでこいよ！
美玲,任せとけ！
こずえ,みんなで…めるへんでびゅー…しよ？
美玲,Liveはハートだｯ!
菜々,ナナ達の歌、ファンのみんなも一緒に歌って下さい!ウサミンパワーでメルヘンチェーンジ☆。ぜぇ…はぁ…ぜぇ…だ、だれか、さ、さんそを…
美玲,はぁ、はぁ…あははッ、震えたッ？ウチのパフォーマンス、ド迫力だろ？
こずえ,みんな…つかれてるー？
菜々,げほ…ひゅー…ひゅー…こ、こずえちゃんは、つかれてないの？(汗すらかいていないなんて…)
Ｐ,ほら、いつもの
菜々,あ、ありがとうございます…
こずえ,……?
美玲,こずえ、お前がナンバー1だ。
Ｐ,どうだった？グループ活動は
美玲,フンッ…信じられる仲間がいるっていいもんだな。
Ｐ,一匹狼もいいけど仲間がたくさんいるウサギたちもいいもんだろ？
美玲,ウチも本当は仲間が欲しかったのかな…
Ｐ,じゃあこれで叶ったじゃないか。
美玲,あぅ///・・・って、この恩はステージで返してやるよ。
菜々,そうですよ。楽しいことはこれからもっともっとありますよ！
Ｐ,ツアーは始まったばっかりだ。これから忙しくなるぞ！！
こずえ,かわいいおふく…きせてー…
Ｐ,おう、沢山着せてやるぞ、こずえ。
菜々,なんか変態っぽいですよ、Ｐさん。
美玲,アイドルの服を着替えさせる変態…ひっかくぞｯ!
Ｐ,落ち着けって、相手はこずえだぞ？
菜々,そ、そうですね！
こずえ,ぷろでゅーさー…ひっかいちゃ…いやー…
美玲,じょ、冗談だぞ、こずえ！！
Ｐ,やれやれ…
菜々,今日のライブで最後ですね。
美玲,このユニットも解散か…
こずえ,…
Ｐ,楽しいものもいつかは終わりが来るものだよ。
美玲,がおーッ！ここにはアイドルの猛獣もいるんだ。弱い奴はひっかく！
Ｐ,いきなりどうした？
こずえ,うさぎなのに…もうじゅう…?
美玲,い、いいじゃないか、別に///
菜々,こんなやり取りも最後なんですね、Ｐさん。
Ｐ,そうだな、けど…
スタッフ,すみませーん、そろそろお願いしまーす
Ｐ,おっと、時間か…楽しんでこいよ。
菜々,よーし、みんなーいっくよー!!
Ｐ,アイドルユニットの頂点はお前たちだ。その姿を俺に見せてくれ！
美玲,精一杯歌うぞッ！いいなッ！
こずえ,みんなで…おうた…うたうー…
美玲,いくぞ、ウサミンパワーでハートがヒートだっ！がおー！！
菜々,ウサミンパワーでメルヘンチェーンジ♪
こずえ,めるへん…ちぇーんじ…
美玲,はぁ、はぁ、ウチら…やりきったな…もう立てねぇよ…
菜々,え、ええ、げほっ、アンコールもやりきったわ…
こずえ,みんな…ばてばてー…
Ｐ,お疲れ様。
こずえ,あ..ぷろでゅーさー…
美玲,楽しかったぞッ！
菜々,ええ、ナナも楽しかったです！
こずえ,おうたのじかん…おわっちゃったー…
Ｐ,最高に輝いていて美しかったよ。
美玲,あーあ、これでこのユニットもおしまいかよっ！
Ｐ,なんだ？最初とはえらく違うな。
美玲,う、うっさい！ひっかくぞ!!
こずえ,ひっかくの…いやー…
菜々,でも、美玲ちゃんの言うとおりです。
Ｐ,菜々も急にどうした？
菜々,最初は個性豊かな二人とのユニットなんて不安だらけでしたけど、いざ始めてみると楽しくって楽しくって…あれ、なんで涙が…
こずえ,なな..ないてるー…?
美玲,あはは、リーダー弱虫だなぁ！
Ｐ,美玲も涙出てるけどな。
美玲,こ、これは汗だッ！！
Ｐ,このユニット大成功だったな。
美玲,あーあ、時間が止まればいいのになー
菜々,そうね、そうなったらこの楽しい時間も永遠と続くもんね。
Ｐ,…時間が止まる…か、本当にいいのか？
美玲,当たり前だろ！こんなに楽しい時間なんだぞ！！
菜々,ええ、ナナも同意見です。
Ｐ,ほう…永遠に17歳でいられるからか？
菜々,からかわないでくださいよ！
Ｐ,じゃあどうして
菜々,ナナをただのメイドからトップアイドルに、そして今最高の仲間とこの最高の瞬間を味わえて幸せだからです。
美玲,ウチもだ、ウチの服装は普通の人には理解できなかったんだ。けどあんた、いや、Ｐさんのおかげでこんなにも理解してくれる人に出会えて仲間もできた。そう、幸せになれたんだ。
Ｐ,ならこう言うといい時よ止まれ、そなたは美しい。と
美玲,そんなことでいいのか？
菜々,じゃあせぇの…。…
美玲,…
Ｐ,ｸｸｸ…こうも簡単に上手くいくとは…
こずえ,おわったのー…?
Ｐ,ああ、この二人の魂は今このメダルに入ったよ。
こずえ,…きれいなめだる―…
Ｐ,一人は予定外だったけどな。
こずえ,それ…どうするのー?
Ｐ,これを人形に入れれば、その魂が俺たちに忠実に従うんだよ、こずえ。
こずえ,こずえも…おにんぎょうなのー…？
Ｐ,こずえの周りがお人形なだけでこずえは違うよ。
こずえ,じゃあ…一緒に…あそぶー…えへへー…
Ｐ,彼女たちの魂をいれて遊ぼうな？
こずえ,えへへー…かわいい…お人形…できるかなー…？
Ｐ,できるさ、一流のアイドルの魂だからな。
こずえ,へへー…
Ｐ,さて、帰ろうか…俺たちの故郷へ…
こずえ,ぷろでゅーさーと…いっしょにおててつなぐぅー｡
Ｐ,了解。って、もうぷろでゅーさーなんて言わなくてもいいんだよ。
こずえ,Ｐ…えっとぉー…こずえたちもつれてってくれるのー?
Ｐ,みんな一緒に帰れるぞ。
こすえ,たのしみー…ふわぁ
Ｐ,…こずえも疲れただろう？
こずえ,うんー…ちょっとやすむー…
Ｐ,よしよし、抱っこしてあげるからおいで。
こずえ,……………すぅー
Ｐ,さてと、次はどんなお人形がいいかな…こずえの喜びそうなお友達は…。やっぱりあの子かな？
