まゆ,あらぁ、愛海ちゃん。おはよう
P,ハッカじゃないんだ。……俺、担当アイドルを寝取られたことになるのかな
愛海,それは違うよ
P,そうなのか
愛海,うん。あたしはただ揉んでるだけ。揉まれる良さを教えてるだけだよ
P,体は正直ってやつか
愛海,あれれー、悪化したぞー？
P,うん。まぁ、いいんだけどな
愛海,いいの？揉んで？
P,どこぞで男にひっかかるぐらいなら愛海に揉まれてたほうがいい
愛海,いやぁ、信頼されてるのかな
P,それほどでもない
愛海,あたしとしてはさ、こう……嫌がられないにしても、ある程度のこう……ね？
P,言いたいことはわかる
愛海,わぁい
P,でもなんだ、アウトだな
愛海,まさかほら、ここまで穏やかに受け入れられるとは思わなくって
P,アイドルだからなぁ
愛海,愛してるだからかー
P,それじゃあ、どうするかな
愛海,どうしようか
P,……揉むのをやめる
愛海,むぅーりぃー
P,最近乃々がちゃんと仕事に来るんだ
愛海,あたしに揉まれるかどうかのラインだもんねぇ
P,揉むのか
愛海,揉むよ。大きくなるよ、鳥は大胸筋あるんだから
P,なるほど。じゃあ、なんだ
愛海,なに？
P,乃々や杏を動かせるってことは愛海はプロデューサーとしての能力もあるのかもしれないな
愛海,そうかな？
P,そうだ、たぶんそう
愛海,そっかー、プロデューサーね……
P,ただ、ひとつ問題がある
愛海,なに？
P,俺がクビになるやもしれん
愛海,あー……。それなら、いい案があるよ
P,なんだ？
愛海,プロデューサーも揉めばいいんだよ
P,なんと
愛海,大丈夫、いけるいける
P,いけるかなぁ
愛海,いけるよ
P,そうか、いけるか。ならいこうかなぁ
愛海,そうそう、ふぁいとー
P,ただ、どう揉めばいいかな
愛海,そんなの決まってるでしょ？
P,決まってるって？
愛海,その手には、いつだっておっぱいがあるんだよ
P,この手に……おっぱいが……
愛海,望めば必ずおっぱいは応えてくれる。そうでしょ？アイドルマスターさん
P,……そうだな。アイドルが答えてくれるのに、おっぱいが答えてくれない道理はないもんな
愛海,そういうこと！
P,じゃあ揉むよ、俺
愛海,そうだね。でもあたしのハーレムは揺るがないよ！
P,………
愛海,あれ、プロデューサー？
P,アイドルのみんなが、愛海のことを見てるなら……まずは愛海から揉まなきゃ。だろう？
愛海,あっちゃー……それは予想外だよ……
P,いいかな？
愛海,ダメって言ったら？
P,むせび泣く
愛海,いいって言ったら？
P,すすり泣く
愛海,泣くんだね
P,泣くよ
愛海,んー……
P,俺は揉むよ
愛海,いや、よく考えたらなんだけどね
P,うん
愛海,あたし、揉むのは好きだけど揉まれたことなくって
P,なんと
愛海,……揉まれるのってどんな感じなのかは興味あるんだけど
P,ほう
愛海,揉みたい？
P,揉みたい！！！！！！！
愛海,そっか
P,いいの？
愛海,うーん、ただ揉まれるのは嫌かも
P,そっか
愛海,だからゲームをしよう
P,ゲーム？
愛海,うん。まずはあたしが揉む
P,誰を？
愛海,プロデューサー
P,オレオ？
愛海,うん
P,WAO！。……揉むの？
愛海,揉むよ
P,男の子だよ？
愛海,知ってるよ
P,おっぱいないよ？
愛海,あるよ。おっぱいは誰にだってあるんだよ
P,そうなの？
愛海,そうだよ
P,そっかー
愛海,じゃあ揉むね。ギブアップしなかったらあたしのも揉んでいいからね
P,わぁい！
愛海,うーん、やっぱり男の人は違うなぁ。プロデューサーすごいね……。あれ？
P,
愛海,……やりすぎちゃった☆
P,あ、ぁつみ………
愛海,どうしたの、プロデューサー？
P,もっとぉ……♡
愛海,……これはこれで
P,愛海ぃ！仕事持ってきたぞー！
愛海,やったねプロデューサー！
P,えっへっへっ
愛海,よくできました。えらいえらい
P,わぁい
愛海,共演は……レナさんかぁ。いいよねレナさん、弾むおっぱい
P,がんばったよ
愛海,がんばったね
P,あとな
愛海,うん
P,765プロの如月さんがな
愛海,揉めるの？
P,もめないように相談しないといけないけど揉めるよ
愛海,そりゃあいい
P,だろう？
愛海,あたし、がんばるよ。もめないように、完膚なきまでに揉むから
P,俺も揉まれたいな
愛海,今度ね
P,わぁい
愛海,アイドル……みんなに夢を届けるお仕事……。胸いっぱいの愛を。胸おっぱいの夢を。そういうのって、素敵だと思う。あたしは。そんなアイドルのみんなが配って欠けた胸を埋めてあげたい。だから――。プロデューサー
P,なんだ？
愛海,あたし……揉むよ。いつか必ず、あの頂点を……
P,……先っぽ？
愛海,そうともいうかな。それまで、ちゃんとついてきてね？
P,あぁ、俺も……揉めるその日まで……
愛海,おっぱいは不滅だよ！
